
5 Mot inconnu : GNUnet => ====== GNUnet ====== | gnunet
67 Espace(s) en fin de ligne à supprimer. => L'option -t spécifie que la requête devra s'arrêter après approximativement TIMEOUT secondes. Une valeur à zéro est interprétée comme pas de time out. Si plusieurs mots sont passés comme clé et ne sont pas séparés par un AND, gnunet-search les concaténera en un seul mot clé.  |   => suggestions : ['']

78 Mot inconnu : FILENAME => FILENAME specifie le nom du fichier ou GNUnet est supposé écrire les informations récupérées. Tout fichier déja existant est effacé.  | filename
78 Mot inconnu : specifie => FILENAME specifie le nom du fichier ou GNUnet est supposé écrire les informations récupérées. Tout fichier déja existant est effacé.  | specifie
78 Mot inconnu : GNUnet => FILENAME specifie le nom du fichier ou GNUnet est supposé écrire les informations récupérées. Tout fichier déja existant est effacé.  | gnunet
78 Mot inconnu : déja => FILENAME specifie le nom du fichier ou GNUnet est supposé écrire les informations récupérées. Tout fichier déja existant est effacé.  | déja
78 Espace(s) en fin de ligne à supprimer. => FILENAME specifie le nom du fichier ou GNUnet est supposé écrire les informations récupérées. Tout fichier déja existant est effacé.  |   => suggestions : ['']

84 Apostrophe incorrecte. => --> Télécharge le Livre d' O'Reilly dans mon /home. | d'  => suggestions : ['d’']
84 Guillemets typographiques fermants. => --> Télécharge le Livre d' O'Reilly dans mon /home. | ' => suggestions : ['”', '’', '›']
84 Mot inconnu : O'Reilly => --> Télécharge le Livre d' O'Reilly dans mon /home. | o'reilly

88 Il manque probablement un trait d’union. => Si vous utilisez un routeur ou un pare feu, il vous faudra ouvrir les ports 2086 et 1080 en TCP et UDP. | pare feu => suggestions : ['pare-feu']
88 Mot inconnu : TCP => Si vous utilisez un routeur ou un pare feu, il vous faudra ouvrir les ports 2086 et 1080 en TCP et UDP. | tcp
88 Mot inconnu : UDP => Si vous utilisez un routeur ou un pare feu, il vous faudra ouvrir les ports 2086 et 1080 en TCP et UDP. | udp

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.gnunet.org/index.php?xlang=French|Le site officiel]] |    => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikipedia.org/wiki/GNUnet|GNUnet sur wikipédia]] |    => suggestions : ['']
96 Mot inconnu : GNUnet =>   * [[https://fr.wikipedia.org/wiki/GNUnet|GNUnet sur wikipédia]] | gnunet
