1 Mot inconnu : Linksys => ====== Serveur d'impression filaire (Linksys PSUS4) ====== | linksys
33 Guillemets typographiques fermants. => puis choisir "AppSocket / HP JetDirect" comme type de connexion et entrer l'adresse IP du PSUS4. | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : PSUS4 => puis choisir "AppSocket / HP JetDirect" comme type de connexion et entrer l'adresse IP du PSUS4. | psus4

38 Espace(s) surnuméraire(s) à supprimer. => proposé par  scholi --- //[[|]] Le 13/05/2008, à  19:46// |    => suggestions : [' ']
38 Mot inconnu : scholi => proposé par  scholi --- //[[|]] Le 13/05/2008, à  19:46// | scholi
38 Espace(s) surnuméraire(s) à supprimer. => proposé par  scholi --- //[[|]] Le 13/05/2008, à  19:46// |    => suggestions : [' ']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Allez sous [[http://localhost:631]] |    => suggestions : ['']
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Allez sous [[http://localhost:631]] |  -  => suggestions : [' – ', ' — ', ' − ']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Onglet "Administration" => "Ajouter une Imprimante" |    => suggestions : ['']
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Onglet "Administration" => "Ajouter une Imprimante" |  -  => suggestions : [' – ', ' — ', ' − ']
41 Guillemets typographiques ouvrants. =>   - Onglet "Administration" => "Ajouter une Imprimante" | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   - Onglet "Administration" => "Ajouter une Imprimante" | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   - Onglet "Administration" => "Ajouter une Imprimante" | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   - Onglet "Administration" => "Ajouter une Imprimante" | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Remplir les champs => "Poursuivre" |    => suggestions : ['']
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Remplir les champs => "Poursuivre" |  -  => suggestions : [' – ', ' — ', ' − ']
42 Guillemets typographiques ouvrants. =>   - Remplir les champs => "Poursuivre" | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   - Remplir les champs => "Poursuivre" | " => suggestions : ['\xa0»', '”']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) |    => suggestions : ['']
43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) |  -  => suggestions : [' – ', ' — ', ' − ']
43 Guillemets typographiques ouvrants. =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : AppSocket =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) | appsocket
43 Mot inconnu : HP =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) | hp
43 Mot inconnu : JetDirect =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) | jetdirect
43 Guillemets typographiques fermants. =>   - Sélectionner "AppSocket/HP JetDirect" (sélection de base normalement) | " => suggestions : ['\xa0»', '”']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - donnez l'URI socket://192.168.1.241:9100 (changez l'IP si vous en avez donné une spéciale) |    => suggestions : ['']
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - donnez l'URI socket://192.168.1.241:9100 (changez l'IP si vous en avez donné une spéciale) |  -  => suggestions : [' – ', ' — ', ' − ']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  avec une freebox l'URI socket://: 192.168.0.11:9100 |    => suggestions : ['']
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  avec une freebox l'URI socket://: 192.168.0.11:9100 |  -  => suggestions : [' – ', ' — ', ' − ']
45 Mot inconnu : freebox =>   -  avec une freebox l'URI socket://: 192.168.0.11:9100 | freebox

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - finissez l'installation avec les pilotes de votre imprimante. |    => suggestions : ['']
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - finissez l'installation avec les pilotes de votre imprimante. |  -  => suggestions : [' – ', ' — ', ' − ']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ensuite vous pouvez imprimer sans problème. |    => suggestions : ['']
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ensuite vous pouvez imprimer sans problème. |  -  => suggestions : [' – ', ' — ', ' − ']

49 Mot inconnu : IPP => (chez moi IPP plantait beaucoup et il fallait tout le temps supprimer manuellement chaque job pour passer au suivant. Avec JetDirect je n'ai aucun problème) | ipp
49 Mot inconnu : JetDirect => (chez moi IPP plantait beaucoup et il fallait tout le temps supprimer manuellement chaque job pour passer au suivant. Avec JetDirect je n'ai aucun problème) | jetdirect
