
3 Mot inconnu : MSMTP => ====== MSMTP ====== | msmtp
71 Espace(s) surnuméraire(s) à supprimer. => account        mailhog |          => suggestions : [' ']
71 Mot inconnu : mailhog => account        mailhog | mailhog

72 Mot inconnu : auth => auth           off | auth
72 Espace(s) surnuméraire(s) à supprimer. => auth           off |             => suggestions : [' ']

73 Mot inconnu : tls => tls            off | tls
73 Espace(s) surnuméraire(s) à supprimer. => tls            off |              => suggestions : [' ']

74 Mot inconnu : tls_starttls => tls_starttls   off | tls_starttls
74 Espace(s) surnuméraire(s) à supprimer. => tls_starttls   off |     => suggestions : [' ']

75 Mot inconnu : host => host           localhost | host
75 Espace(s) surnuméraire(s) à supprimer. => host           localhost |             => suggestions : [' ']
75 Mot inconnu : localhost => host           localhost | localhost

76 Espace(s) surnuméraire(s) à supprimer. => port           1024 |             => suggestions : [' ']

77 Mot inconnu : from => from           username@example.com | from
77 Espace(s) surnuméraire(s) à supprimer. => from           username@example.com |             => suggestions : [' ']

80 Mot inconnu : account => account default : gmail | account
80 Mot inconnu : default => account default : gmail | default
80 Mot inconnu : gmail => account default : gmail | gmail

84 Mot inconnu : starttls => Pour OVH dans les paramètres généraux, pensez à désactiver starttls : | starttls

85 Mot inconnu : tls_starttls => <file> tls_starttls   off </file> </note> | tls_starttls
85 Espace(s) surnuméraire(s) à supprimer. => <file> tls_starttls   off </file> </note> |     => suggestions : [' ']

88 Mot inconnu : msmtprc => Si vous voulez configurer l'envoi de courriels au niveau d'un utilisateur, créez le fichier **.msmtprc** dans le dossier personnel de l'utilisateur concerné. Ce fichier ne devra être accessible en lecture et écriture qu'à l'utilisateur : | msmtprc

94 Mot inconnu : msmtp => Il faut vérifier que le système utilise bien msmtp pour l'envoi de mail : | msmtp

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

122 Pas d’espace avant ce signe. => la solution est [[http://blogettrux.free.fr/index.php?2020/11/23/22/00/09-config-msmtp | résumée sur cette page en français.]] et [[https://askubuntu.com/questions/878288/msmtp-cannot-write-to-var-log-msmtp-msmtp-log| précisée sur sa source en anglais ]] |  ] => suggestions : [']']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
137 Si vous voulez évoquer le simulacre de “autre”, mettez un trait d’union. => //Contributeurs principaux : [[utilisateurs:bruno|bruno]], [[utilisateurs:autre_identifiant|nom ou pseudo autre]].// | pseudo autre => suggestions : ['pseudo-autre']
