
4 Mot inconnu : CurlFtpFS => ======CurlFtpFS ====== | curlftpfs
48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - //login// est le nom de l'utilisateur FTP, |    => suggestions : ['']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - //login// est le nom de l'utilisateur FTP, |  -  => suggestions : [' – ', ' — ', ' − ']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - //mot_de_passe// est son mot de passe, |    => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - //mot_de_passe// est son mot de passe, |  -  => suggestions : [' – ', ' — ', ' − ']
49 Mot inconnu : mot_de_passe =>   - //mot_de_passe// est son mot de passe, | mot_de_passe

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - //ftp.host.com // est le nom DNS (ou l'adresse IP) du serveur FTP, |    => suggestions : ['']
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - //ftp.host.com // est le nom DNS (ou l'adresse IP) du serveur FTP, |  -  => suggestions : [' – ', ' — ', ' − ']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - // /répertoire/local// est le répertoire sous lequel le site FTP sera visible. |    => suggestions : ['']
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - // /répertoire/local// est le répertoire sous lequel le site FTP sera visible. |  -  => suggestions : [' – ', ' — ', ' − ']

53 Il manque un espace. => Vous pouvez aussi choisir de monter un sous-répertoire (en remplaçant les éventuels espaces par '%20'). | 20 => suggestions : [' 20']

54 Mot inconnu : curlftpfs => <file>curlftpfs#login:mot_de_passe@ftp.host.com/repertoire/sous%20repertoire		...</file> | curlftpfs
54 Il manque un espace. => <file>curlftpfs#login:mot_de_passe@ftp.host.com/repertoire/sous%20repertoire		...</file> | mot_de => suggestions : [' __MAIL']
54 Il manque un espace. => <file>curlftpfs#login:mot_de_passe@ftp.host.com/repertoire/sous%20repertoire		...</file> | 20repertoire => suggestions : [' 20repertoire']
54 Typographie : points de suspension. Utilisez le caractère dédié. => <file>curlftpfs#login:mot_de_passe@ftp.host.com/repertoire/sous%20repertoire		...</file> | ... => suggestions : ['…']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://curlftpfs.sourceforge.net/|Site officiel de CurlFtpFS]] |    => suggestions : ['']
60 Mot inconnu : CurlFtpFS =>   * **(en)** [[http://curlftpfs.sourceforge.net/|Site officiel de CurlFtpFS]] | curlftpfs

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://curl.se/|Site officiel de cURL]] |    => suggestions : ['']
61 Mot inconnu : cURL =>   * **(en)** [[https://curl.se/|Site officiel de cURL]] | curl
