
5 Mot inconnu : Respin => ====== Respin : sauvegarde et live CD de votre système ====== | respin
36 Mot inconnu : graphique__ => En effet, au moment de créer votre image ISO personnalisée, Respin cherchera à inclure (__**après avoir téléchargé**__) l'un des deux paquets susmentionnés selon votre environnement. Ces paquets servent à lancer le __mode graphique__ de l'installation de votre système personnalisé.\\ | graphique__

37 Mot inconnu : LiveCD => Autrement dit, ils servent à avoir le raccourci sur le bureau de votre LiveCD "Installer [Nom du système]" (ou au moins, l'avoir dans le Menu Système => Administration).  | livecd
37 Guillemets typographiques ouvrants. => Autrement dit, ils servent à avoir le raccourci sur le bureau de votre LiveCD "Installer [Nom du système]" (ou au moins, l'avoir dans le Menu Système => Administration).  | " => suggestions : ['«\xa0', '“']
37 Espace(s) en fin de ligne à supprimer. => Autrement dit, ils servent à avoir le raccourci sur le bureau de votre LiveCD "Installer [Nom du système]" (ou au moins, l'avoir dans le Menu Système => Administration).  |   => suggestions : ['']

39 Typographie : points de suspension. Utilisez le caractère dédié. => Sans ces paquets, il vous faudra procéder à l'installation de votre système personnalisé en... lignes de commande, à moins d'avoir une connexion internet sous ce LiveCD "custom"... Un oubli est si vite arrivé ;-) | ... => suggestions : ['…']
39 Mot inconnu : LiveCD => Sans ces paquets, il vous faudra procéder à l'installation de votre système personnalisé en... lignes de commande, à moins d'avoir une connexion internet sous ce LiveCD "custom"... Un oubli est si vite arrivé ;-) | livecd
39 Guillemets typographiques ouvrants. => Sans ces paquets, il vous faudra procéder à l'installation de votre système personnalisé en... lignes de commande, à moins d'avoir une connexion internet sous ce LiveCD "custom"... Un oubli est si vite arrivé ;-) | " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. => Sans ces paquets, il vous faudra procéder à l'installation de votre système personnalisé en... lignes de commande, à moins d'avoir une connexion internet sous ce LiveCD "custom"... Un oubli est si vite arrivé ;-) | " => suggestions : ['\xa0»', '”']
39 Typographie : points de suspension. Utilisez le caractère dédié. => Sans ces paquets, il vous faudra procéder à l'installation de votre système personnalisé en... lignes de commande, à moins d'avoir une connexion internet sous ce LiveCD "custom"... Un oubli est si vite arrivé ;-) | ... => suggestions : ['…']

41 Mot inconnu : respin => <note>Normalement, si une connexion internet est disponible, respin télécharge automatiquement ces paquets puis les désinstalle en fin de processus de la construction du backup respin.</note> | respin
41 Mot inconnu : backup => <note>Normalement, si une connexion internet est disponible, respin télécharge automatiquement ces paquets puis les désinstalle en fin de processus de la construction du backup respin.</note> | backup
41 Mot inconnu : respin => <note>Normalement, si une connexion internet est disponible, respin télécharge automatiquement ces paquets puis les désinstalle en fin de processus de la construction du backup respin.</note> | respin

43 Mot inconnu : Respin => =====Utilisation de Respin ===== | respin

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

47 Mot inconnu : iso => Dans le but d'optimiser la taille de votre future distribution iso, il est souhaitable de supprimer tous les fichiers inutiles.\\ | iso

53 Mot inconnu : gestionnaire_de_pilotes_proprietaires => <note important>Si vous avez [[gestionnaire_de_pilotes_proprietaires|un pilote de carte graphique propriétaire]] vous devez impérativement le désactiver. Il est nécessaire de redémarrer après cela. :-( </note> | gestionnaire_de_pilotes_proprietaires
53 Pas d’espace après ce signe. => <note important>Si vous avez [[gestionnaire_de_pilotes_proprietaires|un pilote de carte graphique propriétaire]] vous devez impérativement le désactiver. Il est nécessaire de redémarrer après cela. :-( </note> | (  => suggestions : ['(']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

57 Mot inconnu : Respin => ==== Utiliser Respin en ligne de commande ==== | respin

59 Mot inconnu : Respin => === Options de Respin en ligne de commande=== | respin

93 Mot inconnu : iso-live => La commande suivante vous permettra par exemple de créer une image iso-live de votre système. | iso-live

96 Espace(s) surnuméraire(s) à supprimer. => ==== Tester l'ISO obtenue  ====   |    => suggestions : [' ']
96 Espace(s) en fin de ligne à supprimer. => ==== Tester l'ISO obtenue  ====   |    => suggestions : ['']

104 Mot inconnu : LiveCD => === En mode LiveCD/DVD ===  | livecd
104 Espace(s) en fin de ligne à supprimer. => === En mode LiveCD/DVD ===  |   => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez que le BIOS autorise le démarrage depuis le support que vous avez choisi (CD/DVD/Usb), |    => suggestions : ['']
106 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez que le BIOS autorise le démarrage depuis le support que vous avez choisi (CD/DVD/Usb), |  -  => suggestions : [' – ', ' — ', ' − ']
106 Mot inconnu : Usb =>   - Vérifiez que le BIOS autorise le démarrage depuis le support que vous avez choisi (CD/DVD/Usb), | usb

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Démarrez sur le support contenant l'Iso, |    => suggestions : ['']
107 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Démarrez sur le support contenant l'Iso, |  -  => suggestions : [' – ', ' — ', ' − ']
107 Mot inconnu : Iso =>   - Démarrez sur le support contenant l'Iso, | iso

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifiez le fonctionnement de votre système en mode Live. |    => suggestions : ['']
108 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifiez le fonctionnement de votre système en mode Live. |  -  => suggestions : [' – ', ' — ', ' − ']

112 Mot inconnu : respin => Lors du redémarrage, à l'écran d'identification, le système vous demande un login puis un mot de passe. Il ne s'agit pas du vôtre, ni d'une erreur (version de respin 2.17) mais d'une astuce qu'il faut savoir. Sans cette astuce vous ne pourrez vous logger et donc bénéficier de votre système.\\  | respin
112 Mot inconnu : logger => Lors du redémarrage, à l'écran d'identification, le système vous demande un login puis un mot de passe. Il ne s'agit pas du vôtre, ni d'une erreur (version de respin 2.17) mais d'une astuce qu'il faut savoir. Sans cette astuce vous ne pourrez vous logger et donc bénéficier de votre système.\\  | logger
112 Espace(s) en fin de ligne à supprimer. => Lors du redémarrage, à l'écran d'identification, le système vous demande un login puis un mot de passe. Il ne s'agit pas du vôtre, ni d'une erreur (version de respin 2.17) mais d'une astuce qu'il faut savoir. Sans cette astuce vous ne pourrez vous logger et donc bénéficier de votre système.\\  |   => suggestions : ['']

113 Mot inconnu : loggé => En respectant la casse, vous tapez à la demande d'identifiant **custom** (tel quel), validez puis une fois devant la demande de mot de passe, vous la laissez vide et validez. Vous serez alors loggé.\\ | loggé

114 Mot inconnu : Username => Vous pouvez changer l'identifiant (Username) dans l'onglet Settings avant de créer votre image du système. | username
114 Mot inconnu : Settings => Vous pouvez changer l'identifiant (Username) dans l'onglet Settings avant de créer votre image du système. | settings

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bootez sur le Live-CD/DVD/Usb |    => suggestions : ['']
120 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bootez sur le Live-CD/DVD/Usb |  -  => suggestions : [' – ', ' — ', ' − ']
120 Mot inconnu : Bootez =>   - Bootez sur le Live-CD/DVD/Usb | bootez
120 Mot inconnu : Usb =>   - Bootez sur le Live-CD/DVD/Usb | usb

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquez sur l'icône //**Installer**// |    => suggestions : ['']
121 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquez sur l'icône //**Installer**// |  -  => suggestions : [' – ', ' — ', ' − ']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bootez sur le liveDVD |    => suggestions : ['']
126 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bootez sur le liveDVD |  -  => suggestions : [' – ', ' — ', ' − ']
126 Mot inconnu : Bootez =>   - Bootez sur le liveDVD | bootez
126 Mot inconnu : liveDVD =>   - Bootez sur le liveDVD | livedvd

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquez sur l'icône //**Installer**// |    => suggestions : ['']
127 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquez sur l'icône //**Installer**// |  -  => suggestions : [' – ', ' — ', ' − ']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

135 Mot inconnu : iso => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | iso
135 Mot inconnu : xubuntu => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | xubuntu
135 Typographie : points de suspension. Utilisez le caractère dédié. => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | ... => suggestions : ['…']
135 Mot inconnu : Making => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | making
135 Mot inconnu : popularity => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | popularity
135 Mot inconnu : contest => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | contest
135 Mot inconnu : is => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | is
135 Mot inconnu : not => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | not
135 Mot inconnu : installed => Si durant la création de votre iso (sous xubuntu, lubuntu ou mate) vous rencontrez une erreur du type (voir le fichier log):<file>...Making sure popularity contest is not installed | installed

136 Mot inconnu : Installing => Installing the Ubiquity GTK frontend | installing
136 Mot inconnu : the => Installing the Ubiquity GTK frontend | the
136 Mot inconnu : Ubiquity => Installing the Ubiquity GTK frontend | ubiquity
136 Mot inconnu : frontend => Installing the Ubiquity GTK frontend | frontend

137 Mot inconnu : Lightdm => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | lightdm
137 Mot inconnu : not => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | not
137 Mot inconnu : setup => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | setup
137 Mot inconnu : properly => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | properly
137 Mot inconnu : You => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | you
137 Mot inconnu : your => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | your
137 Mot inconnu : default => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | default
137 Mot inconnu : desktop => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | desktop
137 Mot inconnu : with => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | with
137 Mot inconnu : lightdm => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | lightdm
137 Mot inconnu : prior => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | prior
137 Mot inconnu : to => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | to
137 Mot inconnu : remastering => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | remastering
137 Typographie : points de suspension. Utilisez le caractère dédié. => Lightdm not setup properly. You must set your default desktop with lightdm prior to remastering...</file> | ... => suggestions : ['…']

143 Mot inconnu : respin => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! | respin
143 Mot inconnu : respin => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! | respin
143 Guillemets typographiques ouvrants. => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! | " => suggestions : ['«\xa0', '“']
143 Mot inconnu : resolv => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! | resolv
143 Il manque un espace. => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! | conf => suggestions : [' conf']
143 Guillemets isolés. => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
143 Mot inconnu : rm => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! | rm
143 Il manque un espace à côté du tiret. => De plus, si sur votre live, votre configuration internet ne fonctionne pas, c'est surement parce que respin a supprimé le fichier /etc/resolv.conf. Vous pouvez empêcher respin de faire ceci en éditant le fichier /usr/bin/respin, faites une petite recherche et supprimez "resolv.conf, " du rm -f vers la ligne 287 au niveau du nettoyage des fichiers inutiles pour le live. N'oubliez pas d'enregistrer ! |  - => suggestions : [' – ', ' — ']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://gitlab.com/remastersys/LinuxRespin|Gitlab]] |    => suggestions : ['']
