
6 Mot inconnu : Ok [[6:8]] => ===== Ok pour Linux, mais Debian et Ubuntu ? ===== <|> ok
25 Mot inconnu : Photoshop [[379:388]] => Généralement non. Certains programmes existent à la fois pour Windows et Linux (Mozilla, Open-Office.org, The Gimp) mais d'autres n'existent que pour Windows. Cependant, il existe le plus souvent des programmes parfaitement équivalents. La difficulté quand on passe à Linux est en fait d'arriver à retrouver ses marques dans les //programmes équivalents//. Gimp est différent de Photoshop et il faut accepter de se réhabituer. <|> photoshop
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[419:422]] => Vaste sujet. Mais on peut surtout dire : pour **la sécurité** (si l'on ne fait pas n'importe quoi, on n'a pas à craindre de virus sous Ubuntu), pour **la puissance** (le matériel est très bien utilisé, et les ressources demandées pour fonctionner sont minimes), pour **la liberté** (tous les logiciels sus-cités sont libres), pour **la légalité** (tous les logiciels suscités sont disponibles gratuitement et légalement - la copie en est autorisée et même encouragée). <|>  -  => suggestions : None
48 Ni apostrophe ni trait d’union après “y”. [[50:53]] => ===== Pourquoi commencer la numérotation à 4.10 ? Y'a eu d'autres versions (releases) avant ? ===== <|> y'a => suggestions : None
48 Mot inconnu : Y'a [[50:53]] => ===== Pourquoi commencer la numérotation à 4.10 ? Y'a eu d'autres versions (releases) avant ? ===== <|> y'a
48 Mot inconnu : releases [[76:84]] => ===== Pourquoi commencer la numérotation à 4.10 ? Y'a eu d'autres versions (releases) avant ? ===== <|> releases
55 Erreur de numérisation ? Virgules au lieu de points ? [[121:125]] => Avec **Canonical**, il a engagé des développeurs de logiciels libres bien en vue dans leur projet (GNOME, Debian, Mozilla,...). Ceci permet d'avoir du savoir-faire dans l'équipe et de modifier les logiciels pour qu'ils tournent bien dans **Ubuntu**. C'est un gros avantage par rapport aux autres distributions qui ne sont que des intégrateurs de packages. Donc, on arrive plus vite a un résultat convenable et homogène. <|> ,... => suggestions : None
55 Typographie : points de suspension. Utilisez le caractère dédié. [[122:125]] => Avec **Canonical**, il a engagé des développeurs de logiciels libres bien en vue dans leur projet (GNOME, Debian, Mozilla,...). Ceci permet d'avoir du savoir-faire dans l'équipe et de modifier les logiciels pour qu'ils tournent bien dans **Ubuntu**. C'est un gros avantage par rapport aux autres distributions qui ne sont que des intégrateurs de packages. Donc, on arrive plus vite a un résultat convenable et homogène. <|> ... => suggestions : None
55 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[382:383]] => Avec **Canonical**, il a engagé des développeurs de logiciels libres bien en vue dans leur projet (GNOME, Debian, Mozilla,...). Ceci permet d'avoir du savoir-faire dans l'équipe et de modifier les logiciels pour qu'ils tournent bien dans **Ubuntu**. C'est un gros avantage par rapport aux autres distributions qui ne sont que des intégrateurs de packages. Donc, on arrive plus vite a un résultat convenable et homogène. <|> a => suggestions : None
63 Mot inconnu : UbuntuLinux [[91:102]] => À terme, la société Canonical compte offrir du support professionnel pour sa distribution (UbuntuLinux, donc).  Canonical cherche aussi à aider les entreprises à migrer leur parc informatique vers Ubuntu et à donner des formations aux techniciens informatiques ainsi qu'aux employés des entreprises.  On est en droit d'estimer que nombre d'autres services seront aussi offerts sur une base payante. <|> ubuntulinux
63 Espace(s) surnuméraire(s) à supprimer. [[110:112]] => À terme, la société Canonical compte offrir du support professionnel pour sa distribution (UbuntuLinux, donc).  Canonical cherche aussi à aider les entreprises à migrer leur parc informatique vers Ubuntu et à donner des formations aux techniciens informatiques ainsi qu'aux employés des entreprises.  On est en droit d'estimer que nombre d'autres services seront aussi offerts sur une base payante. <|>    => suggestions : None
63 Espace(s) surnuméraire(s) à supprimer. [[299:301]] => À terme, la société Canonical compte offrir du support professionnel pour sa distribution (UbuntuLinux, donc).  Canonical cherche aussi à aider les entreprises à migrer leur parc informatique vers Ubuntu et à donner des formations aux techniciens informatiques ainsi qu'aux employés des entreprises.  On est en droit d'estimer que nombre d'autres services seront aussi offerts sur une base payante. <|>    => suggestions : None
69 Mot inconnu : khalid [[18:24]] => //Contributeurs : khalid// <|> khalid
