
5 Mot inconnu : XRandR => ====== XRandR ====== | xrandr
54 Mot inconnu : DVI => Les noms des écrans apparaissent en MAJUSCULES et leur statut suit.  Il existe 5 sorties vidéo possibles : sortie VGA, sortie DVI, sortie HDMI, sortie LVDS pour la sortie principale d'un portable et sortie TV pour S-video. Les écrans utilisables sont marqués « connected », leurs noms seront utilisés avec la commande « -- output ». | dvi
54 Mot inconnu : LVDS => Les noms des écrans apparaissent en MAJUSCULES et leur statut suit.  Il existe 5 sorties vidéo possibles : sortie VGA, sortie DVI, sortie HDMI, sortie LVDS pour la sortie principale d'un portable et sortie TV pour S-video. Les écrans utilisables sont marqués « connected », leurs noms seront utilisés avec la commande « -- output ». | lvds
54 Mot inconnu : S-video => Les noms des écrans apparaissent en MAJUSCULES et leur statut suit.  Il existe 5 sorties vidéo possibles : sortie VGA, sortie DVI, sortie HDMI, sortie LVDS pour la sortie principale d'un portable et sortie TV pour S-video. Les écrans utilisables sont marqués « connected », leurs noms seront utilisés avec la commande « -- output ». | s-video
54 Mot inconnu : connected => Les noms des écrans apparaissent en MAJUSCULES et leur statut suit.  Il existe 5 sorties vidéo possibles : sortie VGA, sortie DVI, sortie HDMI, sortie LVDS pour la sortie principale d'un portable et sortie TV pour S-video. Les écrans utilisables sont marqués « connected », leurs noms seront utilisés avec la commande « -- output ». | connected

56 Mot inconnu : XRandR => Attention, il n'est pas nécessaire d'avoir sur votre ordinateur toutes les sorties détectées par XRandR. Certaines peuvent être bridées par le constructeur. | xrandr

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%--output%%** détermine l'écran à configurer |    => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%--pos%%** positionne l'écran dans l'espace virtuel, dans cet exemple l'écran sera décalé de 1920 px vers la droite et de 0 vers le bas. Soit tout simplement à droite de l'écran principal (optionnel) |    => suggestions : ['']
132 Mot inconnu : pos =>   * **%%--pos%%** positionne l'écran dans l'espace virtuel, dans cet exemple l'écran sera décalé de 1920 px vers la droite et de 0 vers le bas. Soit tout simplement à droite de l'écran principal (optionnel) | pos

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%--mode%%** détermine le mode utilisé (optionnel) |    => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%--rate%%** la fréquence de l'écran, optionnel : par défaut c'est la plus grande valeur qui est appliquée. |    => suggestions : ['']

136 Il manque un espace. => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | exemples => suggestions : [' Exemples']
136 Mot inconnu : screen => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | screen
136 Mot inconnu : screen => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | screen
136 Mot inconnu : mirror => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | mirror
136 Mot inconnu : screen => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | screen
136 Mot inconnu : screen => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | screen
136 Typographie : points de suspension. Utilisez le caractère dédié. => **%%Exemples de configuration multi-écrans (multi screen, dual screen, mirror screen, clone screen...)%%** | ... => suggestions : ['…']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

138 S’il s’agit d’un impératif, mettez un trait d’union. => Pour chaque configuration, mettez la ou les lignes suivantes dans **%%/etc/X11/Xsession.d/45x11-xrandr%%** | mettez la => suggestions : ['mettez-la']

140 Mot inconnu : réouvrir => Pour tester après une modification de configuration, il suffit de fermer puis réouvrir une session. | réouvrir

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%Deux écrans cote à cote : %%**  |    => suggestions : ['']
142 Il manque un espace. =>   * **%%Deux écrans cote à cote : %%**  | deux => suggestions : [' Deux']
142 Locution adverbiale invariable. Écrivez “côte à côte”. =>   * **%%Deux écrans cote à cote : %%**  | cote à cote => suggestions : ['côte à côte']
142 Espace(s) en fin de ligne à supprimer. =>   * **%%Deux écrans cote à cote : %%**  |   => suggestions : ['']

143 Mot inconnu : DP-2 => DP-2 est l'écran principal, DP-1 est **%%à droite%%** de DP-2, résolutions différentes : | dp-2
143 Mot inconnu : DP-1 => DP-2 est l'écran principal, DP-1 est **%%à droite%%** de DP-2, résolutions différentes : | dp-1
143 Il manque un espace. => DP-2 est l'écran principal, DP-1 est **%%à droite%%** de DP-2, résolutions différentes : | à => suggestions : [' à']
143 Mot inconnu : DP-2 => DP-2 est l'écran principal, DP-1 est **%%à droite%%** de DP-2, résolutions différentes : | dp-2

149 Mot inconnu : left-of => Vous pouvez adapter la position de l'écran secondaire avec **%% --left-of, --right-of, --above, --below%%** en fonction de vos besoins. | left-of
149 Mot inconnu : right-of => Vous pouvez adapter la position de l'écran secondaire avec **%% --left-of, --right-of, --above, --below%%** en fonction de vos besoins. | right-of
149 Mot inconnu : above => Vous pouvez adapter la position de l'écran secondaire avec **%% --left-of, --right-of, --above, --below%%** en fonction de vos besoins. | above
149 Mot inconnu : below => Vous pouvez adapter la position de l'écran secondaire avec **%% --left-of, --right-of, --above, --below%%** en fonction de vos besoins. | below

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%Deux écrans clonés, résolutions identiques (Clone dual screen) : %%**  |    => suggestions : ['']
151 Il manque un espace. =>   * **%%Deux écrans clonés, résolutions identiques (Clone dual screen) : %%**  | deux => suggestions : [' Deux']
151 Mot inconnu : screen =>   * **%%Deux écrans clonés, résolutions identiques (Clone dual screen) : %%**  | screen
151 Espace(s) en fin de ligne à supprimer. =>   * **%%Deux écrans clonés, résolutions identiques (Clone dual screen) : %%**  |   => suggestions : ['']

152 Mot inconnu : DP-2 => DP-2 est l'écran principal, DP-1 est identique à DP-2, les résolutions sont identiques : | dp-2
152 Mot inconnu : DP-1 => DP-2 est l'écran principal, DP-1 est identique à DP-2, les résolutions sont identiques : | dp-1
152 Mot inconnu : DP-2 => DP-2 est l'écran principal, DP-1 est identique à DP-2, les résolutions sont identiques : | dp-2

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%%Deux écrans clonés, résolutions différentes (Clone dual screen) : %%** |    => suggestions : ['']
157 Il manque un espace. =>   * **%%Deux écrans clonés, résolutions différentes (Clone dual screen) : %%** | deux => suggestions : [' Deux']
157 Mot inconnu : screen =>   * **%%Deux écrans clonés, résolutions différentes (Clone dual screen) : %%** | screen

158 Mot inconnu : DP-3 => DP-3 est l'écran principal, DP-1 est identique à DP-3, les résolutions sont différentes : | dp-3
158 Mot inconnu : DP-1 => DP-3 est l'écran principal, DP-1 est identique à DP-3, les résolutions sont différentes : | dp-1
158 Mot inconnu : DP-3 => DP-3 est l'écran principal, DP-1 est identique à DP-3, les résolutions sont différentes : | dp-3

162 Il manque un espace. => Ici, la résolution de l'écran **%%principal%%** est **%%1280x1024%%**, celle de l'écran **%%secondaire%%** est **%%1024x768%%**. | principal => suggestions : [' principal']
162 Il manque un espace. => Ici, la résolution de l'écran **%%principal%%** est **%%1280x1024%%**, celle de l'écran **%%secondaire%%** est **%%1024x768%%**. | 1280x1024 => suggestions : [' 1280x1024']
162 Mot inconnu : x1024 => Ici, la résolution de l'écran **%%principal%%** est **%%1280x1024%%**, celle de l'écran **%%secondaire%%** est **%%1024x768%%**. | x1024
162 Il manque un espace. => Ici, la résolution de l'écran **%%principal%%** est **%%1280x1024%%**, celle de l'écran **%%secondaire%%** est **%%1024x768%%**. | secondaire => suggestions : [' secondaire']
162 Il manque un espace. => Ici, la résolution de l'écran **%%principal%%** est **%%1280x1024%%**, celle de l'écran **%%secondaire%%** est **%%1024x768%%**. | 1024x768 => suggestions : [' 1024x768']
162 Mot inconnu : x768 => Ici, la résolution de l'écran **%%principal%%** est **%%1280x1024%%**, celle de l'écran **%%secondaire%%** est **%%1024x768%%**. | x768

164 Mot inconnu : NB => NB : L'échelle déclarée pour l'écran secondaire (1.25x1.33) est obtenue en divisant les dimensions de l'écran **%%principal%%** par celles de l'écran **%%secondaire%%**. | nb
164 Signe de multiplication typographique. => NB : L'échelle déclarée pour l'écran secondaire (1.25x1.33) est obtenue en divisant les dimensions de l'écran **%%principal%%** par celles de l'écran **%%secondaire%%**. | 25x1 => suggestions : ['25\xa0×\xa01']
164 Il manque un espace. => NB : L'échelle déclarée pour l'écran secondaire (1.25x1.33) est obtenue en divisant les dimensions de l'écran **%%principal%%** par celles de l'écran **%%secondaire%%**. | principal => suggestions : [' principal']
164 Il manque un espace. => NB : L'échelle déclarée pour l'écran secondaire (1.25x1.33) est obtenue en divisant les dimensions de l'écran **%%principal%%** par celles de l'écran **%%secondaire%%**. | secondaire => suggestions : [' secondaire']

166 Espace(s) surnuméraire(s) à supprimer. => Ici  : 1280/1024=**%%1.25%%** et 1024/768=**%%1.33%%** |    => suggestions : [' ']
166 Il manque un espace. => Ici  : 1280/1024=**%%1.25%%** et 1024/768=**%%1.33%%** | 1 => suggestions : [' 1']
166 Il manque un espace. => Ici  : 1280/1024=**%%1.25%%** et 1024/768=**%%1.33%%** | 1 => suggestions : [' 1']

171 Mot inconnu : gtf => Pour obtenir un mode non listé, utilisez les programmes complémentaires **//gtf//** et **//sed//**.  Vous entrez la ligne de commande suivante, vous devriez bien entendu adapter les nombres 1280, 1024 et 60 à votre résolution cible : | gtf
171 Mot inconnu : sed => Pour obtenir un mode non listé, utilisez les programmes complémentaires **//gtf//** et **//sed//**.  Vous entrez la ligne de commande suivante, vous devriez bien entendu adapter les nombres 1280, 1024 et 60 à votre résolution cible : | sed
171 Espace(s) surnuméraire(s) à supprimer. => Pour obtenir un mode non listé, utilisez les programmes complémentaires **//gtf//** et **//sed//**.  Vous entrez la ligne de commande suivante, vous devriez bien entendu adapter les nombres 1280, 1024 et 60 à votre résolution cible : |    => suggestions : [' ']

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En sélectionnant dans ArandR ce nouveau mode. |    => suggestions : ['']
182 Mot inconnu : ArandR =>   * En sélectionnant dans ArandR ce nouveau mode. | arandr

199 Guillemets typographiques ouvrants. => Par exemple comme réponse vous avez "eDP-1-1" comme identifiant, vous aurez à le remplacer par le votre dans les prochaines commandes. | " => suggestions : ['«\xa0', '“']
199 Mot inconnu : eDP-1-1 => Par exemple comme réponse vous avez "eDP-1-1" comme identifiant, vous aurez à le remplacer par le votre dans les prochaines commandes. | edp-1-1
199 Guillemets typographiques fermants. => Par exemple comme réponse vous avez "eDP-1-1" comme identifiant, vous aurez à le remplacer par le votre dans les prochaines commandes. | " => suggestions : ['\xa0»', '”']
199 Confusion : « votre possession », « la vôtre ». => Par exemple comme réponse vous avez "eDP-1-1" comme identifiant, vous aurez à le remplacer par le votre dans les prochaines commandes. | votre => suggestions : ['vôtre']

201 Signe de multiplication typographique. => Si vous désirez essayer avec une résolution de 1920x1080 en 60hz (n.b. vérifiez si la carte graphique le supporte avant) | 1920x1080 => suggestions : ['1920\xa0×\xa01080']
201 Mot inconnu : x1080 => Si vous désirez essayer avec une résolution de 1920x1080 en 60hz (n.b. vérifiez si la carte graphique le supporte avant) | x1080
201 Mot inconnu : hz => Si vous désirez essayer avec une résolution de 1920x1080 en 60hz (n.b. vérifiez si la carte graphique le supporte avant) | hz

206 Mot inconnu : Modeline => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | modeline
206 Guillemets typographiques ouvrants. => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | " => suggestions : ['«\xa0', '“']
206 Signe de multiplication typographique. => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | 1920x1080 => suggestions : ['1920\xa0×\xa01080']
206 Mot inconnu : x1080_60 => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | x1080_60
206 Guillemets typographiques fermants. => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | " => suggestions : ['\xa0»', '”']
206 Espace(s) surnuméraire(s) à supprimer. => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> |    => suggestions : [' ']
206 Espace(s) surnuméraire(s) à supprimer. => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> |    => suggestions : [' ']
206 Espace(s) surnuméraire(s) à supprimer. => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> |    => suggestions : [' ']
206 Mot inconnu : HSync => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | hsync
206 Mot inconnu : Vsync => Modeline "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync</code> | vsync

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

208 Espace(s) en fin de ligne à supprimer. => Ce qui nous intéresse ici est la seconde ligne (# est toujours suivi d'un commentaire)   |    => suggestions : ['']

210 Mot inconnu : xrandr => Pour ajouter la résolution depuis xrandr cela donne donc : | xrandr

213 Guillemets typographiques ouvrants. => et donc pour l'ajouter au menu ("eDP-1-1" sera à remplacer par votre identifiant d'écran) tapez : | " => suggestions : ['«\xa0', '“']
213 Mot inconnu : eDP-1-1 => et donc pour l'ajouter au menu ("eDP-1-1" sera à remplacer par votre identifiant d'écran) tapez : | edp-1-1
213 Guillemets typographiques fermants. => et donc pour l'ajouter au menu ("eDP-1-1" sera à remplacer par votre identifiant d'écran) tapez : | " => suggestions : ['\xa0»', '”']

219 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Cependant au redémarrage, ces modifications seront perdues, d'ou le chapitre suivant | ou => suggestions : ['où']

221 Mot inconnu : arandr => <note tip>Une autre méthode consiste à regarder les choix disponibles en lançant **arandr** puis en regardant les lignes de commandes xrandr avec le nom du ou des sorties dans le menu **Sortie**.</note> | arandr
221 Mot inconnu : xrandr => <note tip>Une autre méthode consiste à regarder les choix disponibles en lançant **arandr** puis en regardant les lignes de commandes xrandr avec le nom du ou des sorties dans le menu **Sortie**.</note> | xrandr
221 Accord de genre erroné : « le menu » est masculin, « Sortie » est féminin. => <note tip>Une autre méthode consiste à regarder les choix disponibles en lançant **arandr** puis en regardant les lignes de commandes xrandr avec le nom du ou des sorties dans le menu **Sortie**.</note> | sortie => suggestions : ['Sorti']

229 Mot inconnu : xrandr => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | xrandr
229 Mot inconnu : newmode => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | newmode
229 Guillemets typographiques ouvrants. => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | " => suggestions : ['«\xa0', '“']
229 Signe de multiplication typographique. => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | 1920x1080 => suggestions : ['1920\xa0×\xa01080']
229 Mot inconnu : x1080_60 => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | x1080_60
229 Guillemets typographiques fermants. => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | " => suggestions : ['\xa0»', '”']
229 Espace(s) surnuméraire(s) à supprimer. => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync |    => suggestions : [' ']
229 Espace(s) surnuméraire(s) à supprimer. => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync |    => suggestions : [' ']
229 Espace(s) surnuméraire(s) à supprimer. => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync |    => suggestions : [' ']
229 Mot inconnu : HSync => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | hsync
229 Mot inconnu : Vsync => xrandr --newmode "1920x1080_60.00"  172.80  1920 2040 2248 2576  1080 1081 1084 1118  -HSync +Vsync | vsync

230 Mot inconnu : xrandr => xrandr --addmode eDP-1-1 1920x1080_60.00 | xrandr
230 Mot inconnu : addmode => xrandr --addmode eDP-1-1 1920x1080_60.00 | addmode
230 Mot inconnu : eDP-1-1 => xrandr --addmode eDP-1-1 1920x1080_60.00 | edp-1-1
230 Signe de multiplication typographique. => xrandr --addmode eDP-1-1 1920x1080_60.00 | 1920x1080 => suggestions : ['1920\xa0×\xa01080']
230 Mot inconnu : x1080_60 => xrandr --addmode eDP-1-1 1920x1080_60.00 | x1080_60

231 Mot inconnu : xrandr => xrandr -s 1920x1080_60.00</file> | xrandr
231 Il manque un espace à côté du tiret. => xrandr -s 1920x1080_60.00</file> |  - => suggestions : [' – ', ' — ']
231 Signe de multiplication typographique. => xrandr -s 1920x1080_60.00</file> | 1920x1080 => suggestions : ['1920\xa0×\xa01080']
231 Mot inconnu : x1080_60 => xrandr -s 1920x1080_60.00</file> | x1080_60

232 Guillemets typographiques ouvrants. => 'Ctrl+X' pour quitter, n'oubliez pas de sauvegarder en tapant "o". | ' => suggestions : ['“', '‘', '‹']
232 Guillemets typographiques fermants. => 'Ctrl+X' pour quitter, n'oubliez pas de sauvegarder en tapant "o". | ' => suggestions : ['”', '’', '›']
232 Guillemets typographiques ouvrants. => 'Ctrl+X' pour quitter, n'oubliez pas de sauvegarder en tapant "o". | " => suggestions : ['«\xa0', '“']
232 Guillemets typographiques fermants. => 'Ctrl+X' pour quitter, n'oubliez pas de sauvegarder en tapant "o". | " => suggestions : ['\xa0»', '”']

239 Mot inconnu : xprofile => == Lancer le script via ~/.xprofile == | xprofile

240 Mot inconnu : xprofile => Créez un fichier "~/.xprofile" et copiez y le script | xprofile
240 Guillemets typographiques fermants. => Créez un fichier "~/.xprofile" et copiez y le script | " => suggestions : ['\xa0»', '”']
240 S’il s’agit d’un impératif, mettez un trait d’union. => Créez un fichier "~/.xprofile" et copiez y le script | copiez y => suggestions : ['copiez-y']
245 Espace(s) en fin de ligne à supprimer. => Ajouter au script précédent :  |   => suggestions : ['']

252 Mot inconnu : adapt_resolution => Le script est enregistré dans un fichier texte (adapt_resolution.sh par exemple) auquel les droits d’exécution sont accordés : | adapt_resolution
252 Mot inconnu : sh => Le script est enregistré dans un fichier texte (adapt_resolution.sh par exemple) auquel les droits d’exécution sont accordés : | sh
256 Espace(s) en fin de ligne à supprimer. => Ensuite, sélectionner « applications au démarrage » parmi les applications d'Ubuntu.  |   => suggestions : ['']
276 Mot inconnu : eDP1 => Ainsi, pour un écran nommé « eDP1 » dont l'affichage doit être tourné vers la gauche, la commande sera la suivante : | edp1
286 Mot inconnu : panning => ==== Modes « panning » et « scale »==== | panning
286 Mot inconnu : scale => ==== Modes « panning » et « scale »==== | scale

287 Mot inconnu : panning => Avec le mode « panning » la taille d'affichage n'est pas modifiée mais on peut déplacer son écran au sein de cette résolution virtuelle. Ce serait comme si on utilisait une lucarne pour visionner une partie d'un paysage et qu'on la déplaçait. | panning
287 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Avec le mode « panning » la taille d'affichage n'est pas modifiée mais on peut déplacer son écran au sein de cette résolution virtuelle. Ce serait comme si on utilisait une lucarne pour visionner une partie d'un paysage et qu'on la déplaçait. |  mais => suggestions : [', mais']
289 Mot inconnu : scale => Avec le mode « scale » vous pouvez **augmenter artificiellement la résolution** native à une résolution supérieure de celle supportée par la dalle LCD. Contrairement à la résolution virtuelle, tout le contenu est visible mais redimensionné. | scale
292 Mot inconnu : panning => Il faut préciser les paramètres « panning » et « scale » ensembles. | panning
292 Mot inconnu : scale => Il faut préciser les paramètres « panning » et « scale » ensembles. | scale

294 Mot inconnu : VGA => Exemple pour une sortie VGA 1280x800 pixels : | vga
294 Signe de multiplication typographique. => Exemple pour une sortie VGA 1280x800 pixels : | 1280x800 => suggestions : ['1280\xa0×\xa0800']
294 Mot inconnu : x800 => Exemple pour une sortie VGA 1280x800 pixels : | x800

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mode « scale » : |    => suggestions : ['']
295 Mot inconnu : scale =>   * mode « scale » : | scale

297 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mode « panning » : |    => suggestions : ['']
297 Mot inconnu : panning =>   * mode « panning » : | panning

299 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * revenir en mode « normal » : |    => suggestions : ['']

308 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Current serial number in output stream:  28</code> |    => suggestions : ['']
308 Mot inconnu : Current =>   Current serial number in output stream:  28</code> | current
308 Mot inconnu : serial =>   Current serial number in output stream:  28</code> | serial
308 Mot inconnu : number =>   Current serial number in output stream:  28</code> | number
