
4 Mot inconnu : Playstation => ====== Sony Playstation Portable (PSP) & Linux Ubuntu ====== <|> playstation
30 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 2 mio => suggestions : ['2\xa0Mio']
30 Mot inconnu : eDRAM =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> edram
30 Si “M” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 664 m => suggestions : ['664\xa0M']
30 Écriture invariable. Utilisez un point médian. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> pixels/s => suggestions : ['pixels·s']
30 Si “M” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 34 m => suggestions : ['34\xa0M']
30 Écriture invariable. Utilisez un point médian. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> polygones/s => suggestions : ['polygones·s']
31 Mot inconnu : Sound =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> sound
31 Mot inconnu : Core =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> core
31 Mot inconnu : Virtual =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> virtual
31 Mot inconnu : Engine =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> engine
31 Mot inconnu : DSP =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> dsp
31 Accord de nombre erroné avec « 128 bits » : « reconfigurable » devrait être au pluriel. =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> reconfigurable => suggestions : ['reconfigurables']
31 Mot inconnu : GFLOPS =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> gflops
32 Mot inconnu : MPEG-4 =>   * Décodeur matériel MPEG-4 AVC (H.264) Main Profile Level3. <|> mpeg-4
32 Mot inconnu : Level3 =>   * Décodeur matériel MPEG-4 AVC (H.264) Main Profile Level3. <|> level3

34 Mot inconnu : PSP => === PSP 2000 (Slim & light) === <|> psp

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * Couleurs : noire, blanche, grise, bleue, rose, rouge, argentée, etc... <|>   => suggestions : ['']
38 Un seul point après « etc. » =>  * Couleurs : noire, blanche, grise, bleue, rose, rouge, argentée, etc... <|> etc... => suggestions : ['etc.']
43 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Batterie : 3,6 V, 1200 mAh. <|> 1200 mah => suggestions : ['1\xa0200\xa0mAh']
45 Mot inconnu : Core =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> core
45 Mot inconnu : MIPS =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> mips
45 Mot inconnu : RS4000 =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> rs4000
45 Mot inconnu : MIPS =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> mips
45 Mot inconnu : FPU =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> fpu
45 Mot inconnu : VFPU =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> vfpu
45 Si “GFLOPS” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> 2,6 gflops => suggestions : ['2,6\xa0GFLOPS']
45 Mot inconnu : GFLOPS =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> gflops
46 Mot inconnu : MiB =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> mib
46 Mot inconnu : MiB =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> mib
46 Mot inconnu : eDRAM =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> edram
46 Mot inconnu : embedded =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> embedded
46 Mot inconnu : DRAM =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> dram
47 Mot inconnu : Engine =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> engine
47 Mot inconnu : RS4000 =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> rs4000
47 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> 2 mio => suggestions : ['2\xa0Mio']
47 Mot inconnu : eDRAM =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> edram
48 Mot inconnu : Curved =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> curved
48 Mot inconnu : Polygon =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> polygon
48 Mot inconnu : Core =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> core
48 Mot inconnu : Core =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> core
48 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 2 mio => suggestions : ['2\xa0Mio']
48 Mot inconnu : eDRAM =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> edram
48 Si “M” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 664 m => suggestions : ['664\xa0M']
48 Écriture invariable. Utilisez un point médian. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> pixels/s => suggestions : ['pixels·s']
48 Si “M” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> 34 m => suggestions : ['34\xa0M']
48 Écriture invariable. Utilisez un point médian. =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> polygones/s => suggestions : ['polygones·s']
49 Mot inconnu : Sound =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> sound
49 Mot inconnu : Core =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> core
49 Mot inconnu : Virtual =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> virtual
49 Mot inconnu : Engine =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> engine
49 Mot inconnu : DSP =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> dsp
49 Accord de nombre erroné avec « 128 bits » : « reconfigurable » devrait être au pluriel. =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> reconfigurable => suggestions : ['reconfigurables']
49 Mot inconnu : GFLOPS =>   * Processeur audio (Sound Core Virtual Mobile Engine) : DSP 128 bits reconfigurable, 5 GFLOPS. <|> gflops
50 Mot inconnu : MPEG-4 =>   * Décodeur matériel MPEG-4 AVC (H.264) Main Profile Level3. <|> mpeg-4
50 Mot inconnu : Level3 =>   * Décodeur matériel MPEG-4 AVC (H.264) Main Profile Level3. <|> level3

53 Mot inconnu : PSP => === PSP 3000 (Brite) === <|> psp
53 Mot inconnu : Brite => === PSP 3000 (Brite) === <|> brite

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * Couleurs : noire, blanche, grise, bleue, rose, rouge, argentée, etc... <|>   => suggestions : ['']
57 Un seul point après « etc. » =>  * Couleurs : noire, blanche, grise, bleue, rose, rouge, argentée, etc... <|> etc... => suggestions : ['etc.']
62 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Batterie : 3,6 V, 1200 mAh. <|> 1200 mah => suggestions : ['1\xa0200\xa0mAh']
63 Mot inconnu : Core =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> core
63 Mot inconnu : MIPS =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> mips
63 Mot inconnu : RS4000 =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> rs4000
63 Mot inconnu : MIPS =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> mips
63 Mot inconnu : FPU =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> fpu
63 Mot inconnu : VFPU =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> vfpu
63 Si “GFLOPS” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> 2,6 gflops => suggestions : ['2,6\xa0GFLOPS']
63 Mot inconnu : GFLOPS =>   * Processeur central (CPU Core) : MIPS RS4000 sur 32 bits (architecture MIPS), cadencé à 333 MHz (pour les micrologiciels officiels inférieurs à 3.5, la vitesse disponible n'est que de 222 MHz) sur un bus mémoire 128 bits. Deux unités de calcul intégrées : FPU et VFPU (unité de traitement en parallèle). Puissance de traitement de 2,6 GFLOPS. <|> gflops
64 Mot inconnu : MiB =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> mib
64 Mot inconnu : MiB =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> mib
64 Mot inconnu : eDRAM =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> edram
64 Mot inconnu : embedded =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> embedded
64 Mot inconnu : DRAM =>   * Mémoire principale : 32 MiB RAM et 4 MiB eDRAM (embedded DRAM) à 2,6 Gio/s. <|> dram
65 Mot inconnu : Engine =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> engine
65 Mot inconnu : RS4000 =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> rs4000
65 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> 2 mio => suggestions : ['2\xa0Mio']
65 Mot inconnu : eDRAM =>   * Processeur multimédia (Media Engine) : second processeur RS4000 avec 2 Mio de mémoire eDRAM dédiée. <|> edram
66 Mot inconnu : Curved =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> curved
66 Mot inconnu : Polygon =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> polygon
66 Mot inconnu : Core =>   * Deux processeurs graphiques : 3D Curved Surface + 3D Polygon (Core 1) et moteur de rendu 3D et de traitement des surfaces (Core 2), cadencé à 166 MHz sur un bus 256 bits, 2 Mio mémoire vidéo eDRAM à 5,3 Gio/s pour une puissance de traitement maximale de 664 M pixels/s, 34 M polygones/s (T&L). <|> core
