
3 Mot inconnu : Counter-Strike => ====== Counter-Strike: Source ====== | counter-strike
21 Mot inconnu : boutton => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | boutton
21 Pas d’espace avant une virgule. => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . |  , => suggestions : [',']
21 Mot inconnu : Déja => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | déja
21 Forme interrogative ? Mettez un trait d’union. => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | laissez vous => suggestions : ['laissez-vous']

25 Mot inconnu : PlayOnLinux => Commencez par télécharger la dernière version de PlayOnLinux : | playonlinux

28 Mettez des guillemets fermants plutôt qu’ouvrants. => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. |  « => suggestions : ['\xa0»', '”']
28 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. |  . => suggestions : ['. ', '.']
28 Mot inconnu : deb => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | deb
28 Mot inconnu : PlayOnLinux => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | playonlinux
28 Mot inconnu : PlayOnLinux => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | playonlinux
28 Guillemets typographiques ouvrants. => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | '' => suggestions : ['«\xa0', '“']
28 Mot inconnu : playonlinux => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | playonlinux
28 Guillemets typographiques fermants. => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | '' => suggestions : ['\xa0»', '”']
28 Il faut élider “si” et l’accoler au pronom. => Installez le paquet « .deb » et suivez les instructions à l'écran. PlayOnLinux est alors installé. Démarrez PlayOnLinux (terminal : « ''playonlinux'' » sans les guillemets ou //via// vos applications « Jeux ») et suivez une fois de plus les indications à l'écran si il y en a. | si  => suggestions : ['s’']

30 Mot inconnu : WINE => Mettez à jour la version de WINE via l'onglet //Outils// puis //Gérer les versions de WINE//. Suivez les instructions à l'écran, vous ne devriez pas rencontrer de problème. | wine
30 Mot inconnu : WINE => Mettez à jour la version de WINE via l'onglet //Outils// puis //Gérer les versions de WINE//. Suivez les instructions à l'écran, vous ne devriez pas rencontrer de problème. | wine

32 Guillemets typographiques ouvrants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['\xa0»', '”']
32 Mot inconnu : PlayOnLinux => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | playonlinux
32 Guillemets typographiques ouvrants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : Steam => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | steam
32 Guillemets typographiques fermants. => Cliquez ensuite sur l'onglet "Installer" avec la petite croix sur l'interface de PlayOnLinux. Choisissez "Jeu" dans la fenêtre qui s'ouvre, cliquez sur "suivant" puis choisissez "Steam" et suivez les indications à l'écran. Ici aussi il ne devrait pas y avoir de soucis. | " => suggestions : ['\xa0»', '”']

34 Mot inconnu : Steam => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | steam
34 Guillemets typographiques ouvrants. => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | " => suggestions : ['\xa0»', '”']
34 Guillemets typographiques ouvrants. => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | " => suggestions : ['«\xa0', '“']
34 Mot inconnu : DirectX => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | directx
34 Guillemets typographiques fermants. => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | " => suggestions : ['\xa0»', '”']
34 Guillemets typographiques ouvrants. => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | " => suggestions : ['\xa0»', '”']
34 Mot inconnu : Steam => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | steam
34 Mot inconnu : DirectX => Une fois Steam installé, sélectionnez-le (sans le démarrer), cliquez sur l'onglet "Outils" et sélectionnez "Installer DirectX". Si vous avez un message d'erreur du style : "Vous devez choisir une application", c'est que vous n'avez pas sélectionné Steam. Suivez les indications à l'écran pour installer DirectX, une fois encore, aucun problème ne devrait survenir. | directx

36 Mot inconnu : EDIT => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | edit
36 Mot inconnu : DirectX => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | directx
36 Guillemets typographiques ouvrants. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | " => suggestions : ['\xa0»', '”']
36 Mot inconnu : PlayOnLinux => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | playonlinux
36 Après le verbe “falloir”, le verbe devrait être à l’infinitif. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | allez => suggestions : ['aller']
36 Guillemets typographiques ouvrants. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | " => suggestions : ['\xa0»', '”']
36 Mot inconnu : DirectX => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | directx
36 Mot inconnu : DirectX => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | directx
36 Mot inconnu : Counter => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). | counter
36 Espace(s) surnuméraire(s) à supprimer. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). |    => suggestions : [' ']
36 Pas d’espace avant ce signe. => <note help>EDIT : L'installation de DirectX se fait maintenant via le bouton "Configurer" de PlayOnLinux. Il faut ensuite allez dans l'onglet "installer des paquetages" choisir la version de DirectX à installer (pour ma part j'ai choisi DirectX 9 car c'est la version prise en charge nativement par Counter Strike: Source  ). |  ) => suggestions : [')']

39 Mot inconnu : Steam => Démarrez alors Steam, la fenête d'installation de WINE Gecko devrait apparaître durant la mise à jour de la plate-forme Steam. Cliquez sur "Installer" et patientez. | steam
39 Mot inconnu : fenête => Démarrez alors Steam, la fenête d'installation de WINE Gecko devrait apparaître durant la mise à jour de la plate-forme Steam. Cliquez sur "Installer" et patientez. | fenête
39 Mot inconnu : WINE => Démarrez alors Steam, la fenête d'installation de WINE Gecko devrait apparaître durant la mise à jour de la plate-forme Steam. Cliquez sur "Installer" et patientez. | wine
39 Mot inconnu : Steam => Démarrez alors Steam, la fenête d'installation de WINE Gecko devrait apparaître durant la mise à jour de la plate-forme Steam. Cliquez sur "Installer" et patientez. | steam
39 Guillemets typographiques ouvrants. => Démarrez alors Steam, la fenête d'installation de WINE Gecko devrait apparaître durant la mise à jour de la plate-forme Steam. Cliquez sur "Installer" et patientez. | " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. => Démarrez alors Steam, la fenête d'installation de WINE Gecko devrait apparaître durant la mise à jour de la plate-forme Steam. Cliquez sur "Installer" et patientez. | " => suggestions : ['\xa0»', '”']

41 Mot inconnu : Steam => Redémarrez Steam, vous voila avec un Steam tout beau, tout propre.  | steam
41 Mot inconnu : Steam => Redémarrez Steam, vous voila avec un Steam tout beau, tout propre.  | steam
41 Espace(s) en fin de ligne à supprimer. => Redémarrez Steam, vous voila avec un Steam tout beau, tout propre.  |   => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". |    => suggestions : ['']
44 Guillemets typographiques ouvrants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['\xa0»', '”']
44 Mot inconnu : Steam =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | steam
44 Guillemets typographiques ouvrants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : Steam =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | steam
44 Guillemets typographiques fermants. =>   * Cliquez sur l'onglet "Fichier" dans l'interface de Steam puis sur "Paramètres". Dans la fenêtre qui apparaît, cliquez sur l'onglet "Dans un jeu" et décochez la case "Activer la communauté Steam intégrée au jeu". | " => suggestions : ['\xa0»', '”']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." |    => suggestions : ['']
45 Guillemets typographiques ouvrants. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." | " => suggestions : ['\xa0»', '”']
45 Espace(s) surnuméraire(s) à supprimer. =>   * Toujours dans la même fenêtre, cliquez sur l'onglet "Interface" et décochez  "M'informer (via des messages instantanés:Steam) des ajouts ou modifications..." |    => suggestions : [' ']
