24 Mot inconnu : drive_c [[29:36]] =>   * Placez-les dans **/.wine/drive_c/windows/system32**. <|> drive_c
50 Il manque un espace à côté du tiret. [[194:196]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|>  - => suggestions :  –  — 
50 Mot inconnu : help [[196:200]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> help
50 Typographie : points de suspension. Utilisez le caractère dédié. [[236:239]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> ... => suggestions : …
50 Guillemets typographiques ouvrants. [[255:256]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> " => suggestions : « “
50 Guillemets typographiques fermants. [[263:264]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> " => suggestions :  »”

55 Mot inconnu : HKEY_CURRENT_USER [[33:50]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> hkey_current_user
55 Mot inconnu : Direct3D [[98:106]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> direct3d
55 Mot inconnu : déja [[128:132]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> déja
55 Accord de genre erroné : « nouvelle » est féminin. [[184:186]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> un => suggestions : une
55 Accord de genre erroné : « un » est un déterminant masculin. [[187:195]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> nouvelle => suggestions : nouveau
55 Mot inconnu : DirectDrawRenderer [[241:259]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> directdrawrenderer
55 Mot inconnu : gdi [[315:318]] => Dans le dossier Poste de travail\HKEY_CURRENT_USER\Software\Wine, ajouter une nouvelle clé nommée Direct3D si elle n'existe pas déja. Après s'être placé sur cette nouvelle clé ajouter un nouvelle valeur chaine (clic droit) que vous nommerez DirectDrawRenderer puis à l'aide d'un clic droit faite modifier et entrer gdi. Fermez l'éditeur de registre et lancer l'installation de Football Manager <|> gdi
60 Mot inconnu : dosdevices [[50:60]] => Une fois le jeu installé, contrôlez dans **/.wine/dosdevices/c:/Program Files/Sports Interactive/** vous devriez voir le dossier **Football Manager 2009 Démo** ou **Football Manager 2009** suivant que vous installez la démo ou le jeu. <|> dosdevices
60 Mot inconnu : Program [[64:71]] => Une fois le jeu installé, contrôlez dans **/.wine/dosdevices/c:/Program Files/Sports Interactive/** vous devriez voir le dossier **Football Manager 2009 Démo** ou **Football Manager 2009** suivant que vous installez la démo ou le jeu. <|> program

64 Mot inconnu : activator [[101:110]] => Téléchargez l'activateur http://www.footballmanager.com/fixv2.zip, lancez le programme pour extraire activator.exe et Launcher.exe dans **~/.wine/dosdevices/c:/Program Files/Sports Interactive/Football Manager 2009/**. <|> activator
64 Mot inconnu : Launcher [[118:126]] => Téléchargez l'activateur http://www.footballmanager.com/fixv2.zip, lancez le programme pour extraire activator.exe et Launcher.exe dans **~/.wine/dosdevices/c:/Program Files/Sports Interactive/Football Manager 2009/**. <|> launcher
64 Mot inconnu : dosdevices [[146:156]] => Téléchargez l'activateur http://www.footballmanager.com/fixv2.zip, lancez le programme pour extraire activator.exe et Launcher.exe dans **~/.wine/dosdevices/c:/Program Files/Sports Interactive/Football Manager 2009/**. <|> dosdevices
64 Mot inconnu : Program [[160:167]] => Téléchargez l'activateur http://www.footballmanager.com/fixv2.zip, lancez le programme pour extraire activator.exe et Launcher.exe dans **~/.wine/dosdevices/c:/Program Files/Sports Interactive/Football Manager 2009/**. <|> program

68 Guillemets typographiques ouvrants. [[61:62]] => Changez //VOTRE UTILISATEUR// par votre nom d'utilisateur et 'clé du jeu' par la clé fournie au dos du manuel du jeu. <|> ' => suggestions : ‘“‹
68 Guillemets typographiques fermants. [[72:73]] => Changez //VOTRE UTILISATEUR// par votre nom d'utilisateur et 'clé du jeu' par la clé fournie au dos du manuel du jeu. <|> ' => suggestions : ’”›

91 Espace(s) en fin de ligne à supprimer. [[56:57]] => Des bandes noires apparaissent lors des matchs 3D</note>  <|>  

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
