
4 Mot inconnu : ZTE => ====== Modem ZTE ZXDSL 852 ====== | zte
29 Mot inconnu : chipset => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | chipset
29 Mot inconnu : Conexant => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | conexant
29 Mot inconnu : AccessRunner => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | accessrunner
29 Mot inconnu : chipset => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | chipset
29 Mot inconnu : vendor_id => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | vendor_id
29 Mot inconnu : device_id => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | device_id
29 Mot inconnu : cb07 => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | cb07
31 Mot inconnu : build-essential => Les paquets suivants doivent être installés : **build-essential cvs**. | build-essential
31 Mot inconnu : cvs => Les paquets suivants doivent être installés : **build-essential cvs**. | cvs

42 Mot inconnu : Itri => Ce pilote charge à chaque démarrage un firmware au sein du modem. Il est disponible sur le ftp de Marco d'Itri | itri

51 Mot inconnu : Wanadoo => ===== Création de la connexion pour Wanadoo/Orange ===== | wanadoo

78 Mot inconnu : Algerie => =====Création de la connexion pour Algerie Telecom ===== | algerie
78 Mot inconnu : Telecom => =====Création de la connexion pour Algerie Telecom ===== | telecom

80 Mot inconnu : Algerie => Algerie Telecom utilise également ce modem mais avec des caractéristiques de connexion différentes. | algerie
80 Mot inconnu : Telecom => Algerie Telecom utilise également ce modem mais avec des caractéristiques de connexion différentes. | telecom

82 Mot inconnu : br2684 => Télécharger le pilote br2684 : installez le paquet **br2684ctl**. Si vous n'avez pas de connexion et que vous êtes sous Windows, allez à cette page http://packages.ubuntu.com, et recherchez le paquet « br2684ctl » correspondant à votre distribution. Transférez-le sous Ubuntu, et installez-le avec la commande : | br2684
82 Mot inconnu : br2684ctl => Télécharger le pilote br2684 : installez le paquet **br2684ctl**. Si vous n'avez pas de connexion et que vous êtes sous Windows, allez à cette page http://packages.ubuntu.com, et recherchez le paquet « br2684ctl » correspondant à votre distribution. Transférez-le sous Ubuntu, et installez-le avec la commande : | br2684ctl
82 Mot inconnu : br2684ctl => Télécharger le pilote br2684 : installez le paquet **br2684ctl**. Si vous n'avez pas de connexion et que vous êtes sous Windows, allez à cette page http://packages.ubuntu.com, et recherchez le paquet « br2684ctl » correspondant à votre distribution. Transférez-le sous Ubuntu, et installez-le avec la commande : | br2684ctl

111 Mot inconnu : Olitec => ===== Remarque pour le Modem Olitec USB ADSL V3 ===== | olitec
111 Mot inconnu : V3 => ===== Remarque pour le Modem Olitec USB ADSL V3 ===== | v3

117 Mot inconnu : zebob => //Contributeurs :zebob, [[utilisateurs:jschott]], [[utilisateurs:Danadanao]], [[utilisateurs:Ishmael]], [[utilisateurs:JimBo]].// | zebob
