1 Mot inconnu : Synergy => ====== Synergy ====== | synergy
51 Mot inconnu : screens =>   * **section: screens** est la partie qui liste les machines qui seront utilisées en fonction de leur hostname. | screens
51 Mot inconnu : hostname =>   * **section: screens** est la partie qui liste les machines qui seront utilisées en fonction de leur hostname. | hostname

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... |    => suggestions : ['']
52 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | section => suggestions : ['Section']
52 Mot inconnu : hoary =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | hoary
52 Mot inconnu : arthur =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | arthur
52 Mot inconnu : hoary =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | hoary
52 Mot inconnu : arthur =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | arthur
52 Mot inconnu : ubuntu42 =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | ubuntu42
52 Mot inconnu : arthur =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | arthur
52 Mot inconnu : up =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | up
52 Mot inconnu : left =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | left
52 Mot inconnu : down =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | down
52 Mot inconnu : right =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | right
52 Un seul point après « etc. » =>   * **section: links** définit de quelle façon la souris quittera l'écran d'une des machines pour passer sur une autre. Ici on a placé l'écran de **hoary** à gauche de celui d'**arthur**, donc si la souris va tout à droite de l'écran de **hoary** elle arrivera sur la gauche de celui de **arthur**, et inversement. On aurait aussi pu placer **ubuntu42** au-dessus de **arthur** en spécifiant //up// au lieu de //left//, //down// au lieu de //right//, etc... | etc... => suggestions : ['etc.']

56 Mot inconnu : Synergy => Il n'y en a pas, il suffit d'installer Synergy. :-) | synergy

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   synergys -f |    => suggestions : ['']
65 Mot inconnu : synergys =>   synergys -f | synergys
65 Il manque un espace à côté du tiret. =>   synergys -f |  - => suggestions : [' – ', ' — ']

67 Mot inconnu : synergy => Si votre fichier « synergy.conf » est dans un endroit différent, vous pouvez le spécifier en utilisant : | synergy
67 Il manque un espace. => Si votre fichier « synergy.conf » est dans un endroit différent, vous pouvez le spécifier en utilisant : | conf => suggestions : [' conf']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   synergys -f -c /endroit/de/votre/synergy.conf |    => suggestions : ['']
69 Mot inconnu : synergys =>   synergys -f -c /endroit/de/votre/synergy.conf | synergys
69 Il manque un espace à côté du tiret. =>   synergys -f -c /endroit/de/votre/synergy.conf |  - => suggestions : [' – ', ' — ']
69 Mot inconnu : synergy =>   synergys -f -c /endroit/de/votre/synergy.conf | synergy
69 Il manque un espace. =>   synergys -f -c /endroit/de/votre/synergy.conf | conf => suggestions : [' conf']

71 Mot inconnu : hash => Il est possible de chiffrer les communications, il faut alors calculer le hash de son mot de passe : | hash

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo -n MonMotDePasse > tmp.log |    => suggestions : ['']
72 Mot inconnu : echo =>   echo -n MonMotDePasse > tmp.log | echo
72 Il manque un espace à côté du tiret. =>   echo -n MonMotDePasse > tmp.log |  - => suggestions : [' – ', ' — ']
72 Mot inconnu : MonMotDePasse =>   echo -n MonMotDePasse > tmp.log | monmotdepasse
72 Mot inconnu : tmp =>   echo -n MonMotDePasse > tmp.log | tmp
72 Il manque un espace. =>   echo -n MonMotDePasse > tmp.log | log => suggestions : [' log']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   md5sum tmp.log |    => suggestions : ['']
73 Mot inconnu : md5sum =>   md5sum tmp.log | md5sum
73 Mot inconnu : tmp =>   md5sum tmp.log | tmp
73 Il manque un espace. =>   md5sum tmp.log | log => suggestions : [' log']

75 Mot inconnu : md5 => Le résultat md5 est utilisé pour lancer le serveur : | md5

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage |    => suggestions : ['']
76 Mot inconnu : synergys =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | synergys
76 Il manque un espace à côté du tiret. =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage |  - => suggestions : [' – ', ' — ']
76 Mot inconnu : crypto-mode =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | crypto-mode
76 Mot inconnu : cfb =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | cfb
76 Mot inconnu : crypto-pass =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | crypto-pass
76 Mot inconnu : c934b25d3a85c8bbb28a00a4f5e1457 =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | c934b25d3a85c8bbb28a00a4f5e1457
76 Mot inconnu : ofb =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | ofb
76 Mot inconnu : cfb =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | cfb
76 Mot inconnu : ctr =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | ctr
76 Mot inconnu : gcm =>   synergys -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 #  ofb, cfb, ctr et gcm possibles en tant que cryptage | gcm

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   synergyc -f <ip address of server> |    => suggestions : ['']
81 Mot inconnu : synergyc =>   synergyc -f <ip address of server> | synergyc
81 Il manque un espace à côté du tiret. =>   synergyc -f <ip address of server> |  - => suggestions : [' – ', ' — ']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   synergyc -f 192.168.0.1 |    => suggestions : ['']
85 Mot inconnu : synergyc =>   synergyc -f 192.168.0.1 | synergyc
85 Il manque un espace à côté du tiret. =>   synergyc -f 192.168.0.1 |  - => suggestions : [' – ', ' — ']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 |    => suggestions : ['']
88 Mot inconnu : synergyc =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 | synergyc
88 Il manque un espace à côté du tiret. =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 |  - => suggestions : [' – ', ' — ']
88 Mot inconnu : crypto-mode =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 | crypto-mode
88 Mot inconnu : cfb =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 | cfb
88 Mot inconnu : crypto-pass =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 | crypto-pass
88 Mot inconnu : c934b25d3a85c8bbb28a00a4f5e1457 =>   synergyc -f --crypto-mode cfb --crypto-pass 1c934b25d3a85c8bbb28a00a4f5e1457 192.168.0.1 | c934b25d3a85c8bbb28a00a4f5e1457

103 Mot inconnu : synergy => Dans les méthodes ci-dessous, les commandes sont décrites pour le client synergy (/usr/bin/synergyc). Mais pour le serveur, il suffit de remplacer la commande synergyc par la commande synergys (et d'adapter les options en conséquence, puisque contrairement au client, la commande synergys ne nécessite pas de HOSTNAME). | synergy
103 Mot inconnu : synergyc => Dans les méthodes ci-dessous, les commandes sont décrites pour le client synergy (/usr/bin/synergyc). Mais pour le serveur, il suffit de remplacer la commande synergyc par la commande synergys (et d'adapter les options en conséquence, puisque contrairement au client, la commande synergys ne nécessite pas de HOSTNAME). | synergyc
103 Mot inconnu : synergys => Dans les méthodes ci-dessous, les commandes sont décrites pour le client synergy (/usr/bin/synergyc). Mais pour le serveur, il suffit de remplacer la commande synergyc par la commande synergys (et d'adapter les options en conséquence, puisque contrairement au client, la commande synergys ne nécessite pas de HOSTNAME). | synergys
103 Mot inconnu : synergys => Dans les méthodes ci-dessous, les commandes sont décrites pour le client synergy (/usr/bin/synergyc). Mais pour le serveur, il suffit de remplacer la commande synergyc par la commande synergys (et d'adapter les options en conséquence, puisque contrairement au client, la commande synergys ne nécessite pas de HOSTNAME). | synergys
103 Mot inconnu : HOSTNAME => Dans les méthodes ci-dessous, les commandes sont décrites pour le client synergy (/usr/bin/synergyc). Mais pour le serveur, il suffit de remplacer la commande synergyc par la commande synergys (et d'adapter les options en conséquence, puisque contrairement au client, la commande synergys ne nécessite pas de HOSTNAME). | hostname

105 Mot inconnu : LightDM => Il faut tout d'abord savoir quel est votre gestionnaire de session. Depuis la version 11.10, LightDM est le gestionnaire de session par défaut pour Ubuntu et ses variantes Xubuntu et Lubuntu (depuis 12.04 seulement pour ce dernier). | lightdm
105 Mot inconnu : Xubuntu => Il faut tout d'abord savoir quel est votre gestionnaire de session. Depuis la version 11.10, LightDM est le gestionnaire de session par défaut pour Ubuntu et ses variantes Xubuntu et Lubuntu (depuis 12.04 seulement pour ce dernier). | xubuntu

106 Mot inconnu : LTS => Si vous utilisez une version antérieure d'Ubuntu (10.04 LTS ou 11.04), votre gestionnaire de session graphique est GDM2. Si vous utilisez une variante d'Ubuntu, votre gestionnaire de session est peut-être différent. Consultez le portail des gestionnaires de sessions pour repérer votre gestionnaire de session graphique. | lts
106 Mot inconnu : GDM2 => Si vous utilisez une version antérieure d'Ubuntu (10.04 LTS ou 11.04), votre gestionnaire de session graphique est GDM2. Si vous utilisez une variante d'Ubuntu, votre gestionnaire de session est peut-être différent. Consultez le portail des gestionnaires de sessions pour repérer votre gestionnaire de session graphique. | gdm2

108 Mot inconnu : Methode => ==== Methode 1 : avec LightDM, dès l'écran de connexion=== | methode
108 Mot inconnu : LightDM => ==== Methode 1 : avec LightDM, dès l'écran de connexion=== | lightdm

110 Mot inconnu : lightDM => Si votre gestionnaire de session est lightDM, ce qui est certainement le cas si vous disposez d'une version d'Ubuntu relativement récente, cette méthode est de loin la plus simple. | lightdm

112 Mot inconnu : Editer => Editer le fichier /etc/lightdm/lightdm.conf pour y ajouter la ligne | editer

120 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => pour démarrer le serveur. Vous pouvez ajouter les mêmes options que précédemment, comme --crypto-pass <PASSWORD HASH> (côté serveur //et// client) ou encore -c /endroit/de/votre/synergy.conf (uniquement côté serveur). | pour => suggestions : ['Pour']
120 Mot inconnu : crypto-pass => pour démarrer le serveur. Vous pouvez ajouter les mêmes options que précédemment, comme --crypto-pass <PASSWORD HASH> (côté serveur //et// client) ou encore -c /endroit/de/votre/synergy.conf (uniquement côté serveur). | crypto-pass
120 Il manque un espace à côté du tiret. => pour démarrer le serveur. Vous pouvez ajouter les mêmes options que précédemment, comme --crypto-pass <PASSWORD HASH> (côté serveur //et// client) ou encore -c /endroit/de/votre/synergy.conf (uniquement côté serveur). |  - => suggestions : [' – ', ' — ']
120 Mot inconnu : synergy => pour démarrer le serveur. Vous pouvez ajouter les mêmes options que précédemment, comme --crypto-pass <PASSWORD HASH> (côté serveur //et// client) ou encore -c /endroit/de/votre/synergy.conf (uniquement côté serveur). | synergy
120 Il manque un espace. => pour démarrer le serveur. Vous pouvez ajouter les mêmes options que précédemment, comme --crypto-pass <PASSWORD HASH> (côté serveur //et// client) ou encore -c /endroit/de/votre/synergy.conf (uniquement côté serveur). | conf => suggestions : [' conf']

