
4 Mot inconnu : Dup => ====== Utilitaire de sauvegarde Déjà Dup ====== | dup
50 Mot inconnu : SFTP => ==== Réaliser une sauvegarde automatique via SSH (SFTP) ==== | sftp

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'ordinateur à sauvegarder (avec Déjà Dup) ; |    => suggestions : ['']
53 Mot inconnu : Dup =>   * l'ordinateur à sauvegarder (avec Déjà Dup) ; | dup

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'ensemble devant être connecté à votre réseau. |    => suggestions : ['']

57 Mot inconnu : SSH => Dans cet exemple, les ordinateurs à sauvegarder sont connectés en Wifi, le serveur SSH en Ethernet au routeur domestique. | ssh

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si ce n'est pas déjà fait, Installer OpenSSH serveur sur l'ordinateur secondaire et brancher les disques externes. |    => suggestions : ['']
58 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si ce n'est pas déjà fait, Installer OpenSSH serveur sur l'ordinateur secondaire et brancher les disques externes. |  -  => suggestions : [' – ', ' — ', ' − ']
58 Mot inconnu : OpenSSH =>   - Si ce n'est pas déjà fait, Installer OpenSSH serveur sur l'ordinateur secondaire et brancher les disques externes. | openssh

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vérifier qu'il est possible, via un terminal, de s'y connecter depuis les ordinateurs distants à sauvegarder. |    => suggestions : ['']
59 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vérifier qu'il est possible, via un terminal, de s'y connecter depuis les ordinateurs distants à sauvegarder. |  -  => suggestions : [' – ', ' — ', ' − ']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sur les ordinateurs à sauvegarder, configurer DéjàDup pour réaliser la sauvegarde via SSH (le nom d'utilisateur et le mot de passe seront demandés la première fois, mais il est possible de les mémoriser), par exemple tous les jours. |    => suggestions : ['']
60 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sur les ordinateurs à sauvegarder, configurer DéjàDup pour réaliser la sauvegarde via SSH (le nom d'utilisateur et le mot de passe seront demandés la première fois, mais il est possible de les mémoriser), par exemple tous les jours. |  -  => suggestions : [' – ', ' — ', ' − ']
60 Mot inconnu : DéjàDup =>   - Sur les ordinateurs à sauvegarder, configurer DéjàDup pour réaliser la sauvegarde via SSH (le nom d'utilisateur et le mot de passe seront demandés la première fois, mais il est possible de les mémoriser), par exemple tous les jours. | déjàdup
60 Mot inconnu : SSH =>   - Sur les ordinateurs à sauvegarder, configurer DéjàDup pour réaliser la sauvegarde via SSH (le nom d'utilisateur et le mot de passe seront demandés la première fois, mais il est possible de les mémoriser), par exemple tous les jours. | ssh

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Et voilà, tous les jours, la sauvegarde se fait toute seule dès que vous êtes connecté à votre réseau ! |    => suggestions : ['']
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Et voilà, tous les jours, la sauvegarde se fait toute seule dès que vous êtes connecté à votre réseau ! |  -  => suggestions : [' – ', ' — ', ' − ']

63 Mot inconnu : SSH => Attention, cette solution demande que votre serveur SSH reste allumé 24h/24, 7j/7… C'est la raison pour laquelle, l'utilisation d'un mini-ordinateur (par exemple un [[https://www.raspberrypi.org/|Raspberry Pi]], qui ne consomme qu'environ 2 W, auquel vous branchez un ou plusieurs disques externes) peut être intéressante. | ssh

69 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => La plus simple consiste à aller dans la 1<sup>re</sup> fenêtre de l'application, et cliquer sur le bouton « Restaurer ». Puis définissez ce que vous voulez restaurer, en précisant l'emplacement de la sauvegarde et celui de la restauration. | 1<sup>re => suggestions : ['1ʳᵉ']

71 Mot inconnu : Nautilus => Vous pouvez aussi utiliser le clic droit dans Nautilus (à condition que le paquet **[[apt>deja-dup-nautilus]]** soit bien installé ;-)) sur un fichier ou un répertoire pour retourner à une version précédente. | nautilus
71 Mot inconnu : deja-dup-nautilus => Vous pouvez aussi utiliser le clic droit dans Nautilus (à condition que le paquet **[[apt>deja-dup-nautilus]]** soit bien installé ;-)) sur un fichier ou un répertoire pour retourner à une version précédente. | deja-dup-nautilus

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   deja-dup --restore ~/chemin/fichier & |    => suggestions : ['']
75 Mot inconnu : deja-dup =>   deja-dup --restore ~/chemin/fichier & | deja-dup
75 Mot inconnu : restore =>   deja-dup --restore ~/chemin/fichier & | restore

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   deja-dup --restore-missing ~/chemin/fichier & |    => suggestions : ['']
79 Mot inconnu : deja-dup =>   deja-dup --restore-missing ~/chemin/fichier & | deja-dup
79 Mot inconnu : restore-missing =>   deja-dup --restore-missing ~/chemin/fichier & | restore-missing

81 Mot inconnu : déjà-dup => Cela ouvrira la fenêtre pour Restaurer de déjà-dup mais en ne sélectionnant cette fois que le fichier ou le répertoire ciblé. | déjà-dup

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   GPGError: GPG Failed, see log below: |    => suggestions : ['']
91 Mot inconnu : GPGError =>   GPGError: GPG Failed, see log below: | gpgerror
91 Mot inconnu : GPG =>   GPGError: GPG Failed, see log below: | gpg
91 Mot inconnu : Failed =>   GPGError: GPG Failed, see log below: | failed
91 Mot inconnu : see =>   GPGError: GPG Failed, see log below: | see
91 Mot inconnu : below =>   GPGError: GPG Failed, see log below: | below

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ===== Begin GnuPG log ===== |    => suggestions : ['']
92 Mot inconnu : Begin =>   ===== Begin GnuPG log ===== | begin
92 Mot inconnu : GnuPG =>   ===== Begin GnuPG log ===== | gnupg

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gpg: AES256.CFB encrypted data |    => suggestions : ['']
93 Mot inconnu : gpg =>   gpg: AES256.CFB encrypted data | gpg
93 Mot inconnu : AES256 =>   gpg: AES256.CFB encrypted data | aes256
93 Mot inconnu : CFB =>   gpg: AES256.CFB encrypted data | cfb
93 Mot inconnu : encrypted =>   gpg: AES256.CFB encrypted data | encrypted

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gpg: encrypted with 1 passphrase |    => suggestions : ['']
94 Mot inconnu : gpg =>   gpg: encrypted with 1 passphrase | gpg
94 Mot inconnu : encrypted =>   gpg: encrypted with 1 passphrase | encrypted
94 Mot inconnu : with =>   gpg: encrypted with 1 passphrase | with
94 Mot inconnu : passphrase =>   gpg: encrypted with 1 passphrase | passphrase

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gpg: decryption failed: Bad session key |    => suggestions : ['']
95 Mot inconnu : gpg =>   gpg: decryption failed: Bad session key | gpg
95 Mot inconnu : decryption =>   gpg: decryption failed: Bad session key | decryption
95 Mot inconnu : failed =>   gpg: decryption failed: Bad session key | failed
95 Mot inconnu : key =>   gpg: decryption failed: Bad session key | key

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ===== End GnuPG log ===== |    => suggestions : ['']
96 Mot inconnu : End =>   ===== End GnuPG log ===== | end
96 Mot inconnu : GnuPG =>   ===== End GnuPG log ===== | gnupg

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup |    => suggestions : ['']
100 Mot inconnu : sudo =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | sudo
100 Mot inconnu : install =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | install
100 Mot inconnu : gnupg2 =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | gnupg2
100 Mot inconnu : sudo =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | sudo
100 Mot inconnu : remove =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | remove
100 Mot inconnu : deja-dup =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | deja-dup
100 Mot inconnu : sudo =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | sudo
100 Mot inconnu : install =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | install
100 Mot inconnu : deja-dup =>   sudo apt install gnupg2 && sudo apt remove --purge deja-dup && sudo apt install deja-dup | deja-dup

102 Mot inconnu : Deja-dup => Supprimez le dossier de sauvegarde de votre support et redémarrez. Lancez Deja-dup pour qu'il démarre une nouvelle sauvegarde. | deja-dup

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[https://launchpad.net/deja-dup|Site officiel de Déjà Dup]]** (en) |    => suggestions : ['']
106 Mot inconnu : Dup =>   * **[[https://launchpad.net/deja-dup|Site officiel de Déjà Dup]]** (en) | dup

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://screenshots.debian.net/package/deja-dup|Captures d'écran]] |    => suggestions : ['']
