4 Mot inconnu : Customizer [[12:22]] => ====== Grub Customizer ====== <|> customizer
46 Mot inconnu : libgtkmm-2 [[75:85]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> libgtkmm-2
46 Mot inconnu : dev [[88:91]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> dev
46 Mot inconnu : gtkmm24-devel [[95:108]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> gtkmm24-devel
46 Mot inconnu : libgtkmm-3 [[129:139]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> libgtkmm-3
46 Mot inconnu : dev [[142:145]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> dev
46 Mot inconnu : gtkmm30-devel [[149:162]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> gtkmm30-devel
46 Mot inconnu : libgtkmm-3 [[180:190]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> libgtkmm-3
46 Mot inconnu : dev [[193:196]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> dev
46 Mot inconnu : Hippo [[236:241]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> hippo

47 Mot inconnu : checkinstall [[48:60]] => <note tip>On ajoutera aux dépendances le paquet checkinstall pour pouvoir gérer l'application comme un paquet deb. La désinstallation est notamment facilitée par : <|> checkinstall

73 Mot inconnu : hwinfo [[59:65]] => À ce stade, le développeur conseille d'installer le paquet hwinfo. Aucune information ne permet de savoir si ce paquet pourrait être installé en même temps que les dépendances. Par précaution, respecter ce séquençage. <|> hwinfo
104 Espace(s) en fin de ligne à supprimer. [[13:14]] => Vous pouvez :  <|>   => suggestions : None
105 Espace(s) en fin de ligne à supprimer. [[36:37]] =>   * Les renommer en cliquant dessus,  <|>   => suggestions : None

110 Espace(s) en fin de ligne à supprimer. [[53:55]] => Les autres onglets donnent accès à d'autres réglages.   <|>    => suggestions : None

113 Guillemets typographiques ouvrants. [[12:13]] => Le bouton //"paramètres avancés" // donne un accès graphique à la configuration du fichier/etc/default/**grub**. \\ <|> " => suggestions : None
113 Guillemets typographiques fermants. [[31:32]] => Le bouton //"paramètres avancés" // donne un accès graphique à la configuration du fichier/etc/default/**grub**. \\ <|> " => suggestions : None
125 Mot inconnu : TGA [[105:108]] => Il faut s'assurer que l'image ait la même résolution que l'écran de Grub, et qu'elle soit au format PNG, TGA ou JPG 8 bits. Si votre image jpg ne s'affiche pas, enregistrez-la au format PNG. <|> tga
127 Mot inconnu : cfg [[147:150]] => Les scripts de grub n'incluant pas d'apostrophes d'échappement dans les noms, vérifiez que le nom de l'image n'en contienne pas non plus dans grub.cfg <|> cfg

129 Guillemets typographiques ouvrants. [[133:134]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
129 Guillemets typographiques fermants. [[156:157]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
129 Guillemets typographiques ouvrants. [[169:170]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
129 Guillemets typographiques ouvrants. [[192:193]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
129 Guillemets typographiques fermants. [[205:206]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
129 Guillemets typographiques ouvrants. [[362:363]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
129 Accord de genre erroné : « la couleur » est féminin, « Transparent » est masculin. [[363:374]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> transparent => suggestions : None
129 Guillemets typographiques fermants. [[374:375]] => Sur certains systèmes, en raison peut-être de problèmes liés à la carte graphique, la couleur de fond du texte sélectionné (onglet //"Paramètres d'apparence"//, ligne //"normal:"//, colonne //"arrière-plan"//) est appliquée à la totalité de l'écran, et pas seulement au texte sélectionné. Elle masque alors l'image. Pour résoudre le problème, laisser la couleur "Transparent" (par défaut) dans la liste. <|> " => suggestions : None
154 Mot inconnu : refind [[91:97]] => Il reste alors à remettre en état la vraie structure du grub ou en profiter pour installer refind si on boote en mode EFI. <|> refind
154 Mot inconnu : boote [[104:109]] => Il reste alors à remettre en état la vraie structure du grub ou en profiter pour installer refind si on boote en mode EFI. <|> boote
