
3 Mot inconnu : libvirt => ====== libvirt ====== | libvirt
23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </ip> |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <ip family='ipv6' address='#L'IPv6 de l'hôte sur le réseau virbr0#' prefix='64'> |    => suggestions : ['']
24 Guillemets typographiques fermants. =>   <ip family='ipv6' address='#L'IPv6 de l'hôte sur le réseau virbr0#' prefix='64'> | ' => suggestions : ['”', '’', '›']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </ip> |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En IPv4, dnsmasq fournira les adresses via le DHCP, avec les informations de passerelle par défaut, et configurera le routage dans IPTable sur l'hôte |    => suggestions : ['']
30 Mot inconnu : IPv4 =>   * En IPv4, dnsmasq fournira les adresses via le DHCP, avec les informations de passerelle par défaut, et configurera le routage dans IPTable sur l'hôte | ipv4
30 Mot inconnu : dnsmasq =>   * En IPv4, dnsmasq fournira les adresses via le DHCP, avec les informations de passerelle par défaut, et configurera le routage dans IPTable sur l'hôte | dnsmasq
30 Mot inconnu : IPTable =>   * En IPv4, dnsmasq fournira les adresses via le DHCP, avec les informations de passerelle par défaut, et configurera le routage dans IPTable sur l'hôte | iptable

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En IPv6 |    => suggestions : ['']
31 Mot inconnu : IPv6 =>   * En IPv6 | ipv6

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local |      => suggestions : ['']
32 Mot inconnu : NAT =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local | nat
32 Mot inconnu : nat =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local | nat
32 Mot inconnu : forward =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local | forward
32 Mot inconnu : dnsmasq =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local | dnsmasq
32 Mot inconnu : NDP =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local | ndp
32 Mot inconnu : VM =>     * le NAT n'existe pas, mais le fait de garder //nat// dans le //forward mode// configure dnsmasq pour faire du routage : il répond aux requêtes NDP des VM, et leur fourni une route par défaut pour sortir de leur lien local | vm

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Avec un préfixe en /64, les VM sont capables de déterminer automatiquement une adresse IP à partir de leur adresse MAC (autoconfiguration IPv6 sans état). Ceci remplace le dhcp, d'où l’absence de directive éponyme dans le second bloc <ip> |      => suggestions : ['']
33 Mot inconnu : VM =>     * Avec un préfixe en /64, les VM sont capables de déterminer automatiquement une adresse IP à partir de leur adresse MAC (autoconfiguration IPv6 sans état). Ceci remplace le dhcp, d'où l’absence de directive éponyme dans le second bloc <ip> | vm
33 Mot inconnu : autoconfiguration =>     * Avec un préfixe en /64, les VM sont capables de déterminer automatiquement une adresse IP à partir de leur adresse MAC (autoconfiguration IPv6 sans état). Ceci remplace le dhcp, d'où l’absence de directive éponyme dans le second bloc <ip> | autoconfiguration
33 Mot inconnu : IPv6 =>     * Avec un préfixe en /64, les VM sont capables de déterminer automatiquement une adresse IP à partir de leur adresse MAC (autoconfiguration IPv6 sans état). Ceci remplace le dhcp, d'où l’absence de directive éponyme dans le second bloc <ip> | ipv6
33 Mot inconnu : dhcp =>     * Avec un préfixe en /64, les VM sont capables de déterminer automatiquement une adresse IP à partir de leur adresse MAC (autoconfiguration IPv6 sans état). Ceci remplace le dhcp, d'où l’absence de directive éponyme dans le second bloc <ip> | dhcp

35 Mot inconnu : IPv6 => L'adresse IPv6 de l'hôte sur le réseau virbr0 une adresse arbitraire du réseau IPv6 attribuée par le FAI, mais sera différente de l'adresse de la carte réseau physique. | ipv6
35 Mot inconnu : virbr0 => L'adresse IPv6 de l'hôte sur le réseau virbr0 une adresse arbitraire du réseau IPv6 attribuée par le FAI, mais sera différente de l'adresse de la carte réseau physique. | virbr0
35 Mot inconnu : IPv6 => L'adresse IPv6 de l'hôte sur le réseau virbr0 une adresse arbitraire du réseau IPv6 attribuée par le FAI, mais sera différente de l'adresse de la carte réseau physique. | ipv6

41 Il manque un espace. => Ceci nécessite des connaissances en système et l'utilisation de la [[tutoriel:console_ligne_de_commande|ligne de commande]]. | console_ligne_de_commande => suggestions : [' console_ligne_de_commande']
41 Mot inconnu : console_ligne_de_commande => Ceci nécessite des connaissances en système et l'utilisation de la [[tutoriel:console_ligne_de_commande|ligne de commande]]. | console_ligne_de_commande

67 Mot inconnu : completion => <note tip>En ajoutant de la même façon le paramétrage dans /etc/hosts, on utilise la completion des noms en se connectant en ssh à la machine.</note> | completion
67 Mot inconnu : ssh => <note tip>En ajoutant de la même façon le paramétrage dans /etc/hosts, on utilise la completion des noms en se connectant en ssh à la machine.</note> | ssh
71 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:Id2ndR]].// | id2ndr => suggestions : [' Id2ndR']
