
6 Mot inconnu : Testdisk => ====== Testdisk====== | testdisk
148 Confusion probable : “avoir” à la 3ᵉ personne du pluriel du présent s’écrit “ont”. => On peu choisir soit : | on => suggestions : ['Ont']
148 Confusion : « peu » signifie « pas beaucoup ». => On peu choisir soit : | peu => suggestions : ['peut']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L = logical |    => suggestions : ['']
149 Mot inconnu : logical =>   * L = logical | logical

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * E = extended |    => suggestions : ['']
150 Mot inconnu : extended =>   * E = extended | extended

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * P = primary |    => suggestions : ['']
151 Mot inconnu : primary =>   * P = primary | primary

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * * = primaire et bootable |    => suggestions : ['']
152 Mot inconnu : bootable =>   * * = primaire et bootable | bootable

154 Mot inconnu : primary => Dans mon cas, c'est //primary bootable// à noter que je n'ai le choix que entre « primary » | primary
154 Mot inconnu : bootable => Dans mon cas, c'est //primary bootable// à noter que je n'ai le choix que entre « primary » | bootable
154 Mot inconnu : primary => Dans mon cas, c'est //primary bootable// à noter que je n'ai le choix que entre « primary » | primary
158 Mot inconnu : primary => et « primary bootable » | primary
158 Mot inconnu : bootable => et « primary bootable » | bootable

164 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | il => suggestions : ['Il']
164 Guillemets typographiques ouvrants. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | " => suggestions : ['«\xa0', '“']
164 Guillemets typographiques fermants. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | " => suggestions : ['\xa0»', '”']
164 Guillemets typographiques ouvrants. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | " => suggestions : ['«\xa0', '“']
164 Mot inconnu : Write => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | write
164 Guillemets typographiques fermants. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | " => suggestions : ['\xa0»', '”']
164 Guillemets typographiques ouvrants. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | " => suggestions : ['«\xa0', '“']
164 Mot inconnu : write => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | write
164 Guillemets typographiques fermants. => <note tip>il semble inutile de jouer ce scénario (*) lorsque l'ordinateur s'est planté pendant une étape de déplacement de partition. La structure partition reste bonne mais les chainages de répertoires sont toujours cassés.//(* Commentaire ajouté 4/6/18 pour problème de compréhension: Je suppose que "jouer ce scenario"  veut dire l'action décrite en cette étape 9 avec "Write". Cette action "write" serait alors inadéquate, et on peut passer à étape 10)//</note> | " => suggestions : ['\xa0»', '”']

165 Mot inconnu : flag => Je mets donc le flag « primary bootable » et j'appuie sur « Entrée » pour valider. | flag
165 Mot inconnu : primary => Je mets donc le flag « primary bootable » et j'appuie sur « Entrée » pour valider. | primary
165 Mot inconnu : bootable => Je mets donc le flag « primary bootable » et j'appuie sur « Entrée » pour valider. | bootable
170 Mot inconnu : write => Attention, en choisissant « write », il réécrit l'index du disque dur donc tout ce qu'il y a actuellement sur le disque dur sera effacé par contre on pourra récupérer les données de l'ancienne partition (si on n'a pas réécrit dessus). | write

177 Espace(s) en fin de ligne à supprimer. => La table de partition n'est pas réécrite car trop détruite.  |   => suggestions : ['']

178 Mot inconnu : deeper => Il est alors nécessaire de faire le **deeper search** et de sauvegarder les données qui vont être récupérées sur un autre support physique. | deeper
178 Mot inconnu : search => Il est alors nécessaire de faire le **deeper search** et de sauvegarder les données qui vont être récupérées sur un autre support physique. | search

182 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et de laisser tourner car cela prend beaucoup de temps. On  peut regarder l'écran évoluer. | et => suggestions : ['Et']
182 Espace(s) surnuméraire(s) à supprimer. => et de laisser tourner car cela prend beaucoup de temps. On  peut regarder l'écran évoluer. |    => suggestions : [' ']

199 Espace(s) surnuméraire(s) à supprimer. => On s'est baladé dans les répertoires en  faisant un return sur les lignes tentantes. On peut aussi descendre dans la hiérarchie. (Ici, on est descendu dans un répertoire.) On remonte d'un cran par la commande ** q**. En conclusion: On a décidé de récupérer trois répertoires qui ont été sélectionnés en appuyant sur le caractère **:** Ils sont maintenant affichés en vert. |    => suggestions : [' ']
199 Mot inconnu : return => On s'est baladé dans les répertoires en  faisant un return sur les lignes tentantes. On peut aussi descendre dans la hiérarchie. (Ici, on est descendu dans un répertoire.) On remonte d'un cran par la commande ** q**. En conclusion: On a décidé de récupérer trois répertoires qui ont été sélectionnés en appuyant sur le caractère **:** Ils sont maintenant affichés en vert. | return

200 Espace(s) surnuméraire(s) à supprimer. => C'est le moment de les copier sur un autre support  par la commande **C** |    => suggestions : [' ']

211 Espace(s) surnuméraire(s) à supprimer. => il ne reste plus qu'à sélectionner le répertoire  ** ..**    et lancer la copie par la commande **C**  |    => suggestions : [' ']
211 Typographie : un ou trois points ? => il ne reste plus qu'à sélectionner le répertoire  ** ..**    et lancer la copie par la commande **C**  | .. => suggestions : ['…', '.']
211 Espace(s) en fin de ligne à supprimer. => il ne reste plus qu'à sélectionner le répertoire  ** ..**    et lancer la copie par la commande **C**  |   => suggestions : ['']

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lire ici la procedure: [[https://korben.info/realiser-limage-dun-disque-dur-testdisk.html]] |    => suggestions : ['']
223 Mot inconnu : procedure =>   * Lire ici la procedure: [[https://korben.info/realiser-limage-dun-disque-dur-testdisk.html]] | procedure

225 Mot inconnu : ddrescue => Jusqu'à preuve du contraire, lorsque le disque est défaillant, l'outil de duplication à privilégier est ddrescue. | ddrescue

227 Mot inconnu : boot => ====  Restaurer la structure de boot de la partition windows ==== | boot

229 Mot inconnu : YannUbuntu => [[https://forum.ubuntu-fr.org/viewtopic.php?pid=8178311#p8178311|astuce de YannUbuntu]] | yannubuntu

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  sélectionner le disque où se trouve la partition à réparer, |    => suggestions : ['']

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Proceed], |    => suggestions : ['']
231 Mot inconnu : Proceed =>   *  [Proceed], | proceed

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  choisir le type de partition (généralement [Intel]), |    => suggestions : ['']

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Advanced], |    => suggestions : ['']
233 Mot inconnu : Advanced =>   *  [Advanced], | advanced

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  sélectionner la partition à réparer avec [Boot], ça va afficher quelque chose comme ceci: |    => suggestions : ['']
234 Mot inconnu : Boot =>   *  sélectionner la partition à réparer avec [Boot], ça va afficher quelque chose comme ceci: | boot

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         |         => suggestions : ['']

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> |           => suggestions : ['']
243 Pas d’espace après ce signe. =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | [  => suggestions : ['[']
243 Mot inconnu : List =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | list
243 Espace(s) surnuméraire(s) à supprimer. =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> |    => suggestions : [' ']
243 Pas d’espace avant ce signe. =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> |  ] => suggestions : [']']
243 Mot inconnu : Backup =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | backup
243 Mot inconnu : BS =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | bs
243 Mot inconnu : Rebuild =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | rebuild
243 Mot inconnu : BS =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | bs
243 Pas d’espace après ce signe. =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | [  => suggestions : ['[']
243 Mot inconnu : Dump =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> | dump
243 Espace(s) surnuméraire(s) à supprimer. =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> |    => suggestions : [' ']
243 Pas d’espace avant ce signe. =>          [  List  ]  [Backup BS]  [Rebuild BS]  [  Dump  ]</code> |  ] => suggestions : [']']

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" |    => suggestions : ['']
245 Guillemets typographiques ouvrants. =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | " => suggestions : ['«\xa0', '“']
245 Mot inconnu : ok =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | ok
245 Guillemets typographiques fermants. =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | " => suggestions : ['\xa0»', '”']
245 Pas de trait d’union. =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | en-dessous => suggestions : ['en dessous']
245 Guillemets typographiques ouvrants. =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | " => suggestions : ['«\xa0', '“']
245 Mot inconnu : Backup =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | backup
245 Mot inconnu : boot =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | boot
245 Mot inconnu : sector =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | sector
245 Guillemets typographiques fermants. =>   *  Vérifier que vous avez bien "Status ok" en-dessous de "Backup boot sector" | " => suggestions : ['\xa0»', '”']

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  enfin sélectionnez [Backup BS]. |    => suggestions : ['']
246 Mot inconnu : Backup =>   *  enfin sélectionnez [Backup BS]. | backup
246 Mot inconnu : BS =>   *  enfin sélectionnez [Backup BS]. | bs

248 Mot inconnu : MBR => ==== Création d'un MBR pour booter windows. ==== | mbr
248 Mot inconnu : booter => ==== Création d'un MBR pour booter windows. ==== | booter

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faire les étapes 1, 2, 3 et 4 du chapitre 5. Mais à l'étape 4 il faut choisir  "**MBR Code**" au lieu de "**analyse**". |    => suggestions : ['']
250 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faire les étapes 1, 2, 3 et 4 du chapitre 5. Mais à l'étape 4 il faut choisir  "**MBR Code**" au lieu de "**analyse**". |  -  => suggestions : [' – ', ' — ', ' − ']
250 Espace(s) surnuméraire(s) à supprimer. =>   - Faire les étapes 1, 2, 3 et 4 du chapitre 5. Mais à l'étape 4 il faut choisir  "**MBR Code**" au lieu de "**analyse**". |    => suggestions : [' ']
250 Mot inconnu : MBR =>   - Faire les étapes 1, 2, 3 et 4 du chapitre 5. Mais à l'étape 4 il faut choisir  "**MBR Code**" au lieu de "**analyse**". | mbr

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Accepter l'écriture du MBR dans le premier secteur. Puis confirmer l'écrasement. |    => suggestions : ['']
251 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Accepter l'écriture du MBR dans le premier secteur. Puis confirmer l'écrasement. |  -  => suggestions : [' – ', ' — ', ' − ']
251 Mot inconnu : MBR =>   - Accepter l'écriture du MBR dans le premier secteur. Puis confirmer l'écrasement. | mbr

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer Gparted afin de s'assurer que le flag de boot est bien mis sur la partition windows. |    => suggestions : ['']
252 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer Gparted afin de s'assurer que le flag de boot est bien mis sur la partition windows. |  -  => suggestions : [' – ', ' — ', ' − ']
252 Mot inconnu : Gparted =>   - Lancer Gparted afin de s'assurer que le flag de boot est bien mis sur la partition windows. | gparted
252 Mot inconnu : flag =>   - Lancer Gparted afin de s'assurer que le flag de boot est bien mis sur la partition windows. | flag
252 Mot inconnu : boot =>   - Lancer Gparted afin de s'assurer que le flag de boot est bien mis sur la partition windows. | boot

261 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[probleme_de_disque|Problème de disque / partition]] |    => suggestions : ['']
261 Mot inconnu : probleme_de_disque =>   * **(fr)** [[probleme_de_disque|Problème de disque / partition]] | probleme_de_disque

262 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://www.cgsecurity.org/wiki/TestDisk_FR|Site officiel]] |    => suggestions : ['']

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr, en)** [[https://www.cgsecurity.org/wiki/TestDisk_Etape_par_Etape|TestDisk, étape par étape]] : mode d'emploi simple et détaillé sur le site officiel. |    => suggestions : ['']
263 Mot inconnu : TestDisk =>   * **(fr, en)** [[https://www.cgsecurity.org/wiki/TestDisk_Etape_par_Etape|TestDisk, étape par étape]] : mode d'emploi simple et détaillé sur le site officiel. | testdisk

264 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://www.benji1000.net/recuperer-les-donnees-dun-disque-dur-non-reconnu/|Récupérer les données d’un disque-dur non reconnu]] : tutoriel étape par étape sur le blog de benji1000. |    => suggestions : ['']
264 Mot inconnu : benji1000 =>   * **(fr)** [[https://www.benji1000.net/recuperer-les-donnees-dun-disque-dur-non-reconnu/|Récupérer les données d’un disque-dur non reconnu]] : tutoriel étape par étape sur le blog de benji1000. | benji1000

265 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un outil pour conversion [[http://cars.car.coocan.jp/misc/chs2lba.html|LBA/CHS]] |    => suggestions : ['']
265 Mot inconnu : LBA =>   * Un outil pour conversion [[http://cars.car.coocan.jp/misc/chs2lba.html|LBA/CHS]] | lba
265 Mot inconnu : CHS =>   * Un outil pour conversion [[http://cars.car.coocan.jp/misc/chs2lba.html|LBA/CHS]] | chs

266 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** Testdisk ne sait pas reconstituer [[https://forum.ubuntu-fr.org/viewtopic.php?pid=21903804#p21903804|une partition chiffrée]] |    => suggestions : ['']
266 Mot inconnu : Testdisk =>   * **(fr)** Testdisk ne sait pas reconstituer [[https://forum.ubuntu-fr.org/viewtopic.php?pid=21903804#p21903804|une partition chiffrée]] | testdisk
270 Il manque un espace. => //Contributeurs : [[utilisateurs:toth_o]].// | toth_o => suggestions : [' toth_o']
