
5 Mot inconnu : Wakeonlan => ====== Wakeonlan : démarrer un ordinateur à distance ====== | wakeonlan
9 Mot inconnu : FF => Plus techniquement, le réveil est déclenché quand la carte Ethernet de l'ordinateur reçoit un "magic packet" qui est une trame de données Ethernet contenant les octets FF FF FF FF FF FF suivis de seize répétitions de l'adresse MAC de la cible, puis d'un mot de passe (si nécessaire) de quatre ou six octets | ff
9 Mot inconnu : FF => Plus techniquement, le réveil est déclenché quand la carte Ethernet de l'ordinateur reçoit un "magic packet" qui est une trame de données Ethernet contenant les octets FF FF FF FF FF FF suivis de seize répétitions de l'adresse MAC de la cible, puis d'un mot de passe (si nécessaire) de quatre ou six octets | ff
9 Doublon. => Plus techniquement, le réveil est déclenché quand la carte Ethernet de l'ordinateur reçoit un "magic packet" qui est une trame de données Ethernet contenant les octets FF FF FF FF FF FF suivis de seize répétitions de l'adresse MAC de la cible, puis d'un mot de passe (si nécessaire) de quatre ou six octets | ff ff => suggestions : ['FF']
9 Mot inconnu : FF => Plus techniquement, le réveil est déclenché quand la carte Ethernet de l'ordinateur reçoit un "magic packet" qui est une trame de données Ethernet contenant les octets FF FF FF FF FF FF suivis de seize répétitions de l'adresse MAC de la cible, puis d'un mot de passe (si nécessaire) de quatre ou six octets | ff

11 Il manque un espace avant la parenthèse. => Cet article vous explique comment configurer votre machine Ubuntu à réveiller((Pour démarrer votre ordinateur avec Ubuntu depuis un autre poste, c'est sur l'autre poste qu'il faut installer le programme)) et comment installer l'application //wakeonlan// pour démarrer un ordinateur distant (toutes plate-formes) depuis votre distribution Ubuntu. | ( => suggestions : [' (']
11 Mot inconnu : wakeonlan => Cet article vous explique comment configurer votre machine Ubuntu à réveiller((Pour démarrer votre ordinateur avec Ubuntu depuis un autre poste, c'est sur l'autre poste qu'il faut installer le programme)) et comment installer l'application //wakeonlan// pour démarrer un ordinateur distant (toutes plate-formes) depuis votre distribution Ubuntu. | wakeonlan
15 Espace(s) en fin de ligne à supprimer. => Pour la suite des opérations, des pré-requis sont nécessaires :  |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée pour télécharger le logiciel ; |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Consulter le site constructeur afin de savoir si la carte mère est compatible WLAN ou WOL ; |    => suggestions : ['']
19 Mot inconnu : WLAN =>   * Consulter le site constructeur afin de savoir si la carte mère est compatible WLAN ou WOL ; | wlan
19 Mot inconnu : WOL =>   * Consulter le site constructeur afin de savoir si la carte mère est compatible WLAN ou WOL ; | wol

22 Mot inconnu : WOL => ===== Activer le WOL ===== | wol

23 Mot inconnu : WOL => ==== Vérifier que la carte réseau supporte le WOL ===== | wol

25 Mot inconnu : WOL => Le WOL doit être activé pour la carte réseau. Ce n'est pas toujours le cas pour des raisons évidentes de sécurité, puisque n'importe qui pourrait démarrer un ordinateur en connaissant uniquement l'adresse mac. L'activation s'effectue dans le BIOS de l'ordinateur à démarrer. | wol

27 Mot inconnu : WOL => Sous Ubuntu, pour voir si votre carte réseau supporte le WOL, installer le paquet **[[apt>ethtool]]** et exécuter la commande: | wol
27 Mot inconnu : ethtool => Sous Ubuntu, pour voir si votre carte réseau supporte le WOL, installer le paquet **[[apt>ethtool]]** et exécuter la commande: | ethtool

29 Mot inconnu : eth0 => <note>**eth0** est l'identifiant de votre carte réseau (par défaut si le paramètre noyau **biosdevname=0** à été passé au boot ou sur les systèmes anciens). Pour être sûr que l'identifiant est correct, entrer la commande **ifconfig** qui vous donnera la liste des périphériques réseaux</note> | eth0
29 Mot inconnu : biosdevname => <note>**eth0** est l'identifiant de votre carte réseau (par défaut si le paramètre noyau **biosdevname=0** à été passé au boot ou sur les systèmes anciens). Pour être sûr que l'identifiant est correct, entrer la commande **ifconfig** qui vous donnera la liste des périphériques réseaux</note> | biosdevname
29 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => <note>**eth0** est l'identifiant de votre carte réseau (par défaut si le paramètre noyau **biosdevname=0** à été passé au boot ou sur les systèmes anciens). Pour être sûr que l'identifiant est correct, entrer la commande **ifconfig** qui vous donnera la liste des périphériques réseaux</note> | à => suggestions : ['a']
29 Mot inconnu : boot => <note>**eth0** est l'identifiant de votre carte réseau (par défaut si le paramètre noyau **biosdevname=0** à été passé au boot ou sur les systèmes anciens). Pour être sûr que l'identifiant est correct, entrer la commande **ifconfig** qui vous donnera la liste des périphériques réseaux</note> | boot
29 Mot inconnu : ifconfig => <note>**eth0** est l'identifiant de votre carte réseau (par défaut si le paramètre noyau **biosdevname=0** à été passé au boot ou sur les systèmes anciens). Pour être sûr que l'identifiant est correct, entrer la commande **ifconfig** qui vous donnera la liste des périphériques réseaux</note> | ifconfig

31 Mot inconnu : Wake-on => <file>Wake-on: g</file> | wake-on
31 Euphonie. Il faut un “t” euphonique. => <file>Wake-on: g</file> | -on => suggestions : ['-t-on']

33 Mot inconnu : Wake-on => Si vous obtenez la ligne <file>Wake-on: d</file> c'est que votre carte réseau n'est pas activée pour le WOL. Pour l'activer taper la commande : | wake-on
33 Euphonie. Il faut un “t” euphonique. => Si vous obtenez la ligne <file>Wake-on: d</file> c'est que votre carte réseau n'est pas activée pour le WOL. Pour l'activer taper la commande : | -on => suggestions : ['-t-on']
33 Mot inconnu : WOL => Si vous obtenez la ligne <file>Wake-on: d</file> c'est que votre carte réseau n'est pas activée pour le WOL. Pour l'activer taper la commande : | wol

46 Accord de nombre erroné avec « autre » : « moyens » devrait être au singulier. => Un autre moyens est d'écrire les lignes de commande suivante dans le fichier **/etc/network/interfaces** :  | moyens => suggestions : ['moyen']
46 Espace(s) en fin de ligne à supprimer. => Un autre moyens est d'écrire les lignes de commande suivante dans le fichier **/etc/network/interfaces** :  |   => suggestions : ['']
54 Espace(s) en fin de ligne à supprimer. => Un autre moyen est d'écrire les lignes de commande suivante dans un fichier **/etc/network/if-up.d/wol_fix** :  |   => suggestions : ['']

60 Mot inconnu : executable => puis rendre executable | executable
65 Mot inconnu : ifupdown => Note : le script ne sera exécuté que si le paquet ifupdown est installé. | ifupdown

72 Mot inconnu : B1 => Pour notre exemple, l'adresse MAC est **00:15:60:B1:DB:D4** : | b1
72 Mot inconnu : DB => Pour notre exemple, l'adresse MAC est **00:15:60:B1:DB:D4** : | db
72 Il manque un espace. => Pour notre exemple, l'adresse MAC est **00:15:60:B1:DB:D4** : | d4 => suggestions : [' D4']
72 Mot inconnu : D4 => Pour notre exemple, l'adresse MAC est **00:15:60:B1:DB:D4** : | d4

73 Mot inconnu : eth0 => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | eth0
73 Espace(s) surnuméraire(s) à supprimer. => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 |      => suggestions : [' ']
73 Mot inconnu : encap => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | encap
73 Il manque un espace. => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | ethernet => suggestions : [' Ethernet']
73 Espace(s) surnuméraire(s) à supprimer. => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 |    => suggestions : [' ']
73 Mot inconnu : HWaddr => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | hwaddr
73 Mot inconnu : B1 => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | b1
73 Mot inconnu : DB => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | db
73 Il manque un espace. => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | d4 => suggestions : [' D4']
73 Mot inconnu : D4 => <file>eth0    Lien encap:Ethernet  HWaddr 00:15:60:B1:DB:D4 | d4

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 |            => suggestions : ['']
74 Mot inconnu : inet =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 | inet
74 Mot inconnu : adr =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 | adr
74 Il manque un espace. =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 | 192 => suggestions : [' 192']
74 Espace(s) surnuméraire(s) à supprimer. =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 |    => suggestions : [' ']
74 Mot inconnu : Bcast =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 | bcast
74 Espace(s) surnuméraire(s) à supprimer. =>           inet adr:192.168.1.xx  Bcast:192.168.1.255  Masque:255.255.255.0 |    => suggestions : [' ']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien |            => suggestions : ['']
75 Mot inconnu : adr =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | adr
75 Mot inconnu : inet6 =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | inet6
75 Mot inconnu : fe80 =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | fe80
75 Une de ces ponctuations est superflue. =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | :: => suggestions : [':', ':']
75 Mot inconnu : ff =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | ff
75 Mot inconnu : feb1 =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | feb1
75 Il manque un espace. =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | 2316 => suggestions : [' 2316']
75 Mot inconnu : Scope =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | scope
75 Il manque un espace. =>           adr inet6: fe80::215:60ff:feb1:2316/64 Scope:Lien | lien => suggestions : [' Lien']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 |            => suggestions : ['']
76 Mot inconnu : UP =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | up
76 Mot inconnu : BROADCAST =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | broadcast
76 Mot inconnu : MULTICAST =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | multicast
76 Espace(s) surnuméraire(s) à supprimer. =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 |    => suggestions : [' ']
76 Mot inconnu : MTU =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | mtu
76 Il manque un espace. =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | 1500 => suggestions : [' 1500']
76 Espace(s) surnuméraire(s) à supprimer. =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 |    => suggestions : [' ']
76 Mot inconnu : Metric =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | metric
76 Il manque un espace. =>           UP BROADCAST RUNNING MULTICAST  MTU:1500  Metric:1 | 1 => suggestions : [' 1']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 |            => suggestions : ['']
77 Mot inconnu : Packets =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | packets
77 Il manque un espace. =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | 4722 => suggestions : [' 4722']
77 Il manque un espace. =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | 0 => suggestions : [' 0']
77 Mot inconnu : overruns =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | overruns
77 Il manque un espace. =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | 0 => suggestions : [' 0']
77 Mot inconnu : frame =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | frame
77 Il manque un espace. =>           Packets reçus:4722 erreurs:0 :0 overruns:0 frame:0 | 0 => suggestions : [' 0']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 |            => suggestions : ['']
78 Mot inconnu : TX =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | tx
78 Mot inconnu : packets =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | packets
78 Il manque un espace. =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | 2971 => suggestions : [' 2971']
78 Mot inconnu : errors =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | errors
78 Il manque un espace. =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | 0 => suggestions : [' 0']
78 Mot inconnu : dropped =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | dropped
78 Il manque un espace. =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | 0 => suggestions : [' 0']
78 Mot inconnu : overruns =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | overruns
78 Il manque un espace. =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | 0 => suggestions : [' 0']
78 Il manque un espace. =>           TX packets:2971 errors:0 dropped:0 overruns:0 carrier:0 | 0 => suggestions : [' 0']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           collisions:0 lg file transmission:1000 |            => suggestions : ['']
79 Il manque un espace. =>           collisions:0 lg file transmission:1000 | 0 => suggestions : [' 0']
79 Mot inconnu : lg =>           collisions:0 lg file transmission:1000 | lg
79 Il manque un espace. =>           collisions:0 lg file transmission:1000 | 1000 => suggestions : [' 1000']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Octets reçus:918022 (896.5 KiB) Octets transmis:329459 (321.7 KiB) |            => suggestions : ['']
80 Il manque un espace. =>           Octets reçus:918022 (896.5 KiB) Octets transmis:329459 (321.7 KiB) | 918022 => suggestions : [' 918022']
80 Mot inconnu : KiB =>           Octets reçus:918022 (896.5 KiB) Octets transmis:329459 (321.7 KiB) | kib
80 Il manque un espace. =>           Octets reçus:918022 (896.5 KiB) Octets transmis:329459 (321.7 KiB) | 329459 => suggestions : [' 329459']
80 Mot inconnu : KiB =>           Octets reçus:918022 (896.5 KiB) Octets transmis:329459 (321.7 KiB) | kib

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Interruption:169 |            => suggestions : ['']
81 Il manque un espace. =>           Interruption:169 | 169 => suggestions : [' 169']

87 Mot inconnu : NVidia => ==== Cas des cartes mère NVidia ==== | nvidia

89 Mot inconnu : chipset => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | chipset
89 Mot inconnu : NVidia => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | nvidia
89 Il manque un espace avant la parenthèse. => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | ( => suggestions : [' (']
89 Mot inconnu : forcedeth => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | forcedeth
89 Mot inconnu : M2NPV-VM => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | m2npv-vm
89 Mot inconnu : M2N-SLIdeluxe => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | m2n-slideluxe
89 Il manque un espace. => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | 81 => suggestions : [' 81']
89 Il manque un espace. => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | a4 => suggestions : [' a4']
89 Mot inconnu : a4 => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | a4
89 Mot inconnu : a4 => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | a4
89 Il manque un espace. => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | ce => suggestions : [' ce']
89 Il manque un espace. => Si vous avez une carte réseau intégrée dans une carte mère à chipset NVidia((pilote //forcedeth//)) (par exemple : //ASUS M2NPV-VM ou M2N-SLIdeluxe//) et que l'envoi de paquet magique ne produit aucun effet, **avant de casser tous les scripts de votre machine**, essayez simplement d'envoyer **l'adresse MAC à l'envers**, exemple **00:1a:9f:81:ce:a4 => a4:ce:81:9f:1a:00**. | 00 => suggestions : [' 00']

91 Mot inconnu : WOL => Les modifications à faire sont extrêmement simples pour faire marcher le WOL (peut-être que ces commandes fonctionnent encore avec les nouvelles versions d'Ubuntu) : | wol

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mettre **NETDOWN=no** dans ///etc/default/halt// ; |    => suggestions : ['']
92 Mot inconnu : NETDOWN =>   * Mettre **NETDOWN=no** dans ///etc/default/halt// ; | netdown

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mettre **ethtool -s eth0 wol g** (ou le nom de l'interface que vous utilisez) dans ///etc/rc.local//, avant la ligne **exit 0**. |    => suggestions : ['']
93 Mot inconnu : ethtool =>   * Mettre **ethtool -s eth0 wol g** (ou le nom de l'interface que vous utilisez) dans ///etc/rc.local//, avant la ligne **exit 0**. | ethtool
93 Il manque un espace à côté du tiret. =>   * Mettre **ethtool -s eth0 wol g** (ou le nom de l'interface que vous utilisez) dans ///etc/rc.local//, avant la ligne **exit 0**. |  - => suggestions : [' – ', ' — ']
93 Mot inconnu : eth0 =>   * Mettre **ethtool -s eth0 wol g** (ou le nom de l'interface que vous utilisez) dans ///etc/rc.local//, avant la ligne **exit 0**. | eth0
93 Mot inconnu : wol =>   * Mettre **ethtool -s eth0 wol g** (ou le nom de l'interface que vous utilisez) dans ///etc/rc.local//, avant la ligne **exit 0**. | wol
97 Mot inconnu : laptop-mode-tools => Si vous avez une carte mère Asus, et que votre ordinateur redémarre à chaque fois que vous l'éteignez, installer le paquet **[[apt>laptop-mode-tools]]** peut résoudre votre problème(([[https://askubuntu.com/questions/452750/reboot-after-shutdown-ubuntu-14-04-also-12-04-dell-latitude-e7440]])). | laptop-mode-tools
97 Il manque un espace avant la parenthèse. => Si vous avez une carte mère Asus, et que votre ordinateur redémarre à chaque fois que vous l'éteignez, installer le paquet **[[apt>laptop-mode-tools]]** peut résoudre votre problème(([[https://askubuntu.com/questions/452750/reboot-after-shutdown-ubuntu-14-04-also-12-04-dell-latitude-e7440]])). | ( => suggestions : [' (']
101 Espace(s) en fin de ligne à supprimer. => Pour cela, il nous faut installer un logiciel capable de construire la trame de donnée. Les dépôts Ubuntu contiennent deux logiciels :  |   => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **[[apt>etherwake]]** |     => suggestions : ['']
102 Mot inconnu : etherwake =>    * **[[apt>etherwake]]** | etherwake

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **[[apt>wakeonlan]]** |     => suggestions : ['']
103 Mot inconnu : wakeonlan =>    * **[[apt>wakeonlan]]** | wakeonlan

105 Mot inconnu : wakeonlan => Contrairement à **wakeonlan**, le paquet **etherwake** ne permet pas de démarrer un pc en passant par internet. Nous installerons donc **wakeonlan** disponible dans le dépôt universe. | wakeonlan
