
5 Mot inconnu : OBS => ====== OBS + Discord Guide "Facile" Partage écran ====== | obs
167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic droit, verrouillé l’interface. |    => suggestions : ['']

172 Guillemets typographiques ouvrants. => Crée 1 scène."Craft"  | " => suggestions : ['«\xa0', '“']
172 Mot inconnu : Craft => Crée 1 scène."Craft"  | craft
172 Guillemets typographiques fermants. => Crée 1 scène."Craft"  | " => suggestions : ['\xa0»', '”']
172 Espace(s) en fin de ligne à supprimer. => Crée 1 scène."Craft"  |   => suggestions : ['']

177 Guillemets typographiques ouvrants. => Ajouté 3 "groupe" (par clic droit) | " => suggestions : ['«\xa0', '“']
177 Guillemets typographiques fermants. => Ajouté 3 "groupe" (par clic droit) | " => suggestions : ['\xa0»', '”']

179 Guillemets typographiques ouvrants. => "Son" "Cam" "Écran" | " => suggestions : ['«\xa0', '“']
179 Guillemets typographiques fermants. => "Son" "Cam" "Écran" | " => suggestions : ['\xa0»', '”']
179 Guillemets typographiques ouvrants. => "Son" "Cam" "Écran" | " => suggestions : ['«\xa0', '“']
179 Guillemets typographiques fermants. => "Son" "Cam" "Écran" | " => suggestions : ['\xa0»', '”']
179 Guillemets typographiques ouvrants. => "Son" "Cam" "Écran" | " => suggestions : ['«\xa0', '“']
179 Guillemets typographiques fermants. => "Son" "Cam" "Écran" | " => suggestions : ['\xa0»', '”']

184 Guillemets typographiques ouvrants. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | " => suggestions : ['\xa0»', '”']
184 Guillemets typographiques ouvrants. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | " => suggestions : ['\xa0»', '”']
184 Guillemets typographiques ouvrants. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | " => suggestions : ['\xa0»', '”']
184 Mot inconnu : pulseaudio => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  | pulseaudio
184 Espace(s) en fin de ligne à supprimer. => Dans "Son", ajouté "Micro-casque" et "Sortie Casque" (capture audio pulseaudio <entrer/sortie>)  |   => suggestions : ['']

191 Guillemets typographiques ouvrants. => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | " => suggestions : ['«\xa0', '“']
191 Guillemets typographiques fermants. => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | " => suggestions : ['\xa0»', '”']
191 Guillemets typographiques ouvrants. => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | " => suggestions : ['«\xa0', '“']
191 Mot inconnu : video => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | video
191 Guillemets typographiques fermants. => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | " => suggestions : ['\xa0»', '”']
191 Mot inconnu : faitent => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | faitent
191 Mot inconnu : obs => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | obs
191 Mot inconnu : guvcview => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | guvcview
191 Incohérence avec « me » : « menu » devrait être un verbe. => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | menu => suggestions : []
191 Mot inconnu : video => Dans "Cam" Ajouté "périphérique de capture video / webcam"  (faitent vos réglages soit avec obs soit avec guvcview dans me menu>son/video) | video

195 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => positionnez pour faire un 10e de l’écran total (généralement placé en bas a droite ou a gauche) | 10e => suggestions : ['10ᵉ']

202 Guillemets typographiques ouvrants. => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  | " => suggestions : ['«\xa0', '“']
202 Guillemets typographiques fermants. => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  | " => suggestions : ['\xa0»', '”']
202 Guillemets typographiques ouvrants. => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  | " => suggestions : ['«\xa0', '“']
202 Mot inconnu : xcomposite => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  | xcomposite
202 Guillemets typographiques fermants. => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  | " => suggestions : ['\xa0»', '”']
202 Mot inconnu : krita => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  | krita
202 Espace(s) en fin de ligne à supprimer. => Dans "Écran" ajouté une "Capture de la fenêtre xcomposite" et dans les propriétés sélectionnez krita (ou autre logiciel de dessins)  |   => suggestions : ['']

204 Mot inconnu : droidcam => démarrez droidcam que vous avez précédemment placer dans me menu son/video. | droidcam
204 Incohérence probable avec “avez” : “placer” n’est pas un participe passé. => démarrez droidcam que vous avez précédemment placer dans me menu son/video. | placer => suggestions : ['placé']
204 Incohérence avec « me » : « menu » devrait être un verbe. => démarrez droidcam que vous avez précédemment placer dans me menu son/video. | menu => suggestions : []
204 Mot inconnu : video => démarrez droidcam que vous avez précédemment placer dans me menu son/video. | video

206 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lancé l'application sur votre smartphone (il est recommandé de le branchez en USB a une source d'alimentation, cela consomme la batterie a une vitesse folles) et recopier dans le programme PC L’IP de votre téléphone fourni par celui ci. Et le port (par défaut 4747) | lancé => suggestions : ['Lancé']
206 Incohérence avec “de le” : “branchez” est une forme verbale conjuguée. => lancé l'application sur votre smartphone (il est recommandé de le branchez en USB a une source d'alimentation, cela consomme la batterie a une vitesse folles) et recopier dans le programme PC L’IP de votre téléphone fourni par celui ci. Et le port (par défaut 4747) | branchez => suggestions : ['brancher']
206 Accord de nombre erroné avec « une vitesse » : « folles » devrait être au singulier. => lancé l'application sur votre smartphone (il est recommandé de le branchez en USB a une source d'alimentation, cela consomme la batterie a une vitesse folles) et recopier dans le programme PC L’IP de votre téléphone fourni par celui ci. Et le port (par défaut 4747) | folles => suggestions : ['folle']
206 Il manque un trait d’union. => lancé l'application sur votre smartphone (il est recommandé de le branchez en USB a une source d'alimentation, cela consomme la batterie a une vitesse folles) et recopier dans le programme PC L’IP de votre téléphone fourni par celui ci. Et le port (par défaut 4747) | celui ci => suggestions : ['celui-ci']

210 Mot inconnu : OBS => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | obs
210 Guillemets typographiques ouvrants. => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | " => suggestions : ['«\xa0', '“']
210 Mot inconnu : video => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | video
210 Guillemets typographiques fermants. => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | " => suggestions : ['\xa0»', '”']
210 Guillemets typographiques ouvrants. => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | " => suggestions : ['«\xa0', '“']
210 Mot inconnu : droidcam => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | droidcam
210 Guillemets typographiques fermants. => sur OBS ajoutez une nouvelle sources "périphérique de capture video" et sélectionnez votre téléphone "droidcam" | " => suggestions : ['\xa0»', '”']

212 Espace(s) surnuméraire(s) à supprimer. => réduisez, déplacez, verrouillez  (l'idée est de filmé votre main, demerdez-vous pour le setup, support, double face, scotch, patafix, etc.) |    => suggestions : [' ']
212 Le verbe devrait être à l’infinitif. => réduisez, déplacez, verrouillez  (l'idée est de filmé votre main, demerdez-vous pour le setup, support, double face, scotch, patafix, etc.) | filmé => suggestions : ['filmer']
212 Mot inconnu : demerdez-vous => réduisez, déplacez, verrouillez  (l'idée est de filmé votre main, demerdez-vous pour le setup, support, double face, scotch, patafix, etc.) | demerdez-vous
212 Mot inconnu : setup => réduisez, déplacez, verrouillez  (l'idée est de filmé votre main, demerdez-vous pour le setup, support, double face, scotch, patafix, etc.) | setup
212 Mot inconnu : patafix => réduisez, déplacez, verrouillez  (l'idée est de filmé votre main, demerdez-vous pour le setup, support, double face, scotch, patafix, etc.) | patafix

218 Mot inconnu : Ecran => == Ecran d'attente == | ecran

219 Espace(s) surnuméraire(s) à supprimer. => Clic droit, dupliquez, renommez  la scène "Attente" |    => suggestions : [' ']
219 Guillemets typographiques ouvrants. => Clic droit, dupliquez, renommez  la scène "Attente" | " => suggestions : ['«\xa0', '“']
219 Guillemets typographiques fermants. => Clic droit, dupliquez, renommez  la scène "Attente" | " => suggestions : ['\xa0»', '”']

221 Guillemets typographiques ouvrants. => supprimé la camera "droidcam" | " => suggestions : ['«\xa0', '“']
221 Mot inconnu : droidcam => supprimé la camera "droidcam" | droidcam
221 Guillemets typographiques fermants. => supprimé la camera "droidcam" | " => suggestions : ['\xa0»', '”']

223 Guillemets typographiques ouvrants. => supprimez le groupe "écran" et crée en un nouveau "TXT" | " => suggestions : ['«\xa0', '“']
223 Guillemets typographiques fermants. => supprimez le groupe "écran" et crée en un nouveau "TXT" | " => suggestions : ['\xa0»', '”']
223 Guillemets typographiques ouvrants. => supprimez le groupe "écran" et crée en un nouveau "TXT" | " => suggestions : ['«\xa0', '“']
223 Mot inconnu : TXT => supprimez le groupe "écran" et crée en un nouveau "TXT" | txt
223 Guillemets typographiques fermants. => supprimez le groupe "écran" et crée en un nouveau "TXT" | " => suggestions : ['\xa0»', '”']

225 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. | a => suggestions : ['à']
225 Pas d’espace avant une virgule. => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. |  , => suggestions : [',']
225 Guillemets typographiques ouvrants. => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. | " => suggestions : ['«\xa0', '“']
225 Mot inconnu : back => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. | back
225 Mot inconnu : soon => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. | soon
225 Guillemets typographiques fermants. => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. | " => suggestions : ['\xa0»', '”']
225 Espace(s) surnuméraire(s) à supprimer. => Ajouté y une image préparée a l'avance , un texte d'attente du genre "i be back soon" soyez créatif.  webcam un peu plus grande décalé avec le bandeau d'attente. |    => suggestions : [' ']

227 Mot inconnu : mp4 => vous pouvez ajouter une image ou une animation (mp4, avi, gif) en arriéré plan pour occuper l'espace vide si vous le souhaitez) | mp4
227 Mot inconnu : avi => vous pouvez ajouter une image ou une animation (mp4, avi, gif) en arriéré plan pour occuper l'espace vide si vous le souhaitez) | avi

233 Mot inconnu : Definir => === Definir Raccourcis de transition de scènes === | definir

234 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => a droite, bouton "paramètre" > raccourcis clavier | a => suggestions : ['à']
234 Guillemets typographiques ouvrants. => a droite, bouton "paramètre" > raccourcis clavier | " => suggestions : ['«\xa0', '“']
234 Guillemets typographiques fermants. => a droite, bouton "paramètre" > raccourcis clavier | " => suggestions : ['\xa0»', '”']

