
5 Mot inconnu : Shred => ====== Shred : détruire efficacement un fichier ====== | shred
16 Mot inconnu : coreutils => Shred fait partie du paquet [[apt>coreutils]]. Ce dernier contient les utilitaires de base essentiels à votre système et devrait donc y être déjà intégré sans autre manipulation. | coreutils

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * remplacer 35 fois les données du fichier par des déchets (''-n 35'') |    => suggestions : ['']
23 Guillemets typographiques fermants. =>   * remplacer 35 fois les données du fichier par des déchets (''-n 35'') | '' => suggestions : ['\xa0»', '”']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * puis remplacer ces données par des zéros (''-z'') pour masquer le déchiquettage |    => suggestions : ['']
24 Guillemets typographiques fermants. =>   * puis remplacer ces données par des zéros (''-z'') pour masquer le déchiquettage | '' => suggestions : ['\xa0»', '”']
24 Mot inconnu : déchiquettage =>   * puis remplacer ces données par des zéros (''-z'') pour masquer le déchiquettage | déchiquettage

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * puis tronquer et supprimer le fichier (''-u'') |    => suggestions : ['']
25 Guillemets typographiques fermants. =>   * puis tronquer et supprimer le fichier (''-u'') | '' => suggestions : ['\xa0»', '”']

27 Espace(s) en fin de ligne à supprimer. => Cette méthode est déjà plus efficace.  |   => suggestions : ['']
29 Guillemets typographiques ouvrants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['«\xa0', '“']
29 Mot inconnu : ext3 => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | ext3
29 Guillemets typographiques fermants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['«\xa0', '“']
29 Mot inconnu : ReiserFS => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | reiserfs
29 Guillemets typographiques fermants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['«\xa0', '“']
29 Mot inconnu : XFS => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | xfs
29 Guillemets typographiques fermants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['«\xa0', '“']
29 Mot inconnu : JFS => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | jfs
29 Guillemets typographiques fermants. => **Attention** : Il reste encore des informations sur le fichier permettant de le retrouver, notamment si vous utilisez un système de fichier journalisé comme ''ext3'', ''ReiserFS'', ''XFS'', ''JFS'', un système d'écriture, de compression ou de sauvegarde, sur disque (ex : RAID) ou via un réseau. | '' => suggestions : ['\xa0»', '”']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   man shred |    => suggestions : ['']
32 Mot inconnu : shred =>   man shred | shred

36 Mot inconnu : Shred => ==== Intégrer Shred à Nautilus ==== | shred
36 Mot inconnu : Nautilus => ==== Intégrer Shred à Nautilus ==== | nautilus

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Libellé : Supprimer avec shred |    => suggestions : ['']
38 Mot inconnu : shred =>   * Libellé : Supprimer avec shred | shred

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Information : Suppression sécurisée |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Chemin : shred |    => suggestions : ['']
40 Mot inconnu : shred =>   * Chemin : shred | shred

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Paramètres : ''-n 35 -z -u %M'' |    => suggestions : ['']
41 Il manque un espace à côté du tiret. =>   * Paramètres : ''-n 35 -z -u %M'' |  - => suggestions : [' – ', ' — ']
41 Il manque un espace. =>   * Paramètres : ''-n 35 -z -u %M'' | m => suggestions : [' M']
41 Guillemets typographiques fermants. =>   * Paramètres : ''-n 35 -z -u %M'' | '' => suggestions : ['\xa0»', '”']

43 Mot inconnu : Shred => Valider et fermer. Shred est maintenant intégré à Nautilus. Pour que les modifications soient effectives, il va vous falloir redémarrer Nautilus. Pour cela, vous pouvez choisir de redémarrer votre session ou bien de redémarrer Nautilus (moins propre mais plus rapide pour les tests) : | shred
43 Mot inconnu : Nautilus => Valider et fermer. Shred est maintenant intégré à Nautilus. Pour que les modifications soient effectives, il va vous falloir redémarrer Nautilus. Pour cela, vous pouvez choisir de redémarrer votre session ou bien de redémarrer Nautilus (moins propre mais plus rapide pour les tests) : | nautilus
43 Mot inconnu : Nautilus => Valider et fermer. Shred est maintenant intégré à Nautilus. Pour que les modifications soient effectives, il va vous falloir redémarrer Nautilus. Pour cela, vous pouvez choisir de redémarrer votre session ou bien de redémarrer Nautilus (moins propre mais plus rapide pour les tests) : | nautilus
43 Mot inconnu : Nautilus => Valider et fermer. Shred est maintenant intégré à Nautilus. Pour que les modifications soient effectives, il va vous falloir redémarrer Nautilus. Pour cela, vous pouvez choisir de redémarrer votre session ou bien de redémarrer Nautilus (moins propre mais plus rapide pour les tests) : | nautilus

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   nautilus -q |    => suggestions : ['']
45 Mot inconnu : nautilus =>   nautilus -q | nautilus
45 Il manque un espace à côté du tiret. =>   nautilus -q |  - => suggestions : [' – ', ' — ']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   nautilus |    => suggestions : ['']
46 Mot inconnu : nautilus =>   nautilus | nautilus

50 Mot inconnu : Shred => ==== Intégrer Shred aux services menu de KDE ==== | shred
50 Accord de nombre erroné avec « aux services » : « menu » devrait être au pluriel. => ==== Intégrer Shred aux services menu de KDE ==== | menu => suggestions : ['menus']
50 Mot inconnu : KDE => ==== Intégrer Shred aux services menu de KDE ==== | kde

55 Mot inconnu : Desktop => [Desktop Entry] | desktop
55 Mot inconnu : Entry => [Desktop Entry] | entry

57 Mot inconnu : X-KDE-ServiceTypes => X-KDE-ServiceTypes=KonqPopupMenu/Plugin | x-kde-servicetypes
57 Mot inconnu : KonqPopupMenu => X-KDE-ServiceTypes=KonqPopupMenu/Plugin | konqpopupmenu

58 Mot inconnu : MimeType => MimeType=all/all; | mimetype
58 Mot inconnu : all => MimeType=all/all; | all
58 Mot inconnu : all => MimeType=all/all; | all

59 Mot inconnu : shred => Actions=shred | shred

61 Mot inconnu : Desktop => [Desktop Action shred] | desktop
61 Mot inconnu : shred => [Desktop Action shred] | shred

62 Mot inconnu : Name => Name=Suppr with shred | name
62 Mot inconnu : Suppr => Name=Suppr with shred | suppr
62 Mot inconnu : with => Name=Suppr with shred | with
62 Mot inconnu : shred => Name=Suppr with shred | shred

63 Mot inconnu : Name => Name[fr]=Suppression sécurisée des fichiers | name

64 Mot inconnu : Icon => Icon=draw-eraser | icon
64 Mot inconnu : draw-eraser => Icon=draw-eraser | draw-eraser

65 Mot inconnu : Exec => Exec=shred -n 35 -z -u %U | exec
65 Mot inconnu : shred => Exec=shred -n 35 -z -u %U | shred
65 Il manque un espace à côté du tiret. => Exec=shred -n 35 -z -u %U |  - => suggestions : [' – ', ' — ']
65 Il manque un espace à côté du tiret. => Exec=shred -n 35 -z -u %U |  - => suggestions : [' – ', ' — ']
65 Il manque un espace. => Exec=shred -n 35 -z -u %U | u => suggestions : [' U']

67 Mot inconnu : Shred => ==== Intégrer Shred à Nautilus Script ==== | shred
67 Mot inconnu : Nautilus => ==== Intégrer Shred à Nautilus Script ==== | nautilus

69 Mot inconnu : shred => Voici un script pour shred à placer dans le dossier "nautilus scripts" : | shred
69 Guillemets typographiques ouvrants. => Voici un script pour shred à placer dans le dossier "nautilus scripts" : | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : nautilus => Voici un script pour shred à placer dans le dossier "nautilus scripts" : | nautilus
69 Guillemets typographiques fermants. => Voici un script pour shred à placer dans le dossier "nautilus scripts" : | " => suggestions : ['\xa0»', '”']

73 Pas d’espace après ce signe. => if [[ -a /dev/urandom ]]; then | [  => suggestions : ['[']
73 Pas d’espace avant ce signe. => if [[ -a /dev/urandom ]]; then |  ] => suggestions : [']']
73 Mot inconnu : then => if [[ -a /dev/urandom ]]; then | then

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   randomizer=/dev/urandom; |    => suggestions : ['']
74 Mot inconnu : randomizer =>   randomizer=/dev/urandom; | randomizer

77 Mot inconnu : SHRED => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | shred
77 Guillemets typographiques ouvrants. => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : shred => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | shred
77 Mot inconnu : remove => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | remove
77 Mot inconnu : wipesync => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | wipesync
77 Mot inconnu : zero => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | zero
77 Mot inconnu : iterations => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | iterations
77 Avec une unité de mesure, mettez un espace insécable. => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | 99 $ => suggestions : ['99\xa0$']
77 Mot inconnu : randomizer => SHRED="shred --remove=wipesync --zero --iterations=99 ${randomizer}" | randomizer

79 Mot inconnu : echo => echo ${NAUTILUS_SCRIPT_SELECTED_URIS} > ~/.gnome2/temp_shred_list | echo
79 Mot inconnu : NAUTILUS_SCRIPT_SELECTED_URIS => echo ${NAUTILUS_SCRIPT_SELECTED_URIS} > ~/.gnome2/temp_shred_list | nautilus_script_selected_uris
79 Mot inconnu : gnome2 => echo ${NAUTILUS_SCRIPT_SELECTED_URIS} > ~/.gnome2/temp_shred_list | gnome2
79 Mot inconnu : temp_shred_list => echo ${NAUTILUS_SCRIPT_SELECTED_URIS} > ~/.gnome2/temp_shred_list | temp_shred_list

81 Mot inconnu : zenity => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | zenity
81 Mot inconnu : title => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | title
81 Guillemets typographiques ouvrants. => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | " => suggestions : ['«\xa0', '“']
81 Guillemets typographiques fermants. => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : text => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | text
81 Guillemets typographiques ouvrants. => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | " => suggestions : ['«\xa0', '“']
81 Guillemets typographiques fermants. => zenity --question --title "Destruction de fichier" --text "Voulez-vous vraiment supprimer ce fichier ?" | " => suggestions : ['\xa0»', '”']

83 Pas d’espace après ce signe. => if (( $? == 0 )); then | (  => suggestions : ['(']
83 Pas d’espace avant ce signe. => if (( $? == 0 )); then |  ) => suggestions : [')']
83 Mot inconnu : then => if (( $? == 0 )); then | then

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   for file in $(cat ~/.gnome2/temp_shred_list); do |    => suggestions : ['']
85 Mot inconnu : cat =>   for file in $(cat ~/.gnome2/temp_shred_list); do | cat
85 Mot inconnu : gnome2 =>   for file in $(cat ~/.gnome2/temp_shred_list); do | gnome2
85 Mot inconnu : temp_shred_list =>   for file in $(cat ~/.gnome2/temp_shred_list); do | temp_shred_list

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') |      => suggestions : ['']
87 Mot inconnu : shortfile =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | shortfile
87 Mot inconnu : echo =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | echo
87 Mot inconnu : sed =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | sed
87 Il manque un espace à côté du tiret. =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') |  - => suggestions : [' – ', ' — ']
87 Guillemets typographiques ouvrants. =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | ' => suggestions : ['“', '‘', '‹']
87 Il manque un espace. =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | 20 => suggestions : [' 20']
87 Guillemets typographiques fermants. =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | ' => suggestions : ['”', '’', '›']
87 Guillemets typographiques ouvrants. =>     shortfile=$(echo $file | sed -e 's/\%20/\ /g' -e 's/.*\///g') | ' => suggestions : ['“', '‘', '‹']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') |      => suggestions : ['']
89 Mot inconnu : file_name =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | file_name
89 Mot inconnu : echo =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | echo
89 Mot inconnu : sed =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | sed
89 Il manque un espace à côté du tiret. =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') |  - => suggestions : [' – ', ' — ']
89 Guillemets typographiques ouvrants. =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | ' => suggestions : ['“', '‘', '‹']
89 Guillemets typographiques fermants. =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | ' => suggestions : ['”', '’', '›']
89 Guillemets typographiques ouvrants. =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | ' => suggestions : ['“', '‘', '‹']
89 Il manque un espace. =>     file_name=$(echo $file | sed -e 's/file:\/\///g' -e 's/\%20/\ /g') | 20 => suggestions : [' 20']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ${SHRED} "${file_name}" |      => suggestions : ['']
91 Mot inconnu : SHRED =>     ${SHRED} "${file_name}" | shred
91 Mot inconnu : file_name =>     ${SHRED} "${file_name}" | file_name

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if (( $? == 0 )); then |      => suggestions : ['']
93 Pas d’espace après ce signe. =>     if (( $? == 0 )); then | (  => suggestions : ['(']
93 Pas d’espace avant ce signe. =>     if (( $? == 0 )); then |  ) => suggestions : [')']
93 Mot inconnu : then =>     if (( $? == 0 )); then | then

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" |        => suggestions : ['']
94 Mot inconnu : zenity =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | zenity
94 Mot inconnu : text =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | text
94 Mot inconnu : shortfile =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | shortfile
94 Guillemets typographiques fermants. =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | " => suggestions : ['\xa0»', '”']
94 Mot inconnu : title =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | title
94 Guillemets typographiques ouvrants. =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | " => suggestions : ['«\xa0', '“']
94 Guillemets typographiques fermants. =>       zenity --info --text="${shortfile} Suppression définitive terminée" --title "Opération réussite" | " => suggestions : ['\xa0»', '”']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     else |      => suggestions : ['']
95 Mot inconnu : else =>     else | else

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" |        => suggestions : ['']
96 Mot inconnu : zenity =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | zenity
96 Mot inconnu : text =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | text
96 Mot inconnu : shortfile =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | shortfile
96 Guillemets typographiques fermants. =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | " => suggestions : ['\xa0»', '”']
96 Mot inconnu : title =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | title
96 Guillemets typographiques ouvrants. =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | " => suggestions : ['«\xa0', '“']
96 Guillemets typographiques fermants. =>       zenity --info --text="${shortfile} Suppression impossible" --title "Opération annulée" | " => suggestions : ['\xa0»', '”']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     fi |      => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   done |    => suggestions : ['']
99 Mot inconnu : done =>   done | done

103 Mot inconnu : SHRED => ${SHRED} ~/.gnome2/temp_shred_list | shred
103 Mot inconnu : gnome2 => ${SHRED} ~/.gnome2/temp_shred_list | gnome2
103 Mot inconnu : temp_shred_list => ${SHRED} ~/.gnome2/temp_shred_list | temp_shred_list

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[wipe]] dans les [[depots#depots_officiels|dépôts universe]] pour les répertoires |    => suggestions : ['']
107 Mot inconnu : wipe =>   * [[wipe]] dans les [[depots#depots_officiels|dépôts universe]] pour les répertoires | wipe
107 Mot inconnu : depots =>   * [[wipe]] dans les [[depots#depots_officiels|dépôts universe]] pour les répertoires | depots
107 Mot inconnu : universe =>   * [[wipe]] dans les [[depots#depots_officiels|dépôts universe]] pour les répertoires | universe

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Secure-delete]]. Rapide explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2976731#p2976731|ici]] mais lire le man de chaque utilitaire (srm, sfill, sswap et smem) |    => suggestions : ['']
108 Mot inconnu : Secure-delete =>   * [[Secure-delete]]. Rapide explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2976731#p2976731|ici]] mais lire le man de chaque utilitaire (srm, sfill, sswap et smem) | secure-delete
108 Mot inconnu : srm =>   * [[Secure-delete]]. Rapide explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2976731#p2976731|ici]] mais lire le man de chaque utilitaire (srm, sfill, sswap et smem) | srm
108 Mot inconnu : sfill =>   * [[Secure-delete]]. Rapide explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2976731#p2976731|ici]] mais lire le man de chaque utilitaire (srm, sfill, sswap et smem) | sfill
108 Mot inconnu : sswap =>   * [[Secure-delete]]. Rapide explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2976731#p2976731|ici]] mais lire le man de chaque utilitaire (srm, sfill, sswap et smem) | sswap
108 Mot inconnu : smem =>   * [[Secure-delete]]. Rapide explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2976731#p2976731|ici]] mais lire le man de chaque utilitaire (srm, sfill, sswap et smem) | smem

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Encore plus radical pour une partition complète, utiliser [[dd#ecrire_par_dessus_toute_la_place_libre_d_une_partition|dd]] |    => suggestions : ['']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.dban.org/|DBAN]] un live-cd qui offre plusieurs méthodes d'effacement. |    => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.it-connect.fr/shred/|Tutoriel en Français sur l'utilisation de Shred]] |    => suggestions : ['']
111 Si vous parlez de la langue, pas de majuscule. =>   * [[https://www.it-connect.fr/shred/|Tutoriel en Français sur l'utilisation de Shred]] | français => suggestions : ['français']
111 Mot inconnu : Shred =>   * [[https://www.it-connect.fr/shred/|Tutoriel en Français sur l'utilisation de Shred]] | shred

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.it-connect.fr/wipe-supprimer-definitivement-un-dossier-sous-ubuntu%ef%bb%bf/|Tutoriel en Français sur l'utilisation de Wipe]] |    => suggestions : ['']
112 Si vous parlez de la langue, pas de majuscule. =>   * [[https://www.it-connect.fr/wipe-supprimer-definitivement-un-dossier-sous-ubuntu%ef%bb%bf/|Tutoriel en Français sur l'utilisation de Wipe]] | français => suggestions : ['français']
112 Mot inconnu : Wipe =>   * [[https://www.it-connect.fr/wipe-supprimer-definitivement-un-dossier-sous-ubuntu%ef%bb%bf/|Tutoriel en Français sur l'utilisation de Wipe]] | wipe
