
4 Mot inconnu : MPICH2 => ====== Installer MPICH2 avec Intel Fortran ====== | mpich2
29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export F77='ifort' |    => suggestions : ['']
29 Mot inconnu : F77 =>   export F77='ifort' | f77
29 Mot inconnu : ifort =>   export F77='ifort' | ifort
29 Guillemets typographiques fermants. =>   export F77='ifort' | ' => suggestions : ['”', '’', '›']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export FC='ifort' |    => suggestions : ['']
30 Mot inconnu : FC =>   export FC='ifort' | fc
30 Mot inconnu : ifort =>   export FC='ifort' | ifort
30 Guillemets typographiques fermants. =>   export FC='ifort' | ' => suggestions : ['”', '’', '›']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export CC='icc' |    => suggestions : ['']
31 Mot inconnu : icc =>   export CC='icc' | icc
31 Guillemets typographiques fermants. =>   export CC='icc' | ' => suggestions : ['”', '’', '›']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

33 Mot inconnu : csh => en csh (tcsh, etc) | csh
33 Mot inconnu : tcsh => en csh (tcsh, etc) | tcsh

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   setenv F77 ifort |    => suggestions : ['']
34 Mot inconnu : setenv =>   setenv F77 ifort | setenv
34 Mot inconnu : F77 =>   setenv F77 ifort | f77
34 Mot inconnu : ifort =>   setenv F77 ifort | ifort

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   setenv  FC ifort |    => suggestions : ['']
35 Mot inconnu : setenv =>   setenv  FC ifort | setenv
35 Espace(s) surnuméraire(s) à supprimer. =>   setenv  FC ifort |    => suggestions : [' ']
35 Mot inconnu : FC =>   setenv  FC ifort | fc
35 Mot inconnu : ifort =>   setenv  FC ifort | ifort

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   setenv  CC icc |    => suggestions : ['']
36 Mot inconnu : setenv =>   setenv  CC icc | setenv
36 Espace(s) surnuméraire(s) à supprimer. =>   setenv  CC icc |    => suggestions : [' ']
36 Mot inconnu : icc =>   setenv  CC icc | icc

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

38 Mot inconnu : intel => ou, si vous ne disposez pas du compilateur intel fortran : | intel
38 Mot inconnu : fortran => ou, si vous ne disposez pas du compilateur intel fortran : | fortran

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export CC='gcc' ou setenv CC gcc |    => suggestions : ['']
39 Mot inconnu : gcc =>   export CC='gcc' ou setenv CC gcc | gcc
39 Guillemets typographiques fermants. =>   export CC='gcc' ou setenv CC gcc | ' => suggestions : ['”', '’', '›']
39 Mot inconnu : setenv =>   export CC='gcc' ou setenv CC gcc | setenv
39 Mot inconnu : gcc =>   export CC='gcc' ou setenv CC gcc | gcc
41 Espace(s) en fin de ligne à supprimer. => Si on suppose que l'installation se fait dans le répertoire **/opt/mpich2-intel**, on peut alors taper les commandes suivantes :  |   => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe |    => suggestions : ['']
42 Mot inconnu : prefix =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe | prefix
42 Espace(s) surnuméraire(s) à supprimer. =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe |    => suggestions : [' ']
42 Mot inconnu : enable-fast-O3 =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe | enable-fast-o3
42 Espace(s) surnuméraire(s) à supprimer. =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe |    => suggestions : [' ']
42 Mot inconnu : enable-f77 =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe | enable-f77
42 Espace(s) surnuméraire(s) à supprimer. =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe |    => suggestions : [' ']
42 Mot inconnu : enable-fc =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe | enable-fc
42 Espace(s) surnuméraire(s) à supprimer. =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe |    => suggestions : [' ']
42 Mot inconnu : enable-mpe =>   ./configure --prefix=/opt/mpich2-intel  --enable-fast-O3  --enable-f77  --enable-fc  --enable-mpe | enable-mpe

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
43 Mot inconnu : make =>   make | make

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo make install |    => suggestions : ['']
44 Mot inconnu : sudo =>   sudo make install | sudo
44 Mot inconnu : make =>   sudo make install | make
44 Mot inconnu : install =>   sudo make install | install

46 Mot inconnu : debug => <note help>Attention, si vous désirez compiler toutes les options de debug, fonctionnalités de librairie partagée gcc etc... reportez vous à la doc d'installation de MPICH2</note> | debug
46 Mot inconnu : gcc => <note help>Attention, si vous désirez compiler toutes les options de debug, fonctionnalités de librairie partagée gcc etc... reportez vous à la doc d'installation de MPICH2</note> | gcc
46 Avant « etc. », il faut mettre une virgule. => <note help>Attention, si vous désirez compiler toutes les options de debug, fonctionnalités de librairie partagée gcc etc... reportez vous à la doc d'installation de MPICH2</note> |  etc. => suggestions : [', etc.']
46 Un seul point après « etc. » => <note help>Attention, si vous désirez compiler toutes les options de debug, fonctionnalités de librairie partagée gcc etc... reportez vous à la doc d'installation de MPICH2</note> | etc... => suggestions : ['etc.']
46 Mot inconnu : MPICH2 => <note help>Attention, si vous désirez compiler toutes les options de debug, fonctionnalités de librairie partagée gcc etc... reportez vous à la doc d'installation de MPICH2</note> | mpich2

56 Pas d’espace après ce signe. => if [ -d /opt/mpich2-intel/bin ]; then | [  => suggestions : ['[']
56 Pas d’espace avant ce signe. => if [ -d /opt/mpich2-intel/bin ]; then |  ] => suggestions : [']']
56 Mot inconnu : then => if [ -d /opt/mpich2-intel/bin ]; then | then

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export PATH=$PATH:/opt/mpich2-ifort/bin |    => suggestions : ['']
57 Mot inconnu : PATH =>   export PATH=$PATH:/opt/mpich2-ifort/bin | path
57 Mot inconnu : PATH =>   export PATH=$PATH:/opt/mpich2-ifort/bin | path

61 Mot inconnu : mpich2 => Puis nous allons ajouter les librairies mpich2 à ldconfig en créant un nouveau fichier dans le répertoire **/etc/ld.so.conf.d/**. | mpich2
61 Mot inconnu : ldconfig => Puis nous allons ajouter les librairies mpich2 à ldconfig en créant un nouveau fichier dans le répertoire **/etc/ld.so.conf.d/**. | ldconfig

66 Mot inconnu : Recharchez => Recharchez ldconfig par la commande : | recharchez
66 Mot inconnu : ldconfig => Recharchez ldconfig par la commande : | ldconfig

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ldconfig |    => suggestions : ['']
67 Mot inconnu : sudo =>   sudo ldconfig | sudo
67 Mot inconnu : ldconfig =>   sudo ldconfig | ldconfig

70 Accord de genre erroné : « source » est féminin. => Cette installation est maintenant terminée et doit fonctionner. Vous pouvez effectuer des tests pour vérifier si tout cela marche en utilisant le répertoire exemples fourni avec le source de mpich2. | le => suggestions : ['la']
70 Accord de genre erroné : « le » est un déterminant masculin. => Cette installation est maintenant terminée et doit fonctionner. Vous pouvez effectuer des tests pour vérifier si tout cela marche en utilisant le répertoire exemples fourni avec le source de mpich2. | source => suggestions : ['sourcé']
70 Mot inconnu : mpich2 => Cette installation est maintenant terminée et doit fonctionner. Vous pouvez effectuer des tests pour vérifier si tout cela marche en utilisant le répertoire exemples fourni avec le source de mpich2. | mpich2

72 Mot inconnu : mpif90 => <note tip>Attention, veillez à utiliser mpif90 ou mpif77  pour la compilation des codes sources . Ces commandes incluent toutes les options nécessaires aux compilateurs pour la bonne génération de vos codes parallèles .</note> | mpif90
72 Mot inconnu : mpif77 => <note tip>Attention, veillez à utiliser mpif90 ou mpif77  pour la compilation des codes sources . Ces commandes incluent toutes les options nécessaires aux compilateurs pour la bonne génération de vos codes parallèles .</note> | mpif77
72 Espace(s) surnuméraire(s) à supprimer. => <note tip>Attention, veillez à utiliser mpif90 ou mpif77  pour la compilation des codes sources . Ces commandes incluent toutes les options nécessaires aux compilateurs pour la bonne génération de vos codes parallèles .</note> |    => suggestions : [' ']
72 Pas d’espace avant un point. => <note tip>Attention, veillez à utiliser mpif90 ou mpif77  pour la compilation des codes sources . Ces commandes incluent toutes les options nécessaires aux compilateurs pour la bonne génération de vos codes parallèles .</note> |  . => suggestions : ['.']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.intel.com/support/performancetools/fortran/linux/index.htm|Intel Fortran]] |    => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.mpich.org|MPICH2]] |    => suggestions : ['']
