
5 Mot inconnu : LDAP => ====== LDAP client ====== | ldap
50 Mot inconnu : LDAP => les commandes plus bas (remplacer **<someldapuser>** par un nom d'utilisateur et **<someldapgroup>** par un nom de groupe présent dans votre serveur LDAP) : | ldap

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   getent passwd <someldapuser> |    => suggestions : ['']
52 Mot inconnu : getent =>   getent passwd <someldapuser> | getent
52 Mot inconnu : passwd =>   getent passwd <someldapuser> | passwd

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   getent group <someldapgroup> |    => suggestions : ['']
53 Mot inconnu : getent =>   getent group <someldapgroup> | getent
53 Mot inconnu : group =>   getent group <someldapgroup> | group

55 Mot inconnu : nsswitch => Si vous avez une réponse dans les deux cas **nsswitch.conf** est correctement configuré la seule chose qui reste à faire est  | nsswitch
55 Il manque un espace. => Si vous avez une réponse dans les deux cas **nsswitch.conf** est correctement configuré la seule chose qui reste à faire est  | conf => suggestions : [' conf']
55 Espace(s) en fin de ligne à supprimer. => Si vous avez une réponse dans les deux cas **nsswitch.conf** est correctement configuré la seule chose qui reste à faire est  |   => suggestions : ['']

56 Mot inconnu : PAM => de configurer PAM. | pam
58 Mot inconnu : getent => Il est aussi possible de taper directement : getent passwd vous devez alors voir tous les utilisateurs de votre serveur ldap. Si ce n'est pas le cas, éditez et vérifiez le contenu des fichiers **/etc/ldap/ldap.conf** et **/etc/libnss-ldap.conf**. Pour modifier ce dernier utilsez la commande : | getent
58 Mot inconnu : passwd => Il est aussi possible de taper directement : getent passwd vous devez alors voir tous les utilisateurs de votre serveur ldap. Si ce n'est pas le cas, éditez et vérifiez le contenu des fichiers **/etc/ldap/ldap.conf** et **/etc/libnss-ldap.conf**. Pour modifier ce dernier utilsez la commande : | passwd
58 Mot inconnu : ldap => Il est aussi possible de taper directement : getent passwd vous devez alors voir tous les utilisateurs de votre serveur ldap. Si ce n'est pas le cas, éditez et vérifiez le contenu des fichiers **/etc/ldap/ldap.conf** et **/etc/libnss-ldap.conf**. Pour modifier ce dernier utilsez la commande : | ldap
58 Mot inconnu : utilsez => Il est aussi possible de taper directement : getent passwd vous devez alors voir tous les utilisateurs de votre serveur ldap. Si ce n'est pas le cas, éditez et vérifiez le contenu des fichiers **/etc/ldap/ldap.conf** et **/etc/libnss-ldap.conf**. Pour modifier ce dernier utilsez la commande : | utilsez

63 Espace(s) surnuméraire(s) à supprimer. => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> |    => suggestions : [' ']
63 Mot inconnu : dc => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | dc
63 Mot inconnu : example => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | example
63 Il manque un espace. => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | dc => suggestions : [' dc']
63 Mot inconnu : dc => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | dc
63 Mot inconnu : LDAP => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | ldap
63 Mot inconnu : restart => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | restart
63 Mot inconnu : deamon => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | deamon
63 Mot inconnu : nscd => <note> Sans réponses voir si le nom de la base de recherche (ici  Par exemple dc=example,dc=com) est bon; Vérifier si l'adresse IP du serveur LDAP est le bon (la majeur parti des problèmes proviennent d'ici) ou alors oublie du restart du deamon nscd </note> | nscd

67 Mot inconnu : PAM => ===== Configuration de PAM ===== | pam

69 Mot inconnu : PAM => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | pam
69 Mot inconnu : common-account => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-account
69 Mot inconnu : common-auth => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-auth
69 Mot inconnu : common-password => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-password
69 Mot inconnu : and => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | and
69 Mot inconnu : common-session => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-session

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-account |    => suggestions : ['']
73 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-account | sudo
73 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-account | vi

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   account	sufficient	pam_ldap.so |    => suggestions : ['']
78 Mot inconnu : account =>   account	sufficient	pam_ldap.so | account
78 Mot inconnu : sufficient =>   account	sufficient	pam_ldap.so | sufficient
78 Mot inconnu : pam_ldap =>   account	sufficient	pam_ldap.so | pam_ldap
78 Mot inconnu : so =>   account	sufficient	pam_ldap.so | so

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   account	required	pam_unix.so |    => suggestions : ['']
79 Mot inconnu : account =>   account	required	pam_unix.so | account
79 Mot inconnu : required =>   account	required	pam_unix.so | required
79 Mot inconnu : pam_unix =>   account	required	pam_unix.so | pam_unix
79 Mot inconnu : so =>   account	required	pam_unix.so | so

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-auth |    => suggestions : ['']
84 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-auth | sudo
84 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-auth | vi

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth	sufficient	pam_ldap.so |    => suggestions : ['']
88 Mot inconnu : auth =>   auth	sufficient	pam_ldap.so | auth
88 Mot inconnu : sufficient =>   auth	sufficient	pam_ldap.so | sufficient
88 Mot inconnu : pam_ldap =>   auth	sufficient	pam_ldap.so | pam_ldap
88 Mot inconnu : so =>   auth	sufficient	pam_ldap.so | so

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth	required	pam_unix.so nullok_secure use_first_pass |    => suggestions : ['']
89 Mot inconnu : auth =>   auth	required	pam_unix.so nullok_secure use_first_pass | auth
89 Mot inconnu : required =>   auth	required	pam_unix.so nullok_secure use_first_pass | required
89 Mot inconnu : pam_unix =>   auth	required	pam_unix.so nullok_secure use_first_pass | pam_unix
89 Mot inconnu : so =>   auth	required	pam_unix.so nullok_secure use_first_pass | so
89 Mot inconnu : nullok_secure =>   auth	required	pam_unix.so nullok_secure use_first_pass | nullok_secure
89 Mot inconnu : use_first_pass =>   auth	required	pam_unix.so nullok_secure use_first_pass | use_first_pass

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-password |    => suggestions : ['']
97 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-password | sudo
97 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-password | vi

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password	sufficient	pam_ldap.so |    => suggestions : ['']
102 Mot inconnu : password =>   password	sufficient	pam_ldap.so | password
102 Mot inconnu : sufficient =>   password	sufficient	pam_ldap.so | sufficient
102 Mot inconnu : pam_ldap =>   password	sufficient	pam_ldap.so | pam_ldap
102 Mot inconnu : so =>   password	sufficient	pam_ldap.so | so

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 |    => suggestions : ['']
103 Mot inconnu : password =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | password
103 Mot inconnu : required =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | required
103 Mot inconnu : pam_unix =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | pam_unix
103 Mot inconnu : so =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | so
103 Mot inconnu : nullok =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | nullok
103 Si “md5” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | 8 md5 => suggestions : ['8\xa0md5']
103 Mot inconnu : md5 =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | md5

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install libpam-cracklib |    => suggestions : ['']
110 Mot inconnu : sudo =>   sudo apt-get install libpam-cracklib | sudo
110 Mot inconnu : apt-get =>   sudo apt-get install libpam-cracklib | apt-get
110 Mot inconnu : install =>   sudo apt-get install libpam-cracklib | install
110 Mot inconnu : libpam-cracklib =>   sudo apt-get install libpam-cracklib | libpam-cracklib

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-password |    => suggestions : ['']
115 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-password | sudo
115 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-password | vi

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |    => suggestions : ['']
120 Mot inconnu : password =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | password
120 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |          => suggestions : [' ']
120 Mot inconnu : required =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | required
120 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |          => suggestions : [' ']
120 Mot inconnu : pam_cracklib =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | pam_cracklib
120 Mot inconnu : so =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | so
120 Mot inconnu : retry =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | retry
120 Mot inconnu : minlen =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | minlen
120 Mot inconnu : difok =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | difok

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        sufficient      pam_ldap.so use_authtok nullok md5 |    => suggestions : ['']
121 Mot inconnu : password =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | password
121 Espace(s) surnuméraire(s) à supprimer. =>   password        sufficient      pam_ldap.so use_authtok nullok md5 |          => suggestions : [' ']
121 Mot inconnu : sufficient =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | sufficient
121 Espace(s) surnuméraire(s) à supprimer. =>   password        sufficient      pam_ldap.so use_authtok nullok md5 |        => suggestions : [' ']
121 Mot inconnu : pam_ldap =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | pam_ldap
121 Mot inconnu : so =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | so
121 Mot inconnu : use_authtok =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | use_authtok
121 Mot inconnu : nullok =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | nullok
121 Mot inconnu : md5 =>   password        sufficient      pam_ldap.so use_authtok nullok md5 | md5

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        required        pam_unix.so use_authtok use_first_pass |    => suggestions : ['']
122 Mot inconnu : password =>   password        required        pam_unix.so use_authtok use_first_pass | password
122 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_unix.so use_authtok use_first_pass |          => suggestions : [' ']
122 Mot inconnu : required =>   password        required        pam_unix.so use_authtok use_first_pass | required
122 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_unix.so use_authtok use_first_pass |          => suggestions : [' ']
122 Mot inconnu : pam_unix =>   password        required        pam_unix.so use_authtok use_first_pass | pam_unix
122 Mot inconnu : so =>   password        required        pam_unix.so use_authtok use_first_pass | so
122 Mot inconnu : use_authtok =>   password        required        pam_unix.so use_authtok use_first_pass | use_authtok
122 Mot inconnu : use_first_pass =>   password        required        pam_unix.so use_authtok use_first_pass | use_first_pass

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-session |    => suggestions : ['']
129 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-session | sudo
129 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-session | vi

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session	sufficient	pam_ldap.so |    => suggestions : ['']
134 Mot inconnu : sufficient =>   session	sufficient	pam_ldap.so | sufficient
134 Mot inconnu : pam_ldap =>   session	sufficient	pam_ldap.so | pam_ldap
134 Mot inconnu : so =>   session	sufficient	pam_ldap.so | so

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session	required	pam_unix.so |    => suggestions : ['']
135 Mot inconnu : required =>   session	required	pam_unix.so | required
135 Mot inconnu : pam_unix =>   session	required	pam_unix.so | pam_unix
135 Mot inconnu : so =>   session	required	pam_unix.so | so

140 Mot inconnu : common-session => Si vous voulez que la création automatique du répertoire home soit faite à la première connexion vous allez devoir éditer **common-session** encore une fois : | common-session

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-session |    => suggestions : ['']
142 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-session | sudo
142 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-session | vi

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session required        pam_unix.so |    => suggestions : ['']
147 Mot inconnu : required =>   session required        pam_unix.so | required
147 Espace(s) surnuméraire(s) à supprimer. =>   session required        pam_unix.so |          => suggestions : [' ']
147 Mot inconnu : pam_unix =>   session required        pam_unix.so | pam_unix
147 Mot inconnu : so =>   session required        pam_unix.so | so

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session required        pam_mkhomedir.so skel=/etc/skel/ |    => suggestions : ['']
148 Mot inconnu : required =>   session required        pam_mkhomedir.so skel=/etc/skel/ | required
148 Espace(s) surnuméraire(s) à supprimer. =>   session required        pam_mkhomedir.so skel=/etc/skel/ |          => suggestions : [' ']
148 Mot inconnu : pam_mkhomedir =>   session required        pam_mkhomedir.so skel=/etc/skel/ | pam_mkhomedir
148 Mot inconnu : so =>   session required        pam_mkhomedir.so skel=/etc/skel/ | so
148 Mot inconnu : skel =>   session required        pam_mkhomedir.so skel=/etc/skel/ | skel

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session optional        pam_ldap.so |    => suggestions : ['']
149 Mot inconnu : optional =>   session optional        pam_ldap.so | optional
149 Espace(s) surnuméraire(s) à supprimer. =>   session optional        pam_ldap.so |          => suggestions : [' ']
149 Mot inconnu : pam_ldap =>   session optional        pam_ldap.so | pam_ldap
149 Mot inconnu : so =>   session optional        pam_ldap.so | so

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Je ne peux promettre que ce document soit sans erreur mais je l'ai testé et il fonctionne. |    => suggestions : ['']
154 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. =>   * Je ne peux promettre que ce document soit sans erreur mais je l'ai testé et il fonctionne. |  mais => suggestions : [', mais']

159 Mot inconnu : LDAP => ==== Installation d'un client LDAP sur ubuntu 14.04 / Linux Mint 17 ==== | ldap
159 Mot inconnu : Mint => ==== Installation d'un client LDAP sur ubuntu 14.04 / Linux Mint 17 ==== | mint
162 Mot inconnu : mint => Tout d'abord pour installer le client sur une ubuntu/mint 14.04, j'ai suivi ce tuto pour activer l'authentification lorsque le serveur LDAP est accessible | mint
162 Mot inconnu : LDAP => Tout d'abord pour installer le client sur une ubuntu/mint 14.04, j'ai suivi ce tuto pour activer l'authentification lorsque le serveur LDAP est accessible | ldap

164 Mot inconnu : Online => === Online Mode (Serveur LDAP Accessible) === | online
164 Mot inconnu : LDAP => === Online Mode (Serveur LDAP Accessible) === | ldap

165 Mot inconnu : ldap => Pour configurer le client ldap sur ma distrib ubuntu, j'ai suivi ce tuto qui a fonctionné comme un charme : | ldap
165 Mot inconnu : distrib => Pour configurer le client ldap sur ma distrib ubuntu, j'ai suivi ce tuto qui a fonctionné comme un charme : | distrib

169 Mot inconnu : laptop => et pour la conf de mes laptop, j'ai ajouté ceci | laptop

171 Mot inconnu : Offline => === Offline mode (Serveur LDAP inaccessible - Laptop itinérants) === | offline
171 Mot inconnu : LDAP => === Offline mode (Serveur LDAP inaccessible - Laptop itinérants) === | ldap
171 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => === Offline mode (Serveur LDAP inaccessible - Laptop itinérants) === |  -  => suggestions : [' – ', ' — ', ' − ']
171 Mot inconnu : Laptop => === Offline mode (Serveur LDAP inaccessible - Laptop itinérants) === | laptop

177 Mot inconnu : Editer => Editer le fichier /etc/nsswitch.conf tel que: | editer

179 Mot inconnu : passwd => passwd:         files ldap [NOTFOUND=return] db | passwd
179 Espace(s) surnuméraire(s) à supprimer. => passwd:         files ldap [NOTFOUND=return] db |           => suggestions : [' ']
179 Mot inconnu : ldap => passwd:         files ldap [NOTFOUND=return] db | ldap
179 Mot inconnu : NOTFOUND => passwd:         files ldap [NOTFOUND=return] db | notfound
179 Mot inconnu : return => passwd:         files ldap [NOTFOUND=return] db | return
179 Mot inconnu : db => passwd:         files ldap [NOTFOUND=return] db | db

180 Mot inconnu : group => group:          files ldap [NOTFOUND=return] db | group
180 Espace(s) surnuméraire(s) à supprimer. => group:          files ldap [NOTFOUND=return] db |            => suggestions : [' ']
180 Mot inconnu : ldap => group:          files ldap [NOTFOUND=return] db | ldap
180 Mot inconnu : NOTFOUND => group:          files ldap [NOTFOUND=return] db | notfound
180 Mot inconnu : return => group:          files ldap [NOTFOUND=return] db | return
180 Mot inconnu : db => group:          files ldap [NOTFOUND=return] db | db

182 Mot inconnu : pam => ensuite éditer etc/pam.d/common-account pour remplacer la ligne  | pam
182 Mot inconnu : common-account => ensuite éditer etc/pam.d/common-account pour remplacer la ligne  | common-account
182 Espace(s) en fin de ligne à supprimer. => ensuite éditer etc/pam.d/common-account pour remplacer la ligne  |   => suggestions : ['']

184 Mot inconnu : account => account	[success=1 default=ignore]	pam_ldap.so  | account
184 Mot inconnu : success => account	[success=1 default=ignore]	pam_ldap.so  | success
184 Mot inconnu : default => account	[success=1 default=ignore]	pam_ldap.so  | default
184 Mot inconnu : pam_ldap => account	[success=1 default=ignore]	pam_ldap.so  | pam_ldap
184 Mot inconnu : so => account	[success=1 default=ignore]	pam_ldap.so  | so
184 Espace(s) en fin de ligne à supprimer. => account	[success=1 default=ignore]	pam_ldap.so  |   => suggestions : ['']

188 Mot inconnu : account => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | account
188 Espace(s) surnuméraire(s) à supprimer. => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so |      => suggestions : [' ']
188 Mot inconnu : success => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | success
188 Mot inconnu : authinfo_unavail => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | authinfo_unavail
188 Mot inconnu : default => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | default
188 Mot inconnu : pam_ldap => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | pam_ldap
188 Mot inconnu : so => account    [success=1 authinfo_unavail=1 default=ignore]    pam_ldap.so | so

192 Mot inconnu : users => pour mettre à jour la copie locale des users LDAP | users
192 Mot inconnu : LDAP => pour mettre à jour la copie locale des users LDAP | ldap

193 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | a => suggestions : ['à']
193 Incohérence probable avec “a” : “noter” n’est pas un participe passé. => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | noter => suggestions : ['noté']
193 Participe passé de devoir : “dû”. => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | du => suggestions : ['dû']
193 Mot inconnu : logguer => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | logguer
193 Mot inconnu : LDAP => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | ldap
193 Mot inconnu : check => <note help>a noter que pour qu'un utilisateur puisse se connecter hors ligne, il aura du préalablement se logguer sur cette machine alors qu'elle pouvait contacter le serveur LDAP pour un premier check du mot de passe</note> | check

