
4 Mot inconnu : ARChon => ======ARChon : Utiliser des application Android sous Ubuntu====== | archon
18 Guillemets typographiques fermants. =>   - Dans les paramètres "charger l'extension non empaqueté" | " => suggestions : ['\xa0»', '”']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez le ZIP télécharger. |    => suggestions : ['']
19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez le ZIP télécharger. |  -  => suggestions : [' – ', ' — ', ' − ']

21 Accord de genre erroné : « application » est féminin. => ===== Générer une extension Chrome à partir d'un application Android ===== | un => suggestions : ['une']

22 Mot inconnu : Nodejs => ==== Méthode Nodejs ==== | nodejs

23 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | il => suggestions : ['Il']
23 Mot inconnu : apk => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | apk
23 Mot inconnu : apk => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | apk
23 Mot inconnu : F-droid => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | f-droid
23 Guillemets typographiques ouvrants. => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | " => suggestions : ['«\xa0', '“']
23 Mot inconnu : ARChon => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | archon
23 Guillemets typographiques fermants. => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | " => suggestions : ['\xa0»', '”']
23 Mot inconnu : Nodejs => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  | nodejs
23 Espace(s) en fin de ligne à supprimer. => il faut empaqueter les apk (fichier d'application Android) avec un logiciel, disponible sur différente plateforme. Sur les mobiles Android, une application permettant d'empaqueter les apk est disponible dans le magasin d'application F-droid. "ARChon". Sinon, sous ubuntu, installer Nodejs puis  |   => suggestions : ['']

24 Mot inconnu : sudo => **sudo npm install -g chromeos-apk@latest** | sudo
24 Mot inconnu : npm => **sudo npm install -g chromeos-apk@latest** | npm
24 Mot inconnu : install => **sudo npm install -g chromeos-apk@latest** | install
24 Il manque un espace à côté du tiret. => **sudo npm install -g chromeos-apk@latest** |  - => suggestions : [' – ', ' — ']
24 Mot inconnu : chromeos-apk => **sudo npm install -g chromeos-apk@latest** | chromeos-apk

25 Mot inconnu : apk => Pour empaqueter un apk: | apk

26 Mot inconnu : chromeos-apk => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** | chromeos-apk
26 Mot inconnu : lenomsouslequell'applicationstockesesdonnées => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** | lenomsouslequell'applicationstockesesdonnées
26 Il manque un espace avant la parenthèse. => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** | ( => suggestions : [' (']
26 Guillemets isolés. => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
26 Mot inconnu : nomdel'app => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** | nomdel'app
26 Mot inconnu : nomdekekechose => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** | nomdekekechose
26 Guillemets typographiques fermants. => **chromeos-apk lenomsouslequell'applicationstockesesdonnées(souvent " com.nomdel'app.nomdekekechose"** | " => suggestions : ['\xa0»', '”']

28 Mot inconnu : ARChon => ==== Méthode ARChon packager ==== | archon

29 Mot inconnu : ARCon => * Installer et utiliser [[https://play.google.com/store/apps/details?id=me.bpear.archonpackager&rdid=me.bpear.archonpackager|ARCon packager]] à partir d'un appareil Android | arcon

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Décompression l'application contenu dans le fichier apk |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Décompression l'application contenu dans le fichier apk |  -  => suggestions : [' – ', ' — ', ' − ']
32 Accord de genre erroné entre “application” et “contenu”. =>   - Décompression l'application contenu dans le fichier apk | contenu => suggestions : ['contenue']
32 Mot inconnu : apk =>   - Décompression l'application contenu dans le fichier apk | apk

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans Chrome, aller dans les extensions |    => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans Chrome, aller dans les extensions |  -  => suggestions : [' – ', ' — ', ' − ']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton : "charger l'extension non empaqueté" |    => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton : "charger l'extension non empaqueté" |  -  => suggestions : [' – ', ' — ', ' − ']
34 Guillemets typographiques ouvrants. =>   - Bouton : "charger l'extension non empaqueté" | " => suggestions : ['«\xa0', '“']
34 Accord de genre erroné entre “extension” et “empaqueté”. =>   - Bouton : "charger l'extension non empaqueté" | empaqueté => suggestions : ['empaquetée']
34 Guillemets typographiques fermants. =>   - Bouton : "charger l'extension non empaqueté" | " => suggestions : ['\xa0»', '”']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisir votre application |    => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisir votre application |  -  => suggestions : [' – ', ' — ', ' − ']

37 Mot inconnu : Play => <note important>Certaines applications ont besoin de Google Play service</note> | play

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.linux.com/learn/installing-android-apps-linux-archon|Installing Android apps on Linux with ARCon (Linux.com)]] : tuto détaillé |    => suggestions : ['']
39 Mot inconnu : Installing =>   * **(en)** [[https://www.linux.com/learn/installing-android-apps-linux-archon|Installing Android apps on Linux with ARCon (Linux.com)]] : tuto détaillé | installing
39 Mot inconnu : apps =>   * **(en)** [[https://www.linux.com/learn/installing-android-apps-linux-archon|Installing Android apps on Linux with ARCon (Linux.com)]] : tuto détaillé | apps
39 Incohérence avec “on” : “Linux” devrait être un verbe, un pronom objet, un adverbe de négation, etc. =>   * **(en)** [[https://www.linux.com/learn/installing-android-apps-linux-archon|Installing Android apps on Linux with ARCon (Linux.com)]] : tuto détaillé | linux => suggestions : []
39 Mot inconnu : with =>   * **(en)** [[https://www.linux.com/learn/installing-android-apps-linux-archon|Installing Android apps on Linux with ARCon (Linux.com)]] : tuto détaillé | with
39 Mot inconnu : ARCon =>   * **(en)** [[https://www.linux.com/learn/installing-android-apps-linux-archon|Installing Android apps on Linux with ARCon (Linux.com)]] : tuto détaillé | arcon

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** https://korben.info/app-android-mac-linux-windows.html : **Faire tourner des applications Android sous Windows, OSX et Linux** du site Korben |    => suggestions : ['']
40 Mot inconnu : OSX =>   * **(fr)** https://korben.info/app-android-mac-linux-windows.html : **Faire tourner des applications Android sous Windows, OSX et Linux** du site Korben | osx
40 Mot inconnu : Korben =>   * **(fr)** https://korben.info/app-android-mac-linux-windows.html : **Faire tourner des applications Android sous Windows, OSX et Linux** du site Korben | korben

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** La page [[Android]] de doc.ubuntu.fr |    => suggestions : ['']
