
4 Mot inconnu : Chroot => ====== Chroot : changement de dossier racine ====== | chroot
48 Mot inconnu : sudo => sudo umount /media/system</code> | sudo
48 Mot inconnu : umount => sudo umount /media/system</code> | umount
48 Mot inconnu : system => sudo umount /media/system</code> | system

49 Pas d’espace avant une virgule. => ==== Exemple pratique avec une version 17.10 , 18.04 , 20.04 et 21.04==== |  , => suggestions : [',']
49 Pas d’espace avant une virgule. => ==== Exemple pratique avec une version 17.10 , 18.04 , 20.04 et 21.04==== |  , => suggestions : [',']

50 Espace(s) surnuméraire(s) à supprimer. => Le plus souvent, cette utilisation est faite à partir d'une clé USB d'installation d'Ubuntu.  Ceci est  un cas pratique fait en EFI sur partition  système non chiffrée. |    => suggestions : [' ']
50 Espace(s) surnuméraire(s) à supprimer. => Le plus souvent, cette utilisation est faite à partir d'une clé USB d'installation d'Ubuntu.  Ceci est  un cas pratique fait en EFI sur partition  système non chiffrée. |    => suggestions : [' ']
50 Mot inconnu : EFI => Le plus souvent, cette utilisation est faite à partir d'une clé USB d'installation d'Ubuntu.  Ceci est  un cas pratique fait en EFI sur partition  système non chiffrée. | efi
50 Espace(s) surnuméraire(s) à supprimer. => Le plus souvent, cette utilisation est faite à partir d'une clé USB d'installation d'Ubuntu.  Ceci est  un cas pratique fait en EFI sur partition  système non chiffrée. |    => suggestions : [' ']

53 Mot inconnu : sudo => sudo -i            ### afin d'éviter de passer son temps à frapper cette commande</code> | sudo
53 Il manque un espace à côté du tiret. => sudo -i            ### afin d'éviter de passer son temps à frapper cette commande</code> |  - => suggestions : [' – ', ' — ']
53 Espace(s) surnuméraire(s) à supprimer. => sudo -i            ### afin d'éviter de passer son temps à frapper cette commande</code> |              => suggestions : [' ']

56 Espace(s) surnuméraire(s) à supprimer. => Le montage de la partition système à cibler se fera  en frappant la commande (pensez à remplacer XXXX par la bonne valeur). |    => suggestions : [' ']
56 Mot inconnu : XXXX => Le montage de la partition système à cibler se fera  en frappant la commande (pensez à remplacer XXXX par la bonne valeur). | xxxx

58 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Le montage des répertoires se fera avec ces commandes (copier/coller). | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    modprobe efivars     </code>   |     => suggestions : ['']
65 Mot inconnu : modprobe =>    modprobe efivars     </code>   | modprobe
65 Mot inconnu : efivars =>    modprobe efivars     </code>   | efivars
65 Espace(s) surnuméraire(s) à supprimer. =>    modprobe efivars     </code>   |       => suggestions : [' ']
65 Espace(s) en fin de ligne à supprimer. =>    modprobe efivars     </code>   |    => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Le changement d'environnement se fera avec cette commande |   => suggestions : ['']

72 Mot inconnu : ls => ls   -ls /home </code> | ls
72 Espace(s) surnuméraire(s) à supprimer. => ls   -ls /home </code> |     => suggestions : [' ']
72 Mot inconnu : ls => ls   -ls /home </code> | ls

73 Espace(s) en fin de ligne à supprimer. => Vous pouvez alors passer à la réparation proprement dite qui a justifié cette opération.  |   => suggestions : ['']

74 Mot inconnu : chroot => Espérons simplement que ce message d'erreur "//Running in chroot, ignoring request.//" n'empêchera pas votre réparation. | chroot
74 Mot inconnu : ignoring => Espérons simplement que ce message d'erreur "//Running in chroot, ignoring request.//" n'empêchera pas votre réparation. | ignoring
74 Mot inconnu : request => Espérons simplement que ce message d'erreur "//Running in chroot, ignoring request.//" n'empêchera pas votre réparation. | request

75 Mot inconnu : rebooter => Lorsque cela sera fini, le plus simple est de rebooter pour vérifier. La commande suivante s'occupe de toutes les déconnexions. | rebooter
80 Espace(s) surnuméraire(s) à supprimer. => ==== Pour un ubuntu installé dans une partition  BTRFS==== |    => suggestions : [' ']
80 Mot inconnu : BTRFS => ==== Pour un ubuntu installé dans une partition  BTRFS==== | btrfs

87 Guillemets typographiques ouvrants. => Préférez toujours utiliser 'chroot' entre deux systèmes de même architecture.\\ | ' => suggestions : ['“', '‘', '‹']
87 Mot inconnu : chroot => Préférez toujours utiliser 'chroot' entre deux systèmes de même architecture.\\ | chroot
87 Guillemets typographiques fermants. => Préférez toujours utiliser 'chroot' entre deux systèmes de même architecture.\\ | ' => suggestions : ['”', '’', '›']

91 Espace(s) surnuméraire(s) à supprimer. => ==== Convertir un environnement 32 bits en  environnement 64 bits ====  |    => suggestions : [' ']
91 Espace(s) en fin de ligne à supprimer. => ==== Convertir un environnement 32 bits en  environnement 64 bits ====  |   => suggestions : ['']

92 Espace(s) surnuméraire(s) à supprimer. => Il faut d'abord  faire la fonctionnalité "chroot" telle que décrite ci-dessus. |    => suggestions : [' ']
92 Guillemets typographiques ouvrants. => Il faut d'abord  faire la fonctionnalité "chroot" telle que décrite ci-dessus. | " => suggestions : ['«\xa0', '“']
92 Mot inconnu : chroot => Il faut d'abord  faire la fonctionnalité "chroot" telle que décrite ci-dessus. | chroot
92 Guillemets typographiques fermants. => Il faut d'abord  faire la fonctionnalité "chroot" telle que décrite ci-dessus. | " => suggestions : ['\xa0»', '”']

94 Espace(s) surnuméraire(s) à supprimer. => Il est préférable  de mettre à jour le logiciel de façon classique. |    => suggestions : [' ']

99 Mot inconnu : apt-get => apt-get install linux-image-amd64:amd64 </code> | apt-get
99 Mot inconnu : install => apt-get install linux-image-amd64:amd64 </code> | install
99 Mot inconnu : linux-image-amd64 => apt-get install linux-image-amd64:amd64 </code> | linux-image-amd64
99 Il manque un espace. => apt-get install linux-image-amd64:amd64 </code> | amd64 => suggestions : [' amd64']
99 Mot inconnu : amd64 => apt-get install linux-image-amd64:amd64 </code> | amd64

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[schroot|schroot]] |    => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://linuxfr.org/news/care-et-la-reproductibilite-des-executions|care]] |    => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://linuxfr.org/tags/cde/public|cde]] |    => suggestions : ['']
