
5 Mot inconnu : Gitso => ====== Visionneur de bureaux distants Gitso ====== | gitso
37 Typographie : points de suspension. Utilisez le caractère dédié. => Il lui faut ensuite **communiquer son adresse IP à l'utilisateur côté "client"** (par téléphone, mail, irc, fax, signaux de fumée...). | ... => suggestions : ['…']

39 Mot inconnu : curl => Depuis un terminal, avec curl : | curl
44 Mot inconnu : mon-ip => Autre solution, pour connaître l'adresse IP du poste serveur : naviguer sur un site tel que [[http://www.anonymat.org/vostraces/index.php|anonymat.org]] ou [[http://mon-ip.com|mon-ip.com]] ou [[https://mon-ip-addresse.com|mon-ip-addresse.com]]. | mon-ip
44 Mot inconnu : mon-ip-addresse => Autre solution, pour connaître l'adresse IP du poste serveur : naviguer sur un site tel que [[http://www.anonymat.org/vostraces/index.php|anonymat.org]] ou [[http://mon-ip.com|mon-ip.com]] ou [[https://mon-ip-addresse.com|mon-ip-addresse.com]]. | mon-ip-addresse

48 Mot inconnu : __aucune => Le client, qui veut être aidé, n'a __aucune intervention à faire sur la configuration de son pare-feu__. Il n'a qu'à exécuter **Gitso**, laisser cochée la case //Get Help// (obtenir de l'aide, cochée par défaut), **saisir l'IP du serveur qui va l'aider** et enfin //Start// (commencer). | __aucune
48 Mot inconnu : pare-feu__ => Le client, qui veut être aidé, n'a __aucune intervention à faire sur la configuration de son pare-feu__. Il n'a qu'à exécuter **Gitso**, laisser cochée la case //Get Help// (obtenir de l'aide, cochée par défaut), **saisir l'IP du serveur qui va l'aider** et enfin //Start// (commencer). | pare-feu__
48 Mot inconnu : Gitso => Le client, qui veut être aidé, n'a __aucune intervention à faire sur la configuration de son pare-feu__. Il n'a qu'à exécuter **Gitso**, laisser cochée la case //Get Help// (obtenir de l'aide, cochée par défaut), **saisir l'IP du serveur qui va l'aider** et enfin //Start// (commencer). | gitso
48 Mot inconnu : Get => Le client, qui veut être aidé, n'a __aucune intervention à faire sur la configuration de son pare-feu__. Il n'a qu'à exécuter **Gitso**, laisser cochée la case //Get Help// (obtenir de l'aide, cochée par défaut), **saisir l'IP du serveur qui va l'aider** et enfin //Start// (commencer). | get
48 Mot inconnu : Help => Le client, qui veut être aidé, n'a __aucune intervention à faire sur la configuration de son pare-feu__. Il n'a qu'à exécuter **Gitso**, laisser cochée la case //Get Help// (obtenir de l'aide, cochée par défaut), **saisir l'IP du serveur qui va l'aider** et enfin //Start// (commencer). | help
48 Mot inconnu : Start => Le client, qui veut être aidé, n'a __aucune intervention à faire sur la configuration de son pare-feu__. Il n'a qu'à exécuter **Gitso**, laisser cochée la case //Get Help// (obtenir de l'aide, cochée par défaut), **saisir l'IP du serveur qui va l'aider** et enfin //Start// (commencer). | start

55 Mot inconnu : Start => ====Pas de bouton Start==== | start

56 Guillemets typographiques ouvrants. => Si la fenêtre de connexion ne comporte aucun bouton "Start", il suffit de valider en tapant sur la touche "Entrée" du clavier. | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : Start => Si la fenêtre de connexion ne comporte aucun bouton "Start", il suffit de valider en tapant sur la touche "Entrée" du clavier. | start
56 Guillemets typographiques fermants. => Si la fenêtre de connexion ne comporte aucun bouton "Start", il suffit de valider en tapant sur la touche "Entrée" du clavier. | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => Si la fenêtre de connexion ne comporte aucun bouton "Start", il suffit de valider en tapant sur la touche "Entrée" du clavier. | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => Si la fenêtre de connexion ne comporte aucun bouton "Start", il suffit de valider en tapant sur la touche "Entrée" du clavier. | " => suggestions : ['\xa0»', '”']

59 Guillemets typographiques ouvrants. => Le fait que les boutons "Start" et "Stop" n'apparaissent pas est lié au fait que la taille de la fenêtre de Gitso est définie en valeur absolue, l'unité étant le pixel. Il en résulte que, selon votre résolution d'écran, cette taille ne sera pas assez importante pour faire tenir tous les éléments de la fenêtre. En effet, la taille de ces éléments est relative à la résolution. | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : Start => Le fait que les boutons "Start" et "Stop" n'apparaissent pas est lié au fait que la taille de la fenêtre de Gitso est définie en valeur absolue, l'unité étant le pixel. Il en résulte que, selon votre résolution d'écran, cette taille ne sera pas assez importante pour faire tenir tous les éléments de la fenêtre. En effet, la taille de ces éléments est relative à la résolution. | start
59 Guillemets typographiques fermants. => Le fait que les boutons "Start" et "Stop" n'apparaissent pas est lié au fait que la taille de la fenêtre de Gitso est définie en valeur absolue, l'unité étant le pixel. Il en résulte que, selon votre résolution d'écran, cette taille ne sera pas assez importante pour faire tenir tous les éléments de la fenêtre. En effet, la taille de ces éléments est relative à la résolution. | " => suggestions : ['\xa0»', '”']
59 Guillemets typographiques ouvrants. => Le fait que les boutons "Start" et "Stop" n'apparaissent pas est lié au fait que la taille de la fenêtre de Gitso est définie en valeur absolue, l'unité étant le pixel. Il en résulte que, selon votre résolution d'écran, cette taille ne sera pas assez importante pour faire tenir tous les éléments de la fenêtre. En effet, la taille de ces éléments est relative à la résolution. | " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. => Le fait que les boutons "Start" et "Stop" n'apparaissent pas est lié au fait que la taille de la fenêtre de Gitso est définie en valeur absolue, l'unité étant le pixel. Il en résulte que, selon votre résolution d'écran, cette taille ne sera pas assez importante pour faire tenir tous les éléments de la fenêtre. En effet, la taille de ces éléments est relative à la résolution. | " => suggestions : ['\xa0»', '”']
59 Mot inconnu : Gitso => Le fait que les boutons "Start" et "Stop" n'apparaissent pas est lié au fait que la taille de la fenêtre de Gitso est définie en valeur absolue, l'unité étant le pixel. Il en résulte que, selon votre résolution d'écran, cette taille ne sera pas assez importante pour faire tenir tous les éléments de la fenêtre. En effet, la taille de ces éléments est relative à la résolution. | gitso

61 Guillemets typographiques ouvrants. => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | " => suggestions : ['«\xa0', '“']
61 Mot inconnu : Start => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | start
61 Guillemets typographiques fermants. => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | " => suggestions : ['\xa0»', '”']
61 Guillemets typographiques ouvrants. => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | " => suggestions : ['\xa0»', '”']
61 Guillemets typographiques ouvrants. => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | " => suggestions : ['«\xa0', '“']
61 Mot inconnu : Give => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | give
61 Guillemets typographiques fermants. => Avec des résolutions d'écran élevées, ce ne sont donc pas seulement les boutons "Start" et "Stop" qui sont manquants mais ce peut être aussi l'option "Give support" qui sera partiellement ou en totalité masquée, ce qui est plus problématique. | " => suggestions : ['\xa0»', '”']

69 Mot inconnu : gedit => On pourra ensuite éditer le fichier qui nous intéresse. Par exemple, en mode graphique, avec l'éditeur de texte gedit comme ceci : | gedit

88 Mot inconnu : width => Il s'agit donc ici (puisque nous utilisons un système GNU+Linux) de modifier la valeur de la première ligne commençant par width (qui signifie largeur) et qui correspond à la ligne n°54 du fichier, ainsi que celle de la ligne suivante qui commence par height (pour hauteur) et qui correspond à la ligne n°55. | width
88 Mot inconnu : height => Il s'agit donc ici (puisque nous utilisons un système GNU+Linux) de modifier la valeur de la première ligne commençant par width (qui signifie largeur) et qui correspond à la ligne n°54 du fichier, ainsi que celle de la ligne suivante qui commence par height (pour hauteur) et qui correspond à la ligne n°55. | height

90 Signe de multiplication typographique. => Voici, par exemple, le bloc ainsi modifié en utilisant des valeurs adaptées pour un écran dont la résolution est de 1680x1050 pixels : | 1680x1050 => suggestions : ['1680\xa0×\xa01050']
90 Mot inconnu : x1050 => Voici, par exemple, le bloc ainsi modifié en utilisant des valeurs adaptées pour un écran dont la résolution est de 1680x1050 pixels : | x1050

103 S’il s’agit d’une action que le sujet veut accomplir, le verbe devrait être à l’infinitif. => Une fois les modifications voulues effectuées, enregistrer le fichier puis relancer Gitso qui doit alors afficher l'intégralité de ses options et boutons. Si ce n'est toujours pas le cas, éditer à nouveau le fichier pour ajuster les valeurs des lignes 54 et 55. | effectuées => suggestions : ['effectuer']
103 Mot inconnu : Gitso => Une fois les modifications voulues effectuées, enregistrer le fichier puis relancer Gitso qui doit alors afficher l'intégralité de ses options et boutons. Si ce n'est toujours pas le cas, éditer à nouveau le fichier pour ajuster les valeurs des lignes 54 et 55. | gitso

105 Guillemets typographiques ouvrants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : xval1 => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | xval1
105 Guillemets typographiques fermants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : xval2 => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | xval2
105 Guillemets typographiques fermants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : Start => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | start
105 Guillemets typographiques fermants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['\xa0»', '”']
105 Il manque probablement un trait d’union. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | valeurs si => suggestions : ['valeurs-ci']
105 Guillemets typographiques ouvrants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : Start => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | start
105 Guillemets typographiques fermants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : colors => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | colors
105 Guillemets typographiques fermants. => Notons également que les valeurs "xval1" (ligne 56 du fichier) et "xval2" (ligne 57) correspondent respectivement, sous GNU+Linux, à l'alignement horizontal du bouton "Start" et à celui du bouton "Stop". On pourra donc également ajuster ces valeurs si, par exemple, le bouton "Start" empiète sur le texte de l'option "Use low colors". | " => suggestions : ['\xa0»', '”']

107 Guillemets typographiques ouvrants. => Enfin, il est également possible de paramétrer la position et la taille de la liste déroulante située en face de l'option "Get Help", notamment si elle empiète sur l'intitulé de ce bouton ou qu'elle est trop petite. Ceci est géré au niveau de la ligne 331 du fichier qui est par défaut la suivante : | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : Get => Enfin, il est également possible de paramétrer la position et la taille de la liste déroulante située en face de l'option "Get Help", notamment si elle empiète sur l'intitulé de ce bouton ou qu'elle est trop petite. Ceci est géré au niveau de la ligne 331 du fichier qui est par défaut la suivante : | get
107 Mot inconnu : Help => Enfin, il est également possible de paramétrer la position et la taille de la liste déroulante située en face de l'option "Get Help", notamment si elle empiète sur l'intitulé de ce bouton ou qu'elle est trop petite. Ceci est géré au niveau de la ligne 331 du fichier qui est par défaut la suivante : | help
107 Guillemets typographiques fermants. => Enfin, il est également possible de paramétrer la position et la taille de la liste déroulante située en face de l'option "Get Help", notamment si elle empiète sur l'intitulé de ce bouton ou qu'elle est trop petite. Ceci est géré au niveau de la ligne 331 du fichier qui est par défaut la suivante : | " => suggestions : ['\xa0»', '”']

111 Guillemets typographiques ouvrants. => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | " => suggestions : ['«\xa0', '“']
111 Mot inconnu : wx => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | wx
111 Il manque un espace. => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | point => suggestions : [' Point']
111 Il manque un espace avant la parenthèse. => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | ( => suggestions : [' (']
111 Guillemets typographiques ouvrants. => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | " => suggestions : ['«\xa0', '“']
111 Mot inconnu : wx => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | wx
111 Mot inconnu : Size => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | size
111 Il manque un espace avant la parenthèse. => Pour régler la position horizontale de la liste en question, il faudra adapter la valeur située juste après le paramètre "wx.Point(", tandis que pour régler sa largeur on ajustera la valeur située juste après le paramètre "wx.Size(". | ( => suggestions : [' (']

113 Signe de multiplication typographique. => Voici par exemple la ligne ainsi modifiée pour un écran de résolution 1680x1050 pixels, suite à l'adaptation des dimensions de la fenêtre déjà indiquée plus haut : | 1680x1050 => suggestions : ['1680\xa0×\xa01050']
113 Mot inconnu : x1050 => Voici par exemple la ligne ainsi modifiée pour un écran de résolution 1680x1050 pixels, suite à l'adaptation des dimensions de la fenêtre déjà indiquée plus haut : | x1050

121 Mot inconnu : Gitso => * [[http://fonctionerd.free.fr/index.php?post/2011/08/23/D%C3%A9panner-%C3%A0-distance-avec-Gitso|Dépanner à distance avec Gitso]]\\ | gitso
122 Mot inconnu : gitso => * [[http://code.google.com/p/gitso/|page google code de gitso]] | gitso
