
5 Mot inconnu : WebM => ====== Les fichiers vidéos WebM ======= | webm
47 Guillemets typographiques fermants. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | " => suggestions : ['\xa0»', '”']
47 Il manque un espace. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | v => suggestions : [' v']
47 Mot inconnu : libvpx => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | libvpx
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : quality => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | quality
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : cpu-used => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | cpu-used
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Il manque un espace. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | v => suggestions : [' v']
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : qmin => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | qmin
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : qmax => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | qmax
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : maxrate => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | maxrate
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : bufsize => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | bufsize
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : vf => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | vf
47 Mot inconnu : scale => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | scale
47 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | -1 => suggestions : ['−1', '– 1', '— 1']
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Il manque un espace. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | a => suggestions : [' a']
47 Mot inconnu : libvorbis => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | libvorbis
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Il manque un espace. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | a => suggestions : [' a']
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : pass => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | pass
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : webm => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | webm
47 Mot inconnu : webm => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | webm

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour convertir une vidéo en WebM (VP8+Vorbis) en une  passe: |    => suggestions : ['']
48 Mot inconnu : WebM =>   * Pour convertir une vidéo en WebM (VP8+Vorbis) en une  passe: | webm
48 Mot inconnu : VP8 =>   * Pour convertir une vidéo en WebM (VP8+Vorbis) en une  passe: | vp8
48 Espace(s) surnuméraire(s) à supprimer. =>   * Pour convertir une vidéo en WebM (VP8+Vorbis) en une  passe: |    => suggestions : [' ']

62 Accord de nombre erroné avec « Les dernières » : « version » devrait être au pluriel. => <note tip>La qualité de la vidéo est bien meilleure avec l'utilisation d'une méthode d'encodage en plusieurs passes, ce phénomène est encore plus marqué lors de l'encodage de vidéo ayant un faible débit. Les dernières version de ffmpeg ont permis de gagner sur le temps d'encodage.</note> | version => suggestions : ['versions']
62 Mot inconnu : ffmpeg => <note tip>La qualité de la vidéo est bien meilleure avec l'utilisation d'une méthode d'encodage en plusieurs passes, ce phénomène est encore plus marqué lors de l'encodage de vidéo ayant un faible débit. Les dernières version de ffmpeg ont permis de gagner sur le temps d'encodage.</note> | ffmpeg

68 Mot inconnu : WebM => ===== WebM en téléchargement progressif ===== | webm

70 Mot inconnu : WebM => Pour que votre fichier WebM soit utilisable de façon optimale et que les visiteurs de votre site web puissent avancer ou reculer dans la vidéo, vous avez besoin d'apporter une dernière modification à votre fichier.\\ | webm

72 Mot inconnu : WebM => En effet lors de la création de votre fichier WebM, les informations techniques (MetaData: taille, longueur, résolution, fps, etc...) sont situées en fin de fichier. Celles-ci ne sont pas accessibles au navigateur web utilisé avant le téléchargement complet du fichier, celui-ci pouvant peser plusieurs centaines de Mo, la navigation et/ou le lancement de la vidéo peut dans certains cas ne pas avoir lieu. | webm
72 Mot inconnu : MetaData => En effet lors de la création de votre fichier WebM, les informations techniques (MetaData: taille, longueur, résolution, fps, etc...) sont situées en fin de fichier. Celles-ci ne sont pas accessibles au navigateur web utilisé avant le téléchargement complet du fichier, celui-ci pouvant peser plusieurs centaines de Mo, la navigation et/ou le lancement de la vidéo peut dans certains cas ne pas avoir lieu. | metadata
72 Mot inconnu : fps => En effet lors de la création de votre fichier WebM, les informations techniques (MetaData: taille, longueur, résolution, fps, etc...) sont situées en fin de fichier. Celles-ci ne sont pas accessibles au navigateur web utilisé avant le téléchargement complet du fichier, celui-ci pouvant peser plusieurs centaines de Mo, la navigation et/ou le lancement de la vidéo peut dans certains cas ne pas avoir lieu. | fps
72 Un seul point après « etc. » => En effet lors de la création de votre fichier WebM, les informations techniques (MetaData: taille, longueur, résolution, fps, etc...) sont situées en fin de fichier. Celles-ci ne sont pas accessibles au navigateur web utilisé avant le téléchargement complet du fichier, celui-ci pouvant peser plusieurs centaines de Mo, la navigation et/ou le lancement de la vidéo peut dans certains cas ne pas avoir lieu. | etc... => suggestions : ['etc.']
75 Guillemets typographiques ouvrants. => On peut faire une comparaison avec un fichier image, **jpg "progressif"**, sur les pages web de l'internet, certaines images apparaissent d'un coup et certaines se chargent de façon progressive. Ces fichiers jpg ont leurs MetaData en début de fichier, cela permet au navigateur de les faire apparaître de façon progressive sur nos pages. | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. => On peut faire une comparaison avec un fichier image, **jpg "progressif"**, sur les pages web de l'internet, certaines images apparaissent d'un coup et certaines se chargent de façon progressive. Ces fichiers jpg ont leurs MetaData en début de fichier, cela permet au navigateur de les faire apparaître de façon progressive sur nos pages. | " => suggestions : ['\xa0»', '”']
75 Mot inconnu : MetaData => On peut faire une comparaison avec un fichier image, **jpg "progressif"**, sur les pages web de l'internet, certaines images apparaissent d'un coup et certaines se chargent de façon progressive. Ces fichiers jpg ont leurs MetaData en début de fichier, cela permet au navigateur de les faire apparaître de façon progressive sur nos pages. | metadata

77 Mot inconnu : ffmpeg => ffmpeg ne permettant pas cette manipulation (pour le moment), il faut utiliser un logiciel supplémentaire, soit mkclean en ligne de commande soit mkvtoolnix avec une interface graphique. | ffmpeg
77 Mot inconnu : mkclean => ffmpeg ne permettant pas cette manipulation (pour le moment), il faut utiliser un logiciel supplémentaire, soit mkclean en ligne de commande soit mkvtoolnix avec une interface graphique. | mkclean
77 Mot inconnu : mkvtoolnix => ffmpeg ne permettant pas cette manipulation (pour le moment), il faut utiliser un logiciel supplémentaire, soit mkclean en ligne de commande soit mkvtoolnix avec une interface graphique. | mkvtoolnix

79 Mot inconnu : mkclean => ====mkclean==== | mkclean

83 Mot inconnu : mkvtoolnix => ====mkvtoolnix==== | mkvtoolnix

89 Mot inconnu : video => Certains serveurs WEB ne disposent pas du MIME-type video/webm dans leur registre des media types. Si ces identifiants sont indisponibles sur le serveur utilisé, une erreur de chargement vidéo apparaîtra. Pour résoudre ce problème soit :  | video
89 Mot inconnu : webm => Certains serveurs WEB ne disposent pas du MIME-type video/webm dans leur registre des media types. Si ces identifiants sont indisponibles sur le serveur utilisé, une erreur de chargement vidéo apparaîtra. Pour résoudre ce problème soit :  | webm
89 Espace(s) en fin de ligne à supprimer. => Certains serveurs WEB ne disposent pas du MIME-type video/webm dans leur registre des media types. Si ces identifiants sont indisponibles sur le serveur utilisé, une erreur de chargement vidéo apparaîtra. Pour résoudre ce problème soit :  |   => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous accédez au panneau de contrôle de votre hébergement et modifiez la partie mime-types en ajoutant video/webm dans le registre des médias, |    => suggestions : ['']
90 Mot inconnu : video =>   * Vous accédez au panneau de contrôle de votre hébergement et modifiez la partie mime-types en ajoutant video/webm dans le registre des médias, | video
90 Mot inconnu : webm =>   * Vous accédez au panneau de contrôle de votre hébergement et modifiez la partie mime-types en ajoutant video/webm dans le registre des médias, | webm

92 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <file html .htaccess> |  . => suggestions : ['. ', '.']

93 Mot inconnu : AddType => AddType video/webm .webm | addtype
93 Mot inconnu : video => AddType video/webm .webm | video
93 Mot inconnu : webm => AddType video/webm .webm | webm
93 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => AddType video/webm .webm |  . => suggestions : ['. ', '.']
93 Mot inconnu : webm => AddType video/webm .webm | webm

95 Mot inconnu : WebM => Votre serveur supporte désormais le format WebM. | webm
108 Espace(s) surnuméraire(s) à supprimer. => //Contributeurs principaux :  [[utilisateurs:thecraft]], ...// |    => suggestions : [' ']
108 Une de ces ponctuations est superflue. => //Contributeurs principaux :  [[utilisateurs:thecraft]], ...// | , . => suggestions : [',', '.']
108 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs principaux :  [[utilisateurs:thecraft]], ...// | ... => suggestions : ['…']
