
3 Mot inconnu : gEDA => ====== gEDA ====== | geda
54 Mot inconnu : Devices => //Cliquez gauche// dans l'onglet **Bibliothèques**, puis dans **Basic Devices**. | devices

58 Mot inconnu : click => Ajoutez la sélection sur le schéma avec un //click gauche// de la souris. | click

60 Mot inconnu : Devices => Bibliothèque **Basic Devices** | devices

65 Mot inconnu : SPICE => Cliquez sur la bibliothèque **SPICE simulation elements**, choisissez **gnucap-include-1.sym** et ajoutez le symbole au schéma.  | spice
65 Mot inconnu : elements => Cliquez sur la bibliothèque **SPICE simulation elements**, choisissez **gnucap-include-1.sym** et ajoutez le symbole au schéma.  | elements
65 Mot inconnu : gnucap-include-1 => Cliquez sur la bibliothèque **SPICE simulation elements**, choisissez **gnucap-include-1.sym** et ajoutez le symbole au schéma.  | gnucap-include-1
65 Mot inconnu : sym => Cliquez sur la bibliothèque **SPICE simulation elements**, choisissez **gnucap-include-1.sym** et ajoutez le symbole au schéma.  | sym
65 Espace(s) en fin de ligne à supprimer. => Cliquez sur la bibliothèque **SPICE simulation elements**, choisissez **gnucap-include-1.sym** et ajoutez le symbole au schéma.  |   => suggestions : ['']

69 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'aide du menu Édition disposez et arrangez les symboles électroniques en les sélectionnant //clic gauche//. | a => suggestions : ['À']

71 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'aide du menu //Ajouter -> Piste// connectez les éléments entre eux (//Clic droit// pour connecter, //clic gauche// pour arrêter). | a => suggestions : ['À']

73 Typographie : points de suspension. Utilisez le caractère dédié. => Puis en sélectionnant à la souris //clic gauche// chaque symbole et //clic droit// **Éditer...** ajoutez la **valeur** à l'attribut de nom **valeur** comme suit et attribuer un nom à chaque composant : champ **refdes**. | ... => suggestions : ['…']
73 Mot inconnu : refdes => Puis en sélectionnant à la souris //clic gauche// chaque symbole et //clic droit// **Éditer...** ajoutez la **valeur** à l'attribut de nom **valeur** comme suit et attribuer un nom à chaque composant : champ **refdes**. | refdes

85 Mot inconnu : Equipotentielles => ==Equipotentielles== | equipotentielles

87 Mot inconnu : netname => <note important>Pour que la simulation fonctionne il est impératif qu'une des équipotentielles (les connexions) ait un **netname** de valeur égale à **0** (zéro)</note> | netname

89 Mot inconnu : Valim => Sélectionnez avec la souris //clic gauche// une ligne de connexion entre **Valim** et **R1**, //clic droit// **Éditer...** modifiez la comme suit  | valim
89 Mot inconnu : R1 => Sélectionnez avec la souris //clic gauche// une ligne de connexion entre **Valim** et **R1**, //clic droit// **Éditer...** modifiez la comme suit  | r1
89 Typographie : points de suspension. Utilisez le caractère dédié. => Sélectionnez avec la souris //clic gauche// une ligne de connexion entre **Valim** et **R1**, //clic droit// **Éditer...** modifiez la comme suit  | ... => suggestions : ['…']
89 Espace(s) en fin de ligne à supprimer. => Sélectionnez avec la souris //clic gauche// une ligne de connexion entre **Valim** et **R1**, //clic droit// **Éditer...** modifiez la comme suit  |   => suggestions : ['']

95 Mot inconnu : Valim => Idem pour une ligne entre **Valim** et **C1** | valim
95 Mot inconnu : C1 => Idem pour une ligne entre **Valim** et **C1** | c1

99 Mot inconnu : C1 => Idem pour une ligne entre **C1** et **R1** | c1
99 Mot inconnu : R1 => Idem pour une ligne entre **C1** et **R1** | r1

103 Il manque un trait d’union. => Pour effectuer la simulation ci dessous, sauvegardez dans le répertoire **$HOME/Documents/examples/test** avec le nom **test.sch** | ci dessous => suggestions : ['ci-dessous']
103 Mot inconnu : sch => Pour effectuer la simulation ci dessous, sauvegardez dans le répertoire **$HOME/Documents/examples/test** avec le nom **test.sch** | sch

109 Mot inconnu : ngspice => ===== Exemple de simulation dans ngspice ===== | ngspice

111 Mot inconnu : netlist => Création du netlist de simulation pour ngspice | netlist
111 Mot inconnu : ngspice => Création du netlist de simulation pour ngspice | ngspice

209 Mot inconnu : ngspice => Puis lancer la simulation avec [[ngspice]] par exemple | ngspice

253 Mot inconnu : ngspice => Voir [[ngspice]] pour plus d'informations | ngspice

256 Mot inconnu : geda => Il suffit de désinstaller le paquet **geda**. | geda
