3 Mot inconnu : Filesystem [[11:21]] => ====== SSH Filesystem ====== <|> filesystem
36 Mot inconnu : endpoint [[74:82]] => Si vous avez l'erreur suivante : **fuse: bad mount point `tmp': Transport endpoint is not connected**, le point de montage st probablement déjà utilisé. <|> endpoint
36 Mot inconnu : is [[83:85]] => Si vous avez l'erreur suivante : **fuse: bad mount point `tmp': Transport endpoint is not connected**, le point de montage st probablement déjà utilisé. <|> is
36 Mot inconnu : not [[86:89]] => Si vous avez l'erreur suivante : **fuse: bad mount point `tmp': Transport endpoint is not connected**, le point de montage st probablement déjà utilisé. <|> not
36 Mot inconnu : connected [[90:99]] => Si vous avez l'erreur suivante : **fuse: bad mount point `tmp': Transport endpoint is not connected**, le point de montage st probablement déjà utilisé. <|> connected

39 Mot inconnu : mkdir [[50:55]] => Relancer la procédure ci-dessus (sans la partie **mkdir**, bien entendu.) <|> mkdir
43 Mot inconnu : mount [[56:61]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> mount
43 Mot inconnu : tmp [[69:72]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> tmp
43 Mot inconnu : Too [[75:78]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> too
43 Mot inconnu : many [[79:83]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> many
43 Mot inconnu : levels [[84:90]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> levels
43 Mot inconnu : of [[91:93]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> of
43 Mot inconnu : symbolic [[94:102]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> symbolic
43 Mot inconnu : sudo [[232:236]] => Si vous obtenez l'erreur obscure suivante : **fuse: bad mount point `tmp': Too many levels of symbolic links**, il faut vous connecter au moins une fois au serveur distant en tant que root (de la machine locale), par exemple avec **sudo** : <|> sudo

49 Mot inconnu : group [[52:57]] => Il arrive que le répertoire monté ait un autre user.group que ceux attendus sur le client.  C'est que ce sont les uid et gid en chiffres qui sont passés et qu'ils ne correspondent pas toujours aux mêmes utilisateurs et groupes sur le serveur et sur le client.  Utiliser les options :  <|> group
49 Espace(s) surnuméraire(s) à supprimer. [[90:92]] => Il arrive que le répertoire monté ait un autre user.group que ceux attendus sur le client.  C'est que ce sont les uid et gid en chiffres qui sont passés et qu'ils ne correspondent pas toujours aux mêmes utilisateurs et groupes sur le serveur et sur le client.  Utiliser les options :  <|>    => suggestions :  
49 Mot inconnu : uid [[114:117]] => Il arrive que le répertoire monté ait un autre user.group que ceux attendus sur le client.  C'est que ce sont les uid et gid en chiffres qui sont passés et qu'ils ne correspondent pas toujours aux mêmes utilisateurs et groupes sur le serveur et sur le client.  Utiliser les options :  <|> uid
49 Mot inconnu : gid [[121:124]] => Il arrive que le répertoire monté ait un autre user.group que ceux attendus sur le client.  C'est que ce sont les uid et gid en chiffres qui sont passés et qu'ils ne correspondent pas toujours aux mêmes utilisateurs et groupes sur le serveur et sur le client.  Utiliser les options :  <|> gid
49 Espace(s) surnuméraire(s) à supprimer. [[259:261]] => Il arrive que le répertoire monté ait un autre user.group que ceux attendus sur le client.  C'est que ce sont les uid et gid en chiffres qui sont passés et qu'ils ne correspondent pas toujours aux mêmes utilisateurs et groupes sur le serveur et sur le client.  Utiliser les options :  <|>    => suggestions :  
49 Espace(s) en fin de ligne à supprimer. [[283:284]] => Il arrive que le répertoire monté ait un autre user.group que ceux attendus sur le client.  C'est que ce sont les uid et gid en chiffres qui sont passés et qu'ils ne correspondent pas toujours aux mêmes utilisateurs et groupes sur le serveur et sur le client.  Utiliser les options :  <|>  

54 Mot inconnu : your-username [[189:202]] => Pour monter un disque dans un répertoire autre que le home afin de faire une sauvegarde du home par exemple il faut tout d'abord créer ce répertoire puis autoriser son accès (en remplaçant your-username par votre login): <|> your-username

61 Mot inconnu : Fusauto [[2:9]] => **Fusauto:** <|> fusauto
75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[116:119]] => Il faut y rajouter la ligne suivante : (attention: cette syntaxe est décrite comme dépréciée dans le manuel de fstab - voir la note ci-après) <|>  -  => suggestions :  –  —  − 
78 Espace(s) en fin de ligne à supprimer. [[321:322]] => <note>La syntaxe décrite ci-dessus est dépréciée. Bien que totalement juste et fonctionnelle, elle peut poser problème selon la configuration du montage, notamment lors du démontage par un utilisateur via nautilus ou la commande umount.\\ On privilégiera alors la syntaxe suivante qui résout le problème lors du démontage  <|>  

82 Mot inconnu : Autofs [[210:216]] => Une autre possibilité est de monter le disque à la connexion de l'utilisateur. Cela peut être très utile lorsque la connexion ne se fait pas immédiatement (Connexion Wifi e.g.), et représente une alternative à Autofs (cf ci-dessous). <|> autofs

98 Mot inconnu : sleep [[14:19]] => La commande //sleep 15// permet d'attendre que le réseau soit bien monté. Elle peut être réduite en cas de réseau filaire. <|> sleep

104 Avec le préfixe “quasi”, le trait d’union n’est présent que s’il s’agit d’un nom, pas s’il s’agit d’un adjectif ou d’un adverbe. [[35:49]] => Vous pouvez ainsi monter un nombre quasi-illimité de répertoires. Attention tout de même la connexion est permanente et consomme des ressources (limitées). <|> quasi-illimité => suggestions : quasi illimité

105 Mot inconnu : Autofs [[5:11]] => =====Autofs===== <|> autofs
107 Confusion probable. [[163:170]] => Le principal, c'est qu'il n'est pas toujours possible de rendre le montage automatique : Si lors du montage vous n'êtes pas encore connecté (en wifi par exemple), et bien le montage ne se fait pas, et il faut effectuer le montage manuellement. <|> et bien => suggestions : eh bienhé bien

110 Mot inconnu : autofs [[2:8]] => **autofs** permet de résoudre ces 2 problèmes. <|> autofs

112 Mot inconnu : _netdev [[44:51]] => <note>Une autre alternative est d'ajouter **_netdev** et de supprimer le paramètre **noauto** à la fin de la ligne de son fstab ce qui donnera alors: <|> _netdev
112 Mot inconnu : noauto [[85:91]] => <note>Une autre alternative est d'ajouter **_netdev** et de supprimer le paramètre **noauto** à la fin de la ligne de son fstab ce qui donnera alors: <|> noauto

114 Mot inconnu : Autofs [[17:23]] => L'installation d'Autofs devient donc inutile. L'ajout du paramètre **_netdev** dit à l'ordinateur: "Attention ce répertoire que tu veux monter est un répertoire réseau, il faut donc que tu attendes de t'être bien connecté avant d'essayer de le monter"</note> <|> autofs
114 Mot inconnu : _netdev [[69:76]] => L'installation d'Autofs devient donc inutile. L'ajout du paramètre **_netdev** dit à l'ordinateur: "Attention ce répertoire que tu veux monter est un répertoire réseau, il faut donc que tu attendes de t'être bien connecté avant d'essayer de le monter"</note> <|> _netdev
114 Guillemets typographiques ouvrants. [[99:100]] => L'installation d'Autofs devient donc inutile. L'ajout du paramètre **_netdev** dit à l'ordinateur: "Attention ce répertoire que tu veux monter est un répertoire réseau, il faut donc que tu attendes de t'être bien connecté avant d'essayer de le monter"</note> <|> " => suggestions : « “
114 Guillemets typographiques fermants. [[250:251]] => L'installation d'Autofs devient donc inutile. L'ajout du paramètre **_netdev** dit à l'ordinateur: "Attention ce répertoire que tu veux monter est un répertoire réseau, il faut donc que tu attendes de t'être bien connecté avant d'essayer de le monter"</note> <|> " => suggestions :  »”

116 Mot inconnu : autofs [[19:25]] => ====Installation d'autofs==== <|> autofs

119 Mot inconnu : autofs [[20:26]] => ====Configuration d'autofs==== <|> autofs
121 Mot inconnu : autofs [[33:39]] => Contrairement au montage NFS par autofs, SSHFS a besoin d'une authentification, et cette authentification doit se faire "automatiquement". <|> autofs
121 Mot inconnu : SSHFS [[41:46]] => Contrairement au montage NFS par autofs, SSHFS a besoin d'une authentification, et cette authentification doit se faire "automatiquement". <|> sshfs
121 Guillemets typographiques ouvrants. [[120:121]] => Contrairement au montage NFS par autofs, SSHFS a besoin d'une authentification, et cette authentification doit se faire "automatiquement". <|> " => suggestions : « “
121 Guillemets typographiques fermants. [[136:137]] => Contrairement au montage NFS par autofs, SSHFS a besoin d'une authentification, et cette authentification doit se faire "automatiquement". <|> " => suggestions :  »”

124 Mot inconnu : autofs [[17:23]] => Le problème avec autofs, c'est qu'il s'exécute en root. Il faut donc créer une paire de clés publiques/privées pour l'utilisateur root sur le client: <|> autofs
126 Mot inconnu : authorized_keys [[110:125]] => et l'autoriser sur le serveur en rajoutant le contenu ///root/.ssh/id_rsa.pub// du poste client dans //~/.ssh/authorized_keys// du poste serveur, pour chaque compte utilisateur auquel il sera possible de se connecter. <|> authorized_keys
131 Mot inconnu : autofs [[147:153]] => Maintenant que les problèmes de connexions ssh sont résolus, supprimez (ou commentez) dans ///etc/fstab// les montages que vous voulez gérer par **autofs** (si vous en aviez écrit auparavant). <|> autofs

133 Mot inconnu : userid [[20:26]] => ===Récupération des userid et groupe=== <|> userid

134 Mot inconnu : autofs [[81:87]] => Afin d'être propriétaire des répertoires qui vont être créés automatiquement par autofs, nous allons récupérer l'userid de l'utilisateur : <|> autofs
134 Mot inconnu : userid [[113:119]] => Afin d'être propriétaire des répertoires qui vont être créés automatiquement par autofs, nous allons récupérer l'userid de l'utilisateur : <|> userid

142 Mot inconnu : ghost [[9:14]] => L'option ghost permet de toujours afficher les répertoires, même lorsqu'ils ne sont pas montés. Il ne reste plus qu'à double-cliquer dessus dans le navigateur pour les monter automatiquement. <|> ghost

146 Mot inconnu : monRepertoire [[37:50]] => Le montage se fera alors dans ///net/monRepertoire// et pointera vers la machine //192.168.0.1// sur le répertoire ///media/share//. <|> monrepertoire
146 Mot inconnu : share [[124:129]] => Le montage se fera alors dans ///net/monRepertoire// et pointera vers la machine //192.168.0.1// sur le répertoire ///media/share//. <|> share

151 Mot inconnu : ZIK-portable [[31:43]] => Le montage se fera dans ///net/ZIK-portable// et pointera vers la machine //192.168.1.110// sur le répertoire //musique//. <|> zik-portable

159 Mot inconnu : passphrase [[17:27]] => ===Gestion de la passphrase=== <|> passphrase

160 Mot inconnu : passphrase [[24:34]] => Si vous avez défini une passphrase pour la clé de l'utilisateur root, vous devrez enregistrer auparavant (une seule fois pour chaque session) cette clé dans l'user-agent, par ssh-add. <|> passphrase
160 Mot inconnu : ssh-add [[175:182]] => Si vous avez défini une passphrase pour la clé de l'utilisateur root, vous devrez enregistrer auparavant (une seule fois pour chaque session) cette clé dans l'user-agent, par ssh-add. <|> ssh-add

162 Mot inconnu : ssh-add [[48:55]] => Malheureusement, après avoir entré une clé dans ssh-add, il faut relancer le serveur autofs: <|> ssh-add
162 Mot inconnu : autofs [[85:91]] => Malheureusement, après avoir entré une clé dans ssh-add, il faut relancer le serveur autofs: <|> autofs
167 Mot inconnu : svp [[102:105]] => Si vous avez une autre solution, éditez cette page et contactez l'auteur par jabber (rom1v@jabber.fr) svp :) <|> svp

170 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[5:8]] => ==== 1re méthode : fusauto ==== <|> 1re => suggestions : 1ʳᵉ
170 Mot inconnu : fusauto [[19:26]] => ==== 1re méthode : fusauto ==== <|> fusauto

175 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[5:7]] => ==== 2e méthode : Xsshfs ==== <|> 2e => suggestions : 2ᵉ
175 Mot inconnu : Xsshfs [[18:24]] => ==== 2e méthode : Xsshfs ==== <|> xsshfs
180 Mot inconnu : sshfs [[27:32]] =>   * Monter des répertoires sshfs <|> sshfs
181 Mot inconnu : sshfs [[29:34]] =>   * Démonter des répertoires sshfs <|> sshfs
186 Espace(s) en fin de ligne à supprimer. [[19:20]] => Deux possibilités :  <|>  

190 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[5:7]] => ==== 3e méthode : sshfs-dialog.sh ==== <|> 3e => suggestions : 3ᵉ
190 Mot inconnu : sshfs-dialog [[18:30]] => ==== 3e méthode : sshfs-dialog.sh ==== <|> sshfs-dialog
190 Mot inconnu : sh [[31:33]] => ==== 3e méthode : sshfs-dialog.sh ==== <|> sh

191 Mot inconnu : sshfs-dialog [[31:43]] => === Création et explication de sshfs-dialog.sh === <|> sshfs-dialog
191 Mot inconnu : sh [[44:46]] => === Création et explication de sshfs-dialog.sh === <|> sh

212 Mot inconnu : mount [[39:44]] => Une fois tout renseigné, cliquez sur **mount**, et un répertoire du nom du point de montage doit se créer, le mot de passe de l'utilisateur distant vous est demandé, et votre connexion montée sur le système de fichier !! <|> mount

215 Mot inconnu : Save [[66:70]] => Il est possible de sauvegarder la configuration en appuyant sur **Save** <|> save

217 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[58:60]] => Pour recharger la configuration, il faut passer un fichier .essh en paramètre du script (en faisant un glisser-déposer avec un gestionnaire de fichiers). <|>  . => suggestions : .. 
217 Mot inconnu : essh [[60:64]] => Pour recharger la configuration, il faut passer un fichier .essh en paramètre du script (en faisant un glisser-déposer avec un gestionnaire de fichiers). <|> essh
222 Pas d’espace après ce signe. [[62:64]] => Créez quelque part dans votre arborescence, un répertoire SSH ( /home/toto/Network/SSH ).\\ <|> (  => suggestions : (
222 Pas d’espace avant ce signe. [[86:88]] => Créez quelque part dans votre arborescence, un répertoire SSH ( /home/toto/Network/SSH ).\\ <|>  ) => suggestions : )

228 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[25:27]] => Vous obtenez des fichiers .essh, comme par exemple "toto@portable.essh" "tata@gouv.fr.essh".\\ <|>  . => suggestions : .. 
228 Mot inconnu : essh [[27:31]] => Vous obtenez des fichiers .essh, comme par exemple "toto@portable.essh" "tata@gouv.fr.essh".\\ <|> essh
228 Pléonasme. [[33:50]] => Vous obtenez des fichiers .essh, comme par exemple "toto@portable.essh" "tata@gouv.fr.essh".\\ <|> comme par exemple => suggestions : commepar exemple
228 Guillemets typographiques ouvrants. [[51:52]] => Vous obtenez des fichiers .essh, comme par exemple "toto@portable.essh" "tata@gouv.fr.essh".\\ <|> " => suggestions : « “
228 Guillemets typographiques ouvrants. [[72:73]] => Vous obtenez des fichiers .essh, comme par exemple "toto@portable.essh" "tata@gouv.fr.essh".\\ <|> " => suggestions : « “

230 Mot inconnu : sshfs-dialog [[50:62]] => Glisser/déposer le fichier toto@portable.essh sur sshfs-dialog.sh, et la fenêtre s'ouvre directement avec les informations renseignées.\\ <|> sshfs-dialog
230 Mot inconnu : sh [[63:65]] => Glisser/déposer le fichier toto@portable.essh sur sshfs-dialog.sh, et la fenêtre s'ouvre directement avec les informations renseignées.\\ <|> sh

232 Mot inconnu : essh [[49:53]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> essh
232 Guillemets typographiques ouvrants. [[82:83]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> " => suggestions : « “
232 Guillemets typographiques fermants. [[94:95]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> " => suggestions :  »”
232 Espace(s) surnuméraire(s) à supprimer. [[107:110]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|>     => suggestions :  
232 Mot inconnu : sshfs-dialog [[158:170]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> sshfs-dialog
232 Mot inconnu : sh [[171:173]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> sh
232 Guillemets typographiques ouvrants. [[194:195]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> " => suggestions : « “
232 Guillemets typographiques fermants. [[204:205]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> " => suggestions :  »”
232 Mot inconnu : essh [[338:342]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|> essh
232 Espace(s) en fin de ligne à supprimer. [[346:347]] => Vous pouvez aussi cliquer-droit sur le fichier *.essh puis propriétés -- > onglet "ouvrir avec" --> ajouter   et là vous sélectionnez l'emplacement du script sshfs-dialog.sh grâce à la commande "parcourir". Ainsi vous pourrez créer des lanceurs sur le bureau. Le script s'exécutera maintenant automatiquement en cliquant sur un fichier *.essh. \\  <|>  

234 Mot inconnu : ssh-dialog [[12:22]] => === Code de ssh-dialog.sh ===  <|> ssh-dialog
234 Mot inconnu : sh [[23:25]] => === Code de ssh-dialog.sh ===  <|> sh
234 Espace(s) en fin de ligne à supprimer. [[29:30]] => === Code de ssh-dialog.sh ===  <|>  
341 Mot inconnu : read [[22:26]] => Exemple message : //**read: Connection reset by peer**// <|> read
341 Mot inconnu : Connection [[28:38]] => Exemple message : //**read: Connection reset by peer**// <|> connection
341 Mot inconnu : reset [[39:44]] => Exemple message : //**read: Connection reset by peer**// <|> reset
341 Mot inconnu : by [[45:47]] => Exemple message : //**read: Connection reset by peer**// <|> by
341 Mot inconnu : peer [[48:52]] => Exemple message : //**read: Connection reset by peer**// <|> peer

342 Accord de nombre erroné : « option » devrait être au pluriel. [[27:33]] => On peut alors utiliser les option suivantes :  <|> option => suggestions : options
342 Espace(s) en fin de ligne à supprimer. [[45:46]] => On peut alors utiliser les option suivantes :  <|>  

343 Mot inconnu : odebug [[3:9]] => **-odebug,sshfs_debug,loglevel=debug**, en plus de la commande habituelle : <|> odebug
343 Il manque un espace. [[10:21]] => **-odebug,sshfs_debug,loglevel=debug**, en plus de la commande habituelle : <|> sshfs_debug => suggestions :  sshfs_debug
343 Mot inconnu : sshfs_debug [[10:21]] => **-odebug,sshfs_debug,loglevel=debug**, en plus de la commande habituelle : <|> sshfs_debug
343 Mot inconnu : loglevel [[22:30]] => **-odebug,sshfs_debug,loglevel=debug**, en plus de la commande habituelle : <|> loglevel
343 Mot inconnu : debug [[31:36]] => **-odebug,sshfs_debug,loglevel=debug**, en plus de la commande habituelle : <|> debug

351 Typographie : points de suspension. Utilisez le caractère dédié. [[29:32]] => //Contributeurs principaux : ...// <|> ... => suggestions : …
