
14 Mot inconnu : JLOG => ====== JLOG ====== | jlog
20 Mot inconnu : DX => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | dx

21 Mot inconnu : keyer => Le logiciel dispose également d'un keyer CW intégré et d'un pilotage de vos transceivers par port série. | keyer
21 Mot inconnu : CW => Le logiciel dispose également d'un keyer CW intégré et d'un pilotage de vos transceivers par port série. | cw
21 Mot inconnu : transceivers => Le logiciel dispose également d'un keyer CW intégré et d'un pilotage de vos transceivers par port série. | transceivers

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée ; |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

48 Mot inconnu : telecharger => Commencez par telecharger le fichier "install.bin" disponible à cette adresse : | telecharger
48 Guillemets typographiques ouvrants. => Commencez par telecharger le fichier "install.bin" disponible à cette adresse : | " => suggestions : ['«\xa0', '“']
48 Mot inconnu : install => Commencez par telecharger le fichier "install.bin" disponible à cette adresse : | install
48 Mot inconnu : bin => Commencez par telecharger le fichier "install.bin" disponible à cette adresse : | bin
48 Guillemets typographiques fermants. => Commencez par telecharger le fichier "install.bin" disponible à cette adresse : | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install sun-java6-jre |    => suggestions : ['']
53 Mot inconnu : sudo =>   sudo apt-get install sun-java6-jre | sudo
53 Mot inconnu : apt-get =>   sudo apt-get install sun-java6-jre | apt-get
53 Mot inconnu : install =>   sudo apt-get install sun-java6-jre | install
53 Mot inconnu : sun-java6-jre =>   sudo apt-get install sun-java6-jre | sun-java6-jre

54 Mot inconnu : repond => il nous demande si on veut installer les paquets --> on repond "y" comme yes | repond
54 Guillemets typographiques ouvrants. => il nous demande si on veut installer les paquets --> on repond "y" comme yes | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. => il nous demande si on veut installer les paquets --> on repond "y" comme yes | " => suggestions : ['\xa0»', '”']
54 Mot inconnu : yes => il nous demande si on veut installer les paquets --> on repond "y" comme yes | yes

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo $PATH |    => suggestions : ['']
57 Mot inconnu : echo =>   echo $PATH | echo
57 Mot inconnu : PATH =>   echo $PATH | path

58 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => il devrai il avoir quelque chose comme ceci qui apparait : /usr/java/ . | devrai => suggestions : ['devra']
58 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => il devrai il avoir quelque chose comme ceci qui apparait : /usr/java/ . | avoir => suggestions : ['eut', 'avait', 'a']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   PATH=$PATH:/usr/java/j2re1.5.0_08/bin; export PATH |    => suggestions : ['']
60 Mot inconnu : PATH =>   PATH=$PATH:/usr/java/j2re1.5.0_08/bin; export PATH | path
60 Mot inconnu : PATH =>   PATH=$PATH:/usr/java/j2re1.5.0_08/bin; export PATH | path
60 Mot inconnu : PATH =>   PATH=$PATH:/usr/java/j2re1.5.0_08/bin; export PATH | path

61 Mot inconnu : verifiez => puis verifiez avec : | verifiez

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo $PATH |    => suggestions : ['']
62 Mot inconnu : echo =>   echo $PATH | echo
62 Mot inconnu : PATH =>   echo $PATH | path

65 Mot inconnu : ca => une fois ca fait, il va falloir installer jlog proprement dit. | ca
65 Mot inconnu : jlog => une fois ca fait, il va falloir installer jlog proprement dit. | jlog

67 Mot inconnu : repertoire => Pour cela il suffit de se rendre dans le repertoire où il est installé, | repertoire

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sh ./install.bin |    => suggestions : ['']
69 Mot inconnu : sh =>   sh ./install.bin | sh
69 Mot inconnu : install =>   sh ./install.bin | install
69 Mot inconnu : bin =>   sh ./install.bin | bin

71 Mot inconnu : fenetre => Cela vous ouvre une fenetre d'installation. | fenetre

75 Mot inconnu : repertoire => vous pouvez le lancer depuis votre repertoire perso avec la commande : | repertoire

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sh runjLog |    => suggestions : ['']
76 Mot inconnu : sh =>   sh runjLog | sh
76 Mot inconnu : runjLog =>   sh runjLog | runjlog

78 Mot inconnu : Biensur => Biensur on peut rendre le fichier executable ou encore mieux : créer un lanceur. | biensur
78 Mot inconnu : executable => Biensur on peut rendre le fichier executable ou encore mieux : créer un lanceur. | executable

80 Mot inconnu : executable => Pour le rendre executable sans taper sh devant à chaques fois, il suffit de taper ceci: | executable
80 Mot inconnu : sh => Pour le rendre executable sans taper sh devant à chaques fois, il suffit de taper ceci: | sh
80 Mot inconnu : chaques => Pour le rendre executable sans taper sh devant à chaques fois, il suffit de taper ceci: | chaques

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod -x runjLog |    => suggestions : ['']
81 Mot inconnu : sudo =>   sudo chmod -x runjLog | sudo
81 Mot inconnu : chmod =>   sudo chmod -x runjLog | chmod
81 Il manque un espace à côté du tiret. =>   sudo chmod -x runjLog |  - => suggestions : [' – ', ' — ']
81 Mot inconnu : runjLog =>   sudo chmod -x runjLog | runjlog

88 Mot inconnu : FIXME => FIXME | fixme
100 Mot inconnu : F4EYE => //Contributeur : F4EYE.// | f4eye

101 Mot inconnu : f4eye => //f4eye(at)cegetel(dot)net// | f4eye
101 Mot inconnu : at => //f4eye(at)cegetel(dot)net// | at
101 Il manque un espace après la parenthèse. => //f4eye(at)cegetel(dot)net// | ) => suggestions : [') ']
101 Mot inconnu : cegetel => //f4eye(at)cegetel(dot)net// | cegetel
101 Il manque un espace avant la parenthèse. => //f4eye(at)cegetel(dot)net// | ( => suggestions : [' (']
101 Il manque un espace après la parenthèse. => //f4eye(at)cegetel(dot)net// | ) => suggestions : [') ']
