
4 Mot inconnu : chipset => ====== Faire fonctionner sa carte-son chipset UAC3553B ====== | chipset
45 Pas d’espace après ce signe. => ( Lorsque qu'on appuie sur le bouton **test** avec **Philips UAC3553B USB Audio (ALSA)** sélectionné, le système renvoie l'erreur  | (  => suggestions : ['(']
45 Mot inconnu : Philips => ( Lorsque qu'on appuie sur le bouton **test** avec **Philips UAC3553B USB Audio (ALSA)** sélectionné, le système renvoie l'erreur  | philips
45 Mot inconnu : UAC3553B => ( Lorsque qu'on appuie sur le bouton **test** avec **Philips UAC3553B USB Audio (ALSA)** sélectionné, le système renvoie l'erreur  | uac3553b
45 Mot inconnu : ALSA => ( Lorsque qu'on appuie sur le bouton **test** avec **Philips UAC3553B USB Audio (ALSA)** sélectionné, le système renvoie l'erreur  | alsa
45 Espace(s) en fin de ligne à supprimer. => ( Lorsque qu'on appuie sur le bouton **test** avec **Philips UAC3553B USB Audio (ALSA)** sélectionné, le système renvoie l'erreur  |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. |    => suggestions : ['']
46 Mot inconnu : audiotestsrc =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. | audiotestsrc
46 Mot inconnu : wave =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. | wave
46 Mot inconnu : freq =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. | freq
46 Mot inconnu : audioconvert =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. | audioconvert
46 Mot inconnu : audioresample =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. | audioresample
46 Mot inconnu : gconfaudiosink =>   audiotestsrc wave=sine freq=512 ! audioconvert ! audioresample ! gconfaudiosink: Impossible d'utiliser le périphérique audio pour la lecture. | gconfaudiosink

48 Mot inconnu : VLC => === VLC ===  | vlc
48 Espace(s) en fin de ligne à supprimer. => === VLC ===  |   => suggestions : ['']

49 Mot inconnu : linux => Il faut aller dans les options audio, et sélectionner dans le type de sortie **Sortie audio OSS pour linux** et choisir ensuite comme périphérique | linux

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sdb1 |    => suggestions : ['']

53 Mot inconnu : MPD => === MPD === | mpd

55 Espace(s) en fin de ligne à supprimer. => Dans le fichier de configuration, il suffit de mettre  |   => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   audio_output { |    => suggestions : ['']
56 Mot inconnu : audio_output =>   audio_output { | audio_output

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           type "alsa" |            => suggestions : ['']
57 Guillemets typographiques ouvrants. =>           type "alsa" | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : alsa =>           type "alsa" | alsa
57 Guillemets typographiques fermants. =>           type "alsa" | " => suggestions : ['\xa0»', '”']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           name "My Alsa Output usb"  |            => suggestions : ['']
58 Mot inconnu : name =>           name "My Alsa Output usb"  | name
58 Guillemets typographiques ouvrants. =>           name "My Alsa Output usb"  | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : My =>           name "My Alsa Output usb"  | my
58 Mot inconnu : Alsa =>           name "My Alsa Output usb"  | alsa
58 Mot inconnu : usb =>           name "My Alsa Output usb"  | usb
58 Guillemets typographiques fermants. =>           name "My Alsa Output usb"  | " => suggestions : ['\xa0»', '”']
58 Espace(s) en fin de ligne à supprimer. =>           name "My Alsa Output usb"  |   => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           device "hw:X,0" |            => suggestions : ['']
59 Mot inconnu : device =>           device "hw:X,0" | device
59 Guillemets typographiques ouvrants. =>           device "hw:X,0" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : hw =>           device "hw:X,0" | hw
59 Il manque un espace. =>           device "hw:X,0" | x => suggestions : [' X']
59 Guillemets typographiques fermants. =>           device "hw:X,0" | " => suggestions : ['\xa0»', '”']

60 Incohérence : espace et tabulation. => 	  format  	"48000:16:2" | 	  => suggestions : [' ', '\t']
60 Espace(s) surnuméraire(s) à supprimer. => 	  format  	"48000:16:2" |    => suggestions : [' ']
60 Incohérence : espace et tabulation. => 	  format  	"48000:16:2" |  	 => suggestions : [' ', '\t']
60 Guillemets typographiques ouvrants. => 	  format  	"48000:16:2" | " => suggestions : ['«\xa0', '“']
60 Formatage des grands nombres. => 	  format  	"48000:16:2" | 48000 => suggestions : ['48\xa0000']
60 Guillemets typographiques fermants. => 	  format  	"48000:16:2" | " => suggestions : ['\xa0»', '”']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

62 Espace(s) en fin de ligne à supprimer. => où X représente le numéro de votre carte son dans  |   => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cat /proc/asound/modules  |    => suggestions : ['']
63 Mot inconnu : cat =>   cat /proc/asound/modules  | cat
63 Mot inconnu : proc =>   cat /proc/asound/modules  | proc
63 Mot inconnu : asound =>   cat /proc/asound/modules  | asound
63 Espace(s) en fin de ligne à supprimer. =>   cat /proc/asound/modules  |   => suggestions : ['']

64 Mot inconnu : son_problemes => (voir [[son_problemes#plusieurs_cartes_son|ici]] pour plus d'informations )\\ | son_problemes
64 Pas d’espace avant ce signe. => (voir [[son_problemes#plusieurs_cartes_son|ici]] pour plus d'informations )\\ |  ) => suggestions : [')']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    	  format  	"48000:16:2" |     => suggestions : ['']
65 Incohérence : espace et tabulation. =>    	  format  	"48000:16:2" |  	 => suggestions : [' ', '\t']
65 Espace(s) surnuméraire(s) à supprimer. =>    	  format  	"48000:16:2" |    => suggestions : [' ']
65 Incohérence : espace et tabulation. =>    	  format  	"48000:16:2" |  	 => suggestions : [' ', '\t']
65 Guillemets typographiques ouvrants. =>    	  format  	"48000:16:2" | " => suggestions : ['«\xa0', '“']
65 Formatage des grands nombres. =>    	  format  	"48000:16:2" | 48000 => suggestions : ['48\xa0000']
65 Guillemets typographiques fermants. =>    	  format  	"48000:16:2" | " => suggestions : ['\xa0»', '”']

66 Mot inconnu : UAC3553B => permet peut-être d'éviter les grésillements qui surviennent parfois (UAC3553B n'accepte que 48000Hz comme échantillonage).\\ | uac3553b
66 Avec une unité de mesure, mettez un espace insécable. => permet peut-être d'éviter les grésillements qui surviennent parfois (UAC3553B n'accepte que 48000Hz comme échantillonage).\\ | 48000hz => suggestions : ['48\xa0000\xa0Hz']
66 Mot inconnu : échantillonage => permet peut-être d'éviter les grésillements qui surviennent parfois (UAC3553B n'accepte que 48000Hz comme échantillonage).\\ | échantillonage

69 Espace(s) en fin de ligne à supprimer. => rajouter  |   => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mixer_type          "software" |    => suggestions : ['']
70 Mot inconnu : mixer_type =>   mixer_type          "software" | mixer_type
70 Espace(s) surnuméraire(s) à supprimer. =>   mixer_type          "software" |            => suggestions : [' ']
70 Guillemets typographiques ouvrants. =>   mixer_type          "software" | " => suggestions : ['«\xa0', '“']
70 Guillemets typographiques fermants. =>   mixer_type          "software" | " => suggestions : ['\xa0»', '”']

71 Mot inconnu : mpd => permettra de contrôler le volume depuis mpd. | mpd

74 Espace(s) en fin de ligne à supprimer. => === Problèmes ===  |   => suggestions : ['']

75 Mot inconnu : firefox => Je n'ai pas réussi à faire marcher le son avec firefox, peut être qu'en faisant passer tout le son par pulseaudio cela pourrait marcher....\\ | firefox
75 Mot inconnu : pulseaudio => Je n'ai pas réussi à faire marcher le son avec firefox, peut être qu'en faisant passer tout le son par pulseaudio cela pourrait marcher....\\ | pulseaudio
75 Typographie : points de suspension. Utilisez le caractère dédié. => Je n'ai pas réussi à faire marcher le son avec firefox, peut être qu'en faisant passer tout le son par pulseaudio cela pourrait marcher....\\ | .... => suggestions : ['…']

76 Mot inconnu : firefox => De plus, lorsque firefox est lancé, il y a des grésillements lors de la lecture du son voir des distorsions.\\ | firefox

81 Mot inconnu : Xubuntu => ==== Xubuntu ==== | xubuntu

83 Mot inconnu : UAC3553B => <note tip>L'environnement parfait si vous ne voulez pas vous prendre la tête avec UAC3553B</note> | uac3553b

84 Mot inconnu : Xubuntu-base => <note warning>Si vous avez déjà installé Ubuntu, je déconseille d'installer Xubuntu-base par dessus (pour avoir l'environnement de Xubuntu), il risque d'y avoir encore plus de problèmes qu'avant.</note> | xubuntu-base
84 Il manque un trait d’union. => <note warning>Si vous avez déjà installé Ubuntu, je déconseille d'installer Xubuntu-base par dessus (pour avoir l'environnement de Xubuntu), il risque d'y avoir encore plus de problèmes qu'avant.</note> | par dessus => suggestions : ['par-dessus']
84 Mot inconnu : Xubuntu => <note warning>Si vous avez déjà installé Ubuntu, je déconseille d'installer Xubuntu-base par dessus (pour avoir l'environnement de Xubuntu), il risque d'y avoir encore plus de problèmes qu'avant.</note> | xubuntu

91 Mot inconnu : MPD => === MPD ===  | mpd
91 Espace(s) en fin de ligne à supprimer. => === MPD ===  |   => suggestions : ['']

99 Mot inconnu : xbindkeys => [[xbindkeys]] marche bien pour configurer les touches associées.\\ | xbindkeys

101 Mot inconnu : xbindkeys => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | xbindkeys
101 Mot inconnu : philips => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | philips
101 Mot inconnu : MC-M570 => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | mc-m570
101 Mot inconnu : XF86AudioPlay => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | xf86audioplay
101 Mot inconnu : Next => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | next
101 Avant « etc. », il faut mettre une virgule. => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. |  etc. => suggestions : [', etc.']
101 Un seul point après « etc. » => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | etc... => suggestions : ['etc.']
101 Mot inconnu : xbindkeys => Sous gnome, les touches sont prises en charge directement dans les raccourcis clavier. Pour les utiliser avec xbindkeys, il faudra toutefois désactiver les actions associées à ces touches (toujours dans les raccourcis clavier, avec la chaîne philips MC-M570, elles sont directement associées aux fonctions de lecture à travers les raccourcis XF86AudioPlay|Next etc...) pour que xbindkeys puisse y accéder. | xbindkeys
107 Mot inconnu : islington => //Contributeurs principaux : [[islington]]// | islington
