
3 Mot inconnu : Nvclock => ====== Nvclock permet une gestion avancée des cartes nvidia ====== | nvclock
62 Guillemets typographiques ouvrants. =>   - pour les utilisateurs de kubuntu il faut remplacer ''gtk'' par ''qt'' | '' => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. =>   - pour les utilisateurs de kubuntu il faut remplacer ''gtk'' par ''qt'' | '' => suggestions : ['\xa0»', '”']

64 Mot inconnu : NVClock-gtk => == NVClock-gtk == | nvclock-gtk

66 Mot inconnu : nvclock => Il existe aussi une version graphique de nvclock nommée nvclock-gtk | nvclock
66 Mot inconnu : nvclock-gtk => Il existe aussi une version graphique de nvclock nommée nvclock-gtk | nvclock-gtk

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      sudo apt-get install nvclock nvclock-gtk |       => suggestions : ['']
69 Mot inconnu : sudo =>      sudo apt-get install nvclock nvclock-gtk | sudo
69 Mot inconnu : apt-get =>      sudo apt-get install nvclock nvclock-gtk | apt-get
69 Mot inconnu : install =>      sudo apt-get install nvclock nvclock-gtk | install
69 Mot inconnu : nvclock =>      sudo apt-get install nvclock nvclock-gtk | nvclock
69 Mot inconnu : nvclock-gtk =>      sudo apt-get install nvclock nvclock-gtk | nvclock-gtk

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      nvclock_gtk |       => suggestions : ['']
72 Mot inconnu : nvclock_gtk =>      nvclock_gtk | nvclock_gtk

76 Guillemets typographiques ouvrants. => ''nvclock --help'' pour avoir les options disponibles sur la ligne de commande... | '' => suggestions : ['«\xa0', '“']
76 Mot inconnu : nvclock => ''nvclock --help'' pour avoir les options disponibles sur la ligne de commande... | nvclock
76 Mot inconnu : help => ''nvclock --help'' pour avoir les options disponibles sur la ligne de commande... | help
76 Guillemets typographiques fermants. => ''nvclock --help'' pour avoir les options disponibles sur la ligne de commande... | '' => suggestions : ['\xa0»', '”']
76 Typographie : points de suspension. Utilisez le caractère dédié. => ''nvclock --help'' pour avoir les options disponibles sur la ligne de commande... | ... => suggestions : ['…']

79 Écriture invariable. Utilisez un point médian. => ===== Note(s) ===== | note(s) => suggestions : ['Note·s']

83 Mot inconnu : irc => Le plus rapide étant l'irc : #nvclock at freenode.net (mais attention anglais obligatoire ;-)) | irc
83 Mot inconnu : at => Le plus rapide étant l'irc : #nvclock at freenode.net (mais attention anglais obligatoire ;-)) | at
83 Mot inconnu : freenode => Le plus rapide étant l'irc : #nvclock at freenode.net (mais attention anglais obligatoire ;-)) | freenode
87 Il manque un espace. => //Contributeurs : [[utilisateurs:Dylhoxic]]// | dylhoxic => suggestions : [' Dylhoxic']
