
5 Mot inconnu : Savage => ====== Savage 2 : A Tortured Soul ====== | savage
19 Accord de nombre erroné : « jeux » devrait être au singulier. => <note important>A noter que le jeux nécessite une accélération 3d fonctionnelle. | jeux => suggestions : ['jeu']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  **Minimum** : |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  Processeur - 2.2GHz Pentium 4 / AMD 2000+ ou plus rapide |      => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     *  Processeur - 2.2GHz Pentium 4 / AMD 2000+ ou plus rapide |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
24 Mot inconnu : Pentium =>     *  Processeur - 2.2GHz Pentium 4 / AMD 2000+ ou plus rapide | pentium

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  RAM - 1GB de RAM |      => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     *  RAM - 1GB de RAM |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
25 Mot inconnu : GB =>     *  RAM - 1GB de RAM | gb

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon |      => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
26 Mot inconnu : MB =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon | mb
26 Mot inconnu : OpenGL =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon | opengl
26 Mot inconnu : GLSL =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon | glsl
26 Mot inconnu : Geforce =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon | geforce
26 Mot inconnu : Radeon =>     *  Carte Vidéo - 128MB supportant OpenGL 2.0 / compatible GLSL 1.20 Geforce ou Radeon | radeon

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  Connexion réseau requise |      => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  **Recommandée** : |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  Processeur - 2.0GHz Core 2 Duo / AMD 3500+ ou plus rapide |      => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     *  Processeur - 2.0GHz Core 2 Duo / AMD 3500+ ou plus rapide |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
30 Mot inconnu : Core =>     *  Processeur - 2.0GHz Core 2 Duo / AMD 3500+ ou plus rapide | core

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  RAM - 1.5GB ou plus |      => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     *  RAM - 1.5GB ou plus |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
31 Mot inconnu : GB =>     *  RAM - 1.5GB ou plus | gb

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  Carte Vidéo - 256MB Geforce 7800+ ou Radeon X1900+ |      => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>     *  Carte Vidéo - 256MB Geforce 7800+ ou Radeon X1900+ |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
32 Mot inconnu : MB =>     *  Carte Vidéo - 256MB Geforce 7800+ ou Radeon X1900+ | mb
32 Mot inconnu : Geforce =>     *  Carte Vidéo - 256MB Geforce 7800+ ou Radeon X1900+ | geforce
32 Mot inconnu : Radeon =>     *  Carte Vidéo - 256MB Geforce 7800+ ou Radeon X1900+ | radeon
32 Mot inconnu : X1900 =>     *  Carte Vidéo - 256MB Geforce 7800+ ou Radeon X1900+ | x1900

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  Connexion réseau requise (haut débit)   |      => suggestions : ['']
33 Espace(s) en fin de ligne à supprimer. =>     *  Connexion réseau requise (haut débit)   |    => suggestions : ['']

35 Mot inconnu : OpenGL => ===== Problème avec l'OpenGL ===== | opengl

41 Mot inconnu : OpenGL => Vérifier que vous avez le support de l'OpenGL activé:  | opengl
41 Espace(s) en fin de ligne à supprimer. => Vérifier que vous avez le support de l'OpenGL activé:  |   => suggestions : ['']

45 Mot inconnu : ca => Cela doit donner quelque chose comme ca: | ca

52 Mot inconnu : connection => Cela peut prendre une dizaine de minutes, voir plus selon votre connection, et pendant ce temps la console ne vous donnera aucune information sur l'avancement de la mise à jour, c'est tout à fait normal. Quand c'est terminé (pour le savoir, dans la console, tapez "version" au début et comparez régulièrement. Quand la version aura changé, alors la mise à jour aura été faite.) vous pouvez lancer le jeu, en version 2.0. | connection
52 Guillemets typographiques ouvrants. => Cela peut prendre une dizaine de minutes, voir plus selon votre connection, et pendant ce temps la console ne vous donnera aucune information sur l'avancement de la mise à jour, c'est tout à fait normal. Quand c'est terminé (pour le savoir, dans la console, tapez "version" au début et comparez régulièrement. Quand la version aura changé, alors la mise à jour aura été faite.) vous pouvez lancer le jeu, en version 2.0. | " => suggestions : ['«\xa0', '“']
52 Guillemets typographiques fermants. => Cela peut prendre une dizaine de minutes, voir plus selon votre connection, et pendant ce temps la console ne vous donnera aucune information sur l'avancement de la mise à jour, c'est tout à fait normal. Quand c'est terminé (pour le savoir, dans la console, tapez "version" au début et comparez régulièrement. Quand la version aura changé, alors la mise à jour aura été faite.) vous pouvez lancer le jeu, en version 2.0. | " => suggestions : ['\xa0»', '”']

56 Mot inconnu : linux => Un client linux 32bits et un 64bits  sont disponibles [[http://savage2.s2games.com/download.php|en téléchargement]]. | linux
56 Espace(s) surnuméraire(s) à supprimer. => Un client linux 32bits et un 64bits  sont disponibles [[http://savage2.s2games.com/download.php|en téléchargement]]. |    => suggestions : [' ']

58 Mot inconnu : bin => L'exécutable d'installation se présente sous la forme d'un fichier **.bin**. | bin

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ./<nom du fichier .bin> |    => suggestions : ['']
62 Mot inconnu : sudo =>   sudo ./<nom du fichier .bin> | sudo
62 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   sudo ./<nom du fichier .bin> |  . => suggestions : ['. ', '.']
64 Guillemets typographiques ouvrants. => <note help>Si le terminal vous renvoie : "text file busy" fermez votre logiciel de torrent et réessayer</note> | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : text => <note help>Si le terminal vous renvoie : "text file busy" fermez votre logiciel de torrent et réessayer</note> | text
64 Mot inconnu : busy => <note help>Si le terminal vous renvoie : "text file busy" fermez votre logiciel de torrent et réessayer</note> | busy
64 Guillemets typographiques fermants. => <note help>Si le terminal vous renvoie : "text file busy" fermez votre logiciel de torrent et réessayer</note> | " => suggestions : ['\xa0»', '”']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /usr/local/games/Savage2/savage2.bin |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Le menu option du jeux est plutôt bien fourni, vous devriez y trouver votre bonheur, sinon référez vous aux paragraphes qui suivent. |   => suggestions : ['']
78 Accord de nombre erroné : « jeux » devrait être au singulier. =>  Le menu option du jeux est plutôt bien fourni, vous devriez y trouver votre bonheur, sinon référez vous aux paragraphes qui suivent. | jeux => suggestions : ['jeu']
78 Forme interrogative ? Mettez un trait d’union. =>  Le menu option du jeux est plutôt bien fourni, vous devriez y trouver votre bonheur, sinon référez vous aux paragraphes qui suivent. | référez vous => suggestions : ['référez-vous']

86 Mot inconnu : SetSave => **SetSave vid_width **   pour la largeur | setsave
86 Mot inconnu : vid_width => **SetSave vid_width **   pour la largeur | vid_width

87 Espace(s) en fin de ligne à supprimer. => et  |   => suggestions : ['']

88 Mot inconnu : SetSave => **SetSave vid_height **  pour la hauteur | setsave
88 Mot inconnu : vid_height => **SetSave vid_height **  pour la hauteur | vid_height

90 Écriture invariable. Utilisez un point médian. => ===== Problème(s) connu (et solution(s)) ===== | problème(s) => suggestions : ['Problème·s']
90 Écriture invariable. Utilisez un point médian. => ===== Problème(s) connu (et solution(s)) ===== | solution(s) => suggestions : ['solution·s']

94 Mot inconnu : PulseAudio => === Problème de son avec PulseAudio (ubuntu 8.10) === | pulseaudio

95 Guillemets typographiques ouvrants. => Avec certaines configurations, le son peut "craquer". Dans ce cas, même si la configuration du jeu indique une configuration sous Alsa, cela passera par PulseAudio.  | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. => Avec certaines configurations, le son peut "craquer". Dans ce cas, même si la configuration du jeu indique une configuration sous Alsa, cela passera par PulseAudio.  | " => suggestions : ['\xa0»', '”']
95 Mot inconnu : Alsa => Avec certaines configurations, le son peut "craquer". Dans ce cas, même si la configuration du jeu indique une configuration sous Alsa, cela passera par PulseAudio.  | alsa
95 Mot inconnu : PulseAudio => Avec certaines configurations, le son peut "craquer". Dans ce cas, même si la configuration du jeu indique une configuration sous Alsa, cela passera par PulseAudio.  | pulseaudio
95 Espace(s) en fin de ligne à supprimer. => Avec certaines configurations, le son peut "craquer". Dans ce cas, même si la configuration du jeu indique une configuration sous Alsa, cela passera par PulseAudio.  |   => suggestions : ['']
97 Mot inconnu : savage2 => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | savage2
97 Mot inconnu : game => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | game
97 Mot inconnu : cfg => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | cfg
97 Mot inconnu : sound_mixrate => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | sound_mixrate
97 Guillemets typographiques ouvrants. => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | " => suggestions : ['«\xa0', '“']
97 Formatage des grands nombres. => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | 48000 => suggestions : ['48\xa0000']
97 Guillemets typographiques fermants. => Pour corriger ce problème : dans le fichier **~/.savage2/game/startup.cfg**, changer la valeur de **sound_mixrate** par "48000". | " => suggestions : ['\xa0»', '”']

99 Espace(s) en fin de ligne à supprimer. => === Mise à jour en boucle ===  |   => suggestions : ['']

102 Mot inconnu : Savage2 => Avec la version 2.1.0.0 (ou 2.1.0.1), lorsque vous souhaitez vous loguer, Savage2 va télécharger une mise à jour (la 2.1.0.2), l'installer et redémarrer. Seulement, vous constatez que le jeu va re-télécharger et réinstaller la même mise à jour en boucle.  | savage2
102 Espace(s) en fin de ligne à supprimer. => Avec la version 2.1.0.0 (ou 2.1.0.1), lorsque vous souhaitez vous loguer, Savage2 va télécharger une mise à jour (la 2.1.0.2), l'installer et redémarrer. Seulement, vous constatez que le jeu va re-télécharger et réinstaller la même mise à jour en boucle.  |   => suggestions : ['']
105 Mot inconnu : F8 => Lorsque vous lancez le jeu, une fois au menu principal ouvrez la console (touche: Ctrl+F8) et tapez ceci: | f8

106 Mot inconnu : setsave => **setsave upd_checkforupdates "false"** | setsave
106 Mot inconnu : upd_checkforupdates => **setsave upd_checkforupdates "false"** | upd_checkforupdates
106 Guillemets typographiques ouvrants. => **setsave upd_checkforupdates "false"** | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : false => **setsave upd_checkforupdates "false"** | false
106 Guillemets typographiques fermants. => **setsave upd_checkforupdates "false"** | " => suggestions : ['\xa0»', '”']

108 Mot inconnu : F8 => Fermez ensuite la console (toujours Ctrl+F8). Cliquez sur "Login" et normalement vous pourrez vous loguer. | f8
108 Guillemets typographiques ouvrants. => Fermez ensuite la console (toujours Ctrl+F8). Cliquez sur "Login" et normalement vous pourrez vous loguer. | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Fermez ensuite la console (toujours Ctrl+F8). Cliquez sur "Login" et normalement vous pourrez vous loguer. | " => suggestions : ['\xa0»', '”']

110 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note important>C'est une solution mais elle n'est pas recommandée. Si vous n'arrivez pas a vous connecter, c'est sans doute car vous n'avez justement pas la dernière version de Savage 2. En cas de nouveau patch par S2 Games, le jeu ne pourra pas télécharger automatiquement le correctif.</note> |  mais => suggestions : [', mais']
110 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => <note important>C'est une solution mais elle n'est pas recommandée. Si vous n'arrivez pas a vous connecter, c'est sans doute car vous n'avez justement pas la dernière version de Savage 2. En cas de nouveau patch par S2 Games, le jeu ne pourra pas télécharger automatiquement le correctif.</note> | a => suggestions : ['à']
110 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => <note important>C'est une solution mais elle n'est pas recommandée. Si vous n'arrivez pas a vous connecter, c'est sans doute car vous n'avez justement pas la dernière version de Savage 2. En cas de nouveau patch par S2 Games, le jeu ne pourra pas télécharger automatiquement le correctif.</note> |  car => suggestions : [', car']
110 Mot inconnu : Savage => <note important>C'est une solution mais elle n'est pas recommandée. Si vous n'arrivez pas a vous connecter, c'est sans doute car vous n'avez justement pas la dernière version de Savage 2. En cas de nouveau patch par S2 Games, le jeu ne pourra pas télécharger automatiquement le correctif.</note> | savage
110 Mot inconnu : S2 => <note important>C'est une solution mais elle n'est pas recommandée. Si vous n'arrivez pas a vous connecter, c'est sans doute car vous n'avez justement pas la dernière version de Savage 2. En cas de nouveau patch par S2 Games, le jeu ne pourra pas télécharger automatiquement le correctif.</note> | s2
110 Mot inconnu : Games => <note important>C'est une solution mais elle n'est pas recommandée. Si vous n'arrivez pas a vous connecter, c'est sans doute car vous n'avez justement pas la dernière version de Savage 2. En cas de nouveau patch par S2 Games, le jeu ne pourra pas télécharger automatiquement le correctif.</note> | games

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Site officiel : **(en)** http://savage2.s2games.com |    => suggestions : ['']
