
5 Mot inconnu : Uim-Anthy => ====== Uim-Anthy : Comment écrire en Japonais ? ====== | uim-anthy
34 Mot inconnu : uim =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim
34 Mot inconnu : anthy =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | anthy
34 Mot inconnu : uim =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim
34 Mot inconnu : uim =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim
34 Mot inconnu : anthy =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | anthy
34 Mot inconnu : anthy =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | anthy
34 Mot inconnu : uim =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **uim-gtk2.0** est un module Gtk pour utiliser uim dans Gnome. Son principal bénéfice est de permettre la saisie du japonais dans toutes les applications Gtk, de façon plus souple et adaptée que //via// Xim. |    => suggestions : ['']
36 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * **uim-gtk2.0** est un module Gtk pour utiliser uim dans Gnome. Son principal bénéfice est de permettre la saisie du japonais dans toutes les applications Gtk, de façon plus souple et adaptée que //via// Xim. | uim-gtk2 => suggestions : ['Uim-gtk2']
36 Mot inconnu : uim-gtk2 =>   * **uim-gtk2.0** est un module Gtk pour utiliser uim dans Gnome. Son principal bénéfice est de permettre la saisie du japonais dans toutes les applications Gtk, de façon plus souple et adaptée que //via// Xim. | uim-gtk2
36 Mot inconnu : uim =>   * **uim-gtk2.0** est un module Gtk pour utiliser uim dans Gnome. Son principal bénéfice est de permettre la saisie du japonais dans toutes les applications Gtk, de façon plus souple et adaptée que //via// Xim. | uim
36 Mot inconnu : Xim =>   * **uim-gtk2.0** est un module Gtk pour utiliser uim dans Gnome. Son principal bénéfice est de permettre la saisie du japonais dans toutes les applications Gtk, de façon plus souple et adaptée que //via// Xim. | xim

40 Mot inconnu : Ibus => Comme nous l'avons dit, Ibus est le choix par défaut d'Ubuntu dans les préférences de langues. Pour utiliser UIM, allez dans **Paramètres système → Prise en charge des langues** et à la place d'ibus choisissez **UIM**. | ibus
40 Mot inconnu : UIM => Comme nous l'avons dit, Ibus est le choix par défaut d'Ubuntu dans les préférences de langues. Pour utiliser UIM, allez dans **Paramètres système → Prise en charge des langues** et à la place d'ibus choisissez **UIM**. | uim
40 Mot inconnu : ibus => Comme nous l'avons dit, Ibus est le choix par défaut d'Ubuntu dans les préférences de langues. Pour utiliser UIM, allez dans **Paramètres système → Prise en charge des langues** et à la place d'ibus choisissez **UIM**. | ibus
40 Mot inconnu : UIM => Comme nous l'avons dit, Ibus est le choix par défaut d'Ubuntu dans les préférences de langues. Pour utiliser UIM, allez dans **Paramètres système → Prise en charge des langues** et à la place d'ibus choisissez **UIM**. | uim

52 Accord de genre erroné : « petit » est masculin, « icône » est féminin. => Un menu de préférences est accessible directement depuis ce petit icône, il vous permet de modifier l'ensemble du comportement clavier pour uim-anthy, notamment les combinaisons de touches d'activation/désactivation. Toujours dans l'applet, vous pouvez choisir d'autres méthodes de saisie qu'anthy, pour écrire en coréen, chinois... à condition d'avoir installé les plugins adéquats pour uim. | icône => suggestions : []
52 Mot inconnu : uim-anthy => Un menu de préférences est accessible directement depuis ce petit icône, il vous permet de modifier l'ensemble du comportement clavier pour uim-anthy, notamment les combinaisons de touches d'activation/désactivation. Toujours dans l'applet, vous pouvez choisir d'autres méthodes de saisie qu'anthy, pour écrire en coréen, chinois... à condition d'avoir installé les plugins adéquats pour uim. | uim-anthy
52 Mot inconnu : anthy => Un menu de préférences est accessible directement depuis ce petit icône, il vous permet de modifier l'ensemble du comportement clavier pour uim-anthy, notamment les combinaisons de touches d'activation/désactivation. Toujours dans l'applet, vous pouvez choisir d'autres méthodes de saisie qu'anthy, pour écrire en coréen, chinois... à condition d'avoir installé les plugins adéquats pour uim. | anthy
52 Typographie : points de suspension. Utilisez le caractère dédié. => Un menu de préférences est accessible directement depuis ce petit icône, il vous permet de modifier l'ensemble du comportement clavier pour uim-anthy, notamment les combinaisons de touches d'activation/désactivation. Toujours dans l'applet, vous pouvez choisir d'autres méthodes de saisie qu'anthy, pour écrire en coréen, chinois... à condition d'avoir installé les plugins adéquats pour uim. | ... => suggestions : ['…']
52 Mot inconnu : uim => Un menu de préférences est accessible directement depuis ce petit icône, il vous permet de modifier l'ensemble du comportement clavier pour uim-anthy, notamment les combinaisons de touches d'activation/désactivation. Toujours dans l'applet, vous pouvez choisir d'autres méthodes de saisie qu'anthy, pour écrire en coréen, chinois... à condition d'avoir installé les plugins adéquats pour uim. | uim
62 Mot inconnu : Shift => Tapez quelques lettres : vous écrivez pour le moment toujours en caractères romains. Pressez les touches Shift et Espace simultanément pour basculer sur la méthode de saisie anthy : vous devriez observer un changement dans l'applet, le « a » devenant あ. Tapez par exemple « watashi » (« je » en japonais) : le texte affiché devrait être わたし, en hiragana. Pour valider le mot en hiragana, tapez Entrée. Pour le transformer en kanji, appuyez sur Espace. Si l'écriture et le sens vous conviennent, tapez sur Entrée ; sinon, des appuis successifs sur Espace parcourent un menu contextuel permettant de choisir une entrée dans une liste des écritures et sens possibles pour le mot tapé. Pour revenir à l'écriture romane, refaite la combinaison de touches Shift+Espace. | shift
62 Mot inconnu : anthy => Tapez quelques lettres : vous écrivez pour le moment toujours en caractères romains. Pressez les touches Shift et Espace simultanément pour basculer sur la méthode de saisie anthy : vous devriez observer un changement dans l'applet, le « a » devenant あ. Tapez par exemple « watashi » (« je » en japonais) : le texte affiché devrait être わたし, en hiragana. Pour valider le mot en hiragana, tapez Entrée. Pour le transformer en kanji, appuyez sur Espace. Si l'écriture et le sens vous conviennent, tapez sur Entrée ; sinon, des appuis successifs sur Espace parcourent un menu contextuel permettant de choisir une entrée dans une liste des écritures et sens possibles pour le mot tapé. Pour revenir à l'écriture romane, refaite la combinaison de touches Shift+Espace. | anthy
62 Mot inconnu : あ => Tapez quelques lettres : vous écrivez pour le moment toujours en caractères romains. Pressez les touches Shift et Espace simultanément pour basculer sur la méthode de saisie anthy : vous devriez observer un changement dans l'applet, le « a » devenant あ. Tapez par exemple « watashi » (« je » en japonais) : le texte affiché devrait être わたし, en hiragana. Pour valider le mot en hiragana, tapez Entrée. Pour le transformer en kanji, appuyez sur Espace. Si l'écriture et le sens vous conviennent, tapez sur Entrée ; sinon, des appuis successifs sur Espace parcourent un menu contextuel permettant de choisir une entrée dans une liste des écritures et sens possibles pour le mot tapé. Pour revenir à l'écriture romane, refaite la combinaison de touches Shift+Espace. | あ
62 Mot inconnu : watashi => Tapez quelques lettres : vous écrivez pour le moment toujours en caractères romains. Pressez les touches Shift et Espace simultanément pour basculer sur la méthode de saisie anthy : vous devriez observer un changement dans l'applet, le « a » devenant あ. Tapez par exemple « watashi » (« je » en japonais) : le texte affiché devrait être わたし, en hiragana. Pour valider le mot en hiragana, tapez Entrée. Pour le transformer en kanji, appuyez sur Espace. Si l'écriture et le sens vous conviennent, tapez sur Entrée ; sinon, des appuis successifs sur Espace parcourent un menu contextuel permettant de choisir une entrée dans une liste des écritures et sens possibles pour le mot tapé. Pour revenir à l'écriture romane, refaite la combinaison de touches Shift+Espace. | watashi
62 Mot inconnu : わたし => Tapez quelques lettres : vous écrivez pour le moment toujours en caractères romains. Pressez les touches Shift et Espace simultanément pour basculer sur la méthode de saisie anthy : vous devriez observer un changement dans l'applet, le « a » devenant あ. Tapez par exemple « watashi » (« je » en japonais) : le texte affiché devrait être わたし, en hiragana. Pour valider le mot en hiragana, tapez Entrée. Pour le transformer en kanji, appuyez sur Espace. Si l'écriture et le sens vous conviennent, tapez sur Entrée ; sinon, des appuis successifs sur Espace parcourent un menu contextuel permettant de choisir une entrée dans une liste des écritures et sens possibles pour le mot tapé. Pour revenir à l'écriture romane, refaite la combinaison de touches Shift+Espace. | わたし
62 Mot inconnu : Shift => Tapez quelques lettres : vous écrivez pour le moment toujours en caractères romains. Pressez les touches Shift et Espace simultanément pour basculer sur la méthode de saisie anthy : vous devriez observer un changement dans l'applet, le « a » devenant あ. Tapez par exemple « watashi » (« je » en japonais) : le texte affiché devrait être わたし, en hiragana. Pour valider le mot en hiragana, tapez Entrée. Pour le transformer en kanji, appuyez sur Espace. Si l'écriture et le sens vous conviennent, tapez sur Entrée ; sinon, des appuis successifs sur Espace parcourent un menu contextuel permettant de choisir une entrée dans une liste des écritures et sens possibles pour le mot tapé. Pour revenir à l'écriture romane, refaite la combinaison de touches Shift+Espace. | shift

64 Mot inconnu : Anthy => D'autres possibilités sont offertes par Anthy, par exemple de saisir directement en Japonais, à vous de les découvrir en l'adaptant à vos besoin. | anthy
64 Si vous parlez de la langue, pas de majuscule. => D'autres possibilités sont offertes par Anthy, par exemple de saisir directement en Japonais, à vous de les découvrir en l'adaptant à vos besoin. | japonais => suggestions : ['japonais']
64 Accord de nombre erroné : « besoin » devrait être au pluriel. => D'autres possibilités sont offertes par Anthy, par exemple de saisir directement en Japonais, à vous de les découvrir en l'adaptant à vos besoin. | besoin => suggestions : ['besoins']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://uim.freedesktop.org/wiki/|Site officiel du projet uim]], |    => suggestions : ['']
69 Mot inconnu : uim =>   * [[http://uim.freedesktop.org/wiki/|Site officiel du projet uim]], | uim

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://kmuto.jp/open.cgi?imswitch-en|Documentation im-switch]]. |    => suggestions : ['']
70 Mot inconnu : im-switch =>   * [[https://kmuto.jp/open.cgi?imswitch-en|Documentation im-switch]]. | im-switch
