
4 Mot inconnu : K9Copy => ====== Sauvegarder ses DVD avec K9Copy ====== | k9copy
48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - hda = Master sur IDE 1 |    => suggestions : ['']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - hda = Master sur IDE 1 |  -  => suggestions : [' – ', ' — ', ' − ']
48 Mot inconnu : hda =>   - hda = Master sur IDE 1 | hda

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - hdb = Slave sur IDE 1 |    => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - hdb = Slave sur IDE 1 |  -  => suggestions : [' – ', ' — ', ' − ']
49 Mot inconnu : hdb =>   - hdb = Slave sur IDE 1 | hdb

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - hdc = Master sur IDE 2 |    => suggestions : ['']
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - hdc = Master sur IDE 2 |  -  => suggestions : [' – ', ' — ', ' − ']
50 Mot inconnu : hdc =>   - hdc = Master sur IDE 2 | hdc

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - hdd = Slave sur IDE 2 |    => suggestions : ['']
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - hdd = Slave sur IDE 2 |  -  => suggestions : [' – ', ' — ', ' − ']
51 Mot inconnu : hdd =>   - hdd = Slave sur IDE 2 | hdd

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vérification du DMA :  |    => suggestions : ['']
54 Mot inconnu : DMA =>   * Vérification du DMA :  | dma
54 Espace(s) en fin de ligne à supprimer. =>   * Vérification du DMA :  |   => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdparm -d /dev/hdx ( x = votre lecteur )  |    => suggestions : ['']
56 Mot inconnu : hdparm =>   hdparm -d /dev/hdx ( x = votre lecteur )  | hdparm
56 Il manque un espace à côté du tiret. =>   hdparm -d /dev/hdx ( x = votre lecteur )  |  - => suggestions : [' – ', ' — ']
56 Pas d’espace après ce signe. =>   hdparm -d /dev/hdx ( x = votre lecteur )  | (  => suggestions : ['(']
56 Pas d’espace avant ce signe. =>   hdparm -d /dev/hdx ( x = votre lecteur )  |  ) => suggestions : [')']
56 Espace(s) en fin de ligne à supprimer. =>   hdparm -d /dev/hdx ( x = votre lecteur )  |   => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activation du DMA :  |    => suggestions : ['']
58 Mot inconnu : DMA =>   * Activation du DMA :  | dma
58 Espace(s) en fin de ligne à supprimer. =>   * Activation du DMA :  |   => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdparm -d1 /dev/hdx ( x = votre lecteur ) |    => suggestions : ['']
60 Mot inconnu : hdparm =>   hdparm -d1 /dev/hdx ( x = votre lecteur ) | hdparm
60 Il manque un espace à côté du tiret. =>   hdparm -d1 /dev/hdx ( x = votre lecteur ) |  - => suggestions : [' – ', ' — ']
60 Mot inconnu : d1 =>   hdparm -d1 /dev/hdx ( x = votre lecteur ) | d1
60 Pas d’espace après ce signe. =>   hdparm -d1 /dev/hdx ( x = votre lecteur ) | (  => suggestions : ['(']
60 Pas d’espace avant ce signe. =>   hdparm -d1 /dev/hdx ( x = votre lecteur ) |  ) => suggestions : [')']

67 Espace(s) en fin de ligne à supprimer. => L'avantage de l'image ISO, c'est que l'on va pouvoir //monter// cette image sur le disque dur et ainsi simuler la présence du DVD dans le lecteur. Vous pourrez donc tester votre futur DVD comme si celui-ci était gravé et inséré dans le lecteur. Si cela ne vous plaît pas, vous supprimez l'image et vous recommencez, évitant ainsi le gaspillage d'un disque.  |   => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous venez de copier le film //[[http://www.bigbuckbunny.org|big buck bunny]]//, l'image ISO créée se trouve dans le répertoire /home/tux/films/bigbuckbunny.iso. |    => suggestions : ['']
72 Mot inconnu : buck =>   * Vous venez de copier le film //[[http://www.bigbuckbunny.org|big buck bunny]]//, l'image ISO créée se trouve dans le répertoire /home/tux/films/bigbuckbunny.iso. | buck
72 Mot inconnu : bunny =>   * Vous venez de copier le film //[[http://www.bigbuckbunny.org|big buck bunny]]//, l'image ISO créée se trouve dans le répertoire /home/tux/films/bigbuckbunny.iso. | bunny

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez un nouveau dossier nommé "simu_bigbuckbunny" (Par exemple), à côté de l'image ISO. |    => suggestions : ['']
73 Guillemets typographiques ouvrants. =>   * Créez un nouveau dossier nommé "simu_bigbuckbunny" (Par exemple), à côté de l'image ISO. | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : simu_bigbuckbunny =>   * Créez un nouveau dossier nommé "simu_bigbuckbunny" (Par exemple), à côté de l'image ISO. | simu_bigbuckbunny
73 Guillemets typographiques fermants. =>   * Créez un nouveau dossier nommé "simu_bigbuckbunny" (Par exemple), à côté de l'image ISO. | " => suggestions : ['\xa0»', '”']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : |    => suggestions : ['']
74 Guillemets typographiques ouvrants. =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : bigbuckbunny =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | bigbuckbunny
74 Mot inconnu : iso =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | iso
74 Guillemets typographiques fermants. =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | " => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : simu_bigbuckbunny =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | simu_bigbuckbunny
74 Guillemets typographiques fermants. =>   * Montage de l'image ISO "bigbuckbunny.iso" dans le dossier "simu_bigbuckbunny", voici la commande : | " => suggestions : ['\xa0»', '”']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ |     => suggestions : ['']
76 Mot inconnu : sudo =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ | sudo
76 Mot inconnu : mount =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ | mount
76 Mot inconnu : iso9660 =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ | iso9660
76 Il manque un espace à côté du tiret. =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ |  - => suggestions : [' – ', ' — ']
76 Mot inconnu : loop =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ | loop
76 Espace(s) surnuméraire(s) à supprimer. =>    sudo mount -t iso9660 -o loop  /home/tux/films/bigbuckbunny.iso /home/tux/films/simu_bigbuckbunny/ |    => suggestions : [' ']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans le dossier simu_bigbuckbunny se trouvent maintenant un dossier videos_ts et un dossier audios_ts semblables à la hiérarchie d'un DVD classique.  |    => suggestions : ['']
78 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans le dossier simu_bigbuckbunny se trouvent maintenant un dossier videos_ts et un dossier audios_ts semblables à la hiérarchie d'un DVD classique.  |  -  => suggestions : [' – ', ' — ', ' − ']
78 Mot inconnu : simu_bigbuckbunny =>   - Dans le dossier simu_bigbuckbunny se trouvent maintenant un dossier videos_ts et un dossier audios_ts semblables à la hiérarchie d'un DVD classique.  | simu_bigbuckbunny
78 Mot inconnu : videos_ts =>   - Dans le dossier simu_bigbuckbunny se trouvent maintenant un dossier videos_ts et un dossier audios_ts semblables à la hiérarchie d'un DVD classique.  | videos_ts
78 Mot inconnu : audios_ts =>   - Dans le dossier simu_bigbuckbunny se trouvent maintenant un dossier videos_ts et un dossier audios_ts semblables à la hiérarchie d'un DVD classique.  | audios_ts
78 Espace(s) en fin de ligne à supprimer. =>   - Dans le dossier simu_bigbuckbunny se trouvent maintenant un dossier videos_ts et un dossier audios_ts semblables à la hiérarchie d'un DVD classique.  |   => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez votre lecteur vidéo : |    => suggestions : ['']
80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez votre lecteur vidéo : |  -  => suggestions : [' – ', ' — ', ' − ']

81 Mot inconnu : __Pour => __Pour Totem__ :  | __pour
81 Mot inconnu : Totem__ => __Pour Totem__ :  | totem__
81 Espace(s) en fin de ligne à supprimer. => __Pour Totem__ :  |   => suggestions : ['']

85 Mot inconnu : __Pour => __Pour VLC__ :  | __pour
85 Mot inconnu : VLC__ => __Pour VLC__ :  | vlc__
85 Espace(s) en fin de ligne à supprimer. => __Pour VLC__ :  |   => suggestions : ['']

87 Mot inconnu : Vlc => Ouvrir Vlc puis fichier -> ouvrir et sélectionnez votre fichier ISO. Il le lira comme un DVD avec toutes les fonctions associées. | vlc

89 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. => Voilà vous pouvez tester votre futur DVD puis le graver si ça vous plaît ou sinon supprimer l'image ISO. | pouvez => suggestions : ['peuvent']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour démonter l'image ISO : |    => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo umount /home/tux/films/bigbuckbunny/ |     => suggestions : ['']
93 Mot inconnu : sudo =>    sudo umount /home/tux/films/bigbuckbunny/ | sudo
93 Mot inconnu : umount =>    sudo umount /home/tux/films/bigbuckbunny/ | umount

98 Mot inconnu : k3b => ===k3b=== | k3b

103 Mot inconnu : k3b => k3b --> Outils --> "Graver une image d'un DVD au format ISO" et sélectionnez l'image. | k3b
103 Guillemets typographiques ouvrants. => k3b --> Outils --> "Graver une image d'un DVD au format ISO" et sélectionnez l'image. | " => suggestions : ['«\xa0', '“']
103 Guillemets typographiques fermants. => k3b --> Outils --> "Graver une image d'un DVD au format ISO" et sélectionnez l'image. | " => suggestions : ['\xa0»', '”']

107 Mot inconnu : Nautilus => ===Nautilus=== | nautilus
110 Espace(s) en fin de ligne à supprimer. => Insérez un DVD vierge dans le lecteur :  |   => suggestions : ['']

114 Mot inconnu : K9Copy => === K9Copy + K3B === | k9copy
114 Mot inconnu : K3B => === K9Copy + K3B === | k3b

117 Mot inconnu : K9Copy => Pour utiliser K9Copy avec K3B, cliquez sur //Configuration//, //Configurez K9Copy, | k9copy
117 Mot inconnu : K3B => Pour utiliser K9Copy avec K3B, cliquez sur //Configuration//, //Configurez K9Copy, | k3b
117 Mot inconnu : K9Copy => Pour utiliser K9Copy avec K3B, cliquez sur //Configuration//, //Configurez K9Copy, | k9copy

119 Guillemets typographiques ouvrants. => Ensuite cliquez sur l'onglet DVD et cochez "Graver avec k3b" | " => suggestions : ['«\xa0', '“']
119 Mot inconnu : k3b => Ensuite cliquez sur l'onglet DVD et cochez "Graver avec k3b" | k3b
119 Guillemets typographiques fermants. => Ensuite cliquez sur l'onglet DVD et cochez "Graver avec k3b" | " => suggestions : ['\xa0»', '”']

123 Mot inconnu : K9Copy => Pour graver un DVD, ouvrez K9Copy | k9copy

131 Guillemets typographiques ouvrants. => Sélectionnez tous les titres et cocher si besoin est "Conserver les menus originaux" : | " => suggestions : ['«\xa0', '“']
131 Guillemets typographiques fermants. => Sélectionnez tous les titres et cocher si besoin est "Conserver les menus originaux" : | " => suggestions : ['\xa0»', '”']

135 Mot inconnu : K9COPY => Enregistrez dans un fichier (celui de votre choix, par exemple K9COPY TEMP), nommez votre image ISO et cliquez sur Sauvegarder : | k9copy
135 Mot inconnu : TEMP => Enregistrez dans un fichier (celui de votre choix, par exemple K9COPY TEMP), nommez votre image ISO et cliquez sur Sauvegarder : | temp

137 Mot inconnu : K3B => Ensuite K3B prend le relais, vous devez donc enlever le DVD original et y insérer le DVD vierge. | k3b

143 Espace(s) en fin de ligne à supprimer. => Une fois la gravure achevée, cliquez sur Fermer.  |   => suggestions : ['']

145 Apostrophe incorrecte. => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== | l'  => suggestions : ['l’']
145 Guillemets typographiques fermants. => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== | ' => suggestions : ['”', '’', '›']
145 Mot inconnu : iso => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== | iso
145 Pas d’espace après ce signe. => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== | (  => suggestions : ['(']
145 Espace(s) surnuméraire(s) à supprimer. => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== |    => suggestions : [' ']
145 Mot inconnu : k9copy => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== | k9copy
145 Pas d’espace avant ce signe. => ==== Graver le DVD sans avoir créé l' iso ( par défaut dans  k9copy ) ==== |  ) => suggestions : [')']

148 Mot inconnu : k3b => k3b --> Nouveau Projet --> Nouveau Projet DVD Vidéo | k3b

151 Mot inconnu : AUDIO_TS => AUDIO_TS est vide mais c'est normal, tout est dans VIDEO_TS.  | audio_ts
151 Mot inconnu : VIDEO_TS => AUDIO_TS est vide mais c'est normal, tout est dans VIDEO_TS.  | video_ts
151 Espace(s) en fin de ligne à supprimer. => AUDIO_TS est vide mais c'est normal, tout est dans VIDEO_TS.  |   => suggestions : ['']

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://tomtomtom.org/k9copy-reloaded/en.html|Le nouveau projet k9copy-reload]]. |    => suggestions : ['']
160 Mot inconnu : k9copy-reload =>   * [[http://tomtomtom.org/k9copy-reloaded/en.html|Le nouveau projet k9copy-reload]]. | k9copy-reload

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://k9copy.sourceforge.net/|Site officiel]] |    => suggestions : ['']
