
6 Mot inconnu : Epiphany => ====== GNOME Web (Epiphany) ====== | epiphany
76 Guillemets typographiques fermants. =>   * Bouton "nouvel onglet" | " => suggestions : ['\xa0»', '”']

78 Il faut élider “si” et l’accoler au pronom. => Le bouton nouvel onglet se trouve à droite de la barre d'adresse si il n'y a qu'un onglet d'ouvert, il se trouve dans la barre d'onglet sinon (:!: avant la version 3.24, ce bouton est à gauche de la barre d'adresse et n'en bouge pas). | si  => suggestions : ['s’']
78 Une de ces ponctuations est superflue. => Le bouton nouvel onglet se trouve à droite de la barre d'adresse si il n'y a qu'un onglet d'ouvert, il se trouve dans la barre d'onglet sinon (:!: avant la version 3.24, ce bouton est à gauche de la barre d'adresse et n'en bouge pas). | :! => suggestions : [':', '!']

85 Guillemets typographiques ouvrants. => GNOME Web propose un mode "navigation incognito" où aucune trace de votre navigation n'est conservée par le navigateur. | " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. => GNOME Web propose un mode "navigation incognito" où aucune trace de votre navigation n'est conservée par le navigateur. | " => suggestions : ['\xa0»', '”']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //[[gnome-shell#l_appmenu|Menu de l'application]] -> Nouvelle fenêtre privée// |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //Menu sandwich (3 traits horizontaux) -> Nouvelle fenêtre privée// |    => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl + Maj + N |    => suggestions : ['']

94 Une de ces ponctuations est superflue. => Les signets (appelé marque-pages ou favoris sur d'autres navigateurs) se gèrent depuis le menu des signets (:!:), dont l'icône est un livre avec une étoile, à droite de la barre d'adresse. | :! => suggestions : [':', '!']

100 Guillemets typographiques ouvrants. => <note tip>Un même signet peut bien entendu avoir plusieurs balises, c'est l'avantage de ce système par rapport au classique système des "dossiers" qu'on voit sur les autres navigateurs.</note> | " => suggestions : ['«\xa0', '“']
100 Guillemets typographiques fermants. => <note tip>Un même signet peut bien entendu avoir plusieurs balises, c'est l'avantage de ce système par rapport au classique système des "dossiers" qu'on voit sur les autres navigateurs.</note> | " => suggestions : ['\xa0»', '”']

102 Mot inconnu : recliquant => Si le signet est ouvert dans l'onglet courant, il peut s'éditer en recliquant sur l'étoile dans la barre d'adresse ; sinon, un petit engrenage est visible à droite du signet dans le menu. | recliquant

104 Une de ces ponctuations est superflue. => <note help>:!: Avant 3.24, les signets étaient accessibles : | :! => suggestions : [':', '!']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * via le menu de l'application ; une fenêtre dédiée à l'édition des catégories (ancêtres des balises) s'ouvrait alors (action possible avec le raccourci Ctrl+B). |    => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * via le menu sandwich ; un sous-menu déroulant était alors disponible. |    => suggestions : ['']

121 Après “être”, le verbe ne devrait pas être à l’infinitif. => Une liste des greffons actifs est présenter à l'adresse "''about:plugins''". | présenter => suggestions : ['présentées', 'présenté', 'présentés', 'présentée']
121 Il manque un espace. => Une liste des greffons actifs est présenter à l'adresse "''about:plugins''". | plugins => suggestions : [' plugins']
121 Guillemets typographiques fermants. => Une liste des greffons actifs est présenter à l'adresse "''about:plugins''". | '' => suggestions : ['\xa0»', '”']
123 Une de ces ponctuations est superflue. => Il s'agit essentiellement de pouvoir lire des contenus particuliers (Java, PDF, PostScript, ...), mais si vous utilisez GNOME Shell, remarquez le greffon qui permet de gérer les extensions GNOME Shell depuis le site https://extensions.gnome.org/ directement. | , . => suggestions : [',', '.']
123 Typographie : points de suspension. Utilisez le caractère dédié. => Il s'agit essentiellement de pouvoir lire des contenus particuliers (Java, PDF, PostScript, ...), mais si vous utilisez GNOME Shell, remarquez le greffon qui permet de gérer les extensions GNOME Shell depuis le site https://extensions.gnome.org/ directement. | ... => suggestions : ['…']

129 Mot inconnu : Epiphany => Il s'agit d'un aspect très pratique d'Epiphany : un lanceur est ajouté aux menus de votre environnement, avec le site voulu. En cliquant dessus, vous ouvrez le site dans une version allégée de GNOME Web (la plupart des fonctionnalités et menus ne sont pas présents, et la navigation par onglets n'est pas disponible). La navigation se fera de manière interne au site voulu (les éventuels liens externes s'ouvrant normalement dans le navigateur par défaut). | epiphany

131 Mot inconnu : twitter => Par exemple, si un client twitter vous semble trop lourd, une application web basée sur GNOME Web peut être une alternative pertinente ! | twitter

136 Il manque un espace. => Pour supprimer une application web, tapez "''about:applications''" dans la barre d'adresse, une liste de toutes les applications web devrait apparaître. | applications => suggestions : [' applications']
136 Guillemets typographiques fermants. => Pour supprimer une application web, tapez "''about:applications''" dans la barre d'adresse, une liste de toutes les applications web devrait apparaître. | '' => suggestions : ['\xa0»', '”']

138 Mot inconnu : CB => ~CB~ | cb

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.gnome.org/Apps/Web|Site officiel]] |    => suggestions : ['']

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

152 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
152 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
