
3 Mot inconnu : x2go => ====== x2go ====== | x2go
72 Accord de genre erroné : « contenant » est masculin. => Le client X2Go connaît peu de MACs et aucune contenant -etm  | aucune => suggestions : ['aucun']
72 Accord de genre erroné : « aucune » est un déterminant féminin. => Le client X2Go connaît peu de MACs et aucune contenant -etm  | contenant => suggestions : ['contenue', 'contenante']
72 Il manque un espace à côté du tiret. => Le client X2Go connaît peu de MACs et aucune contenant -etm  |  - => suggestions : [' – ', ' — ']
72 Mot inconnu : etm => Le client X2Go connaît peu de MACs et aucune contenant -etm  | etm
72 Espace(s) en fin de ligne à supprimer. => Le client X2Go connaît peu de MACs et aucune contenant -etm  |   => suggestions : ['']

75 Mot inconnu : The => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | the
75 Mot inconnu : algorithms => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | algorithms
75 Mot inconnu : that => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | that
75 Mot inconnu : contain => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | contain
75 Mot inconnu : etm => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | etm
75 Guillemets typographiques fermants. => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | " => suggestions : ['\xa0»', '”']
75 Mot inconnu : calculate => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | calculate
75 Mot inconnu : the => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | the
75 Mot inconnu : encryption => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | encryption
75 Mot inconnu : encrypt-then-mac => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | encrypt-then-mac
75 Espace(s) surnuméraire(s) à supprimer. => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) |    => suggestions : [' ']
75 Mot inconnu : These => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | these
75 Mot inconnu : considered => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | considered
75 Mot inconnu : safer => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | safer
75 Mot inconnu : and => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | and
75 Mot inconnu : their => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | their
75 Mot inconnu : recommended => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | recommended
75 Mot inconnu : sshd_config => //The algorithms that contain "-etm" calculate the MAC after encryption (encrypt-then-mac).  These are considered safer and their use recommended.//(([[man>sshd_config]])) | sshd_config

77 Mot inconnu : X2Go => La méthode suivante permet certes d'utiliser X2Go mais en **abaissant le niveau de sécurité** du serveur. | x2go

83 Mot inconnu : Ciphers => <file /etc/ssh/sshd_config>Ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes128-ctr | ciphers
83 Mot inconnu : aes256-gcm => <file /etc/ssh/sshd_config>Ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes128-ctr | aes256-gcm
83 Mot inconnu : aes128-gcm => <file /etc/ssh/sshd_config>Ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes128-ctr | aes128-gcm
83 Mot inconnu : aes256-ctr => <file /etc/ssh/sshd_config>Ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes128-ctr | aes256-ctr
83 Il manque un espace. => <file /etc/ssh/sshd_config>Ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes128-ctr | aes128-ctr => suggestions : [' aes128-ctr']
83 Mot inconnu : aes128-ctr => <file /etc/ssh/sshd_config>Ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes128-ctr | aes128-ctr

85 Mot inconnu : MACs => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | macs
85 Mot inconnu : hmac-sha2-512-etm => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | hmac-sha2-512-etm
85 Mot inconnu : hmac-sha2-256-etm => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | hmac-sha2-256-etm
85 Mot inconnu : umac-128-etm => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | umac-128-etm
85 Mot inconnu : hmac-sha2-512 => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | hmac-sha2-512
85 Mot inconnu : hmac-sha2-256 => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | hmac-sha2-256
85 Mot inconnu : hmac-ripemd160 => MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160 | hmac-ripemd160

87 Mot inconnu : KexAlgorithms => KexAlgorithms diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha1,diffie-hellman-group-exchange-sha1</file> | kexalgorithms
87 Mot inconnu : diffie-hellman-group-exchange-sha256 => KexAlgorithms diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha1,diffie-hellman-group-exchange-sha1</file> | diffie-hellman-group-exchange-sha256
87 Il manque un espace. => KexAlgorithms diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha1,diffie-hellman-group-exchange-sha1</file> | diffie-hellman-group14-sha1 => suggestions : [' diffie-hellman-group14-sha1']
87 Mot inconnu : diffie-hellman-group14-sha1 => KexAlgorithms diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha1,diffie-hellman-group-exchange-sha1</file> | diffie-hellman-group14-sha1
87 Mot inconnu : diffie-hellman-group-exchange-sha1 => KexAlgorithms diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha1,diffie-hellman-group-exchange-sha1</file> | diffie-hellman-group-exchange-sha1

89 Mot inconnu : ssh => et pour vous faire plaisir, on relance le serveur ssh : | ssh
