
5 Mot inconnu : Mutter => ====== Mutter (gestionnaire de fenêtres) ====== | mutter
21 Mot inconnu : Enlightenment => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | enlightenment
21 Mot inconnu : Mutter => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | mutter
21 Espace(s) surnuméraire(s) à supprimer. => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. |    => suggestions : [' ']
21 Dans la locution “en termes de”, mettez “terme” au pluriel. => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | en terme de => suggestions : ['en termes de']
21 Une de ces ponctuations est superflue. => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | , . => suggestions : [',', '.']
21 Typographie : points de suspension. Utilisez le caractère dédié. => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | ... => suggestions : ['…']
21 Une de ces ponctuations est superflue. => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | , . => suggestions : [',', '.']
21 Typographie : points de suspension. Utilisez le caractère dédié. => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | ... => suggestions : ['…']
45 Mot inconnu : roschan => //Contributeurs : [[utilisateurs/roschan]], ...// | roschan
45 Une de ces ponctuations est superflue. => //Contributeurs : [[utilisateurs/roschan]], ...// | , . => suggestions : [',', '.']
45 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : [[utilisateurs/roschan]], ...// | ... => suggestions : ['…']
