1 Mot inconnu : extensions_mediawiki [[11:31]] => ~~REDIRECT>extensions_mediawiki~~ <|> extensions_mediawiki
29 Mot inconnu : PDFexport [[6:15]] => ===== PDFexport ===== <|> pdfexport
34 Mot inconnu : PdfExport [[4:13]] =>   * PdfExport est une extension de MediaWiki particulièrement intéressante: elle permet de demander la traduction de l'article en format PDF. Dans le menu principal apparait alors dans le menu de gauche "Imprimer en PDF" <|> pdfexport
34 Mot inconnu : MediaWiki [[35:44]] =>   * PdfExport est une extension de MediaWiki particulièrement intéressante: elle permet de demander la traduction de l'article en format PDF. Dans le menu principal apparait alors dans le menu de gauche "Imprimer en PDF" <|> mediawiki
34 Guillemets typographiques ouvrants. [[203:204]] =>   * PdfExport est une extension de MediaWiki particulièrement intéressante: elle permet de demander la traduction de l'article en format PDF. Dans le menu principal apparait alors dans le menu de gauche "Imprimer en PDF" <|> " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. [[219:220]] =>   * PdfExport est une extension de MediaWiki particulièrement intéressante: elle permet de demander la traduction de l'article en format PDF. Dans le menu principal apparait alors dans le menu de gauche "Imprimer en PDF" <|> " => suggestions : ['\xa0»', '”']

38 Mot inconnu : superuser [[11:20]] => a) En mode superuser créer le répertoire  <|> superuser
38 Espace(s) en fin de ligne à supprimer. [[40:41]] => a) En mode superuser créer le répertoire  <|>   => suggestions : ['']

42 Il manque un trait d’union. [[30:40]] => b) pour chacun des 4 fichiers ci dessous <|> ci dessous => suggestions : ['ci-dessous']
44 Mot inconnu : récupèrer [[4:13]] =>   * récupèrer le code  <|> récupèrer
44 Espace(s) en fin de ligne à supprimer. [[21:22]] =>   * récupèrer le code  <|>   => suggestions : ['']
45 Mot inconnu : ennoncé [[21:28]] =>   * créer le fichier ennoncé <|> ennoncé

53 Espace(s) surnuméraire(s) à supprimer. [[55:57]] => c) dans le fichier /var/www/mediawiki/LocalSettings.php  et **avant la ligne** de demande de rafraichissement du cache <|>    => suggestions : [' ']

56 Mot inconnu : wgCacheEpoch [[1:13]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> wgcacheepoch
56 Pas d’espace après ce signe. [[19:21]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> (  => suggestions : ['(']
56 Mot inconnu : wgCacheEpoch [[22:34]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> wgcacheepoch
56 Mot inconnu : gmdate [[36:42]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> gmdate
56 Pas d’espace après ce signe. [[42:44]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> (  => suggestions : ['(']
56 Guillemets typographiques ouvrants. [[44:45]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> ' => suggestions : ['“', '‘', '‹']
56 Mot inconnu : YmdHis [[45:51]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> ymdhis
56 Pas d’espace après ce signe. [[64:66]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> (  => suggestions : ['(']
56 Mot inconnu : __FILE__ [[66:74]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|> __file__
56 Pas d’espace avant ce signe. [[74:76]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|>  ) => suggestions : [')']
56 Pas d’espace avant ce signe. [[76:78]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|>  ) => suggestions : [')']
56 Pas d’espace avant ce signe. [[78:80]] => $wgCacheEpoch = max( $wgCacheEpoch, gmdate( 'YmdHis', @filemtime( __FILE__ ) ) ); <|>  ) => suggestions : [')']

62 Mot inconnu : require_once [[0:12]] => require_once("extensions/PdfExport/PdfExport.php"); <|> require_once
62 Il manque un espace avant la parenthèse. [[12:13]] => require_once("extensions/PdfExport/PdfExport.php"); <|> ( => suggestions : [' (']
62 Guillemets typographiques ouvrants. [[13:14]] => require_once("extensions/PdfExport/PdfExport.php"); <|> " => suggestions : ['«\xa0', '“']
62 Mot inconnu : PdfExport [[25:34]] => require_once("extensions/PdfExport/PdfExport.php"); <|> pdfexport
62 Mot inconnu : PdfExport [[35:44]] => require_once("extensions/PdfExport/PdfExport.php"); <|> pdfexport
62 Guillemets typographiques fermants. [[48:49]] => require_once("extensions/PdfExport/PdfExport.php"); <|> " => suggestions : ['\xa0»', '”']

65 Espace(s) surnuméraire(s) à supprimer. [[26:28]] => d) Cette extension demande  une modification des droits d'accès de /var/www/mediawiki/images/tmp pour que cette extention  puisse créer et effacer le fichier temporaire <|>    => suggestions : [' ']
65 Mot inconnu : extention [[112:121]] => d) Cette extension demande  une modification des droits d'accès de /var/www/mediawiki/images/tmp pour que cette extention  puisse créer et effacer le fichier temporaire <|> extention
65 Espace(s) surnuméraire(s) à supprimer. [[121:123]] => d) Cette extension demande  une modification des droits d'accès de /var/www/mediawiki/images/tmp pour que cette extention  puisse créer et effacer le fichier temporaire <|>    => suggestions : [' ']

69 Espace(s) en fin de ligne à supprimer. [[36:37]] => ==== Particularités rencontrées ====  <|>   => suggestions : ['']
74 Espace(s) surnuméraire(s) à supprimer. [[19:21]] => ==== Rédaction par:  ====  <|>    => suggestions : [' ']
74 Espace(s) en fin de ligne à supprimer. [[25:26]] => ==== Rédaction par:  ====  <|>   => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
