
5 Mot inconnu : Gedit => ====== Créer un jeu de couleurs pour Gedit ====== | gedit
88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *bold : afficher du texte en gras. |    => suggestions : ['']
88 Mot inconnu : bold =>   *bold : afficher du texte en gras. | bold

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *italic : afficher du texte en italique. |    => suggestions : ['']
89 Mot inconnu : italic =>   *italic : afficher du texte en italique. | italic

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *underline : afficher du texte en souligné. |    => suggestions : ['']
90 Mot inconnu : underline =>   *underline : afficher du texte en souligné. | underline

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *strikethrough : barrer du texte. |    => suggestions : ['']
91 Mot inconnu : strikethrough =>   *strikethrough : barrer du texte. | strikethrough
92 Mot inconnu : true => Pour ces quatre paramètres, il faut donner une valeur booléenne : true pour afficher cet effet, false dans le cas contraire. Par définition, ces paramètres sont réglés sur false. Cependant, il se peut que deux styles se chevauchent, et qu'un texte s'affiche en gras alors que vous le voulez sans l'effet de gras quoi qu'il arrive. Dans ce cas-là, annoncez explicitement le paramètre en false. | true
92 Mot inconnu : false => Pour ces quatre paramètres, il faut donner une valeur booléenne : true pour afficher cet effet, false dans le cas contraire. Par définition, ces paramètres sont réglés sur false. Cependant, il se peut que deux styles se chevauchent, et qu'un texte s'affiche en gras alors que vous le voulez sans l'effet de gras quoi qu'il arrive. Dans ce cas-là, annoncez explicitement le paramètre en false. | false
92 Mot inconnu : false => Pour ces quatre paramètres, il faut donner une valeur booléenne : true pour afficher cet effet, false dans le cas contraire. Par définition, ces paramètres sont réglés sur false. Cependant, il se peut que deux styles se chevauchent, et qu'un texte s'affiche en gras alors que vous le voulez sans l'effet de gras quoi qu'il arrive. Dans ce cas-là, annoncez explicitement le paramètre en false. | false
92 Mot inconnu : false => Pour ces quatre paramètres, il faut donner une valeur booléenne : true pour afficher cet effet, false dans le cas contraire. Par définition, ces paramètres sont réglés sur false. Cependant, il se peut que deux styles se chevauchent, et qu'un texte s'affiche en gras alors que vous le voulez sans l'effet de gras quoi qu'il arrive. Dans ce cas-là, annoncez explicitement le paramètre en false. | false

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *use-style : utiliser un style déjà défini. Voir plus bas la liste de style définissables. |    => suggestions : ['']
93 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   *use-style : utiliser un style déjà défini. Voir plus bas la liste de style définissables. | use-style => suggestions : ['Use-style']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *foreground : définir la couleur du texte du style. |    => suggestions : ['']
94 Mot inconnu : foreground =>   *foreground : définir la couleur du texte du style. | foreground

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *background : définir la couleur de fond du style.  |    => suggestions : ['']
95 Espace(s) en fin de ligne à supprimer. =>   *background : définir la couleur de fond du style.  |   => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *line-background : Si le texte du style que vous désignez occupe au moins le premier caractère d'une ligne, alors line-background colorera le fond de tout ce qui se trouve sur la ligne à droite du style en question. Dans ce cas, et si un autre style doit s'appliquer sur la ligne sur la droite, la propriété background prendra le dessus sur la line-background à cet endroit-là. Ce paramètre est difficile à bien placer, il peut être utilisé pour les commentaires par exemple ou pour le style bracket-match (voir plus bas). |    => suggestions : ['']
96 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   *line-background : Si le texte du style que vous désignez occupe au moins le premier caractère d'une ligne, alors line-background colorera le fond de tout ce qui se trouve sur la ligne à droite du style en question. Dans ce cas, et si un autre style doit s'appliquer sur la ligne sur la droite, la propriété background prendra le dessus sur la line-background à cet endroit-là. Ce paramètre est difficile à bien placer, il peut être utilisé pour les commentaires par exemple ou pour le style bracket-match (voir plus bas). | line-background => suggestions : ['Line-background']
96 Mot inconnu : line-background =>   *line-background : Si le texte du style que vous désignez occupe au moins le premier caractère d'une ligne, alors line-background colorera le fond de tout ce qui se trouve sur la ligne à droite du style en question. Dans ce cas, et si un autre style doit s'appliquer sur la ligne sur la droite, la propriété background prendra le dessus sur la line-background à cet endroit-là. Ce paramètre est difficile à bien placer, il peut être utilisé pour les commentaires par exemple ou pour le style bracket-match (voir plus bas). | line-background
96 Mot inconnu : line-background =>   *line-background : Si le texte du style que vous désignez occupe au moins le premier caractère d'une ligne, alors line-background colorera le fond de tout ce qui se trouve sur la ligne à droite du style en question. Dans ce cas, et si un autre style doit s'appliquer sur la ligne sur la droite, la propriété background prendra le dessus sur la line-background à cet endroit-là. Ce paramètre est difficile à bien placer, il peut être utilisé pour les commentaires par exemple ou pour le style bracket-match (voir plus bas). | line-background
96 Mot inconnu : line-background =>   *line-background : Si le texte du style que vous désignez occupe au moins le premier caractère d'une ligne, alors line-background colorera le fond de tout ce qui se trouve sur la ligne à droite du style en question. Dans ce cas, et si un autre style doit s'appliquer sur la ligne sur la droite, la propriété background prendra le dessus sur la line-background à cet endroit-là. Ce paramètre est difficile à bien placer, il peut être utilisé pour les commentaires par exemple ou pour le style bracket-match (voir plus bas). | line-background
96 Mot inconnu : bracket-match =>   *line-background : Si le texte du style que vous désignez occupe au moins le premier caractère d'une ligne, alors line-background colorera le fond de tout ce qui se trouve sur la ligne à droite du style en question. Dans ce cas, et si un autre style doit s'appliquer sur la ligne sur la droite, la propriété background prendra le dessus sur la line-background à cet endroit-là. Ce paramètre est difficile à bien placer, il peut être utilisé pour les commentaires par exemple ou pour le style bracket-match (voir plus bas). | bracket-match
97 Formatage des grands nombres. => Ces trois derniers paramètres demandent une couleur. Vous pouvez indiquer une valeur hexadécimale du genre : #000000 , ou bien un nom donné à une couleur (voir ci-dessus la balise couleur). | 000000 => suggestions : ['000\xa0000', '00\xa00000']
97 Pas d’espace avant une virgule. => Ces trois derniers paramètres demandent une couleur. Vous pouvez indiquer une valeur hexadécimale du genre : #000000 , ou bien un nom donné à une couleur (voir ci-dessus la balise couleur). |  , => suggestions : [',']
99 Espace(s) en fin de ligne à supprimer. => Souvenez-vous de cette fameuse ligne :  |   => suggestions : ['']

101 Mot inconnu : name => Un style est défini au paramètre name. On sait quel(s) paramètre(s) mettre, maintenant c'est au tour des styles. | name
101 Écriture invariable. Utilisez un point médian. => Un style est défini au paramètre name. On sait quel(s) paramètre(s) mettre, maintenant c'est au tour des styles. | quel(s) => suggestions : ['quel·s']
101 Écriture invariable. Utilisez un point médian. => Un style est défini au paramètre name. On sait quel(s) paramètre(s) mettre, maintenant c'est au tour des styles. | paramètre(s) => suggestions : ['paramètre·s']

102 Mot inconnu : Gedit => Certaines options de Gedit ont besoin d'un style pour eux. La colonne affichant les numéros de ligne par exemple. Si vous ne l'avez pas activée, allez dans le menu Édition -> Préférences -> onglet Affichage. Cochez la case Afficher les numéros de ligne. Hop, une colonne apparait sur la gauche ! | gedit

104 Mot inconnu : Gedit => Si cette colonne, disponible de base sous Gedit, a des jolies couleurs, c'est parce qu'elle a un style de base. | gedit
106 Espace(s) en fin de ligne à supprimer. => Voici la liste des styles de base :  |   => suggestions : ['']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * text : Pour le texte en général. |    => suggestions : ['']
107 Mot inconnu : text =>   * text : Pour le texte en général. | text

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * selection : Pour le texte sélectioné (surligné avec le curseur) |    => suggestions : ['']
108 Mot inconnu : selection =>   * selection : Pour le texte sélectioné (surligné avec le curseur) | selection
108 Mot inconnu : sélectioné =>   * selection : Pour le texte sélectioné (surligné avec le curseur) | sélectioné

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. |    => suggestions : ['']
109 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. | selection-unfocused => suggestions : ['Selection-unfocused']
109 Mot inconnu : selection-unfocused =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. | selection-unfocused
109 Mot inconnu : Gedit =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. | gedit
109 Mot inconnu : Gedit =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. | gedit
109 Mot inconnu : Gedit =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. | gedit
109 Mot inconnu : Gedit =>   * selection-unfocused : Imaginez que vous avez sélectionné un bout de texte sous Gedit. Tout à coup, vous voulez regarder vos mails, vous allez donc sur un autre programme que Gedit. Si vous regardez la fenêtre de Gedit (sans la sélectionner), grâce à ce style vous verrez votre sélection d'une autre couleur jusqu'à ce que vous reveniez sur Gedit. | gedit

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * current-line : Gedit propose de mettre en valeur la ligne où se trouve le curseur (voir les Préférences). current-line définit les effets appliqués sur cette ligne. |    => suggestions : ['']
110 Mot inconnu : current-line =>   * current-line : Gedit propose de mettre en valeur la ligne où se trouve le curseur (voir les Préférences). current-line définit les effets appliqués sur cette ligne. | current-line
110 Mot inconnu : Gedit =>   * current-line : Gedit propose de mettre en valeur la ligne où se trouve le curseur (voir les Préférences). current-line définit les effets appliqués sur cette ligne. | gedit
110 Mot inconnu : current-line =>   * current-line : Gedit propose de mettre en valeur la ligne où se trouve le curseur (voir les Préférences). current-line définit les effets appliqués sur cette ligne. | current-line

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. |    => suggestions : ['']
111 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. | line-numbers => suggestions : ['Line-numbers']
111 Mot inconnu : line-numbers =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. | line-numbers
111 Mot inconnu : Gedit =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. | gedit
111 Mot inconnu : line-number =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. | line-number
111 Mot inconnu : bold =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. | bold
111 Mot inconnu : underline =>   * line-numbers : Gedit propose d'afficher une colonne indiquant les numéros de ligne comme expliqué juste au-dessus. line-number définit les effets appliqués à cette colonne. Les effets de texte tels bold ou underline ne fonctionnent pas. | underline

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cursor : Définit les propriétés du curseur. Les effets de texte tels bold ou underline ne fonctionnent pas. |    => suggestions : ['']
112 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * cursor : Définit les propriétés du curseur. Les effets de texte tels bold ou underline ne fonctionnent pas. | cursor => suggestions : ['Cursor']
112 Mot inconnu : cursor =>   * cursor : Définit les propriétés du curseur. Les effets de texte tels bold ou underline ne fonctionnent pas. | cursor
112 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * cursor : Définit les propriétés du curseur. Les effets de texte tels bold ou underline ne fonctionnent pas. | définit => suggestions : ['Définis']
112 Mot inconnu : bold =>   * cursor : Définit les propriétés du curseur. Les effets de texte tels bold ou underline ne fonctionnent pas. | bold
112 Mot inconnu : underline =>   * cursor : Définit les propriétés du curseur. Les effets de texte tels bold ou underline ne fonctionnent pas. | underline

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). |    => suggestions : ['']
113 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). | secondary-cursor => suggestions : ['Secondary-cursor']
113 Mot inconnu : secondary-cursor =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). | secondary-cursor
113 Mot inconnu : préédition =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). | préédition
113 Mot inconnu : secondary-cursor =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). | secondary-cursor
113 Mot inconnu : cursor =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). | cursor
113 Mot inconnu : bold =>   * secondary-cursor : Apparemment pour certaines langues, par exemple pendant qu'on écrit en chinois, une zone de préédition apparait en créant un deuxième curseur. Vous pouvez colorer ce second curseur avec le style secondary-cursor d'une couleur différente de cursor, les propriétés des deux styles étant les mêmes (donc bold ne fonctionne pas non plus). | bold

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * bracket-match : Gedit propose, lorsque vous avez un duo de parenthèse et que vous mettez votre curseur sur une des parenthèses, de mettre en valeur l'autre parenthèse. Regardez dans vos Préférences et faites le test : pour une parenthèse ouvrante choisie on peut voir la seconde différemment. |    => suggestions : ['']
114 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * bracket-match : Gedit propose, lorsque vous avez un duo de parenthèse et que vous mettez votre curseur sur une des parenthèses, de mettre en valeur l'autre parenthèse. Regardez dans vos Préférences et faites le test : pour une parenthèse ouvrante choisie on peut voir la seconde différemment. | bracket-match => suggestions : ['Bracket-match']
114 Mot inconnu : bracket-match =>   * bracket-match : Gedit propose, lorsque vous avez un duo de parenthèse et que vous mettez votre curseur sur une des parenthèses, de mettre en valeur l'autre parenthèse. Regardez dans vos Préférences et faites le test : pour une parenthèse ouvrante choisie on peut voir la seconde différemment. | bracket-match
114 Mot inconnu : Gedit =>   * bracket-match : Gedit propose, lorsque vous avez un duo de parenthèse et que vous mettez votre curseur sur une des parenthèses, de mettre en valeur l'autre parenthèse. Regardez dans vos Préférences et faites le test : pour une parenthèse ouvrante choisie on peut voir la seconde différemment. | gedit

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * bracket-mismatch : Cette fonctionnalité n'a pas encore été implanté dans Gedit. Le principe étant de montrer les erreurs de parenthésage, par exemple (] où le crochet prend la place d'une parenthèse fermée. |    => suggestions : ['']
115 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * bracket-mismatch : Cette fonctionnalité n'a pas encore été implanté dans Gedit. Le principe étant de montrer les erreurs de parenthésage, par exemple (] où le crochet prend la place d'une parenthèse fermée. | bracket-mismatch => suggestions : ['Bracket-mismatch']
115 Mot inconnu : bracket-mismatch =>   * bracket-mismatch : Cette fonctionnalité n'a pas encore été implanté dans Gedit. Le principe étant de montrer les erreurs de parenthésage, par exemple (] où le crochet prend la place d'une parenthèse fermée. | bracket-mismatch
115 Accord erroné : “fonctionnalité” et “implanté” ne sont pas accordés. =>   * bracket-mismatch : Cette fonctionnalité n'a pas encore été implanté dans Gedit. Le principe étant de montrer les erreurs de parenthésage, par exemple (] où le crochet prend la place d'une parenthèse fermée. | implanté => suggestions : ['implantée']
115 Mot inconnu : Gedit =>   * bracket-mismatch : Cette fonctionnalité n'a pas encore été implanté dans Gedit. Le principe étant de montrer les erreurs de parenthésage, par exemple (] où le crochet prend la place d'une parenthèse fermée. | gedit

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * search-match : Lors d'une recherche, plusieurs termes sont colorées : un qui est sélectionné, les autres qui ne le sont pas. search-match vous permet d'appliquer des effets sur ces termes. |    => suggestions : ['']
116 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * search-match : Lors d'une recherche, plusieurs termes sont colorées : un qui est sélectionné, les autres qui ne le sont pas. search-match vous permet d'appliquer des effets sur ces termes. | search-match => suggestions : ['Search-match']
116 Mot inconnu : search-match =>   * search-match : Lors d'une recherche, plusieurs termes sont colorées : un qui est sélectionné, les autres qui ne le sont pas. search-match vous permet d'appliquer des effets sur ces termes. | search-match
116 Accord erroné : “termes” et “colorées” ne sont pas accordés. Mettez au masculin pluriel. =>   * search-match : Lors d'une recherche, plusieurs termes sont colorées : un qui est sélectionné, les autres qui ne le sont pas. search-match vous permet d'appliquer des effets sur ces termes. | colorées => suggestions : ['colorés']
116 Mot inconnu : search-match =>   * search-match : Lors d'une recherche, plusieurs termes sont colorées : un qui est sélectionné, les autres qui ne le sont pas. search-match vous permet d'appliquer des effets sur ces termes. | search-match
118 Mot inconnu : Gedit => Détail important : pour tester votre jeu de couleurs, il faut le (ré)importer dans Gedit. Allez dans Édition -> Préférences -> onglet Police et Couleurs, et faites Ajouter en choisissant votre petit fichier xml. Si le jeu de couleurs était déjà en marche dans Gedit, choisissez un autre style et revenez au style que vous élaborez. | gedit
118 Mot inconnu : xml => Détail important : pour tester votre jeu de couleurs, il faut le (ré)importer dans Gedit. Allez dans Édition -> Préférences -> onglet Police et Couleurs, et faites Ajouter en choisissant votre petit fichier xml. Si le jeu de couleurs était déjà en marche dans Gedit, choisissez un autre style et revenez au style que vous élaborez. | xml
118 Mot inconnu : Gedit => Détail important : pour tester votre jeu de couleurs, il faut le (ré)importer dans Gedit. Allez dans Édition -> Préférences -> onglet Police et Couleurs, et faites Ajouter en choisissant votre petit fichier xml. Si le jeu de couleurs était déjà en marche dans Gedit, choisissez un autre style et revenez au style que vous élaborez. | gedit
120 Espace(s) en fin de ligne à supprimer. => Maintenant que vous savez ça, vous pouvez tester ces premiers styles de base pour vous mettre à l'aide avec tout ce que nous avons vu. Voici à quoi pourrait ressemble votre jeu de couleurs à ce stade :  |   => suggestions : ['']

145 Mot inconnu : style-scheme => </style-scheme></code> | style-scheme

148 Mot inconnu : Gedit => Bon, c'est bien beau mais Gedit est fait pour programmer. Il doit bien y avoir quelques styles secrets ! | gedit

