
5 Mot inconnu : Kdocker => ====== Kdocker, minimiser n'importe quelle fenêtre ====== | kdocker
69 Mot inconnu : qc => Les changements des options du sous-menu Options ne sont pas conservées après fermeture du programme. Pour ne pas avoir à changer ces options à chaque fois, intégrez-les dans la commande que vous utilisez pour lancer le programme. Ex: **kdocker -qc thunderbird** ouvre thunderbird et le réduit en icone avec les options « ne pas afficher de ballons d'information » et « ne pas réduire lorsqu'on ferme normalement la fenêtre. » | qc
69 Mot inconnu : thunderbird => Les changements des options du sous-menu Options ne sont pas conservées après fermeture du programme. Pour ne pas avoir à changer ces options à chaque fois, intégrez-les dans la commande que vous utilisez pour lancer le programme. Ex: **kdocker -qc thunderbird** ouvre thunderbird et le réduit en icone avec les options « ne pas afficher de ballons d'information » et « ne pas réduire lorsqu'on ferme normalement la fenêtre. » | thunderbird
69 Mot inconnu : thunderbird => Les changements des options du sous-menu Options ne sont pas conservées après fermeture du programme. Pour ne pas avoir à changer ces options à chaque fois, intégrez-les dans la commande que vous utilisez pour lancer le programme. Ex: **kdocker -qc thunderbird** ouvre thunderbird et le réduit en icone avec les options « ne pas afficher de ballons d'information » et « ne pas réduire lorsqu'on ferme normalement la fenêtre. » | thunderbird
69 Mot inconnu : icone => Les changements des options du sous-menu Options ne sont pas conservées après fermeture du programme. Pour ne pas avoir à changer ces options à chaque fois, intégrez-les dans la commande que vous utilisez pour lancer le programme. Ex: **kdocker -qc thunderbird** ouvre thunderbird et le réduit en icone avec les options « ne pas afficher de ballons d'information » et « ne pas réduire lorsqu'on ferme normalement la fenêtre. » | icone
84 Mot inconnu : kdocker => Donnez un nom à l'action (ex : kdocker), rentrez la commande **kdocker** (avec des options si vous le souhaitez) puis validez ; | kdocker
84 Mot inconnu : kdocker => Donnez un nom à l'action (ex : kdocker), rentrez la commande **kdocker** (avec des options si vous le souhaitez) puis validez ; | kdocker

87 Mot inconnu : Kdocker => <note tip>Kdocker n'est pas en français par défaut, le problème est qu'il ne trouve pas le ficher qui contient la traduction. Pour rѐrégler ceci, lancez kdocker à partir du rѐpertoire '/usr/share/kdocker' avec la commande suivante : | kdocker
87 Mot inconnu : rѐrégler => <note tip>Kdocker n'est pas en français par défaut, le problème est qu'il ne trouve pas le ficher qui contient la traduction. Pour rѐrégler ceci, lancez kdocker à partir du rѐpertoire '/usr/share/kdocker' avec la commande suivante : | rѐrégler
87 Mot inconnu : kdocker => <note tip>Kdocker n'est pas en français par défaut, le problème est qu'il ne trouve pas le ficher qui contient la traduction. Pour rѐrégler ceci, lancez kdocker à partir du rѐpertoire '/usr/share/kdocker' avec la commande suivante : | kdocker
87 Mot inconnu : rѐpertoire => <note tip>Kdocker n'est pas en français par défaut, le problème est qu'il ne trouve pas le ficher qui contient la traduction. Pour rѐrégler ceci, lancez kdocker à partir du rѐpertoire '/usr/share/kdocker' avec la commande suivante : | rѐpertoire

89 Mot inconnu : LANG => **LANG='fr' kdocker <votre_logiciel>**</note> | lang
89 Guillemets typographiques fermants. => **LANG='fr' kdocker <votre_logiciel>**</note> | ' => suggestions : ['”', '’', '›']
89 Mot inconnu : kdocker => **LANG='fr' kdocker <votre_logiciel>**</note> | kdocker
