1 Mot inconnu : Ptunnel => ====== Ptunnel ====== | ptunnel
17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Un ordinateur accessible sur internet et qui répond aux requêtes ICMP venant d'internet |      => suggestions : ['']
17 Mot inconnu : ICMP =>     * Un ordinateur accessible sur internet et qui répond aux requêtes ICMP venant d'internet | icmp

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Un ordinateur client (votre ordinateur, ...) |      => suggestions : ['']
18 Une de ces ponctuations est superflue. =>     * Un ordinateur client (votre ordinateur, ...) | , . => suggestions : [',', '.']
18 Typographie : points de suspension. Utilisez le caractère dédié. =>     * Un ordinateur client (votre ordinateur, ...) | ... => suggestions : ['…']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Un accès root sur les deux ordinateurs |      => suggestions : ['']
19 Mot inconnu : root =>     * Un accès root sur les deux ordinateurs | root

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Un système d'exploitation compatible posix avec libpcap |      => suggestions : ['']
20 Mot inconnu : posix =>     * Un système d'exploitation compatible posix avec libpcap | posix
20 Mot inconnu : libpcap =>     * Un système d'exploitation compatible posix avec libpcap | libpcap

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ptunnel -c eth0 -x toto |    => suggestions : ['']
27 Mot inconnu : sudo =>   sudo ptunnel -c eth0 -x toto | sudo
27 Mot inconnu : ptunnel =>   sudo ptunnel -c eth0 -x toto | ptunnel
27 Il manque un espace à côté du tiret. =>   sudo ptunnel -c eth0 -x toto |  - => suggestions : [' – ', ' — ']
27 Mot inconnu : eth0 =>   sudo ptunnel -c eth0 -x toto | eth0
27 Il manque un espace à côté du tiret. =>   sudo ptunnel -c eth0 -x toto |  - => suggestions : [' – ', ' — ']

29 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -c : l'interface à utiliser | - => suggestions : ['—\xa0', '–\xa0']

30 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -x le mot de passe a utiliser | - => suggestions : ['—\xa0', '–\xa0']
30 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => -x le mot de passe a utiliser | a => suggestions : ['à']
30 Incohérence probable avec “a” : “utiliser” n’est pas un participe passé. => -x le mot de passe a utiliser | utiliser => suggestions : ['utilisé']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 |    => suggestions : ['']
34 Mot inconnu : sudo =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 | sudo
34 Mot inconnu : ptunnel =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 | ptunnel
34 Il manque un espace à côté du tiret. =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 |  - => suggestions : [' – ', ' — ']
34 Il manque un espace à côté du tiret. =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 |  - => suggestions : [' – ', ' — ']
34 Mot inconnu : lp =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 | lp
34 Il manque un espace à côté du tiret. =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 |  - => suggestions : [' – ', ' — ']
34 Mot inconnu : da =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 | da
34 Mot inconnu : localhost =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 | localhost
34 Il manque un espace à côté du tiret. =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 |  - => suggestions : [' – ', ' — ']
34 Mot inconnu : dp =>   sudo ptunnel -p serveur -lp 8000 -da localhost -dp 22 | dp

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

36 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -p adresse ou nom de domaine du serveur | - => suggestions : ['—\xa0', '–\xa0']

37 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -lp port local sur lequel le traffic est redirigé | - => suggestions : ['—\xa0', '–\xa0']
37 Mot inconnu : lp => -lp port local sur lequel le traffic est redirigé | lp
37 Mot inconnu : traffic => -lp port local sur lequel le traffic est redirigé | traffic

38 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -da rediriger sur localhost | - => suggestions : ['—\xa0', '–\xa0']
38 Mot inconnu : da => -da rediriger sur localhost | da
38 Mot inconnu : localhost => -da rediriger sur localhost | localhost

39 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -dp port distant qui est redirigé | - => suggestions : ['—\xa0', '–\xa0']
39 Mot inconnu : dp => -dp port distant qui est redirigé | dp

41 Mot inconnu : SOCKS => Vous pouvez par exemple utiliser cela pour avoir un proxy SOCKS | socks

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ssh localhost -p 8000 -D 8001 |    => suggestions : ['']
42 Mot inconnu : ssh =>   ssh localhost -p 8000 -D 8001 | ssh
42 Mot inconnu : localhost =>   ssh localhost -p 8000 -D 8001 | localhost
42 Il manque un espace à côté du tiret. =>   ssh localhost -p 8000 -D 8001 |  - => suggestions : [' – ', ' — ']
42 Il manque un espace à côté du tiret. =>   ssh localhost -p 8000 -D 8001 |  - => suggestions : [' – ', ' — ']

43 Mot inconnu : socks => et paramétrer le proxy socks dans firefox sur localhost port 8001 | socks
43 Mot inconnu : firefox => et paramétrer le proxy socks dans firefox sur localhost port 8001 | firefox
43 Mot inconnu : localhost => et paramétrer le proxy socks dans firefox sur localhost port 8001 | localhost
