
4 Mot inconnu : Gpsman => ====== Gpsman ====== | gpsman
34 Mot inconnu : Img => <note>Si vous n'installez pas  Img Tcl/Tk, gpsman tournera correctement, mais vos cartes devront être au format GIF ou PNG. | img
34 Mot inconnu : Tcl => <note>Si vous n'installez pas  Img Tcl/Tk, gpsman tournera correctement, mais vos cartes devront être au format GIF ou PNG. | tcl
34 Mot inconnu : Tk => <note>Si vous n'installez pas  Img Tcl/Tk, gpsman tournera correctement, mais vos cartes devront être au format GIF ou PNG. | tk
34 Mot inconnu : gpsman => <note>Si vous n'installez pas  Img Tcl/Tk, gpsman tournera correctement, mais vos cartes devront être au format GIF ou PNG. | gpsman
35 Mot inconnu : tiff => une fois la librairie installée, vos cartes pourront être au format jpg ou tiff</note> | tiff

49 Mot inconnu : Gpsman => Gpsman ne contient aucune carte. Il faut donc posséder ses propres cartes et les scanner pour pouvoir les utiliser avec GPSMAN. | gpsman
49 Mot inconnu : GPSMAN => Gpsman ne contient aucune carte. Il faut donc posséder ses propres cartes et les scanner pour pouvoir les utiliser avec GPSMAN. | gpsman

51 Mot inconnu : ca => <note tip>le mieux est de faire scanner ses cartes par un professionnel, ce n'est pas très cher et ca permet de scanner les cartes en une seule fois et un seul fichier </note> | ca

53 Guillemets typographiques ouvrants. => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : imprim => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | imprim
53 Guillemets typographiques fermants. => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | " => suggestions : ['\xa0»', '”']
53 Mot inconnu : gimp => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | gimp
53 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | a => suggestions : ['à']
53 Incohérence probable avec “a” : “reconstituer” n’est pas un participe passé. => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | reconstituer => suggestions : ['reconstitué']
53 Mot inconnu : facilements => <note tip>les cartes IGN françaises sont visibles sur le site [[http://www.geoportail.fr/]], avec des "imprim écran" et des assemblages sous gimp, on arrive a reconstituer des cartes facilements </note> | facilements

55 Mot inconnu : gps => Pour que le soft puisse placer un point gps sur la carte scannée, cette dernière doit être calibrée. | gps

57 Mot inconnu : gps => Sur le terrain, relever les coordonnées gps de trois points remarquable (les intersections de routes sont très pratiques). | gps

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ne doivent pas être alignés |    => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Doivent être répartis vers les bords de ta carte (ex : haut-gauche, haut - droite, bas - droite) |    => suggestions : ['']
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Doivent être répartis vers les bords de ta carte (ex : haut-gauche, haut - droite, bas - droite) |  -  => suggestions : [' – ', ' — ', ' − ']
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Doivent être répartis vers les bords de ta carte (ex : haut-gauche, haut - droite, bas - droite) |  -  => suggestions : [' – ', ' — ', ' − ']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Doivent être relevés au format //"degré minute seconde"// (ça évite des conversion fastidieuse) |    => suggestions : ['']
62 Guillemets typographiques ouvrants. =>   * Doivent être relevés au format //"degré minute seconde"// (ça évite des conversion fastidieuse) | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. =>   * Doivent être relevés au format //"degré minute seconde"// (ça évite des conversion fastidieuse) | " => suggestions : ['\xa0»', '”']
62 Accord de nombre erroné : « conversion » devrait être au pluriel. =>   * Doivent être relevés au format //"degré minute seconde"// (ça évite des conversion fastidieuse) | conversion => suggestions : ['conversions']

65 Il faut élider “si” et l’accoler au pronom. => <note tip>Si il fait trop froid pour sortir avec votre gps, vous pouvez utiliser Google earth ou geoportail pour récupérer les coordonnées GPS des points de calibration</note> | si  => suggestions : ['S’']
65 Mot inconnu : gps => <note tip>Si il fait trop froid pour sortir avec votre gps, vous pouvez utiliser Google earth ou geoportail pour récupérer les coordonnées GPS des points de calibration</note> | gps
65 Mot inconnu : earth => <note tip>Si il fait trop froid pour sortir avec votre gps, vous pouvez utiliser Google earth ou geoportail pour récupérer les coordonnées GPS des points de calibration</note> | earth
65 Mot inconnu : geoportail => <note tip>Si il fait trop froid pour sortir avec votre gps, vous pouvez utiliser Google earth ou geoportail pour récupérer les coordonnées GPS des points de calibration</note> | geoportail

71 Guillemets typographiques ouvrants. => Choix de la méthode permettant de référencer la carte ==> choisir "affine" | " => suggestions : ['«\xa0', '“']
71 Guillemets typographiques fermants. => Choix de la méthode permettant de référencer la carte ==> choisir "affine" | " => suggestions : ['\xa0»', '”']

73 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => Cliquer sur la carte pour placer le premier point dont on connais les coordonnées gps. | connais => suggestions : ['connaît', 'connait']
73 Mot inconnu : gps => Cliquer sur la carte pour placer le premier point dont on connais les coordonnées gps. | gps

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Donner un nom quelconque au premier point (ex:p1)  |    => suggestions : ['']
77 Il manque un espace. =>   * Donner un nom quelconque au premier point (ex:p1)  | p1 => suggestions : [' p1']
77 Mot inconnu : p1 =>   * Donner un nom quelconque au premier point (ex:p1)  | p1
77 Espace(s) en fin de ligne à supprimer. =>   * Donner un nom quelconque au premier point (ex:p1)  |   => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Renseigner la latitude et la longitude (format d'écriture N ° ' '' : **N47 35 27** et E4 28 36). Je prends les coordonnées sur Géoportail le site de l'IGN. |    => suggestions : ['']
78 Guillemets isolés. =>   * Renseigner la latitude et la longitude (format d'écriture N ° ' '' : **N47 35 27** et E4 28 36). Je prends les coordonnées sur Géoportail le site de l'IGN. |  ''  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
78 Mot inconnu : N47 =>   * Renseigner la latitude et la longitude (format d'écriture N ° ' '' : **N47 35 27** et E4 28 36). Je prends les coordonnées sur Géoportail le site de l'IGN. | n47
78 Mot inconnu : E4 =>   * Renseigner la latitude et la longitude (format d'écriture N ° ' '' : **N47 35 27** et E4 28 36). Je prends les coordonnées sur Géoportail le site de l'IGN. | e4
78 Mot inconnu : Géoportail =>   * Renseigner la latitude et la longitude (format d'écriture N ° ' '' : **N47 35 27** et E4 28 36). Je prends les coordonnées sur Géoportail le site de l'IGN. | géoportail

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Valider et recommencer cette opération 3 x pour inscrire les 3 points de géo réferencements. |    => suggestions : ['']
79 Mot inconnu : réferencements =>   * Valider et recommencer cette opération 3 x pour inscrire les 3 points de géo réferencements. | réferencements

81 Après un point, une majuscule est généralement requise. => La carte est maintenant calibrée. l'échelle affichée sous la carte doit être correcte. | l => suggestions : ['L']

83 Mot inconnu : GPSMAN => En traçant un parcours connu, GPSMAN doit indiquer le bon nombre de km | gpsman

84 Mot inconnu : shift-click => (shift-click droit pour tracer sur la carte) | shift-click

85 Mot inconnu : ctrl => (ctrl pour déplacer la carte à l'écran) | ctrl

89 Mot inconnu : geo-réfèrencement => Menu ://carte/fond/sauvegarde des informations de geo-réfèrencement// | geo-réfèrencement

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la première fenêtre choisir le nom du fichier de calibration de la carte (pas très important) |    => suggestions : ['']
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la première fenêtre choisir le nom du fichier de calibration de la carte (pas très important) |  -  => suggestions : [' – ', ' — ', ' − ']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la seconde,renseigner le champ "//nom//" avec  une dénomination qui permettra de reconnaitre la carte |    => suggestions : ['']
94 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la seconde,renseigner le champ "//nom//" avec  une dénomination qui permettra de reconnaitre la carte |  -  => suggestions : [' – ', ' — ', ' − ']
94 Il manque un espace. =>   - Dans la seconde,renseigner le champ "//nom//" avec  une dénomination qui permettra de reconnaitre la carte | renseigner => suggestions : [' renseigner']
94 Espace(s) surnuméraire(s) à supprimer. =>   - Dans la seconde,renseigner le champ "//nom//" avec  une dénomination qui permettra de reconnaitre la carte |    => suggestions : [' ']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Valider pour terminer |    => suggestions : ['']
95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Valider pour terminer |  -  => suggestions : [' – ', ' — ', ' − ']

97 Accord de nombre erroné : « carte » devrait être au pluriel. => <note tip>Si tu possèdes déjà des carte calibrées au format map (une carte toto.jpg est associée à un fichier de calibration toto.map), il suffit que le fichier map soit dans le même répertoire que le fichier carte et gpsman l'utilisera pour calibrer la carte</note> | carte => suggestions : ['cartes']
97 Mot inconnu : map => <note tip>Si tu possèdes déjà des carte calibrées au format map (une carte toto.jpg est associée à un fichier de calibration toto.map), il suffit que le fichier map soit dans le même répertoire que le fichier carte et gpsman l'utilisera pour calibrer la carte</note> | map
97 Mot inconnu : map => <note tip>Si tu possèdes déjà des carte calibrées au format map (une carte toto.jpg est associée à un fichier de calibration toto.map), il suffit que le fichier map soit dans le même répertoire que le fichier carte et gpsman l'utilisera pour calibrer la carte</note> | map
97 Mot inconnu : map => <note tip>Si tu possèdes déjà des carte calibrées au format map (une carte toto.jpg est associée à un fichier de calibration toto.map), il suffit que le fichier map soit dans le même répertoire que le fichier carte et gpsman l'utilisera pour calibrer la carte</note> | map
97 Mot inconnu : gpsman => <note tip>Si tu possèdes déjà des carte calibrées au format map (une carte toto.jpg est associée à un fichier de calibration toto.map), il suffit que le fichier map soit dans le même répertoire que le fichier carte et gpsman l'utilisera pour calibrer la carte</note> | gpsman

109 Si “êtres” est censé être un verbe, ne mettez pas la marque du pluriel. => Si vous possédez plusieurs cartes scannées rigoureusement à la même échelle et s'alignant parfaitement sans se superposer, elles peuvent êtres assemblées, et apparaitront alors à l'écran comme une seule carte.  | êtres => suggestions : ['être']
109 Espace(s) en fin de ligne à supprimer. => Si vous possédez plusieurs cartes scannées rigoureusement à la même échelle et s'alignant parfaitement sans se superposer, elles peuvent êtres assemblées, et apparaitront alors à l'écran comme une seule carte.  |   => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner la case où doit se placer la prochaine carte, |    => suggestions : ['']
122 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner la case où doit se placer la prochaine carte, |  -  => suggestions : [' – ', ' — ', ' − ']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "//Chargement//" pour sélectionner le fichier image correspondant à cette carte |    => suggestions : ['']
123 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "//Chargement//" pour sélectionner le fichier image correspondant à cette carte |  -  => suggestions : [' – ', ' — ', ' − ']

130 Mot inconnu : gps => ==== connecter un gps ==== | gps

132 Mot inconnu : Gpsman => Gpsman semble supporter les gps | gpsman
132 Mot inconnu : gps => Gpsman semble supporter les gps | gps

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) |    => suggestions : ['']
133 Mot inconnu : Garmin =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) | garmin
133 Mot inconnu : forerunner =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) | forerunner
133 Accord de nombre erroné avec « 201 » : « testé » devrait être au pluriel. =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) | testé => suggestions : ['testés']
133 Mot inconnu : ok =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) | ok
133 Mot inconnu : ttyS0 =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) | ttys0
133 Mot inconnu : ttyUSB0 =>   * Garmin (forerunner 201 testé ok, avec l'adaptateur USB-série je dois changer le nom du port ttyS0 par ttyUSB0) | ttyusb0

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Garmin (foretrex 101 testé OK) mais sur port série, sur USB même avec l'adaptateur il ne se passe rien. J'ai testé chez moi et au vieux campeur (qui ont windob). Le technicien pense à un problème de pilote. |    => suggestions : ['']
134 Mot inconnu : Garmin =>   * Garmin (foretrex 101 testé OK) mais sur port série, sur USB même avec l'adaptateur il ne se passe rien. J'ai testé chez moi et au vieux campeur (qui ont windob). Le technicien pense à un problème de pilote. | garmin
134 Mot inconnu : foretrex =>   * Garmin (foretrex 101 testé OK) mais sur port série, sur USB même avec l'adaptateur il ne se passe rien. J'ai testé chez moi et au vieux campeur (qui ont windob). Le technicien pense à un problème de pilote. | foretrex
134 Accord de nombre erroné avec « 101 » : « testé » devrait être au pluriel. =>   * Garmin (foretrex 101 testé OK) mais sur port série, sur USB même avec l'adaptateur il ne se passe rien. J'ai testé chez moi et au vieux campeur (qui ont windob). Le technicien pense à un problème de pilote. | testé => suggestions : ['testés']
134 Mot inconnu : windob =>   * Garmin (foretrex 101 testé OK) mais sur port série, sur USB même avec l'adaptateur il ne se passe rien. J'ai testé chez moi et au vieux campeur (qui ont windob). Le technicien pense à un problème de pilote. | windob

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Garmin GPSMap 60 (testé: OK) |    => suggestions : ['']
135 Mot inconnu : Garmin =>   * Garmin GPSMap 60 (testé: OK) | garmin
135 Mot inconnu : GPSMap =>   * Garmin GPSMap 60 (testé: OK) | gpsmap

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. |    => suggestions : ['']
136 Mot inconnu : Garmin =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. | garmin
136 Mot inconnu : gps =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. | gps
136 Mot inconnu : Garmin =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. | garmin
136 Mot inconnu : geko =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. | geko
136 Mot inconnu : ttyUSB0 =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. | ttyusb0
136 Mot inconnu : Garmin =>   * Les GPS Garmin gps 12 et Garmin geko 301 peuvent se connecter avec l'adaptateur USB-série sur le port ttyUSB0 et avec le protocole Garmin. | garmin

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lowrence (non testé)FIXME |    => suggestions : ['']
137 Mot inconnu : Lowrence =>   * Lowrence (non testé)FIXME | lowrence
137 Il manque un espace après la parenthèse. =>   * Lowrence (non testé)FIXME | ) => suggestions : [') ']
137 Mot inconnu : FIXME =>   * Lowrence (non testé)FIXME | fixme

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Magellan (non testé)FIXME |    => suggestions : ['']
138 Il manque un espace après la parenthèse. =>   * Magellan (non testé)FIXME | ) => suggestions : [') ']
138 Mot inconnu : FIXME =>   * Magellan (non testé)FIXME | fixme

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "//Option//" permet de choisir la marque du gps |    => suggestions : ['']
140 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "//Option//" permet de choisir la marque du gps |  -  => suggestions : [' – ', ' — ', ' − ']
140 Mot inconnu : gps =>   - "//Option//" permet de choisir la marque du gps | gps

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "//Récepteur gps->fenetre du récepteur//" permet d'ouvrir la fenêtre ci dessous |    => suggestions : ['']
141 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "//Récepteur gps->fenetre du récepteur//" permet d'ouvrir la fenêtre ci dessous |  -  => suggestions : [' – ', ' — ', ' − ']
141 Mot inconnu : gps =>   - "//Récepteur gps->fenetre du récepteur//" permet d'ouvrir la fenêtre ci dessous | gps
141 Mot inconnu : fenetre =>   - "//Récepteur gps->fenetre du récepteur//" permet d'ouvrir la fenêtre ci dessous | fenetre
141 Il manque un trait d’union. =>   - "//Récepteur gps->fenetre du récepteur//" permet d'ouvrir la fenêtre ci dessous | ci dessous => suggestions : ['ci-dessous']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "//Choix du protocole//" (pour un gps garmin dans ce cas:) |    => suggestions : ['']
145 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "//Choix du protocole//" (pour un gps garmin dans ce cas:) |  -  => suggestions : [' – ', ' — ', ' − ']
145 Mot inconnu : gps =>   - "//Choix du protocole//" (pour un gps garmin dans ce cas:) | gps
145 Mot inconnu : garmin =>   - "//Choix du protocole//" (pour un gps garmin dans ce cas:) | garmin

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //protocole->garmin // permet de dialoguer via le port série (pour le 201) |      => suggestions : ['']
146 Mot inconnu : garmin =>     * //protocole->garmin // permet de dialoguer via le port série (pour le 201) | garmin

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //protocole->garmin usb // permet de dialoguer via le port usb ;-) |      => suggestions : ['']
147 Mot inconnu : garmin =>     * //protocole->garmin usb // permet de dialoguer via le port usb ;-) | garmin
147 Mot inconnu : usb =>     * //protocole->garmin usb // permet de dialoguer via le port usb ;-) | usb
147 Mot inconnu : usb =>     * //protocole->garmin usb // permet de dialoguer via le port usb ;-) | usb

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - connection physique du gps à l'ordinateur |    => suggestions : ['']
148 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - connection physique du gps à l'ordinateur |  -  => suggestions : [' – ', ' — ', ' − ']
148 Mot inconnu : connection =>   - connection physique du gps à l'ordinateur | connection
148 Mot inconnu : gps =>   - connection physique du gps à l'ordinateur | gps

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert |    => suggestions : ['']
149 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert |  -  => suggestions : [' – ', ' — ', ' − ']
149 Guillemets typographiques ouvrants. =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | " => suggestions : ['«\xa0', '“']
149 Accord de genre erroné : « clique » est féminin. =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | un => suggestions : ['une']
149 Accord de genre erroné : « un » est un déterminant masculin. =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | clique => suggestions : ['clic']
149 Mot inconnu : offline =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | offline
149 Mot inconnu : gps =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | gps
149 Mot inconnu : ok =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | ok
149 Mot inconnu : offline =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | offline
149 Espace(s) surnuméraire(s) à supprimer. =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert |    => suggestions : [' ']
149 Mot inconnu : online =>   - "un clique sur //offline//" permet vérifier si le gps est reconnu ->si ok, "//offline//" rouge  bascule vers "//online//" vert | online

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - "//prendre//" récupère les données stockées dans le gps et les mets dans la fenetre "liste/gps manager" (gps->pc) |    => suggestions : ['']
