
6 Mot inconnu : Shutters3D-SyncDaemon => ====== Shutters3D-SyncDaemon ====== | shutters3d-syncdaemon

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [LOGICIEL] => [DAEMON] => [MATERIEL] |    => suggestions : ['']
11 Mot inconnu : DAEMON =>   [LOGICIEL] => [DAEMON] => [MATERIEL] | daemon
11 Mot inconnu : MATERIEL =>   [LOGICIEL] => [DAEMON] => [MATERIEL] | materiel

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer de matériel Stéréoscopique compatible (//voir plus bas//). |    => suggestions : ['']
19 Mot inconnu : Magestik => Seule l'installation par le dépôt sera expliquée car c'est la plus simple : elle permet de toujours garder une version à jour. De plus, le dépôt Magestik contient toutes les dépendances du paquet ainsi que d'autres paquets relatifs à la stéréo 3D. Néanmoins, il est toujours possible d'installer le daemon depuis Git (voir lien en bas de page). | magestik
19 Mot inconnu : daemon => Seule l'installation par le dépôt sera expliquée car c'est la plus simple : elle permet de toujours garder une version à jour. De plus, le dépôt Magestik contient toutes les dépendances du paquet ainsi que d'autres paquets relatifs à la stéréo 3D. Néanmoins, il est toujours possible d'installer le daemon depuis Git (voir lien en bas de page). | daemon

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   deb http://repository.magestik.fr/debian ./ |    => suggestions : ['']
22 Mot inconnu : deb =>   deb http://repository.magestik.fr/debian ./ | deb

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget -q http://repository.magestik.fr/debian-mgtk.key -O- | sudo apt-key add - |    => suggestions : ['']
25 Mot inconnu : wget =>   wget -q http://repository.magestik.fr/debian-mgtk.key -O- | sudo apt-key add - | wget
25 Il manque un espace à côté du tiret. =>   wget -q http://repository.magestik.fr/debian-mgtk.key -O- | sudo apt-key add - |  - => suggestions : [' – ', ' — ']
25 Mot inconnu : sudo =>   wget -q http://repository.magestik.fr/debian-mgtk.key -O- | sudo apt-key add - | sudo
25 Mot inconnu : apt-key =>   wget -q http://repository.magestik.fr/debian-mgtk.key -O- | sudo apt-key add - | apt-key
25 Mot inconnu : add =>   wget -q http://repository.magestik.fr/debian-mgtk.key -O- | sudo apt-key add - | add

35 Conjugaison erronée. Accord avec « tout ». Le verbe devrait être à la 3ᵉ personne du singulier. => Tout d'abord commencez par télécharger l'exécutable d'installation du driver Windows GeForce 3D Vision sur le site de Nvidia. La seule version qui a été testée est celle utilisée par le démon, cependant, il est possible que plusieurs versions marchent. Le driver utilisée par défaut est le [[http://fr.download.nvidia.com/Windows/3d_vision_stereo/NVIDIA_3D_Vision_v258.96_driver.exe|258.96]]. | commencez => suggestions : ['commence']
35 Mot inconnu : GeForce => Tout d'abord commencez par télécharger l'exécutable d'installation du driver Windows GeForce 3D Vision sur le site de Nvidia. La seule version qui a été testée est celle utilisée par le démon, cependant, il est possible que plusieurs versions marchent. Le driver utilisée par défaut est le [[http://fr.download.nvidia.com/Windows/3d_vision_stereo/NVIDIA_3D_Vision_v258.96_driver.exe|258.96]]. | geforce
35 Accord de genre erroné : « Le driver » est masculin, « utilisée » est féminin. => Tout d'abord commencez par télécharger l'exécutable d'installation du driver Windows GeForce 3D Vision sur le site de Nvidia. La seule version qui a été testée est celle utilisée par le démon, cependant, il est possible que plusieurs versions marchent. Le driver utilisée par défaut est le [[http://fr.download.nvidia.com/Windows/3d_vision_stereo/NVIDIA_3D_Vision_v258.96_driver.exe|258.96]]. | utilisée => suggestions : ['utilisé']

37 Erreur d’accord probable avec « les fichiers ». => La première étape est d'extraire tout les fichiers contenu dans l'exécutable: | tout => suggestions : ['tous']
37 Accord de nombre erroné avec « les fichiers » : « contenu » devrait être au pluriel. => La première étape est d'extraire tout les fichiers contenu dans l'exécutable: | contenu => suggestions : ['contenus']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cabextract NVIDIA_3D_Vision_v258.96_driver.exe |    => suggestions : ['']
39 Mot inconnu : cabextract =>   cabextract NVIDIA_3D_Vision_v258.96_driver.exe | cabextract

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

41 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ensuite il faut extraire le firmware du fichier .sys grâce à extractfw: |  . => suggestions : ['. ', '.']
41 Mot inconnu : sys => Ensuite il faut extraire le firmware du fichier .sys grâce à extractfw: | sys
41 Mot inconnu : extractfw => Ensuite il faut extraire le firmware du fichier .sys grâce à extractfw: | extractfw

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   extractfw nvstusb.sys |    => suggestions : ['']
43 Mot inconnu : extractfw =>   extractfw nvstusb.sys | extractfw
43 Mot inconnu : nvstusb =>   extractfw nvstusb.sys | nvstusb
43 Mot inconnu : sys =>   extractfw nvstusb.sys | sys

45 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous êtes en 64 bits vous pouvez préférer le .sys qui se trouve dans le dossier amd64 : |  . => suggestions : ['. ', '.']
45 Mot inconnu : sys => Si vous êtes en 64 bits vous pouvez préférer le .sys qui se trouve dans le dossier amd64 : | sys
45 Mot inconnu : amd64 => Si vous êtes en 64 bits vous pouvez préférer le .sys qui se trouve dans le dossier amd64 : | amd64

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   extractfw amd64/nvstusb.sys |    => suggestions : ['']
47 Mot inconnu : extractfw =>   extractfw amd64/nvstusb.sys | extractfw
47 Mot inconnu : amd64 =>   extractfw amd64/nvstusb.sys | amd64
47 Mot inconnu : nvstusb =>   extractfw amd64/nvstusb.sys | nvstusb
47 Mot inconnu : sys =>   extractfw amd64/nvstusb.sys | sys

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp nvstusb.fw /usr/share/shutters3d-syncdaemon/firmware/ |    => suggestions : ['']
51 Mot inconnu : cp =>   cp nvstusb.fw /usr/share/shutters3d-syncdaemon/firmware/ | cp
51 Mot inconnu : nvstusb =>   cp nvstusb.fw /usr/share/shutters3d-syncdaemon/firmware/ | nvstusb
51 Mot inconnu : fw =>   cp nvstusb.fw /usr/share/shutters3d-syncdaemon/firmware/ | fw
57 Espace(s) surnuméraire(s) à supprimer. => Un des principaux objectifs fixé par les développeurs était de supporter n'importe quelle fréquence d'écran. De plus les restrictions commerciales imposées par les drivers Nvidia sous Windows n'existent pas :  il est possible d'utiliser ce logiciel avec **n'importe quel écran** (même ceux qui ne sont pas estampillés 3D Vision Ready) et **n'importe quelle carte graphique** (que ce soient des ATI, Nvidia; dédiés ou intégrés). Néanmoins, la fréquence de l'écran influera largement sur la qualité de la 3D et la puissance de la carte graphique pourra servir à accélérer le rendu 3D dans certains logiciels. |    => suggestions : [' ']
57 Mot inconnu : Ready => Un des principaux objectifs fixé par les développeurs était de supporter n'importe quelle fréquence d'écran. De plus les restrictions commerciales imposées par les drivers Nvidia sous Windows n'existent pas :  il est possible d'utiliser ce logiciel avec **n'importe quel écran** (même ceux qui ne sont pas estampillés 3D Vision Ready) et **n'importe quelle carte graphique** (que ce soient des ATI, Nvidia; dédiés ou intégrés). Néanmoins, la fréquence de l'écran influera largement sur la qualité de la 3D et la puissance de la carte graphique pourra servir à accélérer le rendu 3D dans certains logiciels. | ready
57 Mot inconnu : ATI => Un des principaux objectifs fixé par les développeurs était de supporter n'importe quelle fréquence d'écran. De plus les restrictions commerciales imposées par les drivers Nvidia sous Windows n'existent pas :  il est possible d'utiliser ce logiciel avec **n'importe quel écran** (même ceux qui ne sont pas estampillés 3D Vision Ready) et **n'importe quelle carte graphique** (que ce soient des ATI, Nvidia; dédiés ou intégrés). Néanmoins, la fréquence de l'écran influera largement sur la qualité de la 3D et la puissance de la carte graphique pourra servir à accélérer le rendu 3D dans certains logiciels. | ati

59 Mot inconnu : eDimensionnal => Les seules lunettes actuellement supportées sont celle de Nvidia mais l'ajout de nouvelles lunettes est déjà prévu, que ce soit pour le dongle eDimensionnal ou les futures lunettes HP (octobre 2010) et Sony (février 2011) qui seront fournies avec les ordinateurs portables avec lesquelles elles seront compatibles (HP Envy 3D et Sony Vaio 3D). | edimensionnal
59 Mot inconnu : HP => Les seules lunettes actuellement supportées sont celle de Nvidia mais l'ajout de nouvelles lunettes est déjà prévu, que ce soit pour le dongle eDimensionnal ou les futures lunettes HP (octobre 2010) et Sony (février 2011) qui seront fournies avec les ordinateurs portables avec lesquelles elles seront compatibles (HP Envy 3D et Sony Vaio 3D). | hp
59 Mot inconnu : HP => Les seules lunettes actuellement supportées sont celle de Nvidia mais l'ajout de nouvelles lunettes est déjà prévu, que ce soit pour le dongle eDimensionnal ou les futures lunettes HP (octobre 2010) et Sony (février 2011) qui seront fournies avec les ordinateurs portables avec lesquelles elles seront compatibles (HP Envy 3D et Sony Vaio 3D). | hp
59 Mot inconnu : Envy => Les seules lunettes actuellement supportées sont celle de Nvidia mais l'ajout de nouvelles lunettes est déjà prévu, que ce soit pour le dongle eDimensionnal ou les futures lunettes HP (octobre 2010) et Sony (février 2011) qui seront fournies avec les ordinateurs portables avec lesquelles elles seront compatibles (HP Envy 3D et Sony Vaio 3D). | envy
59 Mot inconnu : Vaio => Les seules lunettes actuellement supportées sont celle de Nvidia mais l'ajout de nouvelles lunettes est déjà prévu, que ce soit pour le dongle eDimensionnal ou les futures lunettes HP (octobre 2010) et Sony (février 2011) qui seront fournies avec les ordinateurs portables avec lesquelles elles seront compatibles (HP Envy 3D et Sony Vaio 3D). | vaio

65 Guillemets typographiques ouvrants. => Cette partie est une traduction du PDF "trucs et astuces" proposé par Nvidia. Elle a été modifiée pour correspondre au démon, sous Linux. Certains problèmes ont été rajoutés puisqu'il ne s'adresse que ce démon, d'autres ont été enlevés puisque le démon ne subit pas les mêmes problèmes que le driver officiel fournit pour Microsoft Windows (pas besoin de se mettre en plein écran, par exemple). | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => Cette partie est une traduction du PDF "trucs et astuces" proposé par Nvidia. Elle a été modifiée pour correspondre au démon, sous Linux. Certains problèmes ont été rajoutés puisqu'il ne s'adresse que ce démon, d'autres ont été enlevés puisque le démon ne subit pas les mêmes problèmes que le driver officiel fournit pour Microsoft Windows (pas besoin de se mettre en plein écran, par exemple). | " => suggestions : ['\xa0»', '”']

68 Mot inconnu : GeForce => Vous devez recharger les lunettes GeForce®3D Vision pendant au moins 3 heures avant de les utiliser pour la première fois. Vous pouvez vérifier le niveau de la batterie en appuyant sur le bouton ON situé sur la branche droite. | geforce
68 Avec une unité de mesure, mettez un espace insécable. => Vous devez recharger les lunettes GeForce®3D Vision pendant au moins 3 heures avant de les utiliser pour la première fois. Vous pouvez vérifier le niveau de la batterie en appuyant sur le bouton ON situé sur la branche droite. | 3 heures => suggestions : ['3\xa0heures']
68 Conjugaison erronée. Accord avec “ON”. Le verbe devrait être à la 3ᵉ personne du singulier. => Vous devez recharger les lunettes GeForce®3D Vision pendant au moins 3 heures avant de les utiliser pour la première fois. Vous pouvez vérifier le niveau de la batterie en appuyant sur le bouton ON situé sur la branche droite. | situé => suggestions : ['situait', 'situe', 'situa']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Si la lumière à coté du bouton est verte, vous disposez de 40 heures d'autonomie. L'autonomie dépend du temps de charge. |    => suggestions : ['']
69 Confusion : “coté” est le participe passé du verbe “coter”. =>   *  Si la lumière à coté du bouton est verte, vous disposez de 40 heures d'autonomie. L'autonomie dépend du temps de charge. | coté => suggestions : ['côté', 'côtés']
69 Avec une unité de mesure, mettez un espace insécable. =>   *  Si la lumière à coté du bouton est verte, vous disposez de 40 heures d'autonomie. L'autonomie dépend du temps de charge. | 40 heures => suggestions : ['40\xa0heures']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Si la lumière est rouge, il vous reste moins de deux heures et il est recommandé de recharger les lunettes. |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Si il n'y a pas de lumière, la batterie est vide, vous devez la recharger ! |    => suggestions : ['']
71 Il faut élider “si” et l’accoler au pronom. =>   *  Si il n'y a pas de lumière, la batterie est vide, vous devez la recharger ! | si  => suggestions : ['S’']

75 Mot inconnu : DVI => ===Assurez vous d'utiliser le bon câble DVI=== | dvi

77 Mot inconnu : cable => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  | cable
77 Mot inconnu : DVI => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  | dvi
77 Avec une unité de mesure, mettez un espace insécable. => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  | 120 hz => suggestions : ['120\xa0Hz']
77 Mot inconnu : DVI => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  | dvi
77 Mot inconnu : dual-link => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  | dual-link
77 Mot inconnu : GeForce => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  | geforce
77 Espace(s) en fin de ligne à supprimer. => Vous devez utiliser le cable DVI fourni avec l'écran LCD 120 Hz que vous utilisez. C'est un câble DVI dual-link standard et GeForce 3D Vision ne peut pas fonctionner sans celui-ci.  |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activez l'émetteur Infra-Rouge. Appuyez sur le bouton ON/OFF sur le devant du dongle USB. L'émetteur est activé quand le bouton est vert. Si la couleur est vert vif, alors le dongle est en train d'émettre (3D activée !). Si il est rouge c'est que le démon n'a pas correctement envoyé le firmware (ou le démon n'est pas en marche, essayez de le relancer manuellement). |    => suggestions : ['']
82 Il faut élider “si” et l’accoler au pronom. =>   * Activez l'émetteur Infra-Rouge. Appuyez sur le bouton ON/OFF sur le devant du dongle USB. L'émetteur est activé quand le bouton est vert. Si la couleur est vert vif, alors le dongle est en train d'émettre (3D activée !). Si il est rouge c'est que le démon n'a pas correctement envoyé le firmware (ou le démon n'est pas en marche, essayez de le relancer manuellement). | si  => suggestions : ['S’']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allumez les lunettes. Pour cela il vous suffit d'appuyer sur le bouton ON situé sur la branche gauche des montures. Les lunettes s'éteignent au bout de 10 minutes d'inactivités (pour économiser de la batterie). |    => suggestions : ['']
83 Conjugaison erronée. Accord avec “ON”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   * Allumez les lunettes. Pour cela il vous suffit d'appuyer sur le bouton ON situé sur la branche gauche des montures. Les lunettes s'éteignent au bout de 10 minutes d'inactivités (pour économiser de la batterie). | situé => suggestions : ['situait', 'situe', 'situa']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activez le mode 3D. Pour cela, vous devez configurer le logiciel tiers pour qu'il s'adresse directement au démon. En général, il vous suffit de sélectionner Nvidia 3D Vision dans les options de ce logiciel. |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *   120 Hz en Amérique du Nord quand la lumière est allumée,  |    => suggestions : ['']
89 Avec une unité de mesure, mettez un espace insécable. =>   *   120 Hz en Amérique du Nord quand la lumière est allumée,  | 120 hz => suggestions : ['120\xa0Hz']
89 Espace(s) en fin de ligne à supprimer. =>   *   120 Hz en Amérique du Nord quand la lumière est allumée,  |   => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *   110 Hz quand les lumières sont éteintes ou lumière du jour, |    => suggestions : ['']
90 Avec une unité de mesure, mettez un espace insécable. =>   *   110 Hz quand les lumières sont éteintes ou lumière du jour, | 110 hz => suggestions : ['110\xa0Hz']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *   100 Hz dans les pays ou les ampoules émettent en 50 Hz. |    => suggestions : ['']
91 Avec une unité de mesure, mettez un espace insécable. =>   *   100 Hz dans les pays ou les ampoules émettent en 50 Hz. | 100 hz => suggestions : ['100\xa0Hz']
91 Avec une unité de mesure, mettez un espace insécable. =>   *   100 Hz dans les pays ou les ampoules émettent en 50 Hz. | 50 hz => suggestions : ['50\xa0Hz']

95 Forme interrogative ? Mettez un trait d’union. => Si le logiciel que vous souhaitez utiliser ne fonctionne pas en 3D, assurez vous qu'il a été programmé pour fonctionner avec ce démon. Si vous ne trouvez pas l'information sur la page documentaire du logiciel en question reportez vous à la liste des logiciels compatibles ci-dessus. Si le logiciel est censé être compatible, mais que la 3D ne s'active toujours pas, essayez de désactiver votre Compositeur (si vous en avez un) de Bureau, comme Compiz.  | assurez vous => suggestions : ['assurez-vous']
95 Forme interrogative ? Mettez un trait d’union. => Si le logiciel que vous souhaitez utiliser ne fonctionne pas en 3D, assurez vous qu'il a été programmé pour fonctionner avec ce démon. Si vous ne trouvez pas l'information sur la page documentaire du logiciel en question reportez vous à la liste des logiciels compatibles ci-dessus. Si le logiciel est censé être compatible, mais que la 3D ne s'active toujours pas, essayez de désactiver votre Compositeur (si vous en avez un) de Bureau, comme Compiz.  | reportez vous => suggestions : ['reportez-vous']
95 Mot inconnu : Compiz => Si le logiciel que vous souhaitez utiliser ne fonctionne pas en 3D, assurez vous qu'il a été programmé pour fonctionner avec ce démon. Si vous ne trouvez pas l'information sur la page documentaire du logiciel en question reportez vous à la liste des logiciels compatibles ci-dessus. Si le logiciel est censé être compatible, mais que la 3D ne s'active toujours pas, essayez de désactiver votre Compositeur (si vous en avez un) de Bureau, comme Compiz.  | compiz
95 Espace(s) en fin de ligne à supprimer. => Si le logiciel que vous souhaitez utiliser ne fonctionne pas en 3D, assurez vous qu'il a été programmé pour fonctionner avec ce démon. Si vous ne trouvez pas l'information sur la page documentaire du logiciel en question reportez vous à la liste des logiciels compatibles ci-dessus. Si le logiciel est censé être compatible, mais que la 3D ne s'active toujours pas, essayez de désactiver votre Compositeur (si vous en avez un) de Bureau, comme Compiz.  |   => suggestions : ['']

99 Erreur d’accord probable avec « les cas ». => La résolution n'a pas trop conséquence sur les effets de la 3D. Cependant une plus grande résolution permet plus de détails ce qui est encore plus avantageux lors de l'utilisation de la 3D. Cependant, le réglage de la résolution peut vous contraindre à utiliser une résolution particulière. Dans tout les cas vous devez d'abord régler le taux de rafraichissement de votre écran, puis choisissez la résolution maximale qui peut lui être associées. | tout => suggestions : ['tous']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Moniteur 120 Hz: choisissez un taux de rafraichissement supérieur ou égale à 100 Hz. ( vous pouvez vous référer à la section ci-dessus concernant l'environnement et les clignotements lumineux) |    => suggestions : ['']
102 Avec une unité de mesure, mettez un espace insécable. =>   *  Moniteur 120 Hz: choisissez un taux de rafraichissement supérieur ou égale à 100 Hz. ( vous pouvez vous référer à la section ci-dessus concernant l'environnement et les clignotements lumineux) | 120 hz => suggestions : ['120\xa0Hz']
102 Avec une unité de mesure, mettez un espace insécable. =>   *  Moniteur 120 Hz: choisissez un taux de rafraichissement supérieur ou égale à 100 Hz. ( vous pouvez vous référer à la section ci-dessus concernant l'environnement et les clignotements lumineux) | 100 hz => suggestions : ['100\xa0Hz']
102 Pas d’espace après ce signe. =>   *  Moniteur 120 Hz: choisissez un taux de rafraichissement supérieur ou égale à 100 Hz. ( vous pouvez vous référer à la section ci-dessus concernant l'environnement et les clignotements lumineux) | (  => suggestions : ['(']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) |    => suggestions : ['']
103 Mot inconnu : DLP =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | dlp
103 Mot inconnu : HDTV =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | hdtv
103 Espace(s) surnuméraire(s) à supprimer. =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) |    => suggestions : [' ']
103 Signe de multiplication typographique. =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | 1920x1080 => suggestions : ['1920\xa0×\xa01080']
103 Mot inconnu : x1080 =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | x1080
103 Signe de multiplication typographique. =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | 1768x992 => suggestions : ['1768\xa0×\xa0992']
103 Mot inconnu : x992 =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | x992
103 Signe de multiplication typographique. =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | 1280x1024 => suggestions : ['1280\xa0×\xa01024']
103 Mot inconnu : x1024 =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | x1024
103 Avec une unité de mesure, mettez un espace insécable. =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | 60 hz => suggestions : ['60\xa0Hz']
103 Avec une unité de mesure, mettez un espace insécable. =>   * DLP HDTV:  Sélectionnez une résolution de 1920x1080, 1768x992 ou 1280x1024 et réglez le taux de rafraichissement sur 60 Hz. (le réglage sur 60 Hz parait assez petit pour jouer de manière fluide en 3D) | 60 hz => suggestions : ['60\xa0Hz']

