
5 Mot inconnu : Pando => ====== Pando ====== | pando
10 Mot inconnu : there => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | there
10 Mot inconnu : additional => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | additional
10 Mot inconnu : features => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | features
10 Mot inconnu : planned => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | planned
10 Mot inconnu : so => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | so
10 Mot inconnu : merely => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | merely
10 Mot inconnu : updating => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | updating
10 Mot inconnu : the => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | the
10 Mot inconnu : every => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | every
10 Mot inconnu : time => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | time
10 Mot inconnu : there => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | there
10 Mot inconnu : is => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | is
10 Mot inconnu : update => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | update
10 Mot inconnu : the => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | the
10 Mot inconnu : side => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | side
10 Mot inconnu : will => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | will
10 Mot inconnu : not => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | not
10 Mot inconnu : really => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | really
10 Mot inconnu : mean => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | mean
10 Mot inconnu : anything => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | anything
10 Mot inconnu : users => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | users
10 Mot inconnu : We => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | we
10 Mot inconnu : only => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | only
10 Mot inconnu : going => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | going
10 Mot inconnu : to => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | to
10 Mot inconnu : the => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | the
10 Mot inconnu : download => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | download
10 Mot inconnu : of => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | of
10 Mot inconnu : created => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | created
10 Mot inconnu : by => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | by
10 Mot inconnu : and => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | and
10 Mot inconnu : the => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | the
10 Mot inconnu : time => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | time
10 Mot inconnu : being => Just to be clear, there are no additional features planned, so merely updating the client every time there is an update on the Windows or Mac side will not really mean anything for Linux users. We are only going to support the download of files created by Windows and Mac clients for the time being.//)). | being

18 Mot inconnu : Pando => Pando vous permet de partager un ou plusieurs fichiers avec plusieurs personnes de manière très simple. Il est très pratique pour les fichiers très volumineux. Vous n'envoyez ainsi qu'une seule fois le fichier et plusieurs personnes peuvent le télécharger. | pando

27 Mot inconnu : Pando => Un fichier envoyé sur Pando n'est valide que 7 jours pour un envoi par mail ou messagerie instantanée. Pour les paquets destinés à des sites web le délai est de 30 jours. Au delà de ce délai il est supprimé des serveurs. | pando
27 Il manque un trait d’union. => Un fichier envoyé sur Pando n'est valide que 7 jours pour un envoi par mail ou messagerie instantanée. Pour les paquets destinés à des sites web le délai est de 30 jours. Au delà de ce délai il est supprimé des serveurs. | au delà => suggestions : ['Au-delà']

29 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous ré-envoyez le fichier après le délai, un nouveau fichier .pando sera généré et le précédent ne sera plus utilisable. |  . => suggestions : ['. ', '.']
29 Mot inconnu : pando => Si vous ré-envoyez le fichier après le délai, un nouveau fichier .pando sera généré et le précédent ne sera plus utilisable. | pando

39 Mot inconnu : deb => Vous pouvez télécharger et installer le paquet deb [[https://pando.fr.uptodown.com/ubuntu/telecharger|ici]]. | deb

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

46 Mettez des guillemets fermants plutôt qu’ouvrants. => Le programme vous demandera alors de lui donner le chemin d'accès au fichier « .pando ». |  « => suggestions : ['\xa0»', '”']
46 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le programme vous demandera alors de lui donner le chemin d'accès au fichier « .pando ». |  . => suggestions : ['. ', '.']
46 Mot inconnu : pando => Le programme vous demandera alors de lui donner le chemin d'accès au fichier « .pando ». | pando

56 Mot inconnu : Pando => Après le lancement d'un premier téléchargement avec Pando, un fichier caché « .PandoDownloader » apparaît dans votre répertoire personnel. | pando
56 Mettez des guillemets fermants plutôt qu’ouvrants. => Après le lancement d'un premier téléchargement avec Pando, un fichier caché « .PandoDownloader » apparaît dans votre répertoire personnel. |  « => suggestions : ['\xa0»', '”']
56 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Après le lancement d'un premier téléchargement avec Pando, un fichier caché « .PandoDownloader » apparaît dans votre répertoire personnel. |  . => suggestions : ['. ', '.']
56 Mot inconnu : PandoDownloader => Après le lancement d'un premier téléchargement avec Pando, un fichier caché « .PandoDownloader » apparaît dans votre répertoire personnel. | pandodownloader
61 Mot inconnu : UID => Si vous effacez la ligne « UID », il est possible que, lors du prochain démarrage de Pando, celui-ci écrase votre fichier de configuration. | uid
61 Mot inconnu : Pando => Si vous effacez la ligne « UID », il est possible que, lors du prochain démarrage de Pando, celui-ci écrase votre fichier de configuration. | pando

95 Mot inconnu : Pando => //Basé sur le [[http://www.pando.com/phpbb/viewtopic.php?t=4046|forum officiel Pando GNU/Linux]].// | pando
