
5 Mot inconnu : IBar => ====== IBar ====== | ibar
28 Guillemets typographiques fermants. => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | " => suggestions : ['\xa0»', '”']
28 Il manque un espace. => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | l => suggestions : [' l']
28 Mot inconnu : ibar => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | ibar
28 Mot inconnu : ctrl => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | ctrl
28 Mot inconnu : alt => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | alt
28 Accord de genre erroné : « normal » est masculin. => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | la => suggestions : ['le']
28 Accord de genre erroné : « la » est un déterminant féminin. => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | normal => suggestions : ['normale']
28 Mot inconnu : ctrl => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | ctrl
28 Mot inconnu : alt => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | alt

31 Mot inconnu : iBar => ====Personnalisation de la barre de lancement (iBar)==== | ibar

42 Mot inconnu : default => Lancer l'application à ajouter puis cliquez son icône (en haut à gauche de la fenêtre) et choisir dans le menu **Ajouter l'application au lanceur->default** | default

48 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Maintenant que vous avez plein de fichiers .desktop, vous pouvez vous rendre dans le dossier ~/.e/e/applications/bar et éditer le fichier .order. |  . => suggestions : ['. ', '.']
48 Mot inconnu : desktop => Maintenant que vous avez plein de fichiers .desktop, vous pouvez vous rendre dans le dossier ~/.e/e/applications/bar et éditer le fichier .order. | desktop
48 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Maintenant que vous avez plein de fichiers .desktop, vous pouvez vous rendre dans le dossier ~/.e/e/applications/bar et éditer le fichier .order. |  . => suggestions : ['. ', '.']
48 Mot inconnu : order => Maintenant que vous avez plein de fichiers .desktop, vous pouvez vous rendre dans le dossier ~/.e/e/applications/bar et éditer le fichier .order. | order

49 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Il vous suffit d'y mettre les noms des fichiers .desktop que vous souhaitez voir apparaître dans votre barre. |  . => suggestions : ['. ', '.']
49 Mot inconnu : desktop => Il vous suffit d'y mettre les noms des fichiers .desktop que vous souhaitez voir apparaître dans votre barre. | desktop
53 Incohérence. Ceci est un verbe à la 1ʳᵉ personne du singulier. Sujet (“je” ou “moi qui”) introuvable. => //Contributeurs principaux : mondai// | mondai => suggestions : ['monda']
