
4 Mot inconnu : CAPT [[47:51]] => ====== Installer le pilote d'imprimantes Canon CAPT ====== <|> capt
64 Mot inconnu : ppd [[109:112]] => Pour la plupart des modèles, vous trouverez 2 fichiers correspondants à votre imprimante : //CNCUPSxxxxCAPTK.ppd// et //CNCUPSxxxxCAPTJ.ppd//.\\  <|> ppd
64 Mot inconnu : CNCUPSxxxxCAPTJ [[120:135]] => Pour la plupart des modèles, vous trouverez 2 fichiers correspondants à votre imprimante : //CNCUPSxxxxCAPTK.ppd// et //CNCUPSxxxxCAPTJ.ppd//.\\  <|> cncupsxxxxcaptj
64 Mot inconnu : ppd [[136:139]] => Pour la plupart des modèles, vous trouverez 2 fichiers correspondants à votre imprimante : //CNCUPSxxxxCAPTK.ppd// et //CNCUPSxxxxCAPTJ.ppd//.\\  <|> ppd
64 Espace(s) en fin de ligne à supprimer. [[144:145]] => Pour la plupart des modèles, vous trouverez 2 fichiers correspondants à votre imprimante : //CNCUPSxxxxCAPTK.ppd// et //CNCUPSxxxxCAPTJ.ppd//.\\  <|>  

65 Mot inconnu : CNCUPSxxxxCAPTK [[39:54]] => La documentation Canon recommande le //CNCUPSxxxxCAPTK.ppd//.\\  <|> cncupsxxxxcaptk
65 Mot inconnu : ppd [[55:58]] => La documentation Canon recommande le //CNCUPSxxxxCAPTK.ppd//.\\  <|> ppd
65 Espace(s) en fin de ligne à supprimer. [[63:64]] => La documentation Canon recommande le //CNCUPSxxxxCAPTK.ppd//.\\  <|>  

66 Mot inconnu : CNCUPSxxxxCAPTJ [[95:110]] => Si après avoir suivi ce tutoriel votre imprimante ne fonctionne pas, essayez avec le fichier //CNCUPSxxxxCAPTJ.ppd//. \\ <|> cncupsxxxxcaptj
66 Mot inconnu : ppd [[111:114]] => Si après avoir suivi ce tutoriel votre imprimante ne fonctionne pas, essayez avec le fichier //CNCUPSxxxxCAPTJ.ppd//. \\ <|> ppd
71 Espace(s) en fin de ligne à supprimer. [[45:46]] =>   * L'installation se passe en trois étapes :  <|>  

82 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[33:35]] => <note important>Le nom du fichier .ppd doit être exact. Attention donc à bien en respecter la casse((minuscule/majuscule)). <|>  . => suggestions : .. 
82 Mot inconnu : ppd [[35:38]] => <note important>Le nom du fichier .ppd doit être exact. Attention donc à bien en respecter la casse((minuscule/majuscule)). <|> ppd
82 Il manque un espace avant la parenthèse. [[99:100]] => <note important>Le nom du fichier .ppd doit être exact. Attention donc à bien en respecter la casse((minuscule/majuscule)). <|> ( => suggestions :  (
85 Espace(s) en fin de ligne à supprimer. [[107:108]] => Si cette méthode ne fonctionne pas, vous pouvez toujours utiliser l'ancienne procédure qui consistait à :\\  <|>  
94 Mot inconnu : device [[5:11]] =>   * [device] : emplacement du fichier du périphérique : Vérifier dans le répertoire ///dev/usb// le nom exact (lp0; lp1; lp2 ...) <|> device
94 Mot inconnu : lp0 [[111:114]] =>   * [device] : emplacement du fichier du périphérique : Vérifier dans le répertoire ///dev/usb// le nom exact (lp0; lp1; lp2 ...) <|> lp0
94 Mot inconnu : lp1 [[116:119]] =>   * [device] : emplacement du fichier du périphérique : Vérifier dans le répertoire ///dev/usb// le nom exact (lp0; lp1; lp2 ...) <|> lp1
94 Mot inconnu : lp2 [[121:124]] =>   * [device] : emplacement du fichier du périphérique : Vérifier dans le répertoire ///dev/usb// le nom exact (lp0; lp1; lp2 ...) <|> lp2
94 Typographie : points de suspension. Utilisez le caractère dédié. [[125:128]] =>   * [device] : emplacement du fichier du périphérique : Vérifier dans le répertoire ///dev/usb// le nom exact (lp0; lp1; lp2 ...) <|> ... => suggestions : …

116 Mot inconnu : ccpd [[22:26]] => === Démarrer le démon ccpd === <|> ccpd

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  1. Adapter le démon ccpd au fonctionnement d'Ubuntu : \\ <|>  
117 Mot inconnu : ccpd [[21:25]] =>  1. Adapter le démon ccpd au fonctionnement d'Ubuntu : \\ <|> ccpd

130 Espace(s) en fin de ligne à supprimer. [[41:42]] => Terminez en enregistrant ce fichier.\\ \\  <|>  

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  2. Tapez la commande suivante : <|>  

189 Mot inconnu : ccpd [[20:24]] => Redémarrer le démon ccpd et vérifier de nouveau son statut : <|> ccpd

208 Mot inconnu : LBP-XXX [[5:12]] => où //LBP-XXX// et ///dev/usb/lp0// sont à adapter  selon la manière dont vous avez installé votre imprimante dans le démon ccpd.\\ <|> lbp-xxx
208 Espace(s) surnuméraire(s) à supprimer. [[49:51]] => où //LBP-XXX// et ///dev/usb/lp0// sont à adapter  selon la manière dont vous avez installé votre imprimante dans le démon ccpd.\\ <|>    => suggestions :  
208 Mot inconnu : ccpd [[123:127]] => où //LBP-XXX// et ///dev/usb/lp0// sont à adapter  selon la manière dont vous avez installé votre imprimante dans le démon ccpd.\\ <|> ccpd

214 Mot inconnu : Statusmonitor [[46:59]] => La commande doit ouvrir la fenêtre du //Canon Statusmonitor//((Le //Canon Statusmonitor// donne accès à certaines fonctionnalités avancées de l'imprimante telles que : nombres pages imprimées, niveaux toners, calibrage, nettoyage ou encore mise en veille)) avec le message "**Ready to print** (ou sleeping)".\\ <|> statusmonitor
214 Mot inconnu : Statusmonitor [[74:87]] => La commande doit ouvrir la fenêtre du //Canon Statusmonitor//((Le //Canon Statusmonitor// donne accès à certaines fonctionnalités avancées de l'imprimante telles que : nombres pages imprimées, niveaux toners, calibrage, nettoyage ou encore mise en veille)) avec le message "**Ready to print** (ou sleeping)".\\ <|> statusmonitor
214 Mot inconnu : Ready [[276:281]] => La commande doit ouvrir la fenêtre du //Canon Statusmonitor//((Le //Canon Statusmonitor// donne accès à certaines fonctionnalités avancées de l'imprimante telles que : nombres pages imprimées, niveaux toners, calibrage, nettoyage ou encore mise en veille)) avec le message "**Ready to print** (ou sleeping)".\\ <|> ready
214 Mot inconnu : to [[282:284]] => La commande doit ouvrir la fenêtre du //Canon Statusmonitor//((Le //Canon Statusmonitor// donne accès à certaines fonctionnalités avancées de l'imprimante telles que : nombres pages imprimées, niveaux toners, calibrage, nettoyage ou encore mise en veille)) avec le message "**Ready to print** (ou sleeping)".\\ <|> to
214 Mot inconnu : print [[285:290]] => La commande doit ouvrir la fenêtre du //Canon Statusmonitor//((Le //Canon Statusmonitor// donne accès à certaines fonctionnalités avancées de l'imprimante telles que : nombres pages imprimées, niveaux toners, calibrage, nettoyage ou encore mise en veille)) avec le message "**Ready to print** (ou sleeping)".\\ <|> print

216 Mot inconnu : capstatusui [[58:69]] => <note tip>Si toutefois la commande retourne le message "**capstatusui Socket Error**", vous pouvez essayer de redémarrer le démon ccpd et le service d'impression avec les commandes suivantes : <|> capstatusui
216 Mot inconnu : Error [[77:82]] => <note tip>Si toutefois la commande retourne le message "**capstatusui Socket Error**", vous pouvez essayer de redémarrer le démon ccpd et le service d'impression avec les commandes suivantes : <|> error
216 Mot inconnu : ccpd [[130:134]] => <note tip>Si toutefois la commande retourne le message "**capstatusui Socket Error**", vous pouvez essayer de redémarrer le démon ccpd et le service d'impression avec les commandes suivantes : <|> ccpd

220 Mot inconnu : ccpd [[128:132]] => Si cela ne suffit pas, laissez l'imprimante allumée et connectée puis redémarrez l'ordinateur. Penser ensuite à lancer le démon ccpd.</note> <|> ccpd

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  \\  <|>  
227 Espace(s) en fin de ligne à supprimer. [[3:4]] =>  \\  <|>  

230 Mot inconnu : icone [[66:71]] => Ouvrez l'application "//Imprimantes//" faites un clic droit sur l'icone de l'imprimante et sélectionnez "//Définir par défaut//". \\  <|> icone
230 Espace(s) en fin de ligne à supprimer. [[132:133]] => Ouvrez l'application "//Imprimantes//" faites un clic droit sur l'icone de l'imprimante et sélectionnez "//Définir par défaut//". \\  <|>  

231 Mot inconnu : LBPxxxx-2 [[67:76]] => Il se peut que vous trouviez une deuxième imprimante identifiée "//LBPxxxx-2//". Elle aura été créée par le système de détection automatique des imprimantes. Ignorez là, le système ne sait pas installer correctement ces imprimantes et si vous la supprimez elle reviendra. <|> lbpxxxx-2

234 Mot inconnu : ccpd [[38:42]] => === Automatiser le démarrage du démon ccpd === <|> ccpd

236 Mot inconnu : ccpd [[153:157]] => Une fois correctement installée, pour que l'imprimante fonctionne d'une façon transparente pour l'utilisateur, il faut automatiser le démarrage du démon ccpd. \\  <|> ccpd
236 Espace(s) en fin de ligne à supprimer. [[161:162]] => Une fois correctement installée, pour que l'imprimante fonctionne d'une façon transparente pour l'utilisateur, il faut automatiser le démarrage du démon ccpd. \\  <|>  
246 Espace(s) en fin de ligne à supprimer. [[56:57]] => Lorsque aucune imprimante n'est installée, la commande :  <|>  
249 Espace(s) en fin de ligne à supprimer. [[32:33]] => donnera un résultat de ce type :  <|>  
265 Mot inconnu : lpadmin [[19:26]] =>   * la page man de lpadmin <|> lpadmin
