
3 Mot inconnu : Compiz => ====== Compiz: Problèmes connus ====== | compiz
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquez ensuite sur : //**Ajouter**// pour ajouter une nouvelle commande |  -  => suggestions : [' – ', ' — ', ' − ']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans "//Nom//" mettre "//Start Compiz//" |    => suggestions : ['']
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans "//Nom//" mettre "//Start Compiz//" |  -  => suggestions : [' – ', ' — ', ' − ']
41 Mot inconnu : Start =>   - Dans "//Nom//" mettre "//Start Compiz//" | start
41 Mot inconnu : Compiz =>   - Dans "//Nom//" mettre "//Start Compiz//" | compiz

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans le champ "//Commande//" mettre : <file>compiz --replace</file>  |    => suggestions : ['']
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans le champ "//Commande//" mettre : <file>compiz --replace</file>  |  -  => suggestions : [' – ', ' — ', ' − ']
42 Mot inconnu : compiz =>   - Dans le champ "//Commande//" mettre : <file>compiz --replace</file>  | compiz
42 Espace(s) en fin de ligne à supprimer. =>   - Dans le champ "//Commande//" mettre : <file>compiz --replace</file>  |   => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Pour finir, cliquez sur "//Ajouter//" pour valider et fermez ensuite la fenêtre.  |    => suggestions : ['']
43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Pour finir, cliquez sur "//Ajouter//" pour valider et fermez ensuite la fenêtre.  |  -  => suggestions : [' – ', ' — ', ' − ']
43 Espace(s) en fin de ligne à supprimer. =>   - Pour finir, cliquez sur "//Ajouter//" pour valider et fermez ensuite la fenêtre.  |   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

46 Mot inconnu : Xubuntu => (Sur Xubuntu et dérivés, pour que la commande fonctionne, il faut se connecter en session xfce et pas en session xubuntu.) | xubuntu
46 Mot inconnu : xfce => (Sur Xubuntu et dérivés, pour que la commande fonctionne, il faut se connecter en session xfce et pas en session xubuntu.) | xfce
46 Mot inconnu : xubuntu => (Sur Xubuntu et dérivés, pour que la commande fonctionne, il faut se connecter en session xfce et pas en session xubuntu.) | xubuntu

47 Mot inconnu : compiz => ===== Erreur au démarrage de compiz : /usr/bin/compiz: 378: /usr/local/bin/compiz: not found ===== | compiz
47 Mot inconnu : not => ===== Erreur au démarrage de compiz : /usr/bin/compiz: 378: /usr/local/bin/compiz: not found ===== | not
47 Mot inconnu : found => ===== Erreur au démarrage de compiz : /usr/bin/compiz: 378: /usr/local/bin/compiz: not found ===== | found

68 Mot inconnu : compiz => Puis relancer compiz : | compiz

74 Typographie : points de suspension. Utilisez le caractère dédié. => Sous Ubuntu 8.04 et selon les cartes graphiques, il se peut que les ombres ne s'affichent pas correctement sous les fenêtres (couleurs aléatoires, absences des ombres...). | ... => suggestions : ['…']

76 Mot inconnu : sudo => sudo ln -sf /usr/lib/nvidia/libwfb.so.xserver-xorg-core /usr/lib/xorg/modules/libwfb.so</code> | sudo
76 Il manque un espace à côté du tiret. => sudo ln -sf /usr/lib/nvidia/libwfb.so.xserver-xorg-core /usr/lib/xorg/modules/libwfb.so</code> |  - => suggestions : [' – ', ' — ']
76 Mot inconnu : sf => sudo ln -sf /usr/lib/nvidia/libwfb.so.xserver-xorg-core /usr/lib/xorg/modules/libwfb.so</code> | sf
81 Mot inconnu : compiz-gtk => Avant toute chose, vérifiez que les paquets **[[apt://compiz-gtk,compiz-gnome]]** sont bien installé, et redémarrer le serveur graphique (**Ctrl + Alt + Backspace** ou **Alt + Impr. écran + K**). **Attention : sauvegardez vos données avant ! Toute donnée non enregistrée sera perdue définitivement !** | compiz-gtk
81 Il manque un espace. => Avant toute chose, vérifiez que les paquets **[[apt://compiz-gtk,compiz-gnome]]** sont bien installé, et redémarrer le serveur graphique (**Ctrl + Alt + Backspace** ou **Alt + Impr. écran + K**). **Attention : sauvegardez vos données avant ! Toute donnée non enregistrée sera perdue définitivement !** | compiz-gnome => suggestions : [' compiz-gnome']
81 Mot inconnu : compiz-gnome => Avant toute chose, vérifiez que les paquets **[[apt://compiz-gtk,compiz-gnome]]** sont bien installé, et redémarrer le serveur graphique (**Ctrl + Alt + Backspace** ou **Alt + Impr. écran + K**). **Attention : sauvegardez vos données avant ! Toute donnée non enregistrée sera perdue définitivement !** | compiz-gnome
81 Mot inconnu : Backspace => Avant toute chose, vérifiez que les paquets **[[apt://compiz-gtk,compiz-gnome]]** sont bien installé, et redémarrer le serveur graphique (**Ctrl + Alt + Backspace** ou **Alt + Impr. écran + K**). **Attention : sauvegardez vos données avant ! Toute donnée non enregistrée sera perdue définitivement !** | backspace
81 Mot inconnu : Impr => Avant toute chose, vérifiez que les paquets **[[apt://compiz-gtk,compiz-gnome]]** sont bien installé, et redémarrer le serveur graphique (**Ctrl + Alt + Backspace** ou **Alt + Impr. écran + K**). **Attention : sauvegardez vos données avant ! Toute donnée non enregistrée sera perdue définitivement !** | impr

83 Mot inconnu : emerald => Une autre méthode consiste à utiliser [[emerald]] en tant que décorateur de fenêtre. | emerald

98 Guillemets typographiques ouvrants. => dans la partie "Device". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : Device => dans la partie "Device". | device
98 Guillemets typographiques fermants. => dans la partie "Device". | " => suggestions : ['\xa0»', '”']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   DefaultDepth 24 |    => suggestions : ['']
100 Mot inconnu : DefaultDepth =>   DefaultDepth 24 | defaultdepth

102 Guillemets typographiques ouvrants. => dans la partie "Screen". | " => suggestions : ['«\xa0', '“']
102 Mot inconnu : Screen => dans la partie "Screen". | screen
102 Guillemets typographiques fermants. => dans la partie "Screen". | " => suggestions : ['\xa0»', '”']

106 Mot inconnu : xorg => Vous pouvez ajouter ces 2 paramètres et sauvegarder votre ancien xorg.conf en tapant : | xorg
106 Il manque un espace. => Vous pouvez ajouter ces 2 paramètres et sauvegarder votre ancien xorg.conf en tapant : | conf => suggestions : [' conf']
112 Mot inconnu : Backspace => puis redémarrez le serveur X : Ctrl + Alt + Backspace (n'oubliez pas de sauvegarder vos travaux en cours), ou déconnectez vous et relancez le serveur X depuis l'écran de login. | backspace
112 Forme interrogative ? Mettez un trait d’union. => puis redémarrez le serveur X : Ctrl + Alt + Backspace (n'oubliez pas de sauvegarder vos travaux en cours), ou déconnectez vous et relancez le serveur X depuis l'écran de login. | déconnectez vous => suggestions : ['déconnectez-vous']
116 Mot inconnu : Effects => Si la décoration des fenêtres n'est toujours pas visible, il faut activer le greffon Décoration. « Décoration de la fenêtre » est dans la section « Effects » de l'outil de configuration. assurez-vous que la case est cochée. | effects

118 Espace(s) en fin de ligne à supprimer. => Si malgré cela vous n'avez toujours pas la décoration des fenêtres il faut aller dans  |   => suggestions : ['']

119 Mot inconnu : ccsm => ccsm => décoration de la fenêtre => commande et vous entrez emerald --replace | ccsm
119 Mot inconnu : emerald => ccsm => décoration de la fenêtre => commande et vous entrez emerald --replace | emerald

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ou si vous souhaitez avoir metacity : gtk-window-decorator --replace |   => suggestions : ['']
120 Mot inconnu : metacity =>  ou si vous souhaitez avoir metacity : gtk-window-decorator --replace | metacity
120 Mot inconnu : gtk-window-decorator =>  ou si vous souhaitez avoir metacity : gtk-window-decorator --replace | gtk-window-decorator
124 Mot inconnu : ccsm => autre astuce: aller dans le ccsm>effets>window decoration dans les options, compléter la ligne Décoration windows avec "any", puis cliquer sur <précédent> | ccsm
124 Mot inconnu : window => autre astuce: aller dans le ccsm>effets>window decoration dans les options, compléter la ligne Décoration windows avec "any", puis cliquer sur <précédent> | window
124 Mot inconnu : decoration => autre astuce: aller dans le ccsm>effets>window decoration dans les options, compléter la ligne Décoration windows avec "any", puis cliquer sur <précédent> | decoration
124 Guillemets typographiques ouvrants. => autre astuce: aller dans le ccsm>effets>window decoration dans les options, compléter la ligne Décoration windows avec "any", puis cliquer sur <précédent> | " => suggestions : ['«\xa0', '“']
124 Mot inconnu : any => autre astuce: aller dans le ccsm>effets>window decoration dans les options, compléter la ligne Décoration windows avec "any", puis cliquer sur <précédent> | any
124 Guillemets typographiques fermants. => autre astuce: aller dans le ccsm>effets>window decoration dans les options, compléter la ligne Décoration windows avec "any", puis cliquer sur <précédent> | " => suggestions : ['\xa0»', '”']

129 Mot inconnu : synaptic => Ouvrez synaptic, recherchez tous les paquets correspondants à compiz et supprimez-les définitivement: clic droit sur le paquet et clic sur suppression définitive (vérifiez bien que les paquets sélectionnés automatiquement soient supprimés définitivement !) | synaptic
129 Mot inconnu : compiz => Ouvrez synaptic, recherchez tous les paquets correspondants à compiz et supprimez-les définitivement: clic droit sur le paquet et clic sur suppression définitive (vérifiez bien que les paquets sélectionnés automatiquement soient supprimés définitivement !) | compiz

130 Mot inconnu : compiz => Ensuite nous allons chercher tous les paquets relatifs à compiz et ccsm et nous allons les supprimer. | compiz
130 Mot inconnu : ccsm => Ensuite nous allons chercher tous les paquets relatifs à compiz et ccsm et nous allons les supprimer. | ccsm

133 Mot inconnu : compiz => Et supprimez tous les fichiers et dossiers relatifs à compiz affichés. | compiz

134 Mot inconnu : ccsm => Pour ccsm tapez dans un terminal: | ccsm

136 Mot inconnu : compiz => Et supprimez tous les fichiers et dossiers relatifs à compiz affichés. | compiz

138 Mot inconnu : compiz => Redémarrez votre ordinateur et réinstallez compiz et ccsm, tout devrait être rentré dans l'ordre ;) | compiz
138 Mot inconnu : ccsm => Redémarrez votre ordinateur et réinstallez compiz et ccsm, tout devrait être rentré dans l'ordre ;) | ccsm

140 Mot inconnu : Core => ==== Core Dumped ==== | core
140 Mot inconnu : Dumped => ==== Core Dumped ==== | dumped

146 Mot inconnu : fault => Segmentation fault (core dumped)</code> | fault
146 Mot inconnu : core => Segmentation fault (core dumped)</code> | core
146 Mot inconnu : dumped => Segmentation fault (core dumped)</code> | dumped
149 Mot inconnu : KDE => ==== Sur Kubuntu (KDE) ==== | kde

150 Mot inconnu : kde-look => -> Si vous utilisez une décoration particulière piochée sur kde-look, il se peut qu'elle ne soit pas intégrable à compiz. C'est le cas du populaire [[http://www.kde-look.org/content/show.php?content=42804|Domino]]. Choisissez de préférence une décoration plus traditionnelle fournie avec KDE. | kde-look
150 Mot inconnu : compiz => -> Si vous utilisez une décoration particulière piochée sur kde-look, il se peut qu'elle ne soit pas intégrable à compiz. C'est le cas du populaire [[http://www.kde-look.org/content/show.php?content=42804|Domino]]. Choisissez de préférence une décoration plus traditionnelle fournie avec KDE. | compiz
150 Mot inconnu : KDE => -> Si vous utilisez une décoration particulière piochée sur kde-look, il se peut qu'elle ne soit pas intégrable à compiz. C'est le cas du populaire [[http://www.kde-look.org/content/show.php?content=42804|Domino]]. Choisissez de préférence une décoration plus traditionnelle fournie avec KDE. | kde

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vérifiez que le greffon //Décoration// est bien activé dans Compiz-fusion. |    => suggestions : ['']
153 Mot inconnu : Compiz-fusion =>   * Vérifiez que le greffon //Décoration// est bien activé dans Compiz-fusion. | compiz-fusion

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Relancez le décorateur de fenêtres depuis la ligne de commande (ALT+F2) |    => suggestions : ['']
154 Typographie des composés chimiques. =>   * Relancez le décorateur de fenêtres depuis la ligne de commande (ALT+F2) | f2 => suggestions : ['F₂']
154 Mot inconnu : F2 =>   * Relancez le décorateur de fenêtres depuis la ligne de commande (ALT+F2) | f2

157 Mot inconnu : Emerald => Si le problème persiste (décoration de la fenêtre qui disparait quoi que vous fassiez), installez Emerald et remplacez la ligne qui précède par : | emerald

162 Mot inconnu : kde-window-decorator => -> Si **kde-window-decorator** plante lorsque vous tentez d'enrouler la fenêtre à l'aide de la molette de votre souris, vous utilisez probablement le décorateur de fenêtres crystal. | kde-window-decorator
162 Mot inconnu : crystal => -> Si **kde-window-decorator** plante lorsque vous tentez d'enrouler la fenêtre à l'aide de la molette de votre souris, vous utilisez probablement le décorateur de fenêtres crystal. | crystal
164 Espace(s) en fin de ligne à supprimer. => Pour que tout rentre dans l'ordre, procédez comme suit :  |   => suggestions : ['']

165 Mot inconnu : tasks => **menu K->Paramètres du Système->Apparence->Décoration des fenêtres** et décochez **Cycle tasks with mouse wheel** | tasks
165 Mot inconnu : with => **menu K->Paramètres du Système->Apparence->Décoration des fenêtres** et décochez **Cycle tasks with mouse wheel** | with
165 Mot inconnu : mouse => **menu K->Paramètres du Système->Apparence->Décoration des fenêtres** et décochez **Cycle tasks with mouse wheel** | mouse
165 Mot inconnu : wheel => **menu K->Paramètres du Système->Apparence->Décoration des fenêtres** et décochez **Cycle tasks with mouse wheel** | wheel

167 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => kde-window-decorator va planter une fois encore. Pas de souci, vous n'avez plus qu'a le relancer : **kde-window-decorator --replace** et tout fonctionnera à l'avenir. | kde-window-decorator => suggestions : ['Kde-window-decorator']
167 Mot inconnu : kde-window-decorator => kde-window-decorator va planter une fois encore. Pas de souci, vous n'avez plus qu'a le relancer : **kde-window-decorator --replace** et tout fonctionnera à l'avenir. | kde-window-decorator
167 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => kde-window-decorator va planter une fois encore. Pas de souci, vous n'avez plus qu'a le relancer : **kde-window-decorator --replace** et tout fonctionnera à l'avenir. | a => suggestions : ['à']
167 Mot inconnu : kde-window-decorator => kde-window-decorator va planter une fois encore. Pas de souci, vous n'avez plus qu'a le relancer : **kde-window-decorator --replace** et tout fonctionnera à l'avenir. | kde-window-decorator
168 Mot inconnu : fenètre => -> Si apt notifier se retrouve dans une fenètre sur le bureau il vous suffit d'exécuter une fois Kopete et le problème est définitivement résolu ;-) | fenètre
168 Mot inconnu : Kopete => -> Si apt notifier se retrouve dans une fenètre sur le bureau il vous suffit d'exécuter une fois Kopete et le problème est définitivement résolu ;-) | kopete

172 Mot inconnu : Evolution => Barre des tâches et menus principaux inaccessibles, disparition des bordures de fenêtres pour certaines applications spécifiques (Evolution, Synaptic, OpenOffice et Nautilus, par exemple). | evolution
172 Mot inconnu : Synaptic => Barre des tâches et menus principaux inaccessibles, disparition des bordures de fenêtres pour certaines applications spécifiques (Evolution, Synaptic, OpenOffice et Nautilus, par exemple). | synaptic
172 Mot inconnu : Nautilus => Barre des tâches et menus principaux inaccessibles, disparition des bordures de fenêtres pour certaines applications spécifiques (Evolution, Synaptic, OpenOffice et Nautilus, par exemple). | nautilus

174 Mot inconnu : CompizConfig => Dans **CompizConfig Settings Manager**, allez dans les paramètres du greffon **Workarounds**, et décochez **Legacy Fullscreen Support**. | compizconfig
174 Mot inconnu : Settings => Dans **CompizConfig Settings Manager**, allez dans les paramètres du greffon **Workarounds**, et décochez **Legacy Fullscreen Support**. | settings
174 Mot inconnu : Workarounds => Dans **CompizConfig Settings Manager**, allez dans les paramètres du greffon **Workarounds**, et décochez **Legacy Fullscreen Support**. | workarounds
174 Mot inconnu : Legacy => Dans **CompizConfig Settings Manager**, allez dans les paramètres du greffon **Workarounds**, et décochez **Legacy Fullscreen Support**. | legacy
174 Mot inconnu : Fullscreen => Dans **CompizConfig Settings Manager**, allez dans les paramètres du greffon **Workarounds**, et décochez **Legacy Fullscreen Support**. | fullscreen

175 Typographie : points de suspension. Utilisez le caractère dédié. => [[http://www.moleculargeek.net/blog/compiz-fusion-workarounds-for-workarounds.html|Pour plus de détails (en anglais)...]] | ... => suggestions : ['…']

178 Mot inconnu : Compiz-fusion => ===== Compiz-fusion et les jeux 3D ===== | compiz-fusion

180 Espace(s) surnuméraire(s) à supprimer. => ==== script  pour désactiver/réactiver compiz-fusion automatiquement ====  |    => suggestions : [' ']
180 Mot inconnu : compiz-fusion => ==== script  pour désactiver/réactiver compiz-fusion automatiquement ====  | compiz-fusion
180 Espace(s) en fin de ligne à supprimer. => ==== script  pour désactiver/réactiver compiz-fusion automatiquement ====  |   => suggestions : ['']

181 Mot inconnu : Compiz-fusion => Certains utilisateurs sont obligés de désactiver Compiz-fusion pour obtenir des performances correctes avec certains jeux ou Film, Applications ect... | compiz-fusion
181 Mot inconnu : ect => Certains utilisateurs sont obligés de désactiver Compiz-fusion pour obtenir des performances correctes avec certains jeux ou Film, Applications ect... | ect
181 Typographie : points de suspension. Utilisez le caractère dédié. => Certains utilisateurs sont obligés de désactiver Compiz-fusion pour obtenir des performances correctes avec certains jeux ou Film, Applications ect... | ... => suggestions : ['…']

183 Mot inconnu : compiz-fusion => Voici un petit script tout simple qui ferme compiz-fusion, lance le jeu demandé et relance compiz-fusion après le jeu. Modifiez-le à votre guise pour désactiver/réactiver d'autres applications si vous le souhaitez! | compiz-fusion
183 Mot inconnu : compiz-fusion => Voici un petit script tout simple qui ferme compiz-fusion, lance le jeu demandé et relance compiz-fusion après le jeu. Modifiez-le à votre guise pour désactiver/réactiver d'autres applications si vous le souhaitez! | compiz-fusion

187 Pas d’espace après ce signe. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | [  => suggestions : ['[']
187 Il manque un espace à côté du tiret. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  |  - => suggestions : [' – ', ' — ']
187 Mot inconnu : ef => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | ef
187 Mot inconnu : grep => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | grep
187 Guillemets typographiques ouvrants. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | ' => suggestions : ['“', '‘', '‹']
187 Mot inconnu : compiz => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | compiz
187 Guillemets typographiques fermants. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | ' => suggestions : ['”', '’', '›']
187 Mot inconnu : grep => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | grep
187 Il manque un espace à côté du tiret. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  |  - => suggestions : [' – ', ' — ']
187 Mot inconnu : grep => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | grep
187 Pas d’espace avant ce signe. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  |  ] => suggestions : [']']
187 Mot inconnu : then => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  | then
187 Espace(s) en fin de ligne à supprimer. => if [ "`ps -ef |grep 'compiz' |grep -v grep`" != "" ]; then  |   => suggestions : ['']

188 Mot inconnu : killall => killall compiz.real | killall
188 Mot inconnu : compiz => killall compiz.real | compiz
188 Mot inconnu : real => killall compiz.real | real

190 Mot inconnu : metacity => metacity & | metacity

192 Mot inconnu : compiz => #décommentez la ligne suivante si compiz se relance avant le début du jeu | compiz

193 Mot inconnu : text => #zenity --info --text='Cliquez ici quand le jeu est terminé' | text
193 Guillemets typographiques fermants. => #zenity --info --text='Cliquez ici quand le jeu est terminé' | ' => suggestions : ['”', '’', '›']

194 Mot inconnu : compiz => compiz --replace& | compiz

195 Mot inconnu : emerald => emerald --replace | emerald

196 Mot inconnu : else => else  | else
196 Espace(s) en fin de ligne à supprimer. => else  |   => suggestions : ['']

201 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Il suffit de copier/coller ce script dans un fichier vierge, le renommer compiz-stop (par exemple), le placer dans /usr/local/bin et le rendre exécutable (sudo chmod +x /usr/local/bin/compiz-stop). | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
201 Mot inconnu : compiz-stop => Il suffit de copier/coller ce script dans un fichier vierge, le renommer compiz-stop (par exemple), le placer dans /usr/local/bin et le rendre exécutable (sudo chmod +x /usr/local/bin/compiz-stop). | compiz-stop
201 Mot inconnu : sudo => Il suffit de copier/coller ce script dans un fichier vierge, le renommer compiz-stop (par exemple), le placer dans /usr/local/bin et le rendre exécutable (sudo chmod +x /usr/local/bin/compiz-stop). | sudo
201 Mot inconnu : chmod => Il suffit de copier/coller ce script dans un fichier vierge, le renommer compiz-stop (par exemple), le placer dans /usr/local/bin et le rendre exécutable (sudo chmod +x /usr/local/bin/compiz-stop). | chmod
203 Guillemets typographiques ouvrants. => On peut alors l'utiliser comme argument (exemple: lancer "compiz-stop tremulous" pour ouvrir tremulous en désactivant compiz-fusion). | " => suggestions : ['«\xa0', '“']
203 Mot inconnu : compiz-stop => On peut alors l'utiliser comme argument (exemple: lancer "compiz-stop tremulous" pour ouvrir tremulous en désactivant compiz-fusion). | compiz-stop
203 Mot inconnu : tremulous => On peut alors l'utiliser comme argument (exemple: lancer "compiz-stop tremulous" pour ouvrir tremulous en désactivant compiz-fusion). | tremulous
