
5 Mot inconnu : Xen => ====== Xen ====== | xen
20 Mot inconnu : SPARC => Les architectures x86, x64, IA-64, PowerPC et SPARC sont supportées. Le multiprocesseur (SMP) et partiellement l’Hyper-Threading sont supportés. | sparc
20 Mot inconnu : SMP => Les architectures x86, x64, IA-64, PowerPC et SPARC sont supportées. Le multiprocesseur (SMP) et partiellement l’Hyper-Threading sont supportés. | smp
20 Mot inconnu : Hyper-Threading => Les architectures x86, x64, IA-64, PowerPC et SPARC sont supportées. Le multiprocesseur (SMP) et partiellement l’Hyper-Threading sont supportés. | hyper-threading

26 Mot inconnu : Xen => L'utilisation d'un hyperviseur comme Xen peut servir dans beaucoup d'applications : | xen

64 Mot inconnu : Dom0 => === Dom0 et DomU === | dom0
64 Mot inconnu : DomU => === Dom0 et DomU === | domu

66 Mot inconnu : Dom0 => Le Dom0 correspond au système d'exploitation hôte (OS Host). Il gère l'infrastructure Xen et toute la partie matérielle. Les DomU dépendent du Dom0. | dom0
66 Mot inconnu : Host => Le Dom0 correspond au système d'exploitation hôte (OS Host). Il gère l'infrastructure Xen et toute la partie matérielle. Les DomU dépendent du Dom0. | host
66 Mot inconnu : Xen => Le Dom0 correspond au système d'exploitation hôte (OS Host). Il gère l'infrastructure Xen et toute la partie matérielle. Les DomU dépendent du Dom0. | xen
66 Mot inconnu : DomU => Le Dom0 correspond au système d'exploitation hôte (OS Host). Il gère l'infrastructure Xen et toute la partie matérielle. Les DomU dépendent du Dom0. | domu
66 Mot inconnu : Dom0 => Le Dom0 correspond au système d'exploitation hôte (OS Host). Il gère l'infrastructure Xen et toute la partie matérielle. Les DomU dépendent du Dom0. | dom0

68 Mot inconnu : DomU => Les DomU correspondent à chaque système d'exploitation invité (OS Guest).   | domu
68 Mot inconnu : Guest => Les DomU correspondent à chaque système d'exploitation invité (OS Guest).   | guest
68 Espace(s) en fin de ligne à supprimer. => Les DomU correspondent à chaque système d'exploitation invité (OS Guest).   |    => suggestions : ['']

69 Mot inconnu : VM-Ware => ==== Différences avec VM-Ware, VirtualBox et QEmu ==== | vm-ware
69 Mot inconnu : VirtualBox => ==== Différences avec VM-Ware, VirtualBox et QEmu ==== | virtualbox
69 Mot inconnu : QEmu => ==== Différences avec VM-Ware, VirtualBox et QEmu ==== | qemu

71 Mot inconnu : Guest => L'OS invité (Guest) doit en général être modifié pour être virtualisé alors qu'avec un virtualiseur classique les systèmes d'exploitation fonctionnent en l'état (même s'il existe des optimiseurs à installer). | guest
71 Mot inconnu : virtualiseur => L'OS invité (Guest) doit en général être modifié pour être virtualisé alors qu'avec un virtualiseur classique les systèmes d'exploitation fonctionnent en l'état (même s'il existe des optimiseurs à installer). | virtualiseur

73 Mot inconnu : HVM => Il est aussi possible de faire tourner des OS non modifiés (HVM : //Hardware Virtual Machine// cf. [[https://en.wikipedia.org/wiki/Hardware-assisted_virtualization|Hardware-assisted virtualization]]) si vous disposez d'une technologie de virtualisation intégrée au processeur : Intel VT ou AMD-V. | hvm
73 Mot inconnu : Virtual => Il est aussi possible de faire tourner des OS non modifiés (HVM : //Hardware Virtual Machine// cf. [[https://en.wikipedia.org/wiki/Hardware-assisted_virtualization|Hardware-assisted virtualization]]) si vous disposez d'une technologie de virtualisation intégrée au processeur : Intel VT ou AMD-V. | virtual
73 Mot inconnu : Hardware-assisted => Il est aussi possible de faire tourner des OS non modifiés (HVM : //Hardware Virtual Machine// cf. [[https://en.wikipedia.org/wiki/Hardware-assisted_virtualization|Hardware-assisted virtualization]]) si vous disposez d'une technologie de virtualisation intégrée au processeur : Intel VT ou AMD-V. | hardware-assisted
73 Mot inconnu : virtualization => Il est aussi possible de faire tourner des OS non modifiés (HVM : //Hardware Virtual Machine// cf. [[https://en.wikipedia.org/wiki/Hardware-assisted_virtualization|Hardware-assisted virtualization]]) si vous disposez d'une technologie de virtualisation intégrée au processeur : Intel VT ou AMD-V. | virtualization
73 Mot inconnu : VT => Il est aussi possible de faire tourner des OS non modifiés (HVM : //Hardware Virtual Machine// cf. [[https://en.wikipedia.org/wiki/Hardware-assisted_virtualization|Hardware-assisted virtualization]]) si vous disposez d'une technologie de virtualisation intégrée au processeur : Intel VT ou AMD-V. | vt

75 Mot inconnu : Xen => Contrairement aux autres technologies de virtualisation, Xen n'est pas composé d'un programme et d'un module du noyau, mais il est composé de plusieurs programmes et d'un noyau modifié pour son fonctionnement. | xen

79 Mot inconnu : linux => Tout le matériel supporté par linux est disponible sous Xen (sous réserve de compatibilité avec le noyau). | linux
79 Mot inconnu : Xen => Tout le matériel supporté par linux est disponible sous Xen (sous réserve de compatibilité avec le noyau). | xen

81 Mot inconnu : Xen => Xen supporte tous les systèmes d'exploitation modifiés pour fonctionner en son sein. | xen

83 Mot inconnu : Xen => Xen supporte les systèmes d'exploitation non-modifiés à travers la virtualisation matérielle des processeurs compatibles (Intel VT et AMD-V). | xen
83 Mot inconnu : VT => Xen supporte les systèmes d'exploitation non-modifiés à travers la virtualisation matérielle des processeurs compatibles (Intel VT et AMD-V). | vt

88 Mot inconnu : Xen => ===== Gestion de Xen ===== | xen

90 Mot inconnu : OpenXenManager => ====OpenXenManager ( GUI pour manager xen) ==== | openxenmanager
90 Pas d’espace après ce signe. => ====OpenXenManager ( GUI pour manager xen) ==== | (  => suggestions : ['(']
90 Mot inconnu : xen => ====OpenXenManager ( GUI pour manager xen) ==== | xen

96 Mot inconnu : Xen-tools => ====Xen-tools ==== | xen-tools

99 Mot inconnu : FIXME => FIXME | fixme

101 Mot inconnu : virt-manager => ====virt-manager.org: un système de management utilisant libvirt ==== | virt-manager
101 Mot inconnu : libvirt => ====virt-manager.org: un système de management utilisant libvirt ==== | libvirt
