
4 Mot inconnu : DWA-131 => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | dwa-131
16 Mot inconnu : __ =>   * __[[#Révision E1]]__ : (ID  2001:3319) | __
16 Mot inconnu : E1 =>   * __[[#Révision E1]]__ : (ID  2001:3319) | e1
16 Mot inconnu : __ =>   * __[[#Révision E1]]__ : (ID  2001:3319) | __
16 Espace(s) surnuméraire(s) à supprimer. =>   * __[[#Révision E1]]__ : (ID  2001:3319) |    => suggestions : [' ']

23 Mot inconnu : A1 => ====Révision A1==== | a1

25 Accord erroné : “version” et “reconnu” ne sont pas accordés. => Cette version devrait être reconnu sans autre procédure.  | reconnu => suggestions : ['reconnue']
25 Espace(s) en fin de ligne à supprimer. => Cette version devrait être reconnu sans autre procédure.  |   => suggestions : ['']

27 Mot inconnu : FIXME => FIXME Le cas échéant merci d'ouvrir un fil sur le forum et mettre le lien ici | fixme

29 Mot inconnu : B1 => ====Révision B1==== | b1

31 Mot inconnu : B1 => La révision B1 n'est pas stable avec les drivers installés par défaut (Wifi non détecté, connexion très lente...) | b1
31 Typographie : points de suspension. Utilisez le caractère dédié. => La révision B1 n'est pas stable avec les drivers installés par défaut (Wifi non détecté, connexion très lente...) | ... => suggestions : ['…']

46 Mot inconnu : E1 => ====Révision E1==== | e1

47 Mot inconnu : E1 => Pour la révision E1, vous pouvez suivre [[https://forum.ubuntu-fr.org/viewtopic.php?id=1958921|cette discussion]]. | e1

60 Mot inconnu : Secure => **Penser à bien désactiver le Secure Boot et l'exclusivité des drivers signés Microsoft dans le BIOS ** | secure
60 Mot inconnu : Boot => **Penser à bien désactiver le Secure Boot et l'exclusivité des drivers signés Microsoft dans le BIOS ** | boot

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Il est très probable que networkmanager donne un indice de qualité de connexion mauvais ou moyen mais ne vous y fiez pas c'est un bug. |   => suggestions : ['']
63 Mot inconnu : networkmanager =>  Il est très probable que networkmanager donne un indice de qualité de connexion mauvais ou moyen mais ne vous y fiez pas c'est un bug. | networkmanager

66 Mot inconnu : FIXME => //Contributeurs://FIXME | fixme
