
5 Mot inconnu : OSCam => ====== OSCam ====== | oscam
46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Configurer, compiler et installer : |     => suggestions : ['']

56 Mot inconnu : VDR => La procédure d'installation est identique à la seule différence que la version de développement intègre déjà le patch pour [[VDR]]. | vdr

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Télécharger les sources : |    => suggestions : ['']

72 Mot inconnu : OSCAM => ==== OSCAM.CONF ==== | oscam
72 Il manque un espace. => ==== OSCAM.CONF ==== | conf => suggestions : [' CONF']

74 Mot inconnu : OSCam => Ce fichier permet de définir les paramètres généraux d'OSCam. | oscam

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour une utilisation avec [[VDR]], configurer la section [DVBAPI] du fichier **oscam.conf** de la manière suivante : |    => suggestions : ['']
76 Mot inconnu : VDR =>   * Pour une utilisation avec [[VDR]], configurer la section [DVBAPI] du fichier **oscam.conf** de la manière suivante : | vdr
76 Mot inconnu : DVBAPI =>   * Pour une utilisation avec [[VDR]], configurer la section [DVBAPI] du fichier **oscam.conf** de la manière suivante : | dvbapi
76 Mot inconnu : oscam =>   * Pour une utilisation avec [[VDR]], configurer la section [DVBAPI] du fichier **oscam.conf** de la manière suivante : | oscam
76 Il manque un espace. =>   * Pour une utilisation avec [[VDR]], configurer la section [DVBAPI] du fichier **oscam.conf** de la manière suivante : | conf => suggestions : [' conf']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [dvbapi] |    => suggestions : ['']
78 Mot inconnu : dvbapi =>   [dvbapi] | dvbapi

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   enabled = 1 |    => suggestions : ['']
79 Mot inconnu : enabled =>   enabled = 1 | enabled

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   au = 1 |    => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   user = vdr |    => suggestions : ['']
81 Mot inconnu : vdr =>   user = vdr | vdr

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   boxtype = pc |    => suggestions : ['']
82 Mot inconnu : boxtype =>   boxtype = pc | boxtype

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   pmt_mode = 1 |    => suggestions : ['']
83 Mot inconnu : pmt_mode =>   pmt_mode = 1 | pmt_mode

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour une utilisation avec [[TvHeadend]], créer une section [newcamd] dans le même fichier **oscam.conf** : |    => suggestions : ['']
85 Mot inconnu : TvHeadend =>   * Pour une utilisation avec [[TvHeadend]], créer une section [newcamd] dans le même fichier **oscam.conf** : | tvheadend
85 Mot inconnu : newcamd =>   * Pour une utilisation avec [[TvHeadend]], créer une section [newcamd] dans le même fichier **oscam.conf** : | newcamd
85 Mot inconnu : oscam =>   * Pour une utilisation avec [[TvHeadend]], créer une section [newcamd] dans le même fichier **oscam.conf** : | oscam
85 Il manque un espace. =>   * Pour une utilisation avec [[TvHeadend]], créer une section [newcamd] dans le même fichier **oscam.conf** : | conf => suggestions : [' conf']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [newcamd]  |    => suggestions : ['']
87 Mot inconnu : newcamd =>   [newcamd]  | newcamd
87 Espace(s) en fin de ligne à supprimer. =>   [newcamd]  |   => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Key = 0123456791011121314     <== définissez la clé de protection que vous souhaitez |    => suggestions : ['']
88 Mot inconnu : Key =>   Key = 0123456791011121314     <== définissez la clé de protection que vous souhaitez | key
88 Formatage des grands nombres. =>   Key = 0123456791011121314     <== définissez la clé de protection que vous souhaitez | 0123456791011121314 => suggestions : ['0\xa0123\xa0456\xa0791\xa0011\xa0121\xa0314']
88 Espace(s) surnuméraire(s) à supprimer. =>   Key = 0123456791011121314     <== définissez la clé de protection que vous souhaitez |       => suggestions : [' ']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  |    => suggestions : ['']
89 Il manque un espace. =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  | ident => suggestions : [' IDENT']
89 Mot inconnu : IDENT =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  | ident
89 Espace(s) surnuméraire(s) à supprimer. =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  |          => suggestions : [' ']
89 Mot inconnu : CAID =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  | caid
89 Il manque un espace. =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  | ident => suggestions : [' IDENT']
89 Mot inconnu : IDENT =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  | ident
89 Espace(s) en fin de ligne à supprimer. =>   Port = PORT@CAID:IDENT        <== définissez le PORT (libre !) que vous voulez utiliser, CAID:IDENT varie selon votre carte d'abonnement.  |   => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'administration s'effectue via une interface web dont les paramètres sont également définis dans le fichier **oscam.conf** : |    => suggestions : ['']
91 Mot inconnu : oscam =>   * L'administration s'effectue via une interface web dont les paramètres sont également définis dans le fichier **oscam.conf** : | oscam
91 Il manque un espace. =>   * L'administration s'effectue via une interface web dont les paramètres sont également définis dans le fichier **oscam.conf** : | conf => suggestions : [' conf']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [webif] |    => suggestions : ['']
93 Mot inconnu : webif =>   [webif] | webif

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   httpport      = 6666          <== définissez le port par lequel on se connecte à OSCam   |    => suggestions : ['']
94 Mot inconnu : httpport =>   httpport      = 6666          <== définissez le port par lequel on se connecte à OSCam   | httpport
94 Espace(s) surnuméraire(s) à supprimer. =>   httpport      = 6666          <== définissez le port par lequel on se connecte à OSCam   |        => suggestions : [' ']
94 Espace(s) surnuméraire(s) à supprimer. =>   httpport      = 6666          <== définissez le port par lequel on se connecte à OSCam   |            => suggestions : [' ']
94 Mot inconnu : OSCam =>   httpport      = 6666          <== définissez le port par lequel on se connecte à OSCam   | oscam
94 Espace(s) en fin de ligne à supprimer. =>   httpport      = 6666          <== définissez le port par lequel on se connecte à OSCam   |    => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   httpuser      = user          <== définissez votre login |    => suggestions : ['']
95 Mot inconnu : httpuser =>   httpuser      = user          <== définissez votre login | httpuser
95 Espace(s) surnuméraire(s) à supprimer. =>   httpuser      = user          <== définissez votre login |        => suggestions : [' ']
95 Espace(s) surnuméraire(s) à supprimer. =>   httpuser      = user          <== définissez votre login |            => suggestions : [' ']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   httppwd       = pass          <== définissez votre mot de passe |    => suggestions : ['']
96 Mot inconnu : httppwd =>   httppwd       = pass          <== définissez votre mot de passe | httppwd
96 Espace(s) surnuméraire(s) à supprimer. =>   httppwd       = pass          <== définissez votre mot de passe |         => suggestions : [' ']
96 Mot inconnu : pass =>   httppwd       = pass          <== définissez votre mot de passe | pass
96 Espace(s) surnuméraire(s) à supprimer. =>   httppwd       = pass          <== définissez votre mot de passe |            => suggestions : [' ']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   httpallowed   = 127.0.0.1     <== définissez la/les adresses IP autorisées à se connecter à l'interface d'administration |    => suggestions : ['']
97 Mot inconnu : httpallowed =>   httpallowed   = 127.0.0.1     <== définissez la/les adresses IP autorisées à se connecter à l'interface d'administration | httpallowed
97 Espace(s) surnuméraire(s) à supprimer. =>   httpallowed   = 127.0.0.1     <== définissez la/les adresses IP autorisées à se connecter à l'interface d'administration |     => suggestions : [' ']
97 Espace(s) surnuméraire(s) à supprimer. =>   httpallowed   = 127.0.0.1     <== définissez la/les adresses IP autorisées à se connecter à l'interface d'administration |       => suggestions : [' ']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

99 Mot inconnu : OSCAM => ==== OSCAM.SERVER ==== | oscam
99 Mot inconnu : SERVER => ==== OSCAM.SERVER ==== | server

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [reader] |    => suggestions : ['']
102 Mot inconnu : reader =>   [reader] | reader

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Label           = phoenixUSBsmart      < ==  nom attribué à notre lecteur de carte |    => suggestions : ['']
103 Espace(s) surnuméraire(s) à supprimer. =>   Label           = phoenixUSBsmart      < ==  nom attribué à notre lecteur de carte |             => suggestions : [' ']
103 Mot inconnu : phoenixUSBsmart =>   Label           = phoenixUSBsmart      < ==  nom attribué à notre lecteur de carte | phoenixusbsmart
103 Espace(s) surnuméraire(s) à supprimer. =>   Label           = phoenixUSBsmart      < ==  nom attribué à notre lecteur de carte |        => suggestions : [' ']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Device          = /dev/ttyUSB1         < ==  adresse sur laquelle est monté le lecteur |    => suggestions : ['']
104 Mot inconnu : Device =>   Device          = /dev/ttyUSB1         < ==  adresse sur laquelle est monté le lecteur | device
104 Espace(s) surnuméraire(s) à supprimer. =>   Device          = /dev/ttyUSB1         < ==  adresse sur laquelle est monté le lecteur |            => suggestions : [' ']
104 Espace(s) surnuméraire(s) à supprimer. =>   Device          = /dev/ttyUSB1         < ==  adresse sur laquelle est monté le lecteur |           => suggestions : [' ']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) |    => suggestions : ['']
105 Mot inconnu : Protocol =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) | protocol
105 Espace(s) surnuméraire(s) à supprimer. =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) |          => suggestions : [' ']
105 Mot inconnu : mouse =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) | mouse
105 Espace(s) surnuméraire(s) à supprimer. =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) |                  => suggestions : [' ']
105 Mot inconnu : infinity =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) | infinity
105 Mot inconnu : usb =>   Protocol        = mouse                < ==  type de protocole utilisé (ici pour infinity usb smart) | usb

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Detect          = CD |    => suggestions : ['']
106 Mot inconnu : Detect =>   Detect          = CD | detect
106 Espace(s) surnuméraire(s) à supprimer. =>   Detect          = CD |            => suggestions : [' ']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mhz             = 600                  < ==  on utilise le lecteur overclocké à 6MHz avec une carte de 3,57MHz |    => suggestions : ['']
107 Mot inconnu : mhz =>   mhz             = 600                  < ==  on utilise le lecteur overclocké à 6MHz avec une carte de 3,57MHz | mhz
107 Espace(s) surnuméraire(s) à supprimer. =>   mhz             = 600                  < ==  on utilise le lecteur overclocké à 6MHz avec une carte de 3,57MHz |               => suggestions : [' ']
107 Espace(s) surnuméraire(s) à supprimer. =>   mhz             = 600                  < ==  on utilise le lecteur overclocké à 6MHz avec une carte de 3,57MHz |                    => suggestions : [' ']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cardmhz         = 357 |    => suggestions : ['']
108 Mot inconnu : cardmhz =>   cardmhz         = 357 | cardmhz
108 Espace(s) surnuméraire(s) à supprimer. =>   cardmhz         = 357 |           => suggestions : [' ']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   CAID            = 0500                 < ==  protocole de décryptage de la carte : viaccess = 500 |    => suggestions : ['']
109 Mot inconnu : CAID =>   CAID            = 0500                 < ==  protocole de décryptage de la carte : viaccess = 500 | caid
109 Espace(s) surnuméraire(s) à supprimer. =>   CAID            = 0500                 < ==  protocole de décryptage de la carte : viaccess = 500 |              => suggestions : [' ']
109 Espace(s) surnuméraire(s) à supprimer. =>   CAID            = 0500                 < ==  protocole de décryptage de la carte : viaccess = 500 |                   => suggestions : [' ']
109 Mot inconnu : viaccess =>   CAID            = 0500                 < ==  protocole de décryptage de la carte : viaccess = 500 | viaccess

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  |    => suggestions : ['']
110 Mot inconnu : Group =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  | group
110 Espace(s) surnuméraire(s) à supprimer. =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  |             => suggestions : [' ']
110 Espace(s) surnuméraire(s) à supprimer. =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  |                      => suggestions : [' ']
110 Mot inconnu : oscam =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  | oscam
110 Il manque un espace. =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  | user => suggestions : [' user']
110 Espace(s) en fin de ligne à supprimer. =>   Group           = 1                    < == groupe auquel appartient la carte (on mettra le même dans le fichier oscam.user)  |   => suggestions : ['']

112 Mot inconnu : OSCAM => ==== OSCAM.USER ==== | oscam
112 Il manque un espace. => ==== OSCAM.USER ==== | user => suggestions : [' USER']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [account] |    => suggestions : ['']
114 Mot inconnu : account =>   [account] | account

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   user       = monlogin |    => suggestions : ['']
115 Espace(s) surnuméraire(s) à supprimer. =>   user       = monlogin |         => suggestions : [' ']
115 Mot inconnu : monlogin =>   user       = monlogin | monlogin

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   pwd        = monmotdepasse |    => suggestions : ['']
116 Mot inconnu : pwd =>   pwd        = monmotdepasse | pwd
116 Espace(s) surnuméraire(s) à supprimer. =>   pwd        = monmotdepasse |          => suggestions : [' ']
116 Mot inconnu : monmotdepasse =>   pwd        = monmotdepasse | monmotdepasse

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   group      = 1 |    => suggestions : ['']
117 Mot inconnu : group =>   group      = 1 | group
117 Espace(s) surnuméraire(s) à supprimer. =>   group      = 1 |        => suggestions : [' ']

119 Mot inconnu : VDR => Dans le cas d'une utilisation de [[VDR]], créer l'utilisateur suivant : | vdr

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [account] |    => suggestions : ['']
120 Mot inconnu : account =>   [account] | account

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   user       = vdr |    => suggestions : ['']
121 Espace(s) surnuméraire(s) à supprimer. =>   user       = vdr |         => suggestions : [' ']
121 Mot inconnu : vdr =>   user       = vdr | vdr

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   pwd        = |    => suggestions : ['']
122 Mot inconnu : pwd =>   pwd        = | pwd
122 Espace(s) surnuméraire(s) à supprimer. =>   pwd        = |          => suggestions : [' ']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   group      = 1 |    => suggestions : ['']
123 Mot inconnu : group =>   group      = 1 | group
123 Espace(s) surnuméraire(s) à supprimer. =>   group      = 1 |        => suggestions : [' ']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer le fichier :  |    => suggestions : ['']
133 Espace(s) en fin de ligne à supprimer. =>   * Créer le fichier :  |   => suggestions : ['']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Contenant le code suivant :  |    => suggestions : ['']
135 Espace(s) en fin de ligne à supprimer. =>   * Contenant le code suivant :  |   => suggestions : ['']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lui attribuer les permissions d’exécution : |    => suggestions : ['']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On peut alors lancer et arrêter OSCam de la manière suivante : |    => suggestions : ['']
165 Mot inconnu : OSCam =>   * On peut alors lancer et arrêter OSCam de la manière suivante : | oscam

168 Mot inconnu : sudo => sudo /etc/init.d/oscam restart</code> | sudo
168 Mot inconnu : restart => sudo /etc/init.d/oscam restart</code> | restart

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Et demander à Ubuntu de le lancer automatiquement au démarrage : |    => suggestions : ['']

173 Mot inconnu : VDR => ====Utilisation avec VDR ==== | vdr

174 Mot inconnu : OSCam => Pour utiliser OSCam avec [[VDR]], il nous faudra simplement installer le plugin **vdr-plugin-dvbapi**. | oscam
174 Mot inconnu : VDR => Pour utiliser OSCam avec [[VDR]], il nous faudra simplement installer le plugin **vdr-plugin-dvbapi**. | vdr
174 Mot inconnu : vdr-plugin-dvbapi => Pour utiliser OSCam avec [[VDR]], il nous faudra simplement installer le plugin **vdr-plugin-dvbapi**. | vdr-plugin-dvbapi

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Télécharger les sources : |    => suggestions : ['']

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configurer les paramètres de compilation : |    => suggestions : ['']

182 Mot inconnu : sudo => sudo gedit Makefile</code> | sudo
182 Mot inconnu : gedit => sudo gedit Makefile</code> | gedit
182 Mot inconnu : Makefile => sudo gedit Makefile</code> | makefile

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Modifier le fichier Makefile avec les valeurs suivantes : |    => suggestions : ['']
183 Mot inconnu : Makefile =>   * Modifier le fichier Makefile avec les valeurs suivantes : | makefile

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   VDRDIR = /usr/include/vdr |    => suggestions : ['']
185 Mot inconnu : VDRDIR =>   VDRDIR = /usr/include/vdr | vdrdir

