
5 Mot inconnu : MultiSystem => ====== MultiSystem : Créez votre LiveUSB MultiBoot simplement====== | multisystem
63 Espace(s) surnuméraire(s) à supprimer. => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. |         => suggestions : [' ']
63 Espace(s) surnuméraire(s) à supprimer. => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. |    => suggestions : [' ']
63 Mot inconnu : EFI => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. | efi
63 Accord avec “pourront”. => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. | il => suggestions : ['Ils']
63 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. | pourront => suggestions : ['pourra']
63 Mot inconnu : booter => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. | booter

64 Mot inconnu : I386-pc => Il est donc nécessaire d'utiliser le package **I386-pc** compatible  EFI et LEGACY.   Malheureusement la version ubuntu de base n'a pas prévu son installation. | i386-pc
64 Espace(s) surnuméraire(s) à supprimer. => Il est donc nécessaire d'utiliser le package **I386-pc** compatible  EFI et LEGACY.   Malheureusement la version ubuntu de base n'a pas prévu son installation. |    => suggestions : [' ']
64 Mot inconnu : EFI => Il est donc nécessaire d'utiliser le package **I386-pc** compatible  EFI et LEGACY.   Malheureusement la version ubuntu de base n'a pas prévu son installation. | efi
64 Mot inconnu : LEGACY => Il est donc nécessaire d'utiliser le package **I386-pc** compatible  EFI et LEGACY.   Malheureusement la version ubuntu de base n'a pas prévu son installation. | legacy
64 Espace(s) surnuméraire(s) à supprimer. => Il est donc nécessaire d'utiliser le package **I386-pc** compatible  EFI et LEGACY.   Malheureusement la version ubuntu de base n'a pas prévu son installation. |     => suggestions : [' ']
65 Espace(s) en fin de ligne à supprimer. => Il vous appartient donc de vérifier que vous avez bien installé les paquets suivants :  |   => suggestions : ['']

67 Mot inconnu : grub-common => grub-common | grub-common

69 Mot inconnu : grub-pc-bin => grub-pc-bin | grub-pc-bin

71 Confusion : “coté” est le participe passé du verbe “coter”. => Puis d'installer le package 32 bits. Il s'installera automatiquement à coté du package X86_64.efi | coté => suggestions : ['côté', 'côtés']
71 Mot inconnu : X86_64 => Puis d'installer le package 32 bits. Il s'installera automatiquement à coté du package X86_64.efi | x86_64
71 Mot inconnu : efi => Puis d'installer le package 32 bits. Il s'installera automatiquement à coté du package X86_64.efi | efi

73 Mot inconnu : FIXME => FIXME  ( Comment installer ce paquet  dans ubuntu 18.04  ?) | fixme
73 Espace(s) surnuméraire(s) à supprimer. => FIXME  ( Comment installer ce paquet  dans ubuntu 18.04  ?) |    => suggestions : [' ']
73 Pas d’espace après ce signe. => FIXME  ( Comment installer ce paquet  dans ubuntu 18.04  ?) | (  => suggestions : ['(']
73 Espace(s) surnuméraire(s) à supprimer. => FIXME  ( Comment installer ce paquet  dans ubuntu 18.04  ?) |    => suggestions : [' ']
73 Espace(s) surnuméraire(s) à supprimer. => FIXME  ( Comment installer ce paquet  dans ubuntu 18.04  ?) |    => suggestions : [' ']
78 Espace(s) en fin de ligne à supprimer. => <note tip> Aux utilisateurs de Debian (2 méthodes) :  |   => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Après l'installation de MultiSystem, ajoutez votre nom d'utilisateur au groupe //adm//. |    => suggestions : ['']
79 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Après l'installation de MultiSystem, ajoutez votre nom d'utilisateur au groupe //adm//. |  -  => suggestions : [' – ', ' — ', ' − ']
79 Mot inconnu : MultiSystem =>   - Après l'installation de MultiSystem, ajoutez votre nom d'utilisateur au groupe //adm//. | multisystem
79 Mot inconnu : adm =>   - Après l'installation de MultiSystem, ajoutez votre nom d'utilisateur au groupe //adm//. | adm

81 Mot inconnu : usermod => Si la console vous renvoie : //usermod : l'utilisateur  n'existe pas//, appliquer plutôt la variable $USER | usermod
81 Espace(s) surnuméraire(s) à supprimer. => Si la console vous renvoie : //usermod : l'utilisateur  n'existe pas//, appliquer plutôt la variable $USER |    => suggestions : [' ']
84 Mot inconnu : usermod => Si la console vous renvoie : //usermod : l'utilisateur  n'existe pas//,mettez tout simplement votre nom d'utilisateur sans le $ à la place de USER | usermod
84 Espace(s) surnuméraire(s) à supprimer. => Si la console vous renvoie : //usermod : l'utilisateur  n'existe pas//,mettez tout simplement votre nom d'utilisateur sans le $ à la place de USER |    => suggestions : [' ']

91 Mot inconnu : root => #stop si root! | root

92 Pas d’espace après ce signe. => #if [ "$(id -u)" == "0" ]; then | [  => suggestions : ['[']
92 Il manque un espace à côté du tiret. => #if [ "$(id -u)" == "0" ]; then |  - => suggestions : [' – ', ' — ']
92 Guillemets typographiques ouvrants. => #if [ "$(id -u)" == "0" ]; then | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => #if [ "$(id -u)" == "0" ]; then | " => suggestions : ['\xa0»', '”']
92 Pas d’espace avant ce signe. => #if [ "$(id -u)" == "0" ]; then |  ] => suggestions : [']']
92 Mot inconnu : then => #if [ "$(id -u)" == "0" ]; then | then

93 Mot inconnu : error => #zenity --error --text "$(eval_gettext "Erreur: pas en root!")" | error
93 Mot inconnu : text => #zenity --error --text "$(eval_gettext "Erreur: pas en root!")" | text
93 Mot inconnu : eval_gettext => #zenity --error --text "$(eval_gettext "Erreur: pas en root!")" | eval_gettext
93 Guillemets typographiques ouvrants. => #zenity --error --text "$(eval_gettext "Erreur: pas en root!")" | " => suggestions : ['«\xa0', '“']
93 Mot inconnu : root => #zenity --error --text "$(eval_gettext "Erreur: pas en root!")" | root
93 Guillemets typographiques fermants. => #zenity --error --text "$(eval_gettext "Erreur: pas en root!")" | " => suggestions : ['\xa0»', '”']

94 Guillemets typographiques fermants. => #nohup "$dossier"/kill.sh& | " => suggestions : ['\xa0»', '”']
94 Mot inconnu : kill => #nohup "$dossier"/kill.sh& | kill
94 Mot inconnu : sh => #nohup "$dossier"/kill.sh& | sh

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://liveusb.info/dotclear/index.php?pages/install|PPA]] procédure officielle |    => suggestions : ['']

101 Espace(s) en fin de ligne à supprimer. => =====Utilisation====  |   => suggestions : ['']

102 Il manque un espace. => **Prérequis :** il est conseillé d'avoir une clef %%USB%% (ou disque SSD externe) avec une table de partition MSDOS et formatté en FAT32 pour que la clef soit compatible avec les installations EFI et non EFI | usb => suggestions : [' USB']
102 Mot inconnu : MSDOS => **Prérequis :** il est conseillé d'avoir une clef %%USB%% (ou disque SSD externe) avec une table de partition MSDOS et formatté en FAT32 pour que la clef soit compatible avec les installations EFI et non EFI | msdos
102 Mot inconnu : formatté => **Prérequis :** il est conseillé d'avoir une clef %%USB%% (ou disque SSD externe) avec une table de partition MSDOS et formatté en FAT32 pour que la clef soit compatible avec les installations EFI et non EFI | formatté
102 Mot inconnu : FAT32 => **Prérequis :** il est conseillé d'avoir une clef %%USB%% (ou disque SSD externe) avec une table de partition MSDOS et formatté en FAT32 pour que la clef soit compatible avec les installations EFI et non EFI | fat32
102 Mot inconnu : EFI => **Prérequis :** il est conseillé d'avoir une clef %%USB%% (ou disque SSD externe) avec une table de partition MSDOS et formatté en FAT32 pour que la clef soit compatible avec les installations EFI et non EFI | efi
102 Mot inconnu : EFI => **Prérequis :** il est conseillé d'avoir une clef %%USB%% (ou disque SSD externe) avec une table de partition MSDOS et formatté en FAT32 pour que la clef soit compatible avec les installations EFI et non EFI | efi

104 Espace(s) en fin de ligne à supprimer. => Il faut d'abord  |   => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Monter la clef %%USB%% (par exemple en cliquant dessus dans le gestionnaire de fichier) |    => suggestions : ['']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Monter la clef %%USB%% (par exemple en cliquant dessus dans le gestionnaire de fichier) |  -  => suggestions : [' – ', ' — ', ' − ']
105 Il manque un espace. =>   - Monter la clef %%USB%% (par exemple en cliquant dessus dans le gestionnaire de fichier) | usb => suggestions : [' USB']

110 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ensuite, vous avez juste à Glisser/Déposer vos fichiers .iso dans le rectangle blanc du bas et c'est tout !\\ |  . => suggestions : ['. ', '.']
110 Mot inconnu : iso => Ensuite, vous avez juste à Glisser/Déposer vos fichiers .iso dans le rectangle blanc du bas et c'est tout !\\ | iso
129 Mot inconnu : boot => Rien de plus simple, il suffit de modifier l'image splash.png contenue dans le dossier boot/splash de votre clé. | boot

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans la fenêtre principale cliquer sur le bouton "réglages grub" |    => suggestions : ['']
133 Guillemets typographiques ouvrants. =>   * Dans la fenêtre principale cliquer sur le bouton "réglages grub" | " => suggestions : ['«\xa0', '“']
133 Mot inconnu : grub =>   * Dans la fenêtre principale cliquer sur le bouton "réglages grub" | grub
133 Guillemets typographiques fermants. =>   * Dans la fenêtre principale cliquer sur le bouton "réglages grub" | " => suggestions : ['\xa0»', '”']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changer les couleurs et fermer |    => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Double cliquer sur la liste de vos OS |    => suggestions : ['']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Double cliquer sur les lignes à modifier |    => suggestions : ['']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Valider et fermer pour finir |    => suggestions : ['']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://liveusb.info/dotclear|Site officiel du logiciel]] |    => suggestions : ['']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://liveusb.info/dotclear/index.php?pages/install|Détails sur les différentes méthodes d'installation de Multisystem]] sur le site officiel. |    => suggestions : ['']
145 Mot inconnu : Multisystem =>   * [[http://liveusb.info/dotclear/index.php?pages/install|Détails sur les différentes méthodes d'installation de Multisystem]] sur le site officiel. | multisystem

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=427605| Fil de support dédié à cet effet]] et [[http://forum.ubuntu-fr.org/viewtopic.php?id=1229491|sa suite]] sur le forum Ubuntu-fr. |    => suggestions : ['']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[live_usb|Live USB]] |    => suggestions : ['']
147 Mot inconnu : live_usb =>   * [[live_usb|Live USB]] | live_usb

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[live_usb#creation_d_un_live-usb_depuis_ubuntu|Live USB]] : d'autres applications pour créer une clef usb avec plusieurs systèmes d'exploitations |    => suggestions : ['']
148 Mot inconnu : live_usb =>   * [[live_usb#creation_d_un_live-usb_depuis_ubuntu|Live USB]] : d'autres applications pour créer une clef usb avec plusieurs systèmes d'exploitations | live_usb
148 Mot inconnu : usb =>   * [[live_usb#creation_d_un_live-usb_depuis_ubuntu|Live USB]] : d'autres applications pour créer une clef usb avec plusieurs systèmes d'exploitations | usb
152 Mot inconnu : Stoecklin => //Autres contributeurs : [[utilisateurs:eagle08|René Stoecklin]] : Mise à jour de la note de compatibilité // | stoecklin
