
5 Mot inconnu : Bee => ====== Bee (lightweight desktop environment) ====== | bee
53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Shiki-Colors** plusieurs thèmes classés par couleur (moteur de thème Murrine) |    => suggestions : ['']
53 Mot inconnu : Shiki-Colors =>   * **Shiki-Colors** plusieurs thèmes classés par couleur (moteur de thème Murrine) | shiki-colors
53 Mot inconnu : Murrine =>   * **Shiki-Colors** plusieurs thèmes classés par couleur (moteur de thème Murrine) | murrine

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Aurora-Midnight** légèrement modifié (moteur de thème Aurora) |    => suggestions : ['']
54 Mot inconnu : Aurora-Midnight =>   * **Aurora-Midnight** légèrement modifié (moteur de thème Aurora) | aurora-midnight
54 Mot inconnu : Aurora =>   * **Aurora-Midnight** légèrement modifié (moteur de thème Aurora) | aurora

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Proposition de packs supplémentaires via liste de choix |    => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Fbpanel FR** pour le menu d'applications et la barre de tâches (menu francisé) |    => suggestions : ['']
58 Mot inconnu : Fbpanel =>   * **Fbpanel FR** pour le menu d'applications et la barre de tâches (menu francisé) | fbpanel

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Fbpanel EN** pour le menu d'applications et la barre de tâches |    => suggestions : ['']
59 Mot inconnu : Fbpanel =>   * **Fbpanel EN** pour le menu d'applications et la barre de tâches | fbpanel

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Pypanel** pour la barre de tâches |    => suggestions : ['']
60 Mot inconnu : Pypanel =>   * **Pypanel** pour la barre de tâches | pypanel

62 Espace(s) surnuméraire(s) à supprimer. => ===== Choix du gestionnaire de  connexion réseaux ===== |    => suggestions : [' ']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Network-Manager** gestionnaire de connexion filaire/wifi |    => suggestions : ['']
64 Mot inconnu : Network-Manager =>   * **Network-Manager** gestionnaire de connexion filaire/wifi | network-manager

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Wicd** gestionnaire de connexion filaire/wifi |    => suggestions : ['']
65 Mot inconnu : Wicd =>   * **Wicd** gestionnaire de connexion filaire/wifi | wicd

95 Mot inconnu : alternate => Avant d'exécuter le script d'installation il faut installer un système minimum de votre distribution. Sur Ubuntu avec le CD alternate on appelle ça "système en ligne de commande" appuyer sur F4 après avoir choisi votre langue. Pour les images netinst Debian/Ubuntu il suffit de décocher toutes les applications dans la liste pendant l'installation. Si vous avez choisi l'installation en mode texte, utilisez la barre d'espace pour sélectionner/dé-sélectionner. | alternate
95 Guillemets typographiques ouvrants. => Avant d'exécuter le script d'installation il faut installer un système minimum de votre distribution. Sur Ubuntu avec le CD alternate on appelle ça "système en ligne de commande" appuyer sur F4 après avoir choisi votre langue. Pour les images netinst Debian/Ubuntu il suffit de décocher toutes les applications dans la liste pendant l'installation. Si vous avez choisi l'installation en mode texte, utilisez la barre d'espace pour sélectionner/dé-sélectionner. | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. => Avant d'exécuter le script d'installation il faut installer un système minimum de votre distribution. Sur Ubuntu avec le CD alternate on appelle ça "système en ligne de commande" appuyer sur F4 après avoir choisi votre langue. Pour les images netinst Debian/Ubuntu il suffit de décocher toutes les applications dans la liste pendant l'installation. Si vous avez choisi l'installation en mode texte, utilisez la barre d'espace pour sélectionner/dé-sélectionner. | " => suggestions : ['\xa0»', '”']
95 Mot inconnu : F4 => Avant d'exécuter le script d'installation il faut installer un système minimum de votre distribution. Sur Ubuntu avec le CD alternate on appelle ça "système en ligne de commande" appuyer sur F4 après avoir choisi votre langue. Pour les images netinst Debian/Ubuntu il suffit de décocher toutes les applications dans la liste pendant l'installation. Si vous avez choisi l'installation en mode texte, utilisez la barre d'espace pour sélectionner/dé-sélectionner. | f4
95 Mot inconnu : netinst => Avant d'exécuter le script d'installation il faut installer un système minimum de votre distribution. Sur Ubuntu avec le CD alternate on appelle ça "système en ligne de commande" appuyer sur F4 après avoir choisi votre langue. Pour les images netinst Debian/Ubuntu il suffit de décocher toutes les applications dans la liste pendant l'installation. Si vous avez choisi l'installation en mode texte, utilisez la barre d'espace pour sélectionner/dé-sélectionner. | netinst

97 Mot inconnu : LTS => ==== Ubuntu 12.04 LTS (precise) ==== | lts
97 Mot inconnu : precise => ==== Ubuntu 12.04 LTS (precise) ==== | precise

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://archive.ubuntu.com/ubuntu/dists/precise/main/installer-i386/current/images/netboot/mini.iso|netinst]] (~ 12,1 Mo) |    => suggestions : ['']
101 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://archive.ubuntu.com/ubuntu/dists/precise/main/installer-i386/current/images/netboot/mini.iso|netinst]] (~ 12,1 Mo) | 12,1 mo => suggestions : ['12,1\xa0Mo']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://releases.ubuntu.com/precise/ubuntu-12.04.1-alternate-i386.iso|PC (Intel x86) alternate install CD]] (~ 690 Mo) |    => suggestions : ['']
102 Mot inconnu : x86 =>   * [[http://releases.ubuntu.com/precise/ubuntu-12.04.1-alternate-i386.iso|PC (Intel x86) alternate install CD]] (~ 690 Mo) | x86
102 Mot inconnu : alternate =>   * [[http://releases.ubuntu.com/precise/ubuntu-12.04.1-alternate-i386.iso|PC (Intel x86) alternate install CD]] (~ 690 Mo) | alternate
102 Mot inconnu : install =>   * [[http://releases.ubuntu.com/precise/ubuntu-12.04.1-alternate-i386.iso|PC (Intel x86) alternate install CD]] (~ 690 Mo) | install
102 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://releases.ubuntu.com/precise/ubuntu-12.04.1-alternate-i386.iso|PC (Intel x86) alternate install CD]] (~ 690 Mo) | 690 mo => suggestions : ['690\xa0Mo']

105 Mot inconnu : root => ===== Se connecter avec le compte administrateur root ===== | root

108 Mot inconnu : root => Il faut se connecter avec le compte root et se déplacer dans le dossier " **/usr/local/bin** " avant de télécharger et exécuter le script. | root
108 Guillemets isolés. => Il faut se connecter avec le compte root et se déplacer dans le dossier " **/usr/local/bin** " avant de télécharger et exécuter le script. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
108 Guillemets isolés. => Il faut se connecter avec le compte root et se déplacer dans le dossier " **/usr/local/bin** " avant de télécharger et exécuter le script. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']

112 Mot inconnu : root => Avec Ubuntu le compte root est désactivé par défaut, on se connecte avec le premier utilisateur créé puis on devient root. | root
112 Mot inconnu : root => Avec Ubuntu le compte root est désactivé par défaut, on se connecte avec le premier utilisateur créé puis on devient root. | root

114 Mot inconnu : root => === On devient root === | root

118 Mot inconnu : bee => === On se déplace dans le répertoire où on va télécharger le script bee === | bee

123 Mot inconnu : bee => === On se déplace dans le répertoire où on va télécharger le script bee === | bee

127 Mot inconnu : Bee => ===== Installation de Bee ===== | bee

130 Mot inconnu : precise => ==== Pour Ubuntu 12.04 (precise) ==== | precise

137 Mot inconnu : Changelog => [[http://bee.kowazy.be/dist/precise/changelog|Changelog de la version 0.8.5]] | changelog

139 Mot inconnu : lenny => ==== Pour Debian 5.0 (lenny) ==== | lenny

146 Mot inconnu : Bee => Ce script va installer et télécharger automatiquement tous les paquets nécessaires au bon fonctionnement de Bee. | bee

147 Typographie : points de suspension. Utilisez le caractère dédié. => Prévoir de 20 à 30 minutes suivant votre connexion et la disponibilité des serveurs ... | ... => suggestions : ['…']

150 Mot inconnu : Bee => ===== CD d'installation de Bee ===== | bee

160 Mot inconnu : Bee => <note important>Pour désinstaller Bee il faut fermer la session graphique et se déplacer sur le TTY1 avec CTRL + F1. Ensuite il faut [[bee#se_connecter_avec_le_compte_administrateur_root|se connecter avec le compte administrateur root]] et enfin taper la ligne de commande ci-dessous. | bee
160 Mot inconnu : TTY1 => <note important>Pour désinstaller Bee il faut fermer la session graphique et se déplacer sur le TTY1 avec CTRL + F1. Ensuite il faut [[bee#se_connecter_avec_le_compte_administrateur_root|se connecter avec le compte administrateur root]] et enfin taper la ligne de commande ci-dessous. | tty1
160 Mot inconnu : bee => <note important>Pour désinstaller Bee il faut fermer la session graphique et se déplacer sur le TTY1 avec CTRL + F1. Ensuite il faut [[bee#se_connecter_avec_le_compte_administrateur_root|se connecter avec le compte administrateur root]] et enfin taper la ligne de commande ci-dessous. | bee
160 Mot inconnu : root => <note important>Pour désinstaller Bee il faut fermer la session graphique et se déplacer sur le TTY1 avec CTRL + F1. Ensuite il faut [[bee#se_connecter_avec_le_compte_administrateur_root|se connecter avec le compte administrateur root]] et enfin taper la ligne de commande ci-dessous. | root

166 Mot inconnu : Bee => === Bee + Fbpanel + Thème Shiki-Human === | bee
166 Mot inconnu : Fbpanel => === Bee + Fbpanel + Thème Shiki-Human === | fbpanel
166 Mot inconnu : Shiki-Human => === Bee + Fbpanel + Thème Shiki-Human === | shiki-human

169 Mot inconnu : Bee => === Bee + Fbpanel + Thème Shiki-Human === | bee
169 Mot inconnu : Fbpanel => === Bee + Fbpanel + Thème Shiki-Human === | fbpanel
169 Mot inconnu : Shiki-Human => === Bee + Fbpanel + Thème Shiki-Human === | shiki-human

172 Mot inconnu : Bee => === Bee + Fbpanel + Thème Aurora-Midnight === | bee
172 Mot inconnu : Fbpanel => === Bee + Fbpanel + Thème Aurora-Midnight === | fbpanel
172 Mot inconnu : Aurora-Midnight => === Bee + Fbpanel + Thème Aurora-Midnight === | aurora-midnight

176 Mot inconnu : Bee => === Bee + Pypanel + Thème Shiki-Human === | bee
176 Mot inconnu : Pypanel => === Bee + Pypanel + Thème Shiki-Human === | pypanel
176 Mot inconnu : Shiki-Human => === Bee + Pypanel + Thème Shiki-Human === | shiki-human

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://bee.saverne.info/|Site officiel]] |    => suggestions : ['']

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=248558|[topic] Bee (lightweight desktop environment)]] |    => suggestions : ['']
185 Mot inconnu : topic =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=248558|[topic] Bee (lightweight desktop environment)]] | topic
185 Mot inconnu : Bee =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=248558|[topic] Bee (lightweight desktop environment)]] | bee
185 Mot inconnu : lightweight =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=248558|[topic] Bee (lightweight desktop environment)]] | lightweight
185 Mot inconnu : desktop =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=248558|[topic] Bee (lightweight desktop environment)]] | desktop
185 Mot inconnu : environment =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=248558|[topic] Bee (lightweight desktop environment)]] | environment
188 Il manque un espace. => //Contributeurs : [[utilisateurs:sleeper|Sleeper]]// | sleeper => suggestions : [' sleeper']
