
4 Mot inconnu : Gtkhash => ====== Vérifier l'intégrité d'un fichier avec Gtkhash====== | gtkhash
30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer **gtkhash**; |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer **gtkhash**; |  -  => suggestions : [' – ', ' — ', ' − ']
30 Mot inconnu : gtkhash =>   - Lancer **gtkhash**; | gtkhash

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la ligne **Fichier**:  rechercher le fichier à vérifier; |    => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la ligne **Fichier**:  rechercher le fichier à vérifier; |  -  => suggestions : [' – ', ' — ', ' − ']
31 Espace(s) surnuméraire(s) à supprimer. =>   - Dans la ligne **Fichier**:  rechercher le fichier à vérifier; |    => suggestions : [' ']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquer sur le bouton **Hacher**;   |    => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquer sur le bouton **Hacher**;   |  -  => suggestions : [' – ', ' — ', ' − ']
33 Espace(s) en fin de ligne à supprimer. =>   - Cliquer sur le bouton **Hacher**;   |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); |    => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); |  -  => suggestions : [' – ', ' — ', ' − ']
34 Mot inconnu : MD5 =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); | md5
34 Mot inconnu : SHA1 =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); | sha1
34 Mot inconnu : SHA256 =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); | sha256
34 Erreur de numérisation ? Virgules au lieu de points ? =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); | ,... => suggestions : ['….']
34 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Les empreintes numériques du fichier apparaîtront dans les lignes pour chaque fonction de hachage (MD5, SHA1, SHA256,...); | ... => suggestions : ['…']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

40 Accord de genre erroné : « configuration » est féminin. => Selon la méthode choisie, le configuration globale de l'application est conservée ou supprimée. Les journaux du système, et les fichiers de préférence des utilisateurs dans leurs dossiers personnels sont toujours conservés. | le => suggestions : ['la']
