
4 Mot inconnu : SmillaEnlarger => ====== SmillaEnlarger ====== | smillaenlarger
37 Confusion : “coté” est le participe passé du verbe “coter”. => La taille du résultat est affiché sous la vignette de prévisualisation. Pour la modifier, en haut à gauche de la fenêtre principale (par défaut //specify zoom factor//), il est possible de choisir les modalités de paramétrage de la taille de sortie : facteur de zoom, hauteur finale, largeur finale, taille maximale en pixels (taille finale ajustée automatiquement dans ces limites, selon le ratio hauteur / largeur), taille en pixel (image étirée si nécessaire), recadrage dans les limites du ratio hauteur / largeur fixé, ajout de bandes noires sur les cotés si nécessaire en fonction des dimensions finales fixées par l'utilisateur. | cotés => suggestions : ['côtés']

39 Mot inconnu : parameters => === Onglet Paramètres (parameters) ===  | parameters
39 Espace(s) en fin de ligne à supprimer. => === Onglet Paramètres (parameters) ===  |   => suggestions : ['']
52 Mot inconnu : preview => Aperçu : //preview//. | preview
56 Mot inconnu : SmillaEnlarger => Un même traitement peut être appliqué à tout un dossier : déposer le dossier dans SmillaEnlarger par glisser-déposer, ajuster les paramètres de traitement, cliquer sur //enlarge and save//. | smillaenlarger
56 Mot inconnu : enlarge => Un même traitement peut être appliqué à tout un dossier : déposer le dossier dans SmillaEnlarger par glisser-déposer, ajuster les paramètres de traitement, cliquer sur //enlarge and save//. | enlarge
56 Mot inconnu : and => Un même traitement peut être appliqué à tout un dossier : déposer le dossier dans SmillaEnlarger par glisser-déposer, ajuster les paramètres de traitement, cliquer sur //enlarge and save//. | and
56 Mot inconnu : save => Un même traitement peut être appliqué à tout un dossier : déposer le dossier dans SmillaEnlarger par glisser-déposer, ajuster les paramètres de traitement, cliquer sur //enlarge and save//. | save

60 Mot inconnu : SmillaEnlarger => SmillaEnlarger gère une file d'attente (queue) ; dès qu'un traitement est lancé (//enlarge and save//) il est possible de travailler sur une autre image, et ainsi de suite.La progression du traitement de la file d'attente est indiqué par la barre de progression en bas à gauche de la fenêtre. | smillaenlarger
60 Mot inconnu : enlarge => SmillaEnlarger gère une file d'attente (queue) ; dès qu'un traitement est lancé (//enlarge and save//) il est possible de travailler sur une autre image, et ainsi de suite.La progression du traitement de la file d'attente est indiqué par la barre de progression en bas à gauche de la fenêtre. | enlarge
60 Mot inconnu : and => SmillaEnlarger gère une file d'attente (queue) ; dès qu'un traitement est lancé (//enlarge and save//) il est possible de travailler sur une autre image, et ainsi de suite.La progression du traitement de la file d'attente est indiqué par la barre de progression en bas à gauche de la fenêtre. | and
60 Mot inconnu : save => SmillaEnlarger gère une file d'attente (queue) ; dès qu'un traitement est lancé (//enlarge and save//) il est possible de travailler sur une autre image, et ainsi de suite.La progression du traitement de la file d'attente est indiqué par la barre de progression en bas à gauche de la fenêtre. | save
60 Il manque un espace. => SmillaEnlarger gère une file d'attente (queue) ; dès qu'un traitement est lancé (//enlarge and save//) il est possible de travailler sur une autre image, et ainsi de suite.La progression du traitement de la file d'attente est indiqué par la barre de progression en bas à gauche de la fenêtre. | la => suggestions : [' La']

66 Espace(s) en fin de ligne à supprimer. => === Ligne de commande ===  |   => suggestions : ['']

68 Mot inconnu : SmillaEnlarger => SmillaEnlarger peut également être utilisé en ligne de commande. La syntaxe est la suivante | smillaenlarger

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). => facteur de zoom en pourcentage (valeur entière) ; | fa => suggestions : ['']
76 Mot inconnu : saveto => facteur de zoom en pourcentage (valeur entière) ; | saveto

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). => -width <largeur> et -height <hauteur> : dimensions (en pixels) de l'image finale. Si la hauteur et la largeur sont fixées, le ratio d'aspect de l'image finale pourra être modifié. | -w => suggestions : ['']
81 Mot inconnu : fitandbars => -width <largeur> et -height <hauteur> : dimensions (en pixels) de l'image finale. Si la hauteur et la largeur sont fixées, le ratio d'aspect de l'image finale pourra être modifié. | fitandbars
81 Confusion : “coté” est le participe passé du verbe “coter”. => -width <largeur> et -height <hauteur> : dimensions (en pixels) de l'image finale. Si la hauteur et la largeur sont fixées, le ratio d'aspect de l'image finale pourra être modifié. | mage  => suggestions : ['côtés']
82 Mot inconnu : cover =>  | cover
82 Mot inconnu : FIXME =>  | fixme

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). => Si la hauteur ET la largeur sont fixées, il est possible de définir l'une des options complémentaires suivantes : | si => suggestions : ['']
83 Mot inconnu : coverandcrop => Si la hauteur ET la largeur sont fixées, il est possible de définir l'une des options complémentaires suivantes : | coverandcrop

87 Mot inconnu : sharp => : l'image finale est ajustée au rectangle de sortie mais son ratio d'aspect est maintenu, ajout éventuel de marges noires sur les cotés ; | sharp
87 Espace(s) en fin de ligne à supprimer. => : l'image finale est ajustée au rectangle de sortie mais son ratio d'aspect est maintenu, ajout éventuel de marges noires sur les cotés ; | u => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). => : //couvre// le rectangle de sortie (quelle différence avec fit ?)FIXME ; | :  => suggestions : ['']
89 Mot inconnu : dither => : //couvre// le rectangle de sortie (quelle différence avec fit ?)FIXME ; | dither

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). => : la plus petite dimension de l'image est ajustée aux dimensions fixées par l'utilisateur, le ratio d'aspect est maintenu, l'image peut éventuellement être recoupée sur les cotés. | :  => suggestions : ['']
91 Mot inconnu : preSharp => : la plus petite dimension de l'image est ajustée aux dimensions fixées par l'utilisateur, le ratio d'aspect est maintenu, l'image peut éventuellement être recoupée sur les cotés. | presharp
92 Mot inconnu : fNoise =>  | fnoise
95 Mot inconnu : quality =>  | quality
96 Mot inconnu : help =>  | help
106 Mot inconnu : SmillaEnlarger =>  | smillaenlarger

112 Mot inconnu : SmillaEnlarger => -h / -help | smillaenlarger
