

5 Mot inconnu : Agfa [[33:37]] => ====== Installation d'un scanner Agfa ====== <|> agfa
5 Mot inconnu : Agfa [[33:37]] => ====== Installation d'un scanner Agfa ====== <|> agfa


7 Mot inconnu : Agfa [[56:60]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|> agfa
7 Mot inconnu : Agfa [[56:60]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|> agfa
7 Espace(s) en fin de ligne à supprimer. [[80:81]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|>   => suggestions : ['']
7 Espace(s) en fin de ligne à supprimer. [[80:81]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|>   => suggestions : ['']


8 Mot inconnu : Agfa [[31:35]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> agfa
8 Mot inconnu : Agfa [[31:35]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> agfa
8 Accord avec la forme verbale “soit” : “supportés” devrait être au singulier. [[92:101]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> supportés => suggestions : ['supporté']
8 Accord avec la forme verbale “soit” : “supportés” devrait être au singulier. [[92:101]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> supportés => suggestions : ['supporté']
8 Espace(s) en fin de ligne à supprimer. [[146:147]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|>   => suggestions : ['']
8 Espace(s) en fin de ligne à supprimer. [[146:147]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|>   => suggestions : ['']


9 Mot inconnu : agfa [[17:21]] => Les scanners USB agfa semblent avoir du mal à être reconnus lorsqu'ils sont branchés via un HUB USB, sur Ubuntu. **Il est fortement conseillé de** les **brancher directement sur la prise USB de l'ordinateur, et de ne pas passer par un HUB**. <|> agfa
9 Mot inconnu : agfa [[17:21]] => Les scanners USB agfa semblent avoir du mal à être reconnus lorsqu'ils sont branchés via un HUB USB, sur Ubuntu. **Il est fortement conseillé de** les **brancher directement sur la prise USB de l'ordinateur, et de ne pas passer par un HUB**. <|> agfa


11 Mot inconnu : Agfa [[32:36]] => <note>Pour installer un scanner Agfa en 1 clic, un script est disponible [[https://forum.ubuntu-fr.org/viewtopic.php?pid=7424041|ici]].</note> <|> agfa
11 Mot inconnu : Agfa [[32:36]] => <note>Pour installer un scanner Agfa en 1 clic, un script est disponible [[https://forum.ubuntu-fr.org/viewtopic.php?pid=7424041|ici]].</note> <|> agfa


13 Mot inconnu : Agfa [[27:31]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> agfa
13 Mot inconnu : Agfa [[27:31]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> agfa
13 Guillemets typographiques ouvrants. [[213:214]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. [[238:239]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> " => suggestions : ['\xa0»', '”']
19 Espace(s) en fin de ligne à supprimer. [[117:118]] => Tout d'abord, il faut noter le modèle de son scanner, puis commencer par regarder s'il est présent dans cette liste :  <|>   => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. [[117:118]] => Tout d'abord, il faut noter le modèle de son scanner, puis commencer par regarder s'il est présent dans cette liste :  <|>   => suggestions : ['']


22 Mot inconnu : AgfaPhoto [[1:10]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> agfaphoto
49 Mot inconnu : danke [[284:289]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> danke
49 Mot inconnu : ihnen [[290:295]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> ihnen
49 Mot inconnu : ihnen [[290:295]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> ihnen
49 Pas d’espace avant ce signe. [[299:301]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|>  ] => suggestions : [']']
49 Pas d’espace avant ce signe. [[299:301]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|>  ] => suggestions : [']']


54 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[69:71]] => Si vous avez votre scanner installé sous Windows, cherchez le fichier .bin de votre scanner dans les dossiers suivants :  <|>  . => suggestions : ['. ', '.']
54 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[69:71]] => Si vous avez votre scanner installé sous Windows, cherchez le fichier .bin de votre scanner dans les dossiers suivants :  <|>  . => suggestions : ['. ', '.']
54 Mot inconnu : bin [[71:74]] => Si vous avez votre scanner installé sous Windows, cherchez le fichier .bin de votre scanner dans les dossiers suivants :  <|> bin
54 Mot inconnu : bin [[71:74]] => Si vous avez votre scanner installé sous Windows, cherchez le fichier .bin de votre scanner dans les dossiers suivants :  <|> bin
54 Espace(s) en fin de ligne à supprimer. [[120:121]] => Si vous avez votre scanner installé sous Windows, cherchez le fichier .bin de votre scanner dans les dossiers suivants :  <|>   => suggestions : ['']
54 Espace(s) en fin de ligne à supprimer. [[120:121]] => Si vous avez votre scanner installé sous Windows, cherchez le fichier .bin de votre scanner dans les dossiers suivants :  <|>   => suggestions : ['']
57 Mot inconnu : usbbin [[12:18]] =>   * WINDOWS/usbbin <|> usbbin
57 Mot inconnu : usbbin [[12:18]] =>   * WINDOWS/usbbin <|> usbbin
58 Mot inconnu : XP [[17:19]] =>   * Pour windows XP : /WINDOWS/system32/  <|> xp
58 Mot inconnu : XP [[17:19]] =>   * Pour windows XP : /WINDOWS/system32/  <|> xp
58 Mot inconnu : system32 [[31:39]] =>   * Pour windows XP : /WINDOWS/system32/  <|> system32
58 Mot inconnu : system32 [[31:39]] =>   * Pour windows XP : /WINDOWS/system32/  <|> system32
58 Espace(s) en fin de ligne à supprimer. [[40:41]] =>   * Pour windows XP : /WINDOWS/system32/  <|>   => suggestions : ['']
58 Espace(s) en fin de ligne à supprimer. [[40:41]] =>   * Pour windows XP : /WINDOWS/system32/  <|>   => suggestions : ['']
59 Espace(s) surnuméraire(s) à supprimer. [[21:23]] =>   * Pour Windows 2000  : /WINNT/system32/ <|>    => suggestions : [' ']
59 Espace(s) surnuméraire(s) à supprimer. [[21:23]] =>   * Pour Windows 2000  : /WINNT/system32/ <|>    => suggestions : [' ']
59 Mot inconnu : WINNT [[26:31]] =>   * Pour Windows 2000  : /WINNT/system32/ <|> winnt
59 Mot inconnu : WINNT [[26:31]] =>   * Pour Windows 2000  : /WINNT/system32/ <|> winnt
59 Mot inconnu : system32 [[32:40]] =>   * Pour Windows 2000  : /WINNT/system32/ <|> system32
59 Mot inconnu : system32 [[32:40]] =>   * Pour Windows 2000  : /WINNT/system32/ <|> system32


63 Mot inconnu : bin [[26:29]] => Cherchez votre firmware (.bin) dans les différents dossiers du CD, chercher des programmes d'installation du firmware ou du logiciel du scanner et essayer de les décompresser après avoir installé cabextract avec un clic droit. <|> bin
63 Mot inconnu : bin [[26:29]] => Cherchez votre firmware (.bin) dans les différents dossiers du CD, chercher des programmes d'installation du firmware ou du logiciel du scanner et essayer de les décompresser après avoir installé cabextract avec un clic droit. <|> bin
63 Mot inconnu : cabextract [[196:206]] => Cherchez votre firmware (.bin) dans les différents dossiers du CD, chercher des programmes d'installation du firmware ou du logiciel du scanner et essayer de les décompresser après avoir installé cabextract avec un clic droit. <|> cabextract
63 Mot inconnu : cabextract [[196:206]] => Cherchez votre firmware (.bin) dans les différents dossiers du CD, chercher des programmes d'installation du firmware ou du logiciel du scanner et essayer de les décompresser après avoir installé cabextract avec un clic droit. <|> cabextract


68 Accord de nombre erroné avec « les fichiers » : « contenu » devrait être au pluriel. [[22:29]] => ====Voir les fichiers contenu dans ce programme d'installation==== <|> contenu => suggestions : ['contenus']
68 Accord de nombre erroné avec « les fichiers » : « contenu » devrait être au pluriel. [[22:29]] => ====Voir les fichiers contenu dans ce programme d'installation==== <|> contenu => suggestions : ['contenus']


71 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[42:44]] => Une fois installé, décompresser le fichier .exe en faisant: <|>  . => suggestions : ['. ', '.']
71 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[42:44]] => Une fois installé, décompresser le fichier .exe en faisant: <|>  . => suggestions : ['. ', '.']
71 Mot inconnu : exe [[44:47]] => Une fois installé, décompresser le fichier .exe en faisant: <|> exe
71 Mot inconnu : exe [[44:47]] => Une fois installé, décompresser le fichier .exe en faisant: <|> exe


76 Guillemets typographiques ouvrants. [[77:78]] => Entrez maintenant dans le dossier nouvellement créé puis cherchez un dossier "Drivers". <|> " => suggestions : ['«\xa0', '“']
76 Guillemets typographiques fermants. [[85:86]] => Entrez maintenant dans le dossier nouvellement créé puis cherchez un dossier "Drivers". <|> " => suggestions : ['\xa0»', '”']
82 Mot inconnu : SnapScan [[93:101]] => <note important>Attention, le nom du firmware contient parfois un espace : par exemple entre SnapScan et 1212U_2.bin. <|> snapscan
82 Mot inconnu : SnapScan [[93:101]] => <note important>Attention, le nom du firmware contient parfois un espace : par exemple entre SnapScan et 1212U_2.bin. <|> snapscan
82 Mot inconnu : U_2 [[109:112]] => <note important>Attention, le nom du firmware contient parfois un espace : par exemple entre SnapScan et 1212U_2.bin. <|> u_2
82 Mot inconnu : U_2 [[109:112]] => <note important>Attention, le nom du firmware contient parfois un espace : par exemple entre SnapScan et 1212U_2.bin. <|> u_2
82 Mot inconnu : bin [[113:116]] => <note important>Attention, le nom du firmware contient parfois un espace : par exemple entre SnapScan et 1212U_2.bin. <|> bin
82 Mot inconnu : bin [[113:116]] => <note important>Attention, le nom du firmware contient parfois un espace : par exemple entre SnapScan et 1212U_2.bin. <|> bin


84 Mot inconnu : SnapScan [[22:30]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> snapscan
84 Mot inconnu : SnapScan [[22:30]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> snapscan
84 Mot inconnu : bin [[39:42]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> bin
84 Mot inconnu : bin [[39:42]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> bin
84 Mot inconnu : SnapScan_1212U_2 [[50:66]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> snapscan_1212u_2
84 Mot inconnu : SnapScan_1212U_2 [[50:66]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> snapscan_1212u_2
84 Mot inconnu : bin [[67:70]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> bin
84 Mot inconnu : bin [[67:70]] => Par exemple changez **SnapScan 1212U 2.bin** en **SnapScan_1212U_2.bin**</note> <|> bin


90 Guillemets typographiques ouvrants. [[0:1]] => "VotreFirmware" étant le nom du pilote. <|> " => suggestions : ['«\xa0', '“']
90 Mot inconnu : VotreFirmware [[1:14]] => "VotreFirmware" étant le nom du pilote. <|> votrefirmware
90 Mot inconnu : VotreFirmware [[1:14]] => "VotreFirmware" étant le nom du pilote. <|> votrefirmware
90 Guillemets typographiques fermants. [[14:15]] => "VotreFirmware" étant le nom du pilote. <|> " => suggestions : ['\xa0»', '”']


103 Mot inconnu : SnapScan [[56:64]] => Par exemple, la ligne une fois modifiée pour le scanner SnapScan e20 :  <|> snapscan
103 Mot inconnu : SnapScan [[56:64]] => Par exemple, la ligne une fois modifiée pour le scanner SnapScan e20 :  <|> snapscan
103 Mot inconnu : e20 [[65:68]] => Par exemple, la ligne une fois modifiée pour le scanner SnapScan e20 :  <|> e20
103 Mot inconnu : e20 [[65:68]] => Par exemple, la ligne une fois modifiée pour le scanner SnapScan e20 :  <|> e20
103 Espace(s) en fin de ligne à supprimer. [[70:71]] => Par exemple, la ligne une fois modifiée pour le scanner SnapScan e20 :  <|>   => suggestions : ['']
103 Espace(s) en fin de ligne à supprimer. [[70:71]] => Par exemple, la ligne une fois modifiée pour le scanner SnapScan e20 :  <|>   => suggestions : ['']
112 Espace(s) en fin de ligne à supprimer. [[44:45]] => //Contributeurs : [[Utilisateurs:quent57]]//  <|>   => suggestions : ['']
112 Espace(s) en fin de ligne à supprimer. [[44:45]] => //Contributeurs : [[Utilisateurs:quent57]]//  <|>   => suggestions : ['']
114 Mot inconnu : Pfff [[45:49]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> pfff
114 Mot inconnu : Pfff [[45:49]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> pfff
114 Mot inconnu : SnapScan [[91:99]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : SnapScan [[91:99]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : e20 [[100:103]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e20
114 Mot inconnu : e20 [[100:103]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e20
114 Pas d’espace avant une virgule. [[103:105]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|>  , => suggestions : [',']
114 Pas d’espace avant une virgule. [[103:105]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|>  , => suggestions : [',']
114 Mot inconnu : SnapScan [[140:148]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : SnapScan [[140:148]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : e52 [[149:152]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e52
114 Mot inconnu : e52 [[149:152]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e52
114 Pas d’espace avant une virgule. [[152:154]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|>  , => suggestions : [',']
114 Pas d’espace avant une virgule. [[152:154]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|>  , => suggestions : [',']
114 Mot inconnu : SnapScan [[198:206]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : SnapScan [[198:206]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : e26 [[207:210]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e26
114 Mot inconnu : e26 [[207:210]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e26
114 Mot inconnu : Joombuntu [[214:223]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> joombuntu
114 Mot inconnu : Joombuntu [[214:223]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> joombuntu
114 Mot inconnu : Snapscan [[228:236]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : Snapscan [[228:236]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : v1 [[243:245]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> v1
114 Mot inconnu : v1 [[243:245]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> v1
114 Mot inconnu : fnx [[250:253]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> fnx
114 Mot inconnu : fnx [[250:253]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> fnx
114 Mot inconnu : Snapscan [[258:266]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : Snapscan [[258:266]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> snapscan
114 Mot inconnu : e50 [[267:270]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e50
114 Mot inconnu : e50 [[267:270]] => Utilisateurs : // [[admin@webynux.net|Rubens Pfff]] ([[francenano@yahoo.fr|andycam]])//  : SnapScan e20 , // [[nednet@wanadoo.fr|Ned]] // : SnapScan e52 , // [[joack.cascal@gmail.com|Joack69]] // : SnapScan e26, //Joombuntu// : Snapscan 1212u v1, // fnx //: Snapscan e50 <|> e50

