
3 Mot inconnu : Ledger => ====== Ledger - Wallet hardware pour cryptomonnaie ====== | ledger
24 Mot inconnu : Metamask => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | metamask
24 Mot inconnu : Ledger => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | ledger
24 Mot inconnu : Ledger => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | ledger
24 Mot inconnu : Metamask => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | metamask
24 Mot inconnu : Ledger => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | ledger
24 Mot inconnu : Ledger => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | ledger
24 Mot inconnu : Metamask => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | metamask
24 Mot inconnu : Ledger => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | ledger
24 Mot inconnu : Blind => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | blind
24 Mot inconnu : signing => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | signing
24 Mot inconnu : Enabled => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | enabled
29 Mot inconnu : Ledger => Brave en version snap permet d’utiliser son Ledger, mais il faut activer ces deux permissions, accessibles par la Logithèque d’Ubuntu. | ledger

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lire les informations systèmes de montage système et les quotas des disques |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Accéder directement aux périphériques USB |    => suggestions : ['']

35 Mot inconnu : Ledger => Ensuite, pour accéder au Ledger avec Brave il faut faire dans l’ordre : | ledger

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Connecter et déverrouiller son Ledger |    => suggestions : ['']
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Connecter et déverrouiller son Ledger |  -  => suggestions : [' – ', ' — ', ' − ']
36 Mot inconnu : Ledger =>   - Connecter et déverrouiller son Ledger | ledger

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir l’appli du Ledger concernée (Terra, Ethereum…) |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir l’appli du Ledger concernée (Terra, Ethereum…) |  -  => suggestions : [' – ', ' — ', ' − ']
37 Mot inconnu : Ledger =>   - Ouvrir l’appli du Ledger concernée (Terra, Ethereum…) | ledger

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Tenter de connecter son Ledger à Brave, qui échouera  |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Tenter de connecter son Ledger à Brave, qui échouera  |  -  => suggestions : [' – ', ' — ', ' − ']
38 Mot inconnu : Ledger =>   - Tenter de connecter son Ledger à Brave, qui échouera  | ledger
38 Espace(s) en fin de ligne à supprimer. =>   - Tenter de connecter son Ledger à Brave, qui échouera  |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Revenir au menu de base du Ledger et retenter de le connecter à Brave |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Revenir au menu de base du Ledger et retenter de le connecter à Brave |  -  => suggestions : [' – ', ' — ', ' − ']
39 Mot inconnu : Ledger =>   - Revenir au menu de base du Ledger et retenter de le connecter à Brave | ledger

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - En cours de connexion à Brave, réouvrir l’appli du Ledger concernée (Terra, Solana...) |    => suggestions : ['']
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - En cours de connexion à Brave, réouvrir l’appli du Ledger concernée (Terra, Solana...) |  -  => suggestions : [' – ', ' — ', ' − ']
40 Mot inconnu : réouvrir =>   - En cours de connexion à Brave, réouvrir l’appli du Ledger concernée (Terra, Solana...) | réouvrir
40 Mot inconnu : Ledger =>   - En cours de connexion à Brave, réouvrir l’appli du Ledger concernée (Terra, Solana...) | ledger
40 Mot inconnu : Solana =>   - En cours de connexion à Brave, réouvrir l’appli du Ledger concernée (Terra, Solana...) | solana
40 Typographie : points de suspension. Utilisez le caractère dédié. =>   - En cours de connexion à Brave, réouvrir l’appli du Ledger concernée (Terra, Solana...) | ... => suggestions : ['…']

42 Mot inconnu : Chromium => ===== Chromium ===== | chromium

44 Mot inconnu : Chromium => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | chromium
44 Mot inconnu : Ledger => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | ledger
44 Mot inconnu : Metamask => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | metamask
44 Mot inconnu : Chromium => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | chromium
44 Mot inconnu : Ledger => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | ledger
44 Mot inconnu : Ledger => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | ledger
44 Mot inconnu : Chromium => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | chromium
44 Mot inconnu : Ledger => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | ledger
44 Mot inconnu : Ledger => Par défaut, Chromium installé en version snap ne permet pas d'accéder au Ledger. En conséquence, impossible d'utiliser Metamask ou Terra Station avec Chromium et Ledger sous Ubuntu. Dès qu'une solution sera trouvée, elle sera ajoutée ici. En attendant, vous pouvez utiliser Brave ou Firefox avec votre Ledger. Pour vérifier que Chromium détecte le Ledger, après avoir connecté et déverrouillé le Ledger, aller dans : | ledger

45 Mot inconnu : Chromium => Paramètres de Chromium > Confidentialité et sécurité > Paramètres des sites > Autorisations supplémentaires > Appareils USB. Normalement, le Ledger sera listé dans cette rubrique. | chromium
45 Mot inconnu : Ledger => Paramètres de Chromium > Confidentialité et sécurité > Paramètres des sites > Autorisations supplémentaires > Appareils USB. Normalement, le Ledger sera listé dans cette rubrique. | ledger
