
5 Mot inconnu : LyX => ====== Édition de document avec LyX ====== <|> lyx
38 Guillemets typographiques fermants. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> " => suggestions : ['\xa0»', '”']
38 Pas d’espace avant une virgule. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|>  , => suggestions : [',']
38 Guillemets typographiques ouvrants. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> " => suggestions : ['«\xa0', '“']
38 Mot inconnu : apalike => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> apalike
38 Guillemets typographiques fermants. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> " => suggestions : ['\xa0»', '”']

40 Guillemets typographiques ouvrants. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> " => suggestions : ['\xa0»', '”']
40 Il manque un trait d’union. => Dans le menu "insertion", choisissez "citation". La liste des références de votre bibliographie est disponible, cliquez sur "ajouter" pour insérer votre citation. celle ci apparaît sous forme grisée dans votre texte. <|> celle ci => suggestions : ['celle-ci']

42 Mot inconnu : Natbib => Des erreurs d'affichage ou de génération du fichier peuvent survenir si Natbib n'est pas utilisé pour la gestion de la bibliographie de votre document. Pour l'activer, rendez vous dans "Document/Paramètres/Bibliographie" et activez Natbib en cochant la case. <|> natbib
42 Il manque un trait d’union. => Des erreurs d'affichage ou de génération du fichier peuvent survenir si Natbib n'est pas utilisé pour la gestion de la bibliographie de votre document. Pour l'activer, rendez vous dans "Document/Paramètres/Bibliographie" et activez Natbib en cochant la case. <|> rendez vous => suggestions : ['rendez-vous']
42 Guillemets typographiques ouvrants. => Des erreurs d'affichage ou de génération du fichier peuvent survenir si Natbib n'est pas utilisé pour la gestion de la bibliographie de votre document. Pour l'activer, rendez vous dans "Document/Paramètres/Bibliographie" et activez Natbib en cochant la case. <|> " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. => Des erreurs d'affichage ou de génération du fichier peuvent survenir si Natbib n'est pas utilisé pour la gestion de la bibliographie de votre document. Pour l'activer, rendez vous dans "Document/Paramètres/Bibliographie" et activez Natbib en cochant la case. <|> " => suggestions : ['\xa0»', '”']
42 Mot inconnu : Natbib => Des erreurs d'affichage ou de génération du fichier peuvent survenir si Natbib n'est pas utilisé pour la gestion de la bibliographie de votre document. Pour l'activer, rendez vous dans "Document/Paramètres/Bibliographie" et activez Natbib en cochant la case. <|> natbib
52 Mot inconnu : Rahl => //Contributeurs : [[utilisateurs:Porche]], [[utilisateurs:commandant]], [[utilisateurs:Flo Rahl]]// <|> rahl
