2 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']
13 Mot inconnu : Flatpak => ==== Avec Flatpak==== | flatpak
23 Mot inconnu : Retroarch => En vous rendant sur [[https://snapcraft.io/retroarch|Snapcraft]], installez **Retroarch**. | retroarch

35 Mot inconnu : GitHub => Récupérer le code sur GitHub : [[https://github.com/libretro/RetroArch]] | github

44 Mot inconnu : Retroarch => ==== Retroarch ==== | retroarch

46 Mot inconnu : Retroarch => La plupart des manettes sont reconnues automatiquement. Sans manettes, Retroarch s'utilise avec les flèches et les touches Entrée et retour. La souris est également utilisable. | retroarch

56 Mot inconnu : XMB => ^ **XMB**  ^ **Ozone**  ^ RGUI ^ GLUI ^ | xmb
56 Mot inconnu : RGUI => ^ **XMB**  ^ **Ozone**  ^ RGUI ^ GLUI ^ | rgui

61 Mot inconnu : Libretro => ==== Libretro ==== | libretro

63 Mot inconnu : RetroArch => Les cœurs peuvent être obtenus par l'interface RetroArch : | retroarch

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Pour que la mise à jour des cœurs soit opérationnelle, pour une installation initiale via apt, il est nécessaire de modifier les droits de /usr/lib/x86_64-linux-gnu/libretro/ en écriture à l'utilisateur retroarch. |   => suggestions : ['']
70 Mot inconnu : retroarch =>  Pour que la mise à jour des cœurs soit opérationnelle, pour une installation initiale via apt, il est nécessaire de modifier les droits de /usr/lib/x86_64-linux-gnu/libretro/ en écriture à l'utilisateur retroarch. | retroarch

73 Mot inconnu : Retroarch => Retroarch s'utilise aussi uniquement en ligne de commande, afin d'utiliser les cœurs dans d'autres interfaces (par exemple EmulationStation) ou en créant des lanceurs. | retroarch
73 Mot inconnu : EmulationStation => Retroarch s'utilise aussi uniquement en ligne de commande, afin d'utiliser les cœurs dans d'autres interfaces (par exemple EmulationStation) ou en créant des lanceurs. | emulationstation

81 Mot inconnu : Thumbnails => Ensuite dans Mises à jour > Thumbnails Updater les images sont téléchargeables par machine. | thumbnails
81 Mot inconnu : Updater => Ensuite dans Mises à jour > Thumbnails Updater les images sont téléchargeables par machine. | updater

82 Mot inconnu : MAME => ===== Utilisation de MAME ===== | mame

83 Mot inconnu : MAME => MAME émule de nombreuses consoles et ordinateurs. Sa configuration n'est notoirement pas très simple et elle est encore moins évidente quand on l'utilise avec RetroArch. | mame
83 Mot inconnu : RetroArch => MAME émule de nombreuses consoles et ordinateurs. Sa configuration n'est notoirement pas très simple et elle est encore moins évidente quand on l'utilise avec RetroArch. | retroarch

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Ensuite, configurez le dossier des Bios pour le faire pointer vers le dossier system. |   => suggestions : ['']
103 Mot inconnu : system =>  Ensuite, configurez le dossier des Bios pour le faire pointer vers le dossier system. | system

105 Mot inconnu : PCSX => ===== Utilisation de PCSX Rearmed ===== | pcsx
105 Mot inconnu : Rearmed => ===== Utilisation de PCSX Rearmed ===== | rearmed

106 Mot inconnu : Multitap => ==== Multitap ==== | multitap

107 Mot inconnu : multitap => Vous pouvez vite vous retrouver à galérer pour activer le multitap, il semble être prévu par rétroarch, mais ne fonctionne pas. | multitap
107 Mot inconnu : rétroarch => Vous pouvez vite vous retrouver à galérer pour activer le multitap, il semble être prévu par rétroarch, mais ne fonctionne pas. | rétroarch

109 Confusion probable. => Et bien rassurez-vous, il fonctionne ! Sachez tout de même  que vous perdrez cependant la fonction de vibration des manettes en l'activant. Cela n'a pas encore été fixé à ce jour. | et bien => suggestions : ['Eh bien', 'Hé bien']
109 Espace(s) surnuméraire(s) à supprimer. => Et bien rassurez-vous, il fonctionne ! Sachez tout de même  que vous perdrez cependant la fonction de vibration des manettes en l'activant. Cela n'a pas encore été fixé à ce jour. |    => suggestions : [' ']

113 Mot inconnu : advita => La meilleure solution pour ne pas avoir à répéter l'opération advita eternam, est de créer un fichier de configuration pour le ¢oeur, et ensuite pour le jeu spécifique dont vous souhaitez avoir le multitap. (vous permettant ainsi de garder la vibration des manettes pour les autres jeux sans y toucher) | advita
113 Mot inconnu : eternam => La meilleure solution pour ne pas avoir à répéter l'opération advita eternam, est de créer un fichier de configuration pour le ¢oeur, et ensuite pour le jeu spécifique dont vous souhaitez avoir le multitap. (vous permettant ainsi de garder la vibration des manettes pour les autres jeux sans y toucher) | eternam
113 Mot inconnu : oeur => La meilleure solution pour ne pas avoir à répéter l'opération advita eternam, est de créer un fichier de configuration pour le ¢oeur, et ensuite pour le jeu spécifique dont vous souhaitez avoir le multitap. (vous permettant ainsi de garder la vibration des manettes pour les autres jeux sans y toucher) | oeur
113 Mot inconnu : multitap => La meilleure solution pour ne pas avoir à répéter l'opération advita eternam, est de créer un fichier de configuration pour le ¢oeur, et ensuite pour le jeu spécifique dont vous souhaitez avoir le multitap. (vous permettant ainsi de garder la vibration des manettes pour les autres jeux sans y toucher) | multitap

116 Mot inconnu : psx => Lancez le jeu psx et allez dans le menu retroarch (F1) | psx
116 Mot inconnu : retroarch => Lancez le jeu psx et allez dans le menu retroarch (F1) | retroarch

125 Il manque probablement un trait d’union. => Et là tout en bas, avant dernière ligne : **Sauvegarder les overrides de cœur** | avant dernière => suggestions : ['avant-dernière']
125 Mot inconnu : overrides => Et là tout en bas, avant dernière ligne : **Sauvegarder les overrides de cœur** | overrides

126 Mot inconnu : multitap => retournez dans le menu **Option -> multitap : ON -> Retour -> Sauvegarder les overrides de jeu** | multitap
126 Mot inconnu : overrides => retournez dans le menu **Option -> multitap : ON -> Retour -> Sauvegarder les overrides de jeu** | overrides
