
4 Mot inconnu : Cligraphcrm => ====== Cligraphcrm : Gestion commerciale de l'entreprise ====== | cligraphcrm
14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * messagerie intégrée et e-mailing avec publipostage (format HTML avec éditeur WYSIWYG et/ou texte) |     => suggestions : ['']
14 Mot inconnu : WYSIWYG =>    * messagerie intégrée et e-mailing avec publipostage (format HTML avec éditeur WYSIWYG et/ou texte) | wysiwyg

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * gestion des produits |     => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * géomarketing |     => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * états (html, PDF ou CSV), tableaux de bord (avec sauvegarde des images) |     => suggestions : ['']
17 Mot inconnu : html =>    * états (html, PDF ou CSV), tableaux de bord (avec sauvegarde des images) | html
17 Mot inconnu : CSV =>    * états (html, PDF ou CSV), tableaux de bord (avec sauvegarde des images) | csv

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * menu d'imports / exports |     => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * mobilité (en développement) compatible Iphone, Blackberry, Pocket PC.... |     => suggestions : ['']
19 Mot inconnu : Iphone =>    * mobilité (en développement) compatible Iphone, Blackberry, Pocket PC.... | iphone
19 Mot inconnu : Blackberry =>    * mobilité (en développement) compatible Iphone, Blackberry, Pocket PC.... | blackberry
19 Mot inconnu : Pocket =>    * mobilité (en développement) compatible Iphone, Blackberry, Pocket PC.... | pocket
19 Typographie : points de suspension. Utilisez le caractère dédié. =>    * mobilité (en développement) compatible Iphone, Blackberry, Pocket PC.... | .... => suggestions : ['…']

24 Guillemets typographiques ouvrants. => Doté d'une modularité exemplaire, il est possible d'intégrer ses propres pages de code 'custom' sans altérer le code source original tout en continuant donc de bénéficier des mises à jour (qui se font sur un simple clic). | ' => suggestions : ['“', '‘', '‹']
24 Guillemets typographiques fermants. => Doté d'une modularité exemplaire, il est possible d'intégrer ses propres pages de code 'custom' sans altérer le code source original tout en continuant donc de bénéficier des mises à jour (qui se font sur un simple clic). | ' => suggestions : ['”', '’', '›']
27 Mot inconnu : Cligraphcrm => **Point important pour ce logiciel d'entreprise** : Cligraphcrm propose des déploiement d'instances (plusieurs CRM sur une même source). C'est intéressant pour les types franchises, agences, filiales qui peuvent disposer chacune d'un CRM autonome tout en ayant la possibilité de les faire communiquer entre eux. | cligraphcrm
27 Accord de nombre erroné : « déploiement » devrait être au pluriel. => **Point important pour ce logiciel d'entreprise** : Cligraphcrm propose des déploiement d'instances (plusieurs CRM sur une même source). C'est intéressant pour les types franchises, agences, filiales qui peuvent disposer chacune d'un CRM autonome tout en ayant la possibilité de les faire communiquer entre eux. | déploiement => suggestions : ['déploiements']
27 Mot inconnu : CRM => **Point important pour ce logiciel d'entreprise** : Cligraphcrm propose des déploiement d'instances (plusieurs CRM sur une même source). C'est intéressant pour les types franchises, agences, filiales qui peuvent disposer chacune d'un CRM autonome tout en ayant la possibilité de les faire communiquer entre eux. | crm
27 Mot inconnu : CRM => **Point important pour ce logiciel d'entreprise** : Cligraphcrm propose des déploiement d'instances (plusieurs CRM sur une même source). C'est intéressant pour les types franchises, agences, filiales qui peuvent disposer chacune d'un CRM autonome tout en ayant la possibilité de les faire communiquer entre eux. | crm

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Serveur Web - Apache 2 ou supérieur |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Serveur Web - Apache 2 ou supérieur |  -  => suggestions : [' – ', ' — ', ' − ']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Base de données MySQL 4.1 ou supérieur |    => suggestions : ['']
33 Mot inconnu : MySQL =>   * Base de données MySQL 4.1 ou supérieur | mysql

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PHP 4.3 ou supérieur |    => suggestions : ['']

39 Mot inconnu : php => Dans le fichier php.ini, vérifiez que les modules suivants sont activés ou compilés avec php (sinon le détail des manipulation est expliqué plus bas) : | php
39 Mot inconnu : ini => Dans le fichier php.ini, vérifiez que les modules suivants sont activés ou compilés avec php (sinon le détail des manipulation est expliqué plus bas) : | ini
39 Mot inconnu : php => Dans le fichier php.ini, vérifiez que les modules suivants sont activés ou compilés avec php (sinon le détail des manipulation est expliqué plus bas) : | php
39 Accord de nombre erroné : « manipulation » devrait être au pluriel. => Dans le fichier php.ini, vérifiez que les modules suivants sont activés ou compilés avec php (sinon le détail des manipulation est expliqué plus bas) : | manipulation => suggestions : ['manipulations']

41 Mot inconnu : php_gd2 => php_gd2 | php_gd2

42 Mot inconnu : php_mcrypt => php_mcrypt | php_mcrypt

43 Mot inconnu : php_imap => php_imap | php_imap

44 Mot inconnu : php_zip => php_zip | php_zip

45 Mot inconnu : php_mbstring => php_mbstring | php_mbstring

46 Mot inconnu : Chartdirector => Chartdirector | chartdirector

49 Mot inconnu : php => ==== Installation automatique des prérequis (php): ==== | php
50 Mot inconnu : php5-mcrypt => [[apt://php5-mcrypt]] | php5-mcrypt
52 Mot inconnu : php5-gd => [[apt://php5-gd]] | php5-gd
54 Mot inconnu : php5-imap => [[apt://php5-imap]] | php5-imap

56 Mot inconnu : chartdirector => chartdirector : voir installation manuelle | chartdirector

59 Mot inconnu : sudo => **sudo /etc/init.d/apache2 reload** | sudo
59 Mot inconnu : reload => **sudo /etc/init.d/apache2 reload** | reload

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Installation de php5-imap__ |    => suggestions : ['']
65 Mot inconnu : __Installation =>   * __Installation de php5-imap__ | __installation
65 Mot inconnu : php5-imap__ =>   * __Installation de php5-imap__ | php5-imap__

68 Mot inconnu : sudo => **sudo apt-get install php5-imap** | sudo
68 Mot inconnu : apt-get => **sudo apt-get install php5-imap** | apt-get
68 Mot inconnu : install => **sudo apt-get install php5-imap** | install
68 Mot inconnu : php5-imap => **sudo apt-get install php5-imap** | php5-imap

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Installation de php5-gd__ |    => suggestions : ['']
70 Mot inconnu : __Installation =>   * __Installation de php5-gd__ | __installation
70 Mot inconnu : php5-gd__ =>   * __Installation de php5-gd__ | php5-gd__

73 Mot inconnu : sudo => **sudo apt-get install php5-gd** | sudo
73 Mot inconnu : apt-get => **sudo apt-get install php5-gd** | apt-get
73 Mot inconnu : install => **sudo apt-get install php5-gd** | install
73 Mot inconnu : php5-gd => **sudo apt-get install php5-gd** | php5-gd

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Installation de php5-mcrypt__ |    => suggestions : ['']
75 Mot inconnu : __Installation =>   * __Installation de php5-mcrypt__ | __installation
75 Mot inconnu : php5-mcrypt__ =>   * __Installation de php5-mcrypt__ | php5-mcrypt__

77 Mot inconnu : sudo => **sudo apt-get install php5-mcrypt** | sudo
77 Mot inconnu : apt-get => **sudo apt-get install php5-mcrypt** | apt-get
77 Mot inconnu : install => **sudo apt-get install php5-mcrypt** | install
77 Mot inconnu : php5-mcrypt => **sudo apt-get install php5-mcrypt** | php5-mcrypt

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Installation de chartdirector__ |    => suggestions : ['']
79 Mot inconnu : __Installation =>   * __Installation de chartdirector__ | __installation
79 Mot inconnu : chartdirector__ =>   * __Installation de chartdirector__ | chartdirector__

81 Mot inconnu : Chartdirector => Chartdirector est une librairie graphique permettant de générer les graphiques de statistiques. Elle est libre d'utilisation pour une application non commerciale. site officiel : [[https://www.advsofteng.com/download.html]] | chartdirector
81 Après un point, une majuscule est généralement requise. => Chartdirector est une librairie graphique permettant de générer les graphiques de statistiques. Elle est libre d'utilisation pour une application non commerciale. site officiel : [[https://www.advsofteng.com/download.html]] | site => suggestions : ['Site']

83 Mot inconnu : Cligraphcrm => Le package de Cligraphcrm comporte les éléments nécessaires à l'installation. | cligraphcrm

85 Mot inconnu : CLIGRAPHCRM => Une fois l'archive de CLIGRAPHCRM décompressée, allez dans le répertoire cligraphcrm/install/modules_php. Choisissez ensuite dans le répertoire qui vous convient : Linux, Linux64 (pour 64 bits) puis le répertoire CHARTDIRECTOR. | cligraphcrm
85 Mot inconnu : cligraphcrm => Une fois l'archive de CLIGRAPHCRM décompressée, allez dans le répertoire cligraphcrm/install/modules_php. Choisissez ensuite dans le répertoire qui vous convient : Linux, Linux64 (pour 64 bits) puis le répertoire CHARTDIRECTOR. | cligraphcrm
85 Mot inconnu : install => Une fois l'archive de CLIGRAPHCRM décompressée, allez dans le répertoire cligraphcrm/install/modules_php. Choisissez ensuite dans le répertoire qui vous convient : Linux, Linux64 (pour 64 bits) puis le répertoire CHARTDIRECTOR. | install
85 Mot inconnu : modules_php => Une fois l'archive de CLIGRAPHCRM décompressée, allez dans le répertoire cligraphcrm/install/modules_php. Choisissez ensuite dans le répertoire qui vous convient : Linux, Linux64 (pour 64 bits) puis le répertoire CHARTDIRECTOR. | modules_php
85 Mot inconnu : Linux64 => Une fois l'archive de CLIGRAPHCRM décompressée, allez dans le répertoire cligraphcrm/install/modules_php. Choisissez ensuite dans le répertoire qui vous convient : Linux, Linux64 (pour 64 bits) puis le répertoire CHARTDIRECTOR. | linux64
85 Mot inconnu : CHARTDIRECTOR => Une fois l'archive de CLIGRAPHCRM décompressée, allez dans le répertoire cligraphcrm/install/modules_php. Choisissez ensuite dans le répertoire qui vous convient : Linux, Linux64 (pour 64 bits) puis le répertoire CHARTDIRECTOR. | chartdirector

87 Mot inconnu : libchartdir => Copier les fichiers **libchartdir.so**, **phpchartdirxxx.dll** ainsi que le répertoire **fonts** dans le répertoire des modules d'extension PHP. | libchartdir
87 Mot inconnu : so => Copier les fichiers **libchartdir.so**, **phpchartdirxxx.dll** ainsi que le répertoire **fonts** dans le répertoire des modules d'extension PHP. | so
87 Mot inconnu : phpchartdirxxx => Copier les fichiers **libchartdir.so**, **phpchartdirxxx.dll** ainsi que le répertoire **fonts** dans le répertoire des modules d'extension PHP. | phpchartdirxxx
87 Mot inconnu : dll => Copier les fichiers **libchartdir.so**, **phpchartdirxxx.dll** ainsi que le répertoire **fonts** dans le répertoire des modules d'extension PHP. | dll

89 Mot inconnu : phpchartdirxxx => Pour le fichier phpchartdirxxx.dll, xxx correspond à la version de php la plus proche inférieure à celle que vous avez. | phpchartdirxxx
89 Mot inconnu : dll => Pour le fichier phpchartdirxxx.dll, xxx correspond à la version de php la plus proche inférieure à celle que vous avez. | dll
89 Mot inconnu : xxx => Pour le fichier phpchartdirxxx.dll, xxx correspond à la version de php la plus proche inférieure à celle que vous avez. | xxx
89 Mot inconnu : php => Pour le fichier phpchartdirxxx.dll, xxx correspond à la version de php la plus proche inférieure à celle que vous avez. | php
90 Mot inconnu : php => ex: si vous possédez php 4.3, prenez le fichier phpchartdir421.dll | php
90 Mot inconnu : phpchartdir421 => ex: si vous possédez php 4.3, prenez le fichier phpchartdir421.dll | phpchartdir421
90 Mot inconnu : dll => ex: si vous possédez php 4.3, prenez le fichier phpchartdir421.dll | dll

95 Mot inconnu : sudo => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | sudo
95 Mot inconnu : cp => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | cp
95 Il manque un espace à côté du tiret. => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ |  - => suggestions : [' – ', ' — ']
95 Mot inconnu : libchartdir => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | libchartdir
95 Mot inconnu : so => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | so
95 Mot inconnu : phpchartdir520 => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | phpchartdir520
95 Mot inconnu : dll => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | dll
95 Mot inconnu : lfs => **sudo cp -r fonts libchartdir.so phpchartdir520.dll /usr/lib/php5/20060613+lfs/ | lfs

97 Mot inconnu : phpchartdirxxx => Puis rajoutez la ligne **extension=phpchartdirxxx.dll** dans le **php.ini** en remplaçant les xxx par les valeurs correspondantes. | phpchartdirxxx
97 Mot inconnu : dll => Puis rajoutez la ligne **extension=phpchartdirxxx.dll** dans le **php.ini** en remplaçant les xxx par les valeurs correspondantes. | dll
97 Mot inconnu : php => Puis rajoutez la ligne **extension=phpchartdirxxx.dll** dans le **php.ini** en remplaçant les xxx par les valeurs correspondantes. | php
97 Mot inconnu : ini => Puis rajoutez la ligne **extension=phpchartdirxxx.dll** dans le **php.ini** en remplaçant les xxx par les valeurs correspondantes. | ini
97 Mot inconnu : xxx => Puis rajoutez la ligne **extension=phpchartdirxxx.dll** dans le **php.ini** en remplaçant les xxx par les valeurs correspondantes. | xxx

99 Mot inconnu : php => Enregistrez le php.ini puis relancez le serveur apache. | php
99 Mot inconnu : ini => Enregistrez le php.ini puis relancez le serveur apache. | ini

101 Mot inconnu : php => <note important>Pensez à faire une copie de sauvegarde de votre php.ini avant toute manipulation dedans</note> | php
101 Mot inconnu : ini => <note important>Pensez à faire une copie de sauvegarde de votre php.ini avant toute manipulation dedans</note> | ini

103 Mot inconnu : sudo => **sudo echo extension=phpchartdir520.dll»/etc/php5/apache2/php.ini** | sudo
103 Mot inconnu : echo => **sudo echo extension=phpchartdir520.dll»/etc/php5/apache2/php.ini** | echo
103 Mot inconnu : phpchartdir520 => **sudo echo extension=phpchartdir520.dll»/etc/php5/apache2/php.ini** | phpchartdir520
103 Mot inconnu : dll => **sudo echo extension=phpchartdir520.dll»/etc/php5/apache2/php.ini** | dll

105 Mot inconnu : php => Ajouter cette ligne à la fin de votre php.ini : **extension=phpchartdir520.dll** | php
105 Mot inconnu : ini => Ajouter cette ligne à la fin de votre php.ini : **extension=phpchartdir520.dll** | ini
105 Mot inconnu : phpchartdir520 => Ajouter cette ligne à la fin de votre php.ini : **extension=phpchartdir520.dll** | phpchartdir520
105 Mot inconnu : dll => Ajouter cette ligne à la fin de votre php.ini : **extension=phpchartdir520.dll** | dll

107 Mot inconnu : sudo => **sudo gedit /etc/php5/apache2/php.ini** | sudo
107 Mot inconnu : gedit => **sudo gedit /etc/php5/apache2/php.ini** | gedit

110 Mot inconnu : CLIGRAPHCRM => Il faut également vérifier que les paramètres suivants aient bien les valeurs indiquées. Ça n'empêchera pas CLIGRAPHCRM de fonctionner mais des dysfonctionnements importants pourraient cependant apparaître : | cligraphcrm

112 Mot inconnu : SAFE_MODE => SAFE_MODE           OFF | safe_mode
112 Espace(s) surnuméraire(s) à supprimer. => SAFE_MODE           OFF |             => suggestions : [' ']

113 Mot inconnu : MAGIC_QUOTES_GPC => MAGIC_QUOTES_GPC    OFF | magic_quotes_gpc
113 Espace(s) surnuméraire(s) à supprimer. => MAGIC_QUOTES_GPC    OFF |      => suggestions : [' ']

114 Mot inconnu : FILE_UPLOADS => FILE_UPLOADS        ON | file_uploads
114 Espace(s) surnuméraire(s) à supprimer. => FILE_UPLOADS        ON |          => suggestions : [' ']

115 Mot inconnu : LOG_ERRORS => LOG_ERRORS          OFF | log_errors
115 Espace(s) surnuméraire(s) à supprimer. => LOG_ERRORS          OFF |            => suggestions : [' ']

116 Mot inconnu : REGISTER_GLOBALS => REGISTER_GLOBALS    OFF | register_globals
116 Espace(s) surnuméraire(s) à supprimer. => REGISTER_GLOBALS    OFF |      => suggestions : [' ']

117 Mot inconnu : SHORT_OPEN_TAG => SHORT_OPEN_TAG      ON | short_open_tag
117 Espace(s) surnuméraire(s) à supprimer. => SHORT_OPEN_TAG      ON |        => suggestions : [' ']

118 Mot inconnu : MAX_EXECUTION_TIME => MAX_EXECUTION_TIME  600 | max_execution_time
118 Espace(s) surnuméraire(s) à supprimer. => MAX_EXECUTION_TIME  600 |    => suggestions : [' ']

119 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => remarque : le temps indiqué de 600 secondes est laissé à votre appréciation. Certaines opérations sur les bases comme des exports/imports, purges peuvent tourner longtemps. L'e-mailing n'est pas affecté car la page se recharge et n'atteind donc jamais le max_execution_time. | remarque => suggestions : ['Remarque']
119 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => remarque : le temps indiqué de 600 secondes est laissé à votre appréciation. Certaines opérations sur les bases comme des exports/imports, purges peuvent tourner longtemps. L'e-mailing n'est pas affecté car la page se recharge et n'atteind donc jamais le max_execution_time. |  car => suggestions : [', car']
119 Mot inconnu : atteind => remarque : le temps indiqué de 600 secondes est laissé à votre appréciation. Certaines opérations sur les bases comme des exports/imports, purges peuvent tourner longtemps. L'e-mailing n'est pas affecté car la page se recharge et n'atteind donc jamais le max_execution_time. | atteind
119 Mot inconnu : max_execution_time => remarque : le temps indiqué de 600 secondes est laissé à votre appréciation. Certaines opérations sur les bases comme des exports/imports, purges peuvent tourner longtemps. L'e-mailing n'est pas affecté car la page se recharge et n'atteind donc jamais le max_execution_time. | max_execution_time

121 Mot inconnu : cligraphcrm => <note tip>Lors de la configuration via le navigateur, l'installateur de cligraphcrm analysera votre système. Vous pourrez voir les points bloquant en cliquant sur 'modification manuelle' qui vous affichera la liste. | cligraphcrm
121 Guillemets typographiques ouvrants. => <note tip>Lors de la configuration via le navigateur, l'installateur de cligraphcrm analysera votre système. Vous pourrez voir les points bloquant en cliquant sur 'modification manuelle' qui vous affichera la liste. | ' => suggestions : ['“', '‘', '‹']
121 Guillemets typographiques fermants. => <note tip>Lors de la configuration via le navigateur, l'installateur de cligraphcrm analysera votre système. Vous pourrez voir les points bloquant en cliquant sur 'modification manuelle' qui vous affichera la liste. | ' => suggestions : ['”', '’', '›']

124 Élision de l’article devant un mot commençant par une voyelle. => Mettre le user apache comme propriétaire des fichiers et les droits en 755 sur toute l'arborescence cligraphcrm. | le  => suggestions : ['l’']
124 Mot inconnu : cligraphcrm => Mettre le user apache comme propriétaire des fichiers et les droits en 755 sur toute l'arborescence cligraphcrm. | cligraphcrm

128 Mot inconnu : sudo => == sudo chmod -R 755 /var/www/cligraphcrm == | sudo
128 Mot inconnu : chmod => == sudo chmod -R 755 /var/www/cligraphcrm == | chmod
128 Il manque un espace à côté du tiret. => == sudo chmod -R 755 /var/www/cligraphcrm == |  - => suggestions : [' – ', ' — ']

129 Mot inconnu : sudo => == sudo chown -R www-data:www-data /var/www/cligraphcrm == | sudo
129 Mot inconnu : chown => == sudo chown -R www-data:www-data /var/www/cligraphcrm == | chown
129 Il manque un espace à côté du tiret. => == sudo chown -R www-data:www-data /var/www/cligraphcrm == |  - => suggestions : [' – ', ' — ']
129 Il manque un espace. => == sudo chown -R www-data:www-data /var/www/cligraphcrm == | www-data => suggestions : [' www-data']

134 Mot inconnu : url => Ensuite dans votre navigateur préféré, tapez l'url pour accéder au répertoire de cligraphcrm. Le menu d'installation/paramétrage va se lancer automatiquement. | url
134 Mot inconnu : cligraphcrm => Ensuite dans votre navigateur préféré, tapez l'url pour accéder au répertoire de cligraphcrm. Le menu d'installation/paramétrage va se lancer automatiquement. | cligraphcrm

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
140 Espace(s) en fin de ligne à supprimer. => navigateurs Web :  |   => suggestions : ['']

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - Firefox 1.5(ou supérieur) |       => suggestions : ['']
141 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - Firefox 1.5(ou supérieur) |  -  => suggestions : [' – ', ' — ', ' − ']
141 Il manque un espace avant la parenthèse. =>      - Firefox 1.5(ou supérieur) | ( => suggestions : [' (']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - Opera 7 (ou supérieur) |       => suggestions : ['']
142 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - Opera 7 (ou supérieur) |  -  => suggestions : [' – ', ' — ', ' − ']
142 Mot inconnu : Opera =>      - Opera 7 (ou supérieur) | opera

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - Internet explorer 6 (ou supérieur) |       => suggestions : ['']
143 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - Internet explorer 6 (ou supérieur) |  -  => suggestions : [' – ', ' — ', ' − ']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - ou tout navigateur à base de moteur GECKO en général |       => suggestions : ['']
144 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - ou tout navigateur à base de moteur GECKO en général |  -  => suggestions : [' – ', ' — ', ' − ']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      - safari (Semble fonctionner correctement. L'équipe recherche des testeurs) |       => suggestions : ['']
145 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      - safari (Semble fonctionner correctement. L'équipe recherche des testeurs) |  -  => suggestions : [' – ', ' — ', ' − ']

151 Mot inconnu : Cligraphcrm => Site officiel de Cligraphcrm (téléchargement, forum, infos) : [[http://www.cligraphcrm.com]] | cligraphcrm

157 Mot inconnu : COGIVEA => site de l'éditeur COGIVEA : [[http://www.cogivea.com]] | cogivea
