
3 Mot inconnu : OpenCL => ====== OpenCL ====== | opencl
20 Mot inconnu : lOpenCL => <note tip>Si vous avez l'erreur /usr/bin/ld: cannot find -lOpenCL, vous devez faire un lien sur la lib. | lopencl
20 Mot inconnu : lib => <note tip>Si vous avez l'erreur /usr/bin/ld: cannot find -lOpenCL, vous devez faire un lien sur la lib. | lib

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ln -s libOpenCL.so.1 /usr/lib64/libOpenCL.so |    => suggestions : ['']
21 Il manque un espace à côté du tiret. =>   ln -s libOpenCL.so.1 /usr/lib64/libOpenCL.so |  - => suggestions : [' – ', ' — ']
21 Mot inconnu : libOpenCL =>   ln -s libOpenCL.so.1 /usr/lib64/libOpenCL.so | libopencl
21 Mot inconnu : so =>   ln -s libOpenCL.so.1 /usr/lib64/libOpenCL.so | so

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ln -s libOpenCL.so.1 /usr/lib/i386-linux-gnu/libOpenCL.so |    => suggestions : ['']
23 Il manque un espace à côté du tiret. =>   ln -s libOpenCL.so.1 /usr/lib/i386-linux-gnu/libOpenCL.so |  - => suggestions : [' – ', ' — ']
23 Mot inconnu : libOpenCL =>   ln -s libOpenCL.so.1 /usr/lib/i386-linux-gnu/libOpenCL.so | libopencl
23 Mot inconnu : so =>   ln -s libOpenCL.so.1 /usr/lib/i386-linux-gnu/libOpenCL.so | so

32 Mot inconnu : Pours => Pours les cartes graphiques Vega 10 et supérieur | pours
32 Mot inconnu : Vega => Pours les cartes graphiques Vega 10 et supérieur | vega

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./amdgpu-install --opencl=pal |    => suggestions : ['']
33 Mot inconnu : amdgpu-install =>   ./amdgpu-install --opencl=pal | amdgpu-install
33 Mot inconnu : opencl =>   ./amdgpu-install --opencl=pal | opencl

35 Mot inconnu : Vega => Pour les cartes avant Vega 10 | vega

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./amdgpu-install --opencl=legacy |    => suggestions : ['']
36 Mot inconnu : amdgpu-install =>   ./amdgpu-install --opencl=legacy | amdgpu-install
36 Mot inconnu : opencl =>   ./amdgpu-install --opencl=legacy | opencl
36 Mot inconnu : legacy =>   ./amdgpu-install --opencl=legacy | legacy

40 Mot inconnu : CPUs => Vous pouvez utiliser le paquet beignet, qui fourni le support pour les CPUs, et les GPUs Ivy Bridge (intel HD) | cpus
40 Mot inconnu : GPUs => Vous pouvez utiliser le paquet beignet, qui fourni le support pour les CPUs, et les GPUs Ivy Bridge (intel HD) | gpus
40 Mot inconnu : intel => Vous pouvez utiliser le paquet beignet, qui fourni le support pour les CPUs, et les GPUs Ivy Bridge (intel HD) | intel

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   apt-get install beignet beignet-dev |    => suggestions : ['']
42 Mot inconnu : apt-get =>   apt-get install beignet beignet-dev | apt-get
42 Mot inconnu : install =>   apt-get install beignet beignet-dev | install
42 Mot inconnu : beignet-dev =>   apt-get install beignet beignet-dev | beignet-dev

44 Mot inconnu : FIXME => FIXME | fixme

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikipedia.org/wiki/OpenCL|OpenCl]] |    => suggestions : ['']
