
22 Mot inconnu : KDE => ==== Sous KDE (Kubuntu) ==== | kde
163 Il manque un espace. => Pour que Firefox place son cache dans le répertoire /tmp (mémoire vive). Taper about:config dans Firefox et créer une nouvelle chaîne de caractères que vous nommerez browser.cache.disk.parent_directory et entrez dans la case /tmp.  | cache => suggestions : [' cache']
163 Espace(s) en fin de ligne à supprimer. => Pour que Firefox place son cache dans le répertoire /tmp (mémoire vive). Taper about:config dans Firefox et créer une nouvelle chaîne de caractères que vous nommerez browser.cache.disk.parent_directory et entrez dans la case /tmp.  |   => suggestions : ['']

167 Mot inconnu : ATI => ==== ATI/AMD ==== | ati

171 Mot inconnu : radeon => Avec le pilote libre radeon : | radeon

175 Mot inconnu : nVidia => ==== nVidia ==== | nvidia

178 Mot inconnu : gpu => Pour les gpu plus recent voir [[https://forum.ubuntu-fr.org/viewtopic.php?id=1589261|Nvidiux]] | gpu
178 Mot inconnu : recent => Pour les gpu plus recent voir [[https://forum.ubuntu-fr.org/viewtopic.php?id=1589261|Nvidiux]] | recent

181 Confusion. Écrivez « en tant que ». => Dans certains cas, le rétro-éclairage de l'écran n'est pas coupé alors qu'il n'y a plus aucune image envoyée (écran noir). Cela est gênant par exemple lorsqu'on utilise un ordinateur portable en temps que serveur. | temps => suggestions : ['tant']

183 S’il s’agit d’un seul mot, il manque un trait d’union. => Pour couper le rétro éclairage : | rétro éclairage => suggestions : ['rétro-éclairage']

192 Mot inconnu : PCMCIA => ===== Périphériques USB, PCMCIA  ===== | pcmcia
192 Espace(s) surnuméraire(s) à supprimer. => ===== Périphériques USB, PCMCIA  ===== |    => suggestions : [' ']

203 Mot inconnu : gnome-disk-utility => Voir [[gnome-disk-utility#gestion_d_energie|Disques]]. | gnome-disk-utility

209 Mot inconnu : Dconf-editor => **Dconf-editor** donne accès à certains paramètres qui ne le sont pas via **Paramètres Système -> Énergie**. Par exemple la gestion du niveau critique de la batterie. Par défaut il est réglé sur 10% et se compte en temps. Pour modifier cela : | dconf-editor

217 Conjugaison erronée. Accord avec “Ces commandes…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Ces commandes monte le niveau critique à 20 % et utilise le pourcentage comme méthode de mesure à la place de la durée. | monte => suggestions : ['montent']

225 Guillemets typographiques ouvrants. => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | " => suggestions : ['«\xa0', '“']
225 Mot inconnu : PercentageCritical => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | percentagecritical
225 Guillemets typographiques fermants. => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | " => suggestions : ['\xa0»', '”']
225 Guillemets typographiques ouvrants. => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | " => suggestions : ['«\xa0', '“']
225 Mot inconnu : PercentageAction => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | percentageaction
225 Guillemets typographiques fermants. => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | " => suggestions : ['\xa0»', '”']
225 Un seul point après « etc. » => Et ainsi donc y faire exactement les mêmes changements (vous y trouverez les mêmes noms de variables tels que "PercentageCritical", "PercentageAction" etc...)</note> | etc... => suggestions : ['etc.']
228 Mot inconnu : Power => Ce paramétrage est notamment très utile pour éviter de passer en hibernation lorsqu'on débranche le câble d'alimentation secteur et que la batterie est pourtant à 100%. Gnome Power Manager calcule mal le temps restant (1 minute) et prend la décision d'hiberner la machine. En utilisant l'expression en pourcentage, le temps restant (affiché lors de la déconnexion du câble d'alimentation) reste faux mais la machine ne s'éteint pas !</note> | power

235 Espace(s) en fin de ligne à supprimer. => ===== Onduleurs ​=====  |   => suggestions : ['']

237 Il manque un espace avant la parenthèse. => Si votre ordinateur est connecté à un onduleur (ou alimentation sans interruption((en anglais UPS)) ) il est intéressant de le superviser. | ( => suggestions : [' (']
237 Mot inconnu : UPS => Si votre ordinateur est connecté à un onduleur (ou alimentation sans interruption((en anglais UPS)) ) il est intéressant de le superviser. | ups
237 Pas d’espace avant ce signe. => Si votre ordinateur est connecté à un onduleur (ou alimentation sans interruption((en anglais UPS)) ) il est intéressant de le superviser. |  ) => suggestions : [')']

238 La locution “entre autres choses”, toujours au pluriel. => Cela permet, entre autre chose, d'éteindre proprement l'ordinateur si le courant ne revient pas et que la batterie de l'onduleur atteint un seuil critique. | entre autre chose => suggestions : ['entre autres choses']
