
3 Mot inconnu : Kontact => ====== Synchroniser Kontact avec un Palm Pilot sous Kubuntu ====== | kontact
31 Mot inconnu : Palm => L'écran de démarrage du Palm apparaît, puis un écran demande la confirmation de la procédure de réinitialisation que vous confirmez selon les instructions du Palm. | palm

33 Guillemets typographiques ouvrants. => Procédez à la configuration minimale, en valident la langue, la ville, la date et l'heure et pointez le bouton "Terminer", puis assurez-vous de revenir à l'écran principal en pointant sur le bouton de la petite maison du Palm. | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => Procédez à la configuration minimale, en valident la langue, la ville, la date et l'heure et pointez le bouton "Terminer", puis assurez-vous de revenir à l'écran principal en pointant sur le bouton de la petite maison du Palm. | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : Palm => Procédez à la configuration minimale, en valident la langue, la ville, la date et l'heure et pointez le bouton "Terminer", puis assurez-vous de revenir à l'écran principal en pointant sur le bouton de la petite maison du Palm. | palm

35 Mot inconnu : Palm => N'ajoutez pas de données dans votre Palm pour le moment. | palm

37 Mot inconnu : Kontact => ===== Sauvegarde des données de Kontact ===== | kontact

41 Mot inconnu : Kontac => Pour savoir où sont enregistrés ces différents fichiers, lançons Kontac. | kontac

45 Mot inconnu : Kontact => Dans Kontact, cliquer sur l'icône "Contacts". | kontact
45 Guillemets typographiques ouvrants. => Dans Kontact, cliquer sur l'icône "Contacts". | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. => Dans Kontact, cliquer sur l'icône "Contacts". | " => suggestions : ['\xa0»', '”']

47 Guillemets typographiques ouvrants. => Dans la section "Carnets d'adresses", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquer sur le carnet "Default Adressbook". | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => Dans la section "Carnets d'adresses", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquer sur le carnet "Default Adressbook". | " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. => Dans la section "Carnets d'adresses", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquer sur le carnet "Default Adressbook". | " => suggestions : ['«\xa0', '“']
47 Mot inconnu : Default => Dans la section "Carnets d'adresses", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquer sur le carnet "Default Adressbook". | default
47 Mot inconnu : Adressbook => Dans la section "Carnets d'adresses", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquer sur le carnet "Default Adressbook". | adressbook
47 Guillemets typographiques fermants. => Dans la section "Carnets d'adresses", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquer sur le carnet "Default Adressbook". | " => suggestions : ['\xa0»', '”']

49 Guillemets typographiques ouvrants. => Puis, cliquer sur le bouton "Éditer les paramètres du carnet d'adresses", entre le "+" vert et le "X" rouge. | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. => Puis, cliquer sur le bouton "Éditer les paramètres du carnet d'adresses", entre le "+" vert et le "X" rouge. | " => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. => Puis, cliquer sur le bouton "Éditer les paramètres du carnet d'adresses", entre le "+" vert et le "X" rouge. | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. => Puis, cliquer sur le bouton "Éditer les paramètres du carnet d'adresses", entre le "+" vert et le "X" rouge. | " => suggestions : ['\xa0»', '”']

51 Guillemets typographiques ouvrants. => Dans le champ "URL:", vous avez le chemin complet et le nom du fichier pour vos contacts. | " => suggestions : ['«\xa0', '“']

55 Mot inconnu : dualboot => Pour votre culture personnelle, je vous explique ce chemin de dossier. Depuis longtemps mes ordinateurs sont en double amorçage (dualboot) Linux / MS-Windows et j'ai pris l'habitude de séparer les données des applications que j'utilise le plus, pour les sauvegarder périodiquement et facilement et pour les utiliser sous les deux systèmes d'opération (OS) avec les mêmes logiciels. Par exemple, il existe une version Linux, Sun, Mac et MS pour OpenOffice, GIMP, Thunderbird et Firefox. Je partage les mêmes fichiers de données pour mes courriels, marque-pages d'un OS à l'autre et tous mes documents produits avec ces logiciels. | dualboot
55 Mot inconnu : Sun => Pour votre culture personnelle, je vous explique ce chemin de dossier. Depuis longtemps mes ordinateurs sont en double amorçage (dualboot) Linux / MS-Windows et j'ai pris l'habitude de séparer les données des applications que j'utilise le plus, pour les sauvegarder périodiquement et facilement et pour les utiliser sous les deux systèmes d'opération (OS) avec les mêmes logiciels. Par exemple, il existe une version Linux, Sun, Mac et MS pour OpenOffice, GIMP, Thunderbird et Firefox. Je partage les mêmes fichiers de données pour mes courriels, marque-pages d'un OS à l'autre et tous mes documents produits avec ces logiciels. | sun

57 Mot inconnu : sda6 => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | sda6
57 Guillemets typographiques fermants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['\xa0»', '”']
57 Après “être”, le verbe ne devrait pas être à l’infinitif. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | formater => suggestions : ['formatés', 'formaté', 'formatée', 'formatées']
57 Guillemets typographiques ouvrants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : NTFS => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | ntfs
57 Guillemets typographiques fermants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques ouvrants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : ext3 => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | ext3
57 Guillemets typographiques fermants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques fermants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['\xa0»', '”']
57 Mot inconnu : Kontact => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | kontact
57 Guillemets typographiques fermants. => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | " => suggestions : ['\xa0»', '”']
57 Mot inconnu : Kontact => Donc pour ce qui est de "/home/rene", tout le monde comprend que mon nom d'utilisateur dans Linux est René. Pour ce qui est du "/sda6", cela correspond à une partition de disque dur de partage pour mes données, cette partition est formater en "NTFS", car MS ne sait pas lire du Linux "ext3" (le pauvre). Pour ce qui est du "/Logiciels" c'est un dossier pour les dossiers des données d'applications et "/Kontact" est pour toutes mes données de l'agenda Kontact et il y a plusieurs fichiers. | kontact

61 Mot inconnu : Konqueror => Avec votre gestionnaire de fichiers préféré, pour moi c'est Konqueror, copiez le fichier de votre "URL:" ou vous voulez, sur une clé USB ou sur un CD ou un DVD ou cela peut-être dans un dossier temporaire comme "/home/votre_nom_utilisateur/SauvegardeKontact", peut-import, du moment que vous en fait une copie au cas ou ce tutoriel ne tournerait pas bien dans votre cas. | konqueror
61 Guillemets typographiques ouvrants. => Avec votre gestionnaire de fichiers préféré, pour moi c'est Konqueror, copiez le fichier de votre "URL:" ou vous voulez, sur une clé USB ou sur un CD ou un DVD ou cela peut-être dans un dossier temporaire comme "/home/votre_nom_utilisateur/SauvegardeKontact", peut-import, du moment que vous en fait une copie au cas ou ce tutoriel ne tournerait pas bien dans votre cas. | " => suggestions : ['«\xa0', '“']
61 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Avec votre gestionnaire de fichiers préféré, pour moi c'est Konqueror, copiez le fichier de votre "URL:" ou vous voulez, sur une clé USB ou sur un CD ou un DVD ou cela peut-être dans un dossier temporaire comme "/home/votre_nom_utilisateur/SauvegardeKontact", peut-import, du moment que vous en fait une copie au cas ou ce tutoriel ne tournerait pas bien dans votre cas. | ou => suggestions : ['où']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/votre_nom_utilisateur/.kde/share/apps/korganizer/ |    => suggestions : ['']

67 Mot inconnu : Kontact => Une fois la copie du fichier fait, dans la fenêtre de Kontact, cliquer sur le bouton "Annuler" pour revenir à Contacts. | kontact
67 Guillemets typographiques ouvrants. => Une fois la copie du fichier fait, dans la fenêtre de Kontact, cliquer sur le bouton "Annuler" pour revenir à Contacts. | " => suggestions : ['«\xa0', '“']
67 Guillemets typographiques fermants. => Une fois la copie du fichier fait, dans la fenêtre de Kontact, cliquer sur le bouton "Annuler" pour revenir à Contacts. | " => suggestions : ['\xa0»', '”']

75 Mot inconnu : Kontact => Dans Kontact, cliquez sur l'icône "Calendrier". | kontact
75 Guillemets typographiques ouvrants. => Dans Kontact, cliquez sur l'icône "Calendrier". | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. => Dans Kontact, cliquez sur l'icône "Calendrier". | " => suggestions : ['\xa0»', '”']

77 Guillemets typographiques ouvrants. => Dans la section "Calendrier", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquez sur le calendrier "Default Calendar". | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. => Dans la section "Calendrier", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquez sur le calendrier "Default Calendar". | " => suggestions : ['\xa0»', '”']
77 Guillemets typographiques ouvrants. => Dans la section "Calendrier", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquez sur le calendrier "Default Calendar". | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : Default => Dans la section "Calendrier", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquez sur le calendrier "Default Calendar". | default
77 Mot inconnu : Calendar => Dans la section "Calendrier", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquez sur le calendrier "Default Calendar". | calendar
77 Guillemets typographiques fermants. => Dans la section "Calendrier", en bas à gauche de la fenêtre, s'il n'est pas sélectionné, cliquez sur le calendrier "Default Calendar". | " => suggestions : ['\xa0»', '”']

79 Guillemets typographiques ouvrants. => Puis, cliquez sur le bouton "Éditer les paramètres de l'agenda", entre le "+" vert et le "X" rouge. | " => suggestions : ['«\xa0', '“']
79 Guillemets typographiques fermants. => Puis, cliquez sur le bouton "Éditer les paramètres de l'agenda", entre le "+" vert et le "X" rouge. | " => suggestions : ['\xa0»', '”']
79 Guillemets typographiques ouvrants. => Puis, cliquez sur le bouton "Éditer les paramètres de l'agenda", entre le "+" vert et le "X" rouge. | " => suggestions : ['«\xa0', '“']
79 Guillemets typographiques fermants. => Puis, cliquez sur le bouton "Éditer les paramètres de l'agenda", entre le "+" vert et le "X" rouge. | " => suggestions : ['\xa0»', '”']

81 Guillemets typographiques ouvrants. => Dans le champ "URL:", vous trouvez le chemin complet et le nom du fichier pour ce calendrier. | " => suggestions : ['«\xa0', '“']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/votre_nom_utilisateur/.kde/share/apps/korganizer/ |    => suggestions : ['']

89 Guillemets typographiques ouvrants. => Copiez le fichier de votre "URL:". | " => suggestions : ['«\xa0', '“']

91 Mot inconnu : Kontact => Une foi la copie du fichier fait, dans la fenêtre de Kontact, cliquez sur le bouton "Annuler" pour revenir à Calendier. | kontact
91 Guillemets typographiques ouvrants. => Une foi la copie du fichier fait, dans la fenêtre de Kontact, cliquez sur le bouton "Annuler" pour revenir à Calendier. | " => suggestions : ['«\xa0', '“']
91 Guillemets typographiques fermants. => Une foi la copie du fichier fait, dans la fenêtre de Kontact, cliquez sur le bouton "Annuler" pour revenir à Calendier. | " => suggestions : ['\xa0»', '”']
91 Mot inconnu : Calendier => Une foi la copie du fichier fait, dans la fenêtre de Kontact, cliquez sur le bouton "Annuler" pour revenir à Calendier. | calendier

95 Mot inconnu : Kontact => ==== Les autres données de Kontact ==== | kontact

97 Mot inconnu : Kontact => Pour les autres données et fichiers de Kontact, comme je ne les utilise pas et ne les connais pas, si une âme charitable pouvait compléter la présente section avec ce qu'elle sait, cela serait apprécié par tous ! Merci d'avance ! | kontact

99 Mot inconnu : Kontact => Fermer le logiciel Kontact. | kontact

103 Mot inconnu : Palm => ==== Connexion par câble USB du Palm ==== | palm

105 Mot inconnu : Palm => Avant toutes choses, vérifions que vos équipements sont compatibles et que le Palm est reconnu lors de son branchement par câble USB. | palm

107 Mot inconnu : Konsole => Pour ce faire, vous travaillerez avec le terminal Konsole. | konsole

109 Guillemets typographiques ouvrants. => Dans le menu K (gros bouton bleu à gauche de l'écran), allez dans la section "Système" et cliquez sur "Konsole Terminal". | " => suggestions : ['«\xa0', '“']
109 Guillemets typographiques fermants. => Dans le menu K (gros bouton bleu à gauche de l'écran), allez dans la section "Système" et cliquez sur "Konsole Terminal". | " => suggestions : ['\xa0»', '”']
109 Guillemets typographiques ouvrants. => Dans le menu K (gros bouton bleu à gauche de l'écran), allez dans la section "Système" et cliquez sur "Konsole Terminal". | " => suggestions : ['«\xa0', '“']
109 Mot inconnu : Konsole => Dans le menu K (gros bouton bleu à gauche de l'écran), allez dans la section "Système" et cliquez sur "Konsole Terminal". | konsole
109 Guillemets typographiques fermants. => Dans le menu K (gros bouton bleu à gauche de l'écran), allez dans la section "Système" et cliquez sur "Konsole Terminal". | " => suggestions : ['\xa0»', '”']

113 Guillemets typographiques ouvrants. => Sur la ligne de commande, recopiez la commande suivante et appuyez sur la touche "Entré" : | " => suggestions : ['«\xa0', '“']
113 Accord de genre erroné : « la touche » est féminin, « Entré » est masculin. => Sur la ligne de commande, recopiez la commande suivante et appuyez sur la touche "Entré" : | entré => suggestions : ['Entrée']
113 Guillemets typographiques fermants. => Sur la ligne de commande, recopiez la commande suivante et appuyez sur la touche "Entré" : | " => suggestions : ['\xa0»', '”']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   lsusb |    => suggestions : ['']
115 Mot inconnu : lsusb =>   lsusb | lsusb

117 Mot inconnu : USBs => La commande devrait vous donner la liste de ce qui est connecté sur les ports USBs de votre ordinateur, chez moi cela donne la liste suivant : | usbs

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   :~$ lsusb |    => suggestions : ['']
119 Mot inconnu : lsusb =>   :~$ lsusb | lsusb

