
4 Mot inconnu : XdTV => ====== XdTV ====== | xdtv
161 Après le verbe “falloir”, le verbe devrait être à l’infinitif. => Pour le faire il faut allez dans XdTV et faire: //**Record Movie->Audio parameters**// | allez => suggestions : ['aller']
161 Mot inconnu : XdTV => Pour le faire il faut allez dans XdTV et faire: //**Record Movie->Audio parameters**// | xdtv
161 Mot inconnu : Movie => Pour le faire il faut allez dans XdTV et faire: //**Record Movie->Audio parameters**// | movie
161 Mot inconnu : parameters => Pour le faire il faut allez dans XdTV et faire: //**Record Movie->Audio parameters**// | parameters

163 Mot inconnu : Buffer => Dans la fenêtre qui s'affiche, augmentez le paramètre **Audio Buffer Size**. J'ai mis **19667** à la place du paramètre d'origine, le problème semble avoir totalement disparu. | buffer
163 Mot inconnu : Size => Dans la fenêtre qui s'affiche, augmentez le paramètre **Audio Buffer Size**. J'ai mis **19667** à la place du paramètre d'origine, le problème semble avoir totalement disparu. | size
163 Formatage des grands nombres. => Dans la fenêtre qui s'affiche, augmentez le paramètre **Audio Buffer Size**. J'ai mis **19667** à la place du paramètre d'origine, le problème semble avoir totalement disparu. | 19667 => suggestions : ['19\xa0667']

165 Mot inconnu : Apply => Cliquez sur **Apply save & close** et testez l'enregistrement ^^ | apply
165 Mot inconnu : save => Cliquez sur **Apply save & close** et testez l'enregistrement ^^ | save

169 Mot inconnu : line-in => Il est possible qu'après un enregistrement vous constatiez un léger décalage du son par rapport à l'image. Ceci est dû à une latence au sein même de votre carte son, et comme la carte TV fait passer la vidéo par un autre chemin que le son (la plupart du temps vous devez brancher le son sur le line-in de votre carte son) un décalage se forme. | line-in

171 Mot inconnu : XdTV => XdTV comporte un système permettant de resynchroniser la vidéo directement pendant l'enregistrement, il suffit de ... FIXME | xdtv
171 Typographie : points de suspension. Utilisez le caractère dédié. => XdTV comporte un système permettant de resynchroniser la vidéo directement pendant l'enregistrement, il suffit de ... FIXME | ... => suggestions : ['…']
171 Mot inconnu : FIXME => XdTV comporte un système permettant de resynchroniser la vidéo directement pendant l'enregistrement, il suffit de ... FIXME | fixme

173 Mot inconnu : Pitivi => Si vous avez déjà enregistré des vidéos avec ce décalage, il est possible de le corriger après coup avec un logiciel de montage comme [[Pitivi]], [[OpenShot]] ou [[Kdenlive]]. Vous pouvez aussi le corriger avec [[Avidemux]] si vous préférez corriger le décalage "numériquement" (dans le sens de taper un nombre). | pitivi
173 Mot inconnu : OpenShot => Si vous avez déjà enregistré des vidéos avec ce décalage, il est possible de le corriger après coup avec un logiciel de montage comme [[Pitivi]], [[OpenShot]] ou [[Kdenlive]]. Vous pouvez aussi le corriger avec [[Avidemux]] si vous préférez corriger le décalage "numériquement" (dans le sens de taper un nombre). | openshot
173 Mot inconnu : Kdenlive => Si vous avez déjà enregistré des vidéos avec ce décalage, il est possible de le corriger après coup avec un logiciel de montage comme [[Pitivi]], [[OpenShot]] ou [[Kdenlive]]. Vous pouvez aussi le corriger avec [[Avidemux]] si vous préférez corriger le décalage "numériquement" (dans le sens de taper un nombre). | kdenlive
173 Mot inconnu : Avidemux => Si vous avez déjà enregistré des vidéos avec ce décalage, il est possible de le corriger après coup avec un logiciel de montage comme [[Pitivi]], [[OpenShot]] ou [[Kdenlive]]. Vous pouvez aussi le corriger avec [[Avidemux]] si vous préférez corriger le décalage "numériquement" (dans le sens de taper un nombre). | avidemux
173 Guillemets typographiques ouvrants. => Si vous avez déjà enregistré des vidéos avec ce décalage, il est possible de le corriger après coup avec un logiciel de montage comme [[Pitivi]], [[OpenShot]] ou [[Kdenlive]]. Vous pouvez aussi le corriger avec [[Avidemux]] si vous préférez corriger le décalage "numériquement" (dans le sens de taper un nombre). | " => suggestions : ['«\xa0', '“']
173 Guillemets typographiques fermants. => Si vous avez déjà enregistré des vidéos avec ce décalage, il est possible de le corriger après coup avec un logiciel de montage comme [[Pitivi]], [[OpenShot]] ou [[Kdenlive]]. Vous pouvez aussi le corriger avec [[Avidemux]] si vous préférez corriger le décalage "numériquement" (dans le sens de taper un nombre). | " => suggestions : ['\xa0»', '”']
