
3 Mot inconnu : Builder => ====== GNOME Builder ====== | builder
46 Guillemets typographiques fermants. => Le bouton "**Nouveau**" permet de créer un projet "vide". | " => suggestions : ['\xa0»', '”']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le nom du projet; |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'emplacement du projet; |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La licence du projet; |    => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. |    => suggestions : ['']
55 Guillemets typographiques ouvrants. =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | " => suggestions : ['\xa0»', '”']
55 Mot inconnu : Meson =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | meson
55 Mot inconnu : AutoTools =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | autotools
55 Mot inconnu : Meson =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | meson
55 Mot inconnu : AutoTools =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | autotools
55 Confusion : “coté” est le participe passé du verbe “coter”. =>   * Le modèle de projet : des modèles "pré-mâchés" sont disponibles pour faciliter la création d'**Applications** ou de **Bibliothèques partagées**, ces modèles adoptant soit la compilation selon //Meson//, soit selon //AutoTools//. Ce sont des techniques de construction de l'application qui ont chacune leurs avantages et leurs défauts, mais **Meson** est la technique proposée par défaut, car elle a de bien meilleurs performances, et est progressivement adoptée par de nombreux projets qui utilisait **AutoTools** auparavant. À coté de cela, créer un projet vide est toujours envisageable. | coté => suggestions : ['côté', 'côtés']

57 Mot inconnu : CB => ~CB~ | cb

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

73 Mot inconnu : CB => ~CB~ | cb

85 Mot inconnu : Flatpak => Les projets développés, ainsi que les plateformes Flatpak téléchargées, restent présentes sur le disque. | flatpak

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.gnome.org/Apps/Builder|Page de Builder sur le wiki officiel de GNOME]]; |    => suggestions : ['']
89 Mot inconnu : Builder =>   * [[https://wiki.gnome.org/Apps/Builder|Page de Builder sur le wiki officiel de GNOME]]; | builder

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  |    => suggestions : ['']
91 Espace(s) en fin de ligne à supprimer. =>   *  |   => suggestions : ['']
95 Il manque un espace. => //Contributeurs : [[utilisateurs:roschan]] | roschan => suggestions : [' roschan']

96 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
96 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
