
5 Mot inconnu : rTorrent => ====== rTorrent ====== | rtorrent
96 Mot inconnu : backspace =>   * En pressant, dans rtorrent, la touche backspace, vous pouvez entrer le chemin complet du torrent ou bien une url du torrent. | backspace
96 Mot inconnu : url =>   * En pressant, dans rtorrent, la touche backspace, vous pouvez entrer le chemin complet du torrent ou bien une url du torrent. | url

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En enregistrant directement le torrent dans le répertoire que vous avez indiqué dans votre fichier de configuration avec la commande watch_directory (dans le fichier de configuration plus haut, il s'agit du répertoire /home/nom_utilisateur/torrent/torrent_active/) |    => suggestions : ['']
97 Mot inconnu : watch_directory =>   * En enregistrant directement le torrent dans le répertoire que vous avez indiqué dans votre fichier de configuration avec la commande watch_directory (dans le fichier de configuration plus haut, il s'agit du répertoire /home/nom_utilisateur/torrent/torrent_active/) | watch_directory

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour mettre en pause un torrent, pressez ctrl+d. |    => suggestions : ['']
101 Mot inconnu : ctrl =>   * Pour mettre en pause un torrent, pressez ctrl+d. | ctrl

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour relancer un torrent en pause, pressez ctrl+s. |    => suggestions : ['']
102 Mot inconnu : ctrl =>   * Pour relancer un torrent en pause, pressez ctrl+s. | ctrl

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour retirer un torrent, vous devez presser deux fois ctrl+d : il se met en pause la première fois, puis est effacé la deuxième. |    => suggestions : ['']
103 Mot inconnu : ctrl =>   * Pour retirer un torrent, vous devez presser deux fois ctrl+d : il se met en pause la première fois, puis est effacé la deuxième. | ctrl

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Pour donner la priorité à un morceau du fichier (ou ne pas le télécharger), appuyez deux fois sur la touche « flèche droite », sélectionnez le fichier qui vous intéresse, puis pressez la touche « Espace ». |    => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour que le torrent ignore/prenne en compte les commandes du fichier de configuration (telles que move_complete dans l'exemple), pressez I. |    => suggestions : ['']
105 Mot inconnu : move_complete =>   * Pour que le torrent ignore/prenne en compte les commandes du fichier de configuration (telles que move_complete dans l'exemple), pressez I. | move_complete

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour modifier les taux limites d'envoi et de réception : |    => suggestions : ['']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * a / s / d : Augmente le taux en envoi de 1 / 5 / 50 Ko |      => suggestions : ['']
107 Si “Ko” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * a / s / d : Augmente le taux en envoi de 1 / 5 / 50 Ko | 50 ko => suggestions : ['50\xa0Ko']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * A / S / D : Augmente le taux en réception de 1 / 5 / 50 Ko |      => suggestions : ['']
108 Si “Ko” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * A / S / D : Augmente le taux en réception de 1 / 5 / 50 Ko | 50 ko => suggestions : ['50\xa0Ko']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * z / x / c : Diminue le taux en envoi de 1 / 5 / 50 Ko |      => suggestions : ['']
109 Si “Ko” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * z / x / c : Diminue le taux en envoi de 1 / 5 / 50 Ko | 50 ko => suggestions : ['50\xa0Ko']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Z / X / C : Diminute le taux en récption de 1 / 5 / 50 Ko |      => suggestions : ['']
110 Mot inconnu : Diminute =>     * Z / X / C : Diminute le taux en récption de 1 / 5 / 50 Ko | diminute
110 Mot inconnu : récption =>     * Z / X / C : Diminute le taux en récption de 1 / 5 / 50 Ko | récption
110 Si “Ko” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * Z / X / C : Diminute le taux en récption de 1 / 5 / 50 Ko | 50 ko => suggestions : ['50\xa0Ko']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) |      => suggestions : ['']
111 Mot inconnu : download =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | download
111 Mot inconnu : peer =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | peer
111 Mot inconnu : add_peer =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | add_peer
111 Il manque un espace. =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | port => suggestions : [' port']
111 Mot inconnu : xxx =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | xxx
111 Typographie : points de suspension. Utilisez le caractère dédié. =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | ... => suggestions : ['…']
111 Mot inconnu : ip =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | ip
111 Mot inconnu : peer =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | peer
111 Mot inconnu : numero =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | numero
111 Accord erroné : « utilisée » devrait être au masculin singulier. =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | utilisée => suggestions : ['utilisé']
111 Mot inconnu : peer =>     * pour demander le download d'une peer : ^x puis d.add_peer=xxx.xxx.xxx.xxx:port (^ veut dire Ctrl, remplacer xxx... par l'ip de la peer et port par le numero du port utilisée par la peer) | peer

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour quitter rtorrent, pressez ctrl+q. |    => suggestions : ['']
112 Mot inconnu : rtorrent =>   * Pour quitter rtorrent, pressez ctrl+q. | rtorrent
112 Mot inconnu : ctrl =>   * Pour quitter rtorrent, pressez ctrl+q. | ctrl

115 Mot inconnu : rtorrent => ==Signification des informations données par rtorrent== | rtorrent

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ubuntu-11.04-install-i386.iso  |    => suggestions : ['']
125 Mot inconnu : ubuntu-11 =>   ubuntu-11.04-install-i386.iso  | ubuntu-11
125 Mot inconnu : install-i386 =>   ubuntu-11.04-install-i386.iso  | install-i386
125 Mot inconnu : iso =>   ubuntu-11.04-install-i386.iso  | iso
125 Espace(s) en fin de ligne à supprimer. =>   ubuntu-11.04-install-i386.iso  |   => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Torrent: 161.6 / 617.2 MB |    => suggestions : ['']
129 Mot inconnu : MB =>   Torrent: 161.6 / 617.2 MB | mb

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Rate: 1.1 / 41.3 KB |    => suggestions : ['']
132 Mot inconnu : KB =>   Rate: 1.1 / 41.3 KB | kb

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Uploaded: 5.1 MB |    => suggestions : ['']
135 Mot inconnu : Uploaded =>   Uploaded: 5.1 MB | uploaded
135 Mot inconnu : MB =>   Uploaded: 5.1 MB | mb

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [24%] |    => suggestions : ['']

139 Espace(s) en fin de ligne à supprimer. => Pourcentage du torrent déjà téléchargé.  |   => suggestions : ['']

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   0d 3:09 |    => suggestions : ['']
142 Accord de nombre erroné avec « 0 » : « jours » devrait être au singulier. => Estimation du temps restant (ce chiffre se fonde sur la vitesse courante en réception du téléchargement). Si la vitesse en réception reste la même, le téléchargement sera terminé dans 0 jours, 3 heures et 9 minutes. | jours => suggestions : ['jour']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   T |    => suggestions : ['']

146 Mot inconnu : flag => Indique que le torrent a été chargé à l'aide d'un fichier *.torrent stocké localement (le flag n'est pas présent lorsque le fichier torrent est chargé par le biais d'une URL) | flag

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   I |    => suggestions : ['']

149 Mot inconnu : stop_on_ratio => Indique que le torrent ignore les commandes (telles que stop_on_ratio, move_complete) | stop_on_ratio
149 Mot inconnu : move_complete => Indique que le torrent ignore les commandes (telles que stop_on_ratio, move_complete) | move_complete

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   R: 0.03 |    => suggestions : ['']

152 Mot inconnu : share => Indique le pourcentage de partage (//share ratio//) : c'est le nombre de données envoyées par rapport au nombre de données reçues. Ici, vous avez jusqu'ici envoyés 5.1 Mo et vous avez reçu 161.6 Mo, vous avez donc partagé 3 % du torrent. | share
152 Ce verbe devrait être un participe passé au masculin singulier. => Indique le pourcentage de partage (//share ratio//) : c'est le nombre de données envoyées par rapport au nombre de données reçues. Ici, vous avez jusqu'ici envoyés 5.1 Mo et vous avez reçu 161.6 Mo, vous avez donc partagé 3 % du torrent. | envoyés => suggestions : ['envoyé']

153 Mot inconnu : rtorrent => ===== rtorrent en daemon...===== | rtorrent
153 Mot inconnu : daemon => ===== rtorrent en daemon...===== | daemon
153 Typographie : points de suspension. Utilisez le caractère dédié. => ===== rtorrent en daemon...===== | ... => suggestions : ['…']

155 Typographie : points de suspension. Utilisez le caractère dédié. => ===... avec dtach === | ... => suggestions : ['…']
155 Mot inconnu : dtach => ===... avec dtach === | dtach

157 Mot inconnu : rtorrent => Voici un petit script qui permet de lancer rtorrent au démarrage de la distribution tout en se laissant la possibilité d'accéder à l'interface console. | rtorrent

161 Il manque un espace à côté du tiret. => <file bash>#!/bin/sh -e |  - => suggestions : [' – ', ' — ']

163 Mot inconnu : BEGIN => ### BEGIN INIT INFO | begin
163 Mot inconnu : INIT => ### BEGIN INIT INFO | init

164 Mot inconnu : Provides => # Provides: rtorrentd | provides
164 Mot inconnu : rtorrentd => # Provides: rtorrentd | rtorrentd

165 Mot inconnu : Required-Start => # Required-Start: $network $syslog | required-start
165 Mot inconnu : network => # Required-Start: $network $syslog | network
165 Mot inconnu : syslog => # Required-Start: $network $syslog | syslog

166 Mot inconnu : Required-Stop => # Required-Stop: $network | required-stop
166 Mot inconnu : network => # Required-Stop: $network | network

167 Mot inconnu : Default-Start => # Default-Start: 2 3 5 | default-start

168 Mot inconnu : Default-Stop => # Default-Stop: 0 1 6 | default-stop
169 Mot inconnu : rtorrent => # Description: Démarrer/arrêter rtorrent sous forme de daemon. | rtorrent
169 Mot inconnu : daemon => # Description: Démarrer/arrêter rtorrent sous forme de daemon. | daemon

170 Mot inconnu : END => ### END INIT INFO | end
170 Mot inconnu : INIT => ### END INIT INFO | init

172 Mot inconnu : NAME => NAME=rtorrentd | name
172 Mot inconnu : rtorrentd => NAME=rtorrentd | rtorrentd

173 Mot inconnu : SCRIPTNAME => SCRIPTNAME=/etc/init.d/$NAME | scriptname
173 Mot inconnu : NAME => SCRIPTNAME=/etc/init.d/$NAME | name

174 Mot inconnu : PATH => PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin | path

175 Mot inconnu : path => # path du fichier temporaire | path

176 Mot inconnu : TMP => TMP=/tmp/rtorrent.dtach | tmp

180 Mot inconnu : rtorrent => CONF=/home/${user}/.rtorrent.rc | rtorrent
180 Mot inconnu : rc => CONF=/home/${user}/.rtorrent.rc | rc

182 Mot inconnu : start => start() { | start

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo -n $"Starting $NAME: " |          => suggestions : ['']
183 Mot inconnu : echo =>         echo -n $"Starting $NAME: " | echo
183 Il manque un espace à côté du tiret. =>         echo -n $"Starting $NAME: " |  - => suggestions : [' – ', ' — ']
